#{"t_start": 1522623759.72597, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,78,0.03839
0.0,100,0.042951
0.0,5,0.043246
0.0,22,0.044289
0.0,6,0.044626
0.0,34,0.046195
0.0,14,0.046887
0.0,50,0.049165
0.0,26,0.050385
0.0,9,0.050865
0.0,9,0.051331
0.0,19,0.052269
0.0,15,0.053013
0.0,75,0.056385
0.0,100,0.060877
0.0,100,0.065365
1.0,19,0.06629
0.0,100,0.070801
0.0,29,0.07217
0.0,90,0.076221
0.0,19,0.077151
0.0,18,0.078022
0.0,25,0.07921
1.0,13,0.079876
0.0,89,0.083926
1.0,38,0.085674
1.0,74,0.089018
1.0,28,0.090326
1.0,48,0.09251
1.0,9,0.092985
1.0,53,0.095399
0.0,20,0.096354
1.0,29,0.097718
0.0,45,0.09978
0.0,44,0.101807
1.0,94,0.106005
1.0,48,0.108199
0.0,9,0.108663
0.0,15,0.109407
0.0,8,0.109838
1.0,29,0.111185
0.0,22,0.112242
1.0,73,0.115524
1.0,8,0.115963
1.0,20,0.116918
1.0,62,0.119724
1.0,63,0.122586
0.0,47,0.124752
0.0,63,0.127604
0.0,44,0.129611
1.0,37,0.131322
1.0,41,0.133201
1.0,21,0.134207
1.0,42,0.136135
1.0,52,0.138568
0.0,6,0.138919
0.0,44,0.140945
1.0,44,0.14297
1.0,40,0.144803
1.0,18,0.145666
1.0,12,0.146273
1.0,29,0.147625
1.0,16,0.148413
1.0,32,0.149894
1.0,41,0.151799
1.0,26,0.153014
0.0,33,0.154541
0.0,100,0.15902
1.0,21,0.160021
1.0,18,0.160885
0.0,15,0.16162
0.0,100,0.166106
0.0,93,0.170285
0.0,16,0.171067
0.0,19,0.171984
1.0,34,0.173547
1.0,18,0.17442
0.0,48,0.176609
1.0,32,0.1781
1.0,33,0.179622
1.0,52,0.182006
0.0,61,0.184788
1.0,59,0.187471
1.0,41,0.189352
1.0,16,0.190136
1.0,46,0.192241
0.0,54,0.194676
0.0,55,0.197165
0.0,45,0.199226
1.0,26,0.200452
1.0,12,0.201063
1.0,28,0.202382
0.0,4,0.202628
0.0,58,0.205261
0.0,22,0.206316
0.0,56,0.208863
1.0,21,0.209861
1.0,33,0.211379
1.0,49,0.213619
0.0,55,0.216121
0.0,15,0.216864
1.0,19,0.217771
0.0,27,0.219043
1.0,13,0.219694
0.0,44,0.221711
0.0,13,0.222353
1.0,36,0.224022
1.0,71,0.227222
1.0,13,0.227874
1.0,42,0.229809
1.0,15,0.23054
0.0,46,0.232655
1.0,19,0.233568
0.0,17,0.234399
0.0,7,0.234794
0.0,17,0.235611
1.0,38,0.237369
0.0,23,0.238517
1.0,82,0.24225
1.0,37,0.243973
0.0,100,0.248464
1.0,82,0.252163
1.0,16,0.252949
1.0,49,0.255166
1.0,14,0.255857
1.0,11,0.256416
1.0,14,0.257117
1.0,17,0.257946
0.0,81,0.26158
1.0,20,0.262543
0.0,63,0.265417
0.0,22,0.266474
0.0,14,0.267174
1.0,18,0.268038
1.0,40,0.269886
0.0,27,0.271151
1.0,20,0.272117
0.0,100,0.276608
0.0,32,0.278105
0.0,22,0.279148
1.0,33,0.28069
0.0,21,0.281678
0.0,41,0.283569
0.0,28,0.284886
0.0,12,0.285484
1.0,13,0.286132
0.0,100,0.290609
1.0,33,0.292157
1.0,64,0.29506
0.0,23,0.296142
1.0,27,0.297404
0.0,29,0.298766
0.0,71,0.301991
0.0,6,0.302329
0.0,29,0.303689
1.0,72,0.306941
0.0,64,0.309857
0.0,23,0.310949
0.0,71,0.314179
0.0,8,0.314607
