#{"t_start": 1522609736.5290668, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.001907
0.0,4,0.002287
0.0,2,0.002522
0.0,11,0.003363
0.0,4,0.003748
0.0,34,0.006118
0.0,9,0.00684
0.0,84,0.011261
0.0,37,0.01297
0.0,16,0.013748
1.0,53,0.016132
0.0,26,0.017349
0.0,23,0.018444
1.0,14,0.019143
0.0,4,0.019388
0.0,67,0.022399
0.0,23,0.023479
0.0,81,0.027091
0.0,26,0.0283
0.0,53,0.030713
0.0,64,0.033595
0.0,26,0.03481
0.0,10,0.035323
0.0,2,0.035482
1.0,53,0.037885
0.0,13,0.038528
1.0,8,0.038962
0.0,61,0.041717
0.0,39,0.043503
0.0,7,0.043895
0.0,29,0.045236
1.0,38,0.046981
1.0,44,0.048996
0.0,12,0.049604
0.0,58,0.052211
0.0,24,0.053344
0.0,17,0.054167
0.0,7,0.054543
0.0,23,0.055639
1.0,19,0.056533
0.0,13,0.057176
0.0,29,0.05853
1.0,77,0.062012
0.0,48,0.064192
0.0,35,0.065802
0.0,8,0.066227
1.0,13,0.066879
0.0,21,0.067873
0.0,12,0.068472
1.0,48,0.070674
1.0,35,0.072279
0.0,10,0.072797
0.0,22,0.073841
0.0,24,0.074967
1.0,10,0.075472
0.0,14,0.076159
0.0,38,0.077906
1.0,13,0.078544
0.0,25,0.079733
0.0,100,0.084219
0.0,74,0.087557
0.0,52,0.089927
0.0,18,0.090786
0.0,16,0.091556
0.0,48,0.09373
0.0,17,0.094536
0.0,7,0.094921
0.0,6,0.095262
0.0,7,0.095648
0.0,16,0.096415
1.0,67,0.099432
0.0,11,0.099989
1.0,34,0.101548
0.0,26,0.102834
0.0,93,0.106965
0.0,30,0.108356
0.0,28,0.10968
1.0,23,0.110763
0.0,27,0.112016
0.0,35,0.113624
0.0,20,0.114564
0.0,100,0.119024
1.0,81,0.122656
1.0,8,0.123074
0.0,26,0.124284
0.0,34,0.125861
1.0,13,0.126496
1.0,6,0.126835
0.0,6,0.127167
1.0,25,0.128338
0.0,16,0.129126
0.0,6,0.129457
0.0,30,0.130857
1.0,22,0.131896
0.0,34,0.133451
1.0,19,0.134353
0.0,27,0.135617
0.0,13,0.136258
0.0,36,0.137912
0.0,100,0.142378
0.0,16,0.143159
0.0,17,0.143984
0.0,9,0.144454
0.0,14,0.145146
1.0,41,0.147016
0.0,89,0.150988
0.0,48,0.153169
0.0,37,0.154881
0.0,13,0.155521
1.0,11,0.156085
1.0,32,0.157555
0.0,12,0.158155
0.0,29,0.159502
1.0,13,0.160152
0.0,42,0.162088
1.0,28,0.163386
1.0,9,0.163859
0.0,7,0.164234
0.0,6,0.164568
1.0,32,0.166055
1.0,14,0.166745
0.0,3,0.166946
0.0,99,0.171367
0.0,29,0.172724
1.0,57,0.175293
0.0,27,0.176543
0.0,20,0.177494
0.0,20,0.178447
0.0,23,0.179532
0.0,24,0.180671
0.0,29,0.182017
0.0,85,0.185822
0.0,9,0.186291
1.0,45,0.188334
0.0,15,0.189071
0.0,6,0.189404
0.0,38,0.191155
0.0,18,0.192021
0.0,73,0.195307
1.0,20,0.196268
0.0,16,0.197049
0.0,41,0.198919
0.0,26,0.20013
0.0,29,0.201477
0.0,5,0.201783
1.0,32,0.203336
1.0,28,0.204645
0.0,9,0.205114
1.0,24,0.206239
1.0,32,0.207727
0.0,9,0.208193
0.0,18,0.209066
0.0,26,0.210279
0.0,13,0.210934
1.0,12,0.211528
1.0,17,0.212349
1.0,54,0.214791
0.0,17,0.215616
1.0,28,0.216917
0.0,5,0.217206
0.0,11,0.217769
1.0,60,0.220475
0.0,73,0.22377
0.0,20,0.224725
0.0,34,0.226279
0.0,3,0.226481
1.0,31,0.227921
1.0,14,0.228615
0.0,11,0.229163
1.0,32,0.230645
1.0,22,0.231684
