#{"t_start": 1522665376.9314384, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.041758
0.0,24,0.043566
0.0,21,0.045144
0.0,10,0.045954
0.0,9,0.046678
0.0,21,0.047843
0.0,16,0.048638
0.0,37,0.050398
0.0,6,0.050739
0.0,21,0.051767
0.0,13,0.052441
0.0,8,0.05289
0.0,13,0.05355
0.0,3,0.053757
0.0,19,0.054703
0.0,14,0.05542
0.0,6,0.055763
0.0,28,0.057132
0.0,65,0.060178
0.0,23,0.061293
1.0,9,0.061772
1.0,13,0.062438
0.0,18,0.063339
1.0,8,0.063776
1.0,46,0.065958
0.0,80,0.069682
0.0,68,0.072879
0.0,14,0.073587
1.0,65,0.076628
1.0,50,0.079005
0.0,100,0.083625
0.0,18,0.084517
0.0,11,0.085098
0.0,16,0.0859
0.0,100,0.090516
1.0,57,0.093188
0.0,40,0.095083
1.0,38,0.09689
1.0,30,0.098331
1.0,59,0.101088
0.0,45,0.103216
0.0,65,0.106246
0.0,17,0.107105
0.0,88,0.111192
1.0,62,0.114091
0.0,9,0.114576
0.0,13,0.115248
1.0,40,0.117155
0.0,17,0.118004
0.0,66,0.121086
1.0,8,0.12152
1.0,8,0.121967
0.0,12,0.122576
0.0,12,0.123203
0.0,16,0.124012
1.0,30,0.12545
0.0,4,0.125708
0.0,29,0.127113
0.0,22,0.128192
1.0,64,0.131173
0.0,18,0.132076
0.0,32,0.133606
0.0,33,0.13519
0.0,12,0.135875
0.0,13,0.136534
1.0,19,0.13748
0.0,25,0.138691
1.0,31,0.140183
1.0,9,0.140659
0.0,17,0.141515
0.0,18,0.142413
0.0,4,0.142665
0.0,7,0.14307
0.0,8,0.143504
0.0,13,0.144175
1.0,14,0.144889
0.0,13,0.145545
0.0,34,0.14718
0.0,20,0.148168
0.0,10,0.148688
0.0,42,0.150691
0.0,19,0.151633
1.0,15,0.152399
1.0,30,0.153827
0.0,22,0.154912
1.0,30,0.156358
0.0,3,0.156567
0.0,11,0.157151
0.0,14,0.157875
0.0,62,0.16077
1.0,29,0.162176
0.0,8,0.162616
0.0,18,0.163517
1.0,37,0.165281
0.0,68,0.16846
0.0,52,0.170907
0.0,3,0.171119
0.0,22,0.172192
1.0,38,0.174003
0.0,72,0.17735
0.0,17,0.178198
0.0,56,0.180817
1.0,48,0.183088
1.0,13,0.183748
0.0,35,0.185417
0.0,55,0.188006
1.0,18,0.188906
0.0,10,0.189436
1.0,11,0.190018
1.0,9,0.1905
1.0,36,0.192216
1.0,19,0.193156
1.0,29,0.194546
1.0,12,0.195175
0.0,12,0.195795
0.0,15,0.19656
0.0,28,0.197926
1.0,32,0.199456
0.0,23,0.200578
0.0,69,0.203792
0.0,28,0.205157
0.0,37,0.206936
1.0,52,0.209367
1.0,29,0.210757
1.0,72,0.214113
1.0,18,0.215011
0.0,33,0.216592
0.0,8,0.217048
0.0,100,0.221677
0.0,5,0.221993
0.0,19,0.22293
0.0,32,0.224464
0.0,37,0.226226
1.0,41,0.228181
1.0,37,0.229948
0.0,53,0.232431
0.0,68,0.235611
0.0,10,0.23621
1.0,15,0.236979
0.0,11,0.237549
0.0,13,0.238216
0.0,14,0.238934
0.0,63,0.241872
0.0,18,0.242764
0.0,15,0.243526
0.0,9,0.24402
0.0,16,0.244817
1.0,48,0.247088
0.0,14,0.247797
0.0,29,0.249197
0.0,18,0.250093
0.0,44,0.252169
0.0,22,0.253242
0.0,28,0.254586
0.0,11,0.255167
0.0,21,0.256201
1.0,29,0.257601
1.0,23,0.258721
0.0,8,0.259165
1.0,21,0.2602
0.0,10,0.260729
1.0,22,0.261798
1.0,22,0.262879
0.0,52,0.265324
1.0,18,0.266225
0.0,54,0.26876
0.0,36,0.270474
0.0,8,0.270922
0.0,67,0.274072
0.0,48,0.27633
0.0,17,0.277197
1.0,26,0.278452
0.0,92,0.282724
0.0,24,0.283904
1.0,21,0.284941
0.0,13,0.285601
0.0,31,0.287101
0.0,13,0.287763
0.0,9,0.288258
0.0,21,0.289292
0.0,45,0.291412
0.0,9,0.291903
1.0,11,0.292468
0.0,38,0.294265
0.0,46,0.296432
0.0,9,0.296928
0.0,3,0.297141
0.0,7,0.297527
1.0,48,0.299783
0.0,13,0.300453
0.0,12,0.301081
0.0,50,0.303421
0.0,26,0.304682
1.0,9,0.305177
1.0,13,0.305848
0.0,21,0.306888
0.0,37,0.308647
0.0,6,0.309004
0.0,16,0.3098
0.0,60,0.312617
0.0,14,0.313334
0.0,23,0.314459
0.0,19,0.315406
0.0,19,0.316352
1.0,39,0.318208
0.0,62,0.321112
0.0,13,0.321776
0.0,22,0.322862
0.0,11,0.323437
1.0,30,0.324881
1.0,38,0.326678
1.0,15,0.327443
0.0,9,0.327932
0.0,9,0.328414
0.0,93,0.332724
0.0,4,0.332992
0.0,10,0.333519
1.0,60,0.336315
0.0,7,0.336765
0.0,25,0.338003
0.0,37,0.339766
0.0,13,0.340437
0.0,17,0.341288
0.0,75,0.344762
0.0,41,0.346701
1.0,37,0.348468
0.0,68,0.35164
1.0,11,0.352224
0.0,63,0.355184
1.0,40,0.357088
0.0,23,0.35821
1.0,13,0.358883
1.0,47,0.361099
0.0,59,0.363864
1.0,28,0.365218
1.0,15,0.365974
0.0,18,0.366872
0.0,50,0.369218
1.0,45,0.371334
1.0,23,0.37245
0.0,38,0.374266
0.0,51,0.376674
0.0,51,0.379072
0.0,54,0.381597
0.0,50,0.383952
0.0,15,0.384704
1.0,18,0.385602
0.0,31,0.387112
0.0,10,0.387636
0.0,4,0.387897
0.0,16,0.388694
0.0,8,0.389139
0.0,7,0.389532
0.0,62,0.392426
1.0,26,0.393677
0.0,23,0.394793
0.0,34,0.39642
0.0,3,0.396629
1.0,7,0.397042
0.0,49,0.399364
0.0,46,0.401543
0.0,11,0.402124
0.0,13,0.402782
1.0,19,0.403722
0.0,37,0.405485
1.0,26,0.406745
1.0,33,0.408337
0.0,43,0.410362
0.0,28,0.41171
0.0,48,0.413991
1.0,14,0.414695
1.0,61,0.41754
0.0,93,0.421818
0.0,6,0.422171
0.0,4,0.422421
1.0,51,0.424795
1.0,48,0.427052
0.0,8,0.427482
0.0,28,0.428825
0.0,18,0.429715
0.0,65,0.432737
0.0,26,0.434003
0.0,13,0.434662
0.0,52,0.43711
0.0,5,0.43747
0.0,16,0.438274
1.0,46,0.440446
1.0,13,0.44112
0.0,50,0.443466
0.0,56,0.446096
0.0,40,0.448003
0.0,63,0.450938
0.0,6,0.451282
0.0,28,0.45263
0.0,8,0.453075
