#{"t_start": 1522632695.5690272, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,35,0.037672
0.0,77,0.04157
0.0,51,0.043902
0.0,35,0.045513
0.0,28,0.04684
0.0,41,0.048737
0.0,57,0.051328
0.0,100,0.055817
0.0,35,0.057435
0.0,17,0.058263
1.0,28,0.059577
0.0,12,0.060187
1.0,24,0.061321
1.0,19,0.062241
1.0,13,0.062895
1.0,10,0.063411
1.0,13,0.064068
1.0,61,0.066828
0.0,35,0.068452
0.0,14,0.069159
0.0,15,0.069902
0.0,25,0.071086
0.0,25,0.072262
0.0,20,0.073227
0.0,36,0.0749
0.0,10,0.075408
1.0,36,0.077082
0.0,32,0.078564
1.0,22,0.079634
0.0,39,0.081424
0.0,3,0.081638
0.0,15,0.082372
0.0,15,0.083117
0.0,10,0.083638
0.0,35,0.085265
0.0,14,0.085968
0.0,22,0.087021
0.0,5,0.087316
1.0,13,0.087975
1.0,65,0.090939
0.0,6,0.09128
1.0,13,0.091935
1.0,9,0.092405
1.0,29,0.093767
1.0,24,0.094905
1.0,36,0.096558
0.0,28,0.097887
1.0,21,0.098898
0.0,5,0.099188
0.0,14,0.099885
0.0,8,0.10031
1.0,83,0.104048
1.0,23,0.10514
0.0,17,0.105965
0.0,4,0.106214
0.0,24,0.107352
0.0,29,0.108737
0.0,15,0.10948
0.0,20,0.11044
1.0,17,0.111279
0.0,38,0.113043
1.0,23,0.114135
1.0,61,0.11692
1.0,20,0.11788
1.0,22,0.118933
0.0,4,0.119182
0.0,11,0.119752
0.0,13,0.120396
1.0,20,0.121359
0.0,24,0.122496
0.0,3,0.122709
1.0,90,0.126752
0.0,24,0.127894
0.0,33,0.129433
0.0,35,0.131061
0.0,5,0.131353
0.0,8,0.131787
1.0,30,0.133176
1.0,25,0.134356
1.0,15,0.135094
0.0,12,0.135701
0.0,22,0.136815
0.0,28,0.138133
1.0,21,0.139144
1.0,29,0.140501
1.0,36,0.142166
0.0,27,0.14343
1.0,39,0.145237
0.0,44,0.147269
0.0,7,0.147664
0.0,11,0.148218
0.0,4,0.148462
1.0,27,0.149742
0.0,16,0.150514
0.0,13,0.151174
1.0,21,0.152181
0.0,9,0.152658
0.0,15,0.153391
1.0,13,0.154039
0.0,61,0.156812
1.0,27,0.158088
0.0,35,0.159718
1.0,10,0.160235
0.0,37,0.161954
1.0,13,0.162599
1.0,29,0.163957
1.0,26,0.165184
0.0,28,0.166499
0.0,10,0.16702
0.0,84,0.170824
0.0,44,0.17284
1.0,38,0.174589
0.0,26,0.175818
0.0,13,0.176466
0.0,38,0.178231
1.0,26,0.179465
0.0,7,0.179854
1.0,24,0.180988
0.0,15,0.181732
0.0,33,0.18327
0.0,9,0.183749
1.0,44,0.185766
0.0,7,0.186147
0.0,40,0.187983
0.0,19,0.188906
0.0,3,0.189108
0.0,23,0.1902
0.0,10,0.190723
0.0,26,0.191941
1.0,17,0.19277
1.0,22,0.193811
1.0,27,0.195065
0.0,16,0.195856
1.0,11,0.196406
0.0,3,0.196607
0.0,3,0.196819
0.0,13,0.197464
1.0,31,0.198912
1.0,35,0.200526
1.0,30,0.201935
0.0,50,0.204205
1.0,42,0.206136
0.0,26,0.20736
0.0,11,0.207926
0.0,3,0.20813
1.0,11,0.208704
0.0,32,0.210196
0.0,100,0.214681
0.0,23,0.21577
1.0,31,0.217214
0.0,19,0.218129
1.0,27,0.219403
0.0,8,0.219843
0.0,11,0.220404
0.0,23,0.221509
0.0,7,0.221904
1.0,21,0.222917
0.0,62,0.225724
0.0,13,0.226371
0.0,19,0.227282
0.0,92,0.231431
0.0,25,0.232604
0.0,21,0.233608
0.0,29,0.234964
0.0,37,0.23668
0.0,7,0.237116
0.0,42,0.239059
0.0,4,0.239309
0.0,57,0.241911
0.0,29,0.243264
0.0,47,0.245418
0.0,55,0.247918
0.0,11,0.248476
0.0,38,0.25024
0.0,45,0.252305
1.0,11,0.252874
0.0,16,0.253667
0.0,35,0.255275
0.0,4,0.255524
0.0,25,0.256707
1.0,30,0.258096
0.0,49,0.26033
0.0,49,0.262567
1.0,53,0.264991
1.0,36,0.266658
0.0,81,0.270319
0.0,7,0.270711
0.0,34,0.272276
0.0,86,0.276134
0.0,33,0.277672
0.0,5,0.277962
0.0,19,0.278882
0.0,34,0.280447
0.0,18,0.281318
0.0,28,0.282633
0.0,22,0.28368
0.0,35,0.2853
1.0,10,0.285819
0.0,16,0.286586
0.0,67,0.289617
0.0,15,0.290358
0.0,32,0.291849
1.0,99,0.296286
0.0,19,0.2972
0.0,42,0.299142
0.0,5,0.299435
1.0,15,0.300174
1.0,54,0.302633
1.0,20,0.303587
1.0,26,0.304816
1.0,23,0.3059
0.0,16,0.306687
1.0,41,0.30856
0.0,100,0.313064
0.0,9,0.313534
0.0,93,0.317703
0.0,8,0.318132
0.0,16,0.318923
0.0,11,0.319474
0.0,9,0.319949
0.0,8,0.320371
1.0,50,0.322661
0.0,5,0.322952
0.0,25,0.324126
0.0,9,0.324596
1.0,16,0.325376
0.0,18,0.326247
0.0,47,0.32839
0.0,20,0.329362
0.0,17,0.330195
