#{"t_start": 1522660959.50177, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.007419
0.0,12,0.007857
0.0,2,0.007981
0.0,5,0.008179
0.0,12,0.008588
0.0,3,0.00876
0.0,4,0.008964
0.0,17,0.009458
0.0,17,0.009966
0.0,7,0.010225
0.0,15,0.010663
0.0,14,0.011099
0.0,13,0.011501
0.0,61,0.013125
0.0,22,0.013788
0.0,38,0.014866
0.0,68,0.01665
0.0,15,0.01713
0.0,19,0.017684
0.0,81,0.019801
0.0,15,0.020251
0.0,26,0.020988
0.0,24,0.021666
1.0,23,0.02233
0.0,20,0.022911
1.0,23,0.023565
1.0,26,0.02431
0.0,5,0.024502
0.0,5,0.024707
0.0,25,0.025401
0.0,100,0.027998
0.0,5,0.028201
0.0,22,0.028855
0.0,28,0.029633
0.0,32,0.030541
0.0,12,0.030935
0.0,43,0.032116
0.0,20,0.032678
0.0,14,0.033113
0.0,6,0.033329
0.0,6,0.03355
1.0,35,0.034528
1.0,47,0.035795
1.0,8,0.036069
0.0,57,0.037591
0.0,61,0.039205
0.0,3,0.039349
0.0,3,0.03949
1.0,18,0.04004
1.0,77,0.042083
0.0,30,0.042939
1.0,17,0.043437
0.0,9,0.043748
0.0,13,0.044146
1.0,30,0.044991
0.0,28,0.045814
0.0,5,0.046014
0.0,16,0.046508
0.0,13,0.04692
1.0,22,0.047553
1.0,20,0.048134
1.0,21,0.048761
1.0,29,0.049546
1.0,36,0.050535
1.0,29,0.051353
1.0,18,0.051879
1.0,8,0.052145
0.0,14,0.052569
0.0,26,0.053325
0.0,5,0.053526
0.0,2,0.053641
0.0,13,0.054055
0.0,4,0.054233
0.0,4,0.054403
1.0,20,0.055003
0.0,2,0.055119
1.0,14,0.055541
1.0,49,0.056863
0.0,28,0.057647
1.0,13,0.058047
0.0,15,0.058505
0.0,7,0.058766
0.0,27,0.059527
0.0,10,0.059855
1.0,23,0.060513
0.0,9,0.060827
0.0,11,0.061176
0.0,13,0.061579
0.0,11,0.061937
1.0,6,0.062165
0.0,20,0.062752
0.0,13,0.063153
0.0,21,0.06377
0.0,43,0.064948
0.0,11,0.065293
1.0,40,0.066358
0.0,21,0.066966
1.0,89,0.0693
1.0,17,0.06982
1.0,17,0.070314
0.0,7,0.070563
0.0,13,0.070962
0.0,43,0.072119
1.0,22,0.072742
0.0,21,0.073342
0.0,7,0.073595
0.0,4,0.073777
0.0,19,0.074326
0.0,12,0.074722
1.0,47,0.07597
1.0,9,0.076261
1.0,12,0.076635
0.0,2,0.076758
1.0,24,0.077445
0.0,18,0.077971
0.0,15,0.078409
1.0,7,0.07866
0.0,5,0.078869
0.0,14,0.079298
0.0,28,0.080138
1.0,21,0.08077
0.0,17,0.081285
1.0,23,0.081935
0.0,36,0.082935
0.0,12,0.083311
0.0,16,0.083801
0.0,32,0.084681
0.0,36,0.085668
0.0,20,0.086265
0.0,17,0.086789
0.0,8,0.087062
0.0,33,0.087989
1.0,65,0.089726
0.0,50,0.09109
0.0,6,0.091308
0.0,3,0.091449
0.0,13,0.091869
0.0,10,0.092186
0.0,60,0.093777
0.0,12,0.094145
0.0,33,0.095061
0.0,5,0.09526
0.0,4,0.095434
0.0,34,0.096423
1.0,12,0.096841
0.0,47,0.098107
1.0,31,0.098974
1.0,30,0.099841
1.0,21,0.10044
1.0,37,0.101457
1.0,20,0.102046
1.0,37,0.103092
0.0,8,0.103371
1.0,34,0.104306
0.0,3,0.104454
1.0,12,0.104841
0.0,2,0.104956
0.0,13,0.10536
0.0,42,0.10653
0.0,9,0.106834
1.0,33,0.107752
0.0,13,0.108205
1.0,19,0.108798
0.0,24,0.109476
0.0,11,0.109827
0.0,30,0.110641
1.0,10,0.110971
1.0,22,0.111604
0.0,15,0.112068
0.0,16,0.112556
0.0,3,0.112705
0.0,2,0.112826
0.0,4,0.112998
0.0,12,0.113382
0.0,18,0.113941
