#{"t_start": 1522667243.7757263, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,37,0.003767
0.0,17,0.004617
0.0,42,0.006594
0.0,31,0.008108
0.0,11,0.008674
0.0,30,0.010109
0.0,3,0.010316
0.0,4,0.010566
0.0,2,0.010737
0.0,6,0.01108
0.0,8,0.011506
0.0,2,0.011666
0.0,9,0.012158
0.0,2,0.012321
0.0,3,0.012526
0.0,39,0.014354
0.0,17,0.015195
0.0,17,0.016047
0.0,11,0.016618
1.0,11,0.017194
0.0,33,0.018763
0.0,32,0.020278
0.0,2,0.020443
0.0,10,0.020971
0.0,9,0.02146
1.0,12,0.02209
0.0,52,0.024506
0.0,8,0.024958
1.0,20,0.025939
0.0,100,0.030526
0.0,6,0.030883
0.0,11,0.031448
0.0,6,0.031804
0.0,4,0.032055
0.0,3,0.032264
0.0,20,0.03324
0.0,2,0.033403
0.0,2,0.033562
0.0,14,0.034274
0.0,13,0.034941
0.0,16,0.035742
0.0,7,0.036125
0.0,4,0.036378
0.0,20,0.037357
0.0,5,0.037653
0.0,4,0.037915
0.0,6,0.038258
0.0,6,0.038597
0.0,5,0.038902
0.0,7,0.039287
0.0,48,0.041516
0.0,11,0.042099
0.0,19,0.043031
0.0,14,0.043745
1.0,15,0.044483
0.0,2,0.044641
0.0,12,0.045259
0.0,8,0.045699
1.0,10,0.046227
0.0,7,0.046612
0.0,14,0.047321
0.0,9,0.047813
0.0,11,0.048377
0.0,7,0.048773
0.0,14,0.049486
0.0,20,0.050465
0.0,4,0.050727
0.0,15,0.051471
0.0,6,0.051834
0.0,4,0.05209
0.0,5,0.052385
0.0,4,0.052634
0.0,8,0.053071
1.0,11,0.053636
0.0,6,0.053987
0.0,4,0.054237
0.0,58,0.05694
0.0,9,0.057413
0.0,4,0.057666
0.0,17,0.058505
0.0,10,0.059035
0.0,10,0.059557
0.0,7,0.059951
0.0,9,0.060434
0.0,45,0.062544
0.0,12,0.063168
0.0,49,0.065457
0.0,18,0.06635
0.0,16,0.067153
0.0,16,0.067958
0.0,13,0.068615
0.0,14,0.069325
0.0,6,0.069665
0.0,29,0.07106
0.0,6,0.071406
0.0,17,0.072255
0.0,4,0.072513
0.0,11,0.073089
0.0,37,0.07483
0.0,7,0.075214
0.0,13,0.075878
0.0,6,0.076222
0.0,28,0.077563
0.0,3,0.077781
0.0,38,0.079559
0.0,31,0.081044
0.0,20,0.082027
0.0,21,0.083056
0.0,45,0.085155
0.0,3,0.085366
0.0,51,0.087747
0.0,14,0.088448
0.0,3,0.088653
0.0,3,0.088866
0.0,53,0.09133
0.0,2,0.091497
0.0,28,0.092844
0.0,27,0.09414
0.0,16,0.094941
0.0,14,0.095644
1.0,38,0.09744
0.0,11,0.09802
0.0,5,0.098315
0.0,13,0.098984
0.0,6,0.099327
0.0,9,0.099813
0.0,8,0.10025
0.0,31,0.101738
0.0,2,0.101904
1.0,30,0.103328
0.0,8,0.103842
0.0,4,0.104096
0.0,16,0.104895
0.0,3,0.105101
0.0,21,0.106128
0.0,13,0.106797
0.0,33,0.108357
0.0,23,0.109474
0.0,9,0.109963
0.0,11,0.110528
0.0,5,0.110835
0.0,8,0.111269
0.0,7,0.111651
0.0,18,0.112548
0.0,13,0.113214
0.0,27,0.114506
0.0,40,0.116391
0.0,22,0.117466
0.0,15,0.118225
0.0,7,0.118616
0.0,9,0.1191
0.0,37,0.120849
1.0,11,0.121415
0.0,16,0.122226
0.0,19,0.123169
0.0,6,0.123514
0.0,23,0.124629
0.0,7,0.125025
0.0,49,0.127322
0.0,15,0.128083
0.0,4,0.128335
0.0,20,0.129311
0.0,20,0.130296
0.0,14,0.13101
1.0,7,0.131396
0.0,15,0.132159
0.0,12,0.132785
0.0,35,0.134441
0.0,6,0.134794
0.0,12,0.135406
0.0,45,0.137515
0.0,12,0.138136
0.0,2,0.138298
0.0,3,0.138502
0.0,28,0.139855
0.0,4,0.140106
0.0,13,0.140778
0.0,8,0.141211
0.0,28,0.142564
0.0,22,0.143631
0.0,18,0.144522
0.0,12,0.145145
0.0,16,0.145941
0.0,21,0.146965
0.0,13,0.147623
0.0,21,0.148648
0.0,22,0.149729
0.0,14,0.15043
0.0,21,0.151464
0.0,10,0.152007
0.0,5,0.152308
0.0,62,0.15519
0.0,4,0.155444
0.0,2,0.155604
0.0,11,0.156181
0.0,14,0.156893
0.0,7,0.157278
0.0,19,0.158215
0.0,9,0.158701
0.0,6,0.159049
0.0,11,0.159612
0.0,14,0.16032
0.0,10,0.160857
0.0,4,0.161115
0.0,34,0.162732
0.0,44,0.1648
0.0,24,0.165968
0.0,12,0.166577
0.0,8,0.167017
0.0,13,0.167676
0.0,4,0.167938
0.0,6,0.168278
0.0,8,0.168722
0.0,17,0.169565
0.0,9,0.170053
0.0,13,0.170732
0.0,17,0.171572
0.0,51,0.173974
0.0,29,0.175355
0.0,2,0.175523
0.0,11,0.176099
0.0,19,0.177043
0.0,24,0.178211
0.0,23,0.17933
0.0,3,0.179537
0.0,10,0.180067
0.0,4,0.180319
0.0,12,0.180945
0.0,6,0.181284
0.0,7,0.181674
0.0,13,0.18234
0.0,20,0.183325
0.0,9,0.18381
0.0,7,0.184199
0.0,32,0.185728
0.0,5,0.186029
0.0,28,0.18736
0.0,35,0.189029
0.0,9,0.189506
0.0,14,0.190227
0.0,8,0.190666
0.0,13,0.191333
0.0,6,0.191676
0.0,23,0.192808
0.0,30,0.194245
0.0,12,0.194889
0.0,23,0.196
0.0,9,0.196479
0.0,8,0.196923
0.0,38,0.198727
0.0,20,0.199702
0.0,5,0.200004
0.0,50,0.202344
0.0,46,0.204495
0.0,34,0.206183
0.0,3,0.206391
0.0,6,0.206745
0.0,14,0.207448
0.0,5,0.207757
0.0,53,0.210214
0.0,11,0.210792
0.0,26,0.212045
0.0,33,0.213609
0.0,12,0.214227
0.0,20,0.215209
0.0,68,0.218341
0.0,15,0.219101
0.0,10,0.219626
0.0,22,0.220707
0.0,28,0.222048
0.0,81,0.225796
0.0,29,0.227176
0.0,8,0.227614
0.0,4,0.227879
0.0,2,0.22804
0.0,3,0.228245
0.0,65,0.231255
0.0,8,0.231685
0.0,31,0.233167
0.0,3,0.233376
0.0,15,0.23413
0.0,10,0.234652
0.0,2,0.234824
0.0,5,0.235118
0.0,25,0.236319
0.0,89,0.240406
0.0,15,0.24117
0.0,19,0.242108
0.0,2,0.242269
0.0,13,0.242932
0.0,23,0.244045
0.0,16,0.24484
0.0,7,0.245231
0.0,7,0.245618
0.0,22,0.24669
0.0,6,0.247044
0.0,8,0.247476
0.0,33,0.249053
1.0,24,0.250214
0.0,16,0.251019
0.0,11,0.251586
0.0,33,0.253156
0.0,20,0.254141
0.0,44,0.256209
0.0,18,0.257102
0.0,13,0.25777
0.0,24,0.258931
0.0,7,0.25932
0.0,20,0.260298
0.0,21,0.261328
0.0,22,0.262409
0.0,12,0.263028
0.0,11,0.263595
0.0,10,0.264128
0.0,3,0.264337
0.0,22,0.265408
0.0,23,0.266522
0.0,5,0.266832
0.0,33,0.2684
0.0,21,0.269427
0.0,3,0.269634
0.0,16,0.270431
0.0,62,0.273311
0.0,13,0.27398
0.0,3,0.274187
0.0,34,0.275802
0.0,3,0.276013
0.0,19,0.276948
1.0,20,0.277934
0.0,28,0.279272
1.0,17,0.280121
0.0,7,0.28051
0.0,5,0.280822
0.0,20,0.281814
0.0,4,0.282066
0.0,6,0.282406
0.0,13,0.283078
0.0,4,0.283335
0.0,5,0.283628
0.0,12,0.28425
0.0,3,0.284457
0.0,9,0.284949
