#{"t_start": 1522639172.1631074, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,81,0.041792
0.0,27,0.043795
0.0,4,0.044175
0.0,78,0.047938
0.0,29,0.049341
0.0,63,0.052259
0.0,31,0.053745
0.0,11,0.05433
0.0,28,0.055685
0.0,81,0.059438
0.0,4,0.059693
0.0,32,0.06122
0.0,100,0.065853
0.0,20,0.066839
0.0,43,0.068876
0.0,61,0.071729
0.0,10,0.072258
0.0,59,0.075018
0.0,34,0.076645
0.0,58,0.079343
0.0,8,0.079778
0.0,89,0.083889
0.0,58,0.086611
0.0,100,0.091213
0.0,2,0.091386
0.0,15,0.09213
0.0,41,0.094069
0.0,33,0.095657
1.0,10,0.096181
0.0,10,0.096718
0.0,3,0.096927
1.0,13,0.097597
0.0,100,0.102227
0.0,19,0.103172
1.0,28,0.10454
1.0,97,0.109018
0.0,7,0.109418
0.0,72,0.112756
0.0,32,0.114277
0.0,26,0.115542
0.0,100,0.120161
0.0,100,0.124774
1.0,43,0.12681
1.0,19,0.12775
0.0,2,0.127911
0.0,6,0.128251
1.0,6,0.128606
0.0,2,0.128766
0.0,10,0.129288
0.0,10,0.129816
1.0,25,0.13103
0.0,42,0.133011
1.0,20,0.134002
1.0,37,0.135771
0.0,18,0.136665
0.0,24,0.137903
0.0,6,0.138248
0.0,15,0.139005
0.0,8,0.13945
0.0,13,0.140113
1.0,19,0.141054
1.0,24,0.14222
1.0,17,0.143071
1.0,9,0.143561
0.0,5,0.143856
0.0,23,0.144984
1.0,11,0.145563
0.0,12,0.146173
0.0,14,0.146886
1.0,16,0.147692
0.0,3,0.147897
0.0,9,0.148382
0.0,11,0.14895
1.0,59,0.15171
1.0,21,0.152736
1.0,55,0.155301
1.0,25,0.15652
1.0,77,0.160098
0.0,11,0.160677
0.0,11,0.161244
1.0,8,0.161685
1.0,38,0.163485
1.0,43,0.16552
0.0,5,0.16582
1.0,49,0.168125
0.0,6,0.168477
1.0,45,0.170605
1.0,10,0.171129
1.0,19,0.172071
1.0,34,0.173689
1.0,28,0.17504
0.0,4,0.175293
1.0,97,0.179791
1.0,26,0.181047
0.0,19,0.181988
1.0,9,0.182478
1.0,16,0.183268
1.0,18,0.184156
1.0,26,0.185429
0.0,4,0.18568
1.0,19,0.186618
0.0,3,0.186825
0.0,42,0.18881
1.0,14,0.189525
0.0,21,0.190553
1.0,13,0.191212
1.0,28,0.192577
1.0,48,0.194847
0.0,7,0.195236
0.0,64,0.198705
1.0,60,0.201792
0.0,100,0.206574
0.0,13,0.207325
1.0,10,0.207858
0.0,12,0.208486
1.0,35,0.21015
1.0,19,0.211123
1.0,22,0.212208
0.0,4,0.212481
0.0,17,0.21333
1.0,15,0.214085
1.0,8,0.214541
0.0,5,0.214838
