#{"t_start": 1522608729.434879, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.036075
0.0,3,0.036456
0.0,4,0.036831
0.0,27,0.038791
0.0,21,0.04033
0.0,17,0.041596
0.0,32,0.043782
0.0,16,0.044574
0.0,22,0.045636
0.0,15,0.046378
0.0,11,0.046947
0.0,13,0.047608
0.0,5,0.047902
0.0,23,0.049001
0.0,10,0.04953
0.0,10,0.050051
0.0,59,0.052789
0.0,50,0.055123
0.0,100,0.059702
0.0,12,0.060308
1.0,29,0.06169
1.0,26,0.062921
1.0,23,0.064034
1.0,12,0.064656
1.0,15,0.065394
0.0,8,0.065834
0.0,18,0.066713
1.0,8,0.067142
1.0,46,0.06927
0.0,7,0.069668
0.0,5,0.069963
1.0,8,0.070386
0.0,2,0.070554
0.0,9,0.071019
0.0,22,0.072075
0.0,14,0.072781
0.0,13,0.073448
0.0,50,0.075755
0.0,42,0.077715
0.0,4,0.07797
0.0,14,0.07868
0.0,16,0.07947
0.0,16,0.080255
0.0,2,0.080425
0.0,2,0.080587
0.0,26,0.081819
0.0,43,0.083825
0.0,11,0.084385
0.0,6,0.084733
0.0,10,0.085248
0.0,11,0.085819
1.0,35,0.087463
0.0,2,0.087627
0.0,12,0.088229
0.0,3,0.088444
1.0,23,0.089551
0.0,25,0.090744
0.0,5,0.091038
0.0,8,0.091481
0.0,26,0.092714
1.0,15,0.093471
0.0,16,0.094251
0.0,6,0.094599
0.0,10,0.095108
1.0,18,0.095984
1.0,15,0.096726
0.0,32,0.098227
0.0,28,0.099561
0.0,33,0.10111
1.0,20,0.102074
0.0,44,0.104117
1.0,32,0.105626
0.0,68,0.108738
0.0,1,0.108858
1.0,23,0.109956
1.0,22,0.111015
0.0,1,0.111129
0.0,1,0.111244
1.0,31,0.112715
1.0,13,0.113364
1.0,21,0.114372
1.0,24,0.115519
0.0,20,0.116488
0.0,17,0.117315
0.0,9,0.117794
0.0,33,0.119344
0.0,39,0.121166
0.0,27,0.122466
1.0,8,0.122894
0.0,3,0.123099
0.0,24,0.124254
0.0,2,0.124428
1.0,10,0.124946
0.0,1,0.125061
0.0,28,0.126402
0.0,14,0.127096
1.0,24,0.128239
0.0,10,0.128776
1.0,12,0.12938
1.0,16,0.13017
0.0,18,0.131049
1.0,15,0.131793
1.0,24,0.132936
1.0,10,0.133469
1.0,20,0.134445
0.0,5,0.13474
1.0,22,0.135794
0.0,49,0.138133
0.0,5,0.138441
1.0,9,0.138913
0.0,6,0.139255
1.0,55,0.141791
1.0,31,0.14326
1.0,36,0.144953
0.0,59,0.147665
0.0,13,0.148312
0.0,2,0.148484
1.0,7,0.148865
1.0,28,0.150186
0.0,29,0.151572
0.0,10,0.15209
0.0,6,0.15244
0.0,21,0.153462
0.0,4,0.153713
1.0,20,0.15468
0.0,10,0.155199
0.0,9,0.155687
0.0,7,0.156074
0.0,7,0.156469
0.0,8,0.156904
0.0,13,0.157561
1.0,19,0.158476
0.0,5,0.158767
1.0,14,0.159474
1.0,24,0.160622
1.0,27,0.161904
0.0,23,0.163008
0.0,11,0.163586
0.0,1,0.163702
0.0,17,0.164538
0.0,17,0.165372
1.0,29,0.166761
0.0,14,0.167469
1.0,18,0.168345
0.0,43,0.170578
0.0,39,0.172418
0.0,2,0.172581
0.0,2,0.172739
0.0,11,0.173306
0.0,10,0.173841
0.0,4,0.174094
0.0,6,0.174451
0.0,6,0.174794
0.0,14,0.175506
0.0,7,0.175888
1.0,25,0.17708
1.0,11,0.177649
1.0,26,0.178901
0.0,33,0.180444
1.0,14,0.181133
0.0,2,0.181293
0.0,100,0.18587
1.0,12,0.186485
1.0,21,0.187499
0.0,6,0.187841
0.0,12,0.188456
0.0,4,0.188709
0.0,54,0.191187
0.0,10,0.191713
0.0,8,0.192141
0.0,1,0.192255
0.0,30,0.193689
0.0,16,0.194476
0.0,29,0.195847
0.0,9,0.19632
0.0,14,0.197024
1.0,14,0.197731
0.0,6,0.198069
0.0,24,0.199215
0.0,11,0.199785
0.0,39,0.201612
0.0,45,0.203712
0.0,1,0.20383
0.0,4,0.204083
0.0,4,0.20433
0.0,28,0.205674
0.0,39,0.207504
0.0,28,0.208825
0.0,6,0.20917
0.0,12,0.209783
1.0,23,0.210888
1.0,13,0.211548
1.0,19,0.212485
0.0,1,0.212599
0.0,5,0.212893
0.0,30,0.214313
0.0,2,0.214486
0.0,5,0.214783
0.0,19,0.215712
0.0,16,0.216512
0.0,3,0.216717
0.0,8,0.217145
0.0,15,0.217904
0.0,3,0.218114
0.0,20,0.219082
0.0,1,0.219196
1.0,57,0.221844
