#{"t_start": 1522639781.325072, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.035005
0.0,10,0.035855
0.0,1,0.036026
0.0,1,0.036191
0.0,4,0.036576
0.0,11,0.037423
0.0,10,0.038191
0.0,8,0.038838
0.0,3,0.039139
0.0,15,0.040268
0.0,10,0.041044
0.0,9,0.041761
0.0,8,0.04241
0.0,10,0.043177
0.0,36,0.044949
0.0,2,0.04511
0.0,10,0.045629
0.0,6,0.045968
0.0,13,0.046625
0.0,13,0.047285
0.0,12,0.047887
0.0,19,0.048805
0.0,2,0.048965
0.0,2,0.049124
0.0,30,0.050539
0.0,25,0.051723
0.0,18,0.052602
0.0,9,0.053072
0.0,16,0.053867
0.0,42,0.055813
0.0,17,0.056651
0.0,18,0.057531
0.0,100,0.062068
0.0,15,0.062816
0.0,23,0.063919
0.0,7,0.064309
0.0,3,0.064513
0.0,13,0.065155
0.0,7,0.065542
0.0,4,0.065788
0.0,19,0.066705
0.0,18,0.067581
0.0,19,0.068505
0.0,13,0.06915
0.0,2,0.069317
0.0,13,0.069966
0.0,9,0.070447
0.0,4,0.070697
0.0,3,0.070897
1.0,16,0.071686
0.0,13,0.072342
0.0,29,0.073708
0.0,33,0.075255
0.0,12,0.075856
0.0,14,0.076556
0.0,35,0.07817
0.0,6,0.078514
0.0,52,0.080892
0.0,4,0.081143
0.0,18,0.082016
0.0,8,0.082453
0.0,31,0.083906
0.0,43,0.085892
0.0,4,0.086143
0.0,7,0.086531
0.0,16,0.087321
0.0,14,0.088011
0.0,4,0.088269
0.0,13,0.088912
0.0,8,0.089348
0.0,28,0.090673
0.0,16,0.091471
0.0,19,0.092395
0.0,1,0.092512
0.0,13,0.093157
0.0,20,0.094128
0.0,11,0.094699
0.0,5,0.094991
0.0,36,0.09669
1.0,13,0.097349
0.0,26,0.098577
0.0,11,0.099135
0.0,8,0.099566
0.0,1,0.099682
0.0,20,0.100649
0.0,7,0.10103
0.0,26,0.102273
0.0,9,0.102743
0.0,22,0.103799
0.0,13,0.104462
0.0,12,0.105067
0.0,3,0.10528
0.0,17,0.106102
0.0,2,0.106274
0.0,13,0.106915
0.0,28,0.108239
0.0,19,0.109152
0.0,17,0.109982
0.0,6,0.110332
0.0,1,0.110447
0.0,10,0.110961
0.0,6,0.11131
0.0,8,0.111734
0.0,1,0.111845
0.0,6,0.11218
0.0,7,0.112569
0.0,48,0.114775
0.0,18,0.115658
0.0,1,0.115773
0.0,2,0.115929
0.0,13,0.116582
0.0,4,0.116831
0.0,2,0.116987
0.0,8,0.117417
0.0,20,0.118381
0.0,7,0.118762
0.0,15,0.119502
0.0,4,0.119751
0.0,9,0.120224
0.0,5,0.120516
0.0,5,0.120805
0.0,32,0.122306
0.0,3,0.122511
0.0,3,0.122715
0.0,6,0.123047
0.0,6,0.123399
0.0,8,0.123824
0.0,6,0.124162
0.0,3,0.124377
0.0,5,0.124668
0.0,24,0.125812
0.0,12,0.126426
0.0,64,0.129335
0.0,15,0.130067
0.0,26,0.131304
0.0,21,0.132312
0.0,6,0.132651
0.0,1,0.132763
0.0,13,0.133423
0.0,6,0.133762
0.0,52,0.136141
0.0,22,0.137264
0.0,1,0.137379
0.0,9,0.137849
0.0,11,0.138416
0.0,11,0.138973
0.0,12,0.139584
0.0,33,0.141121
0.0,10,0.141646
0.0,14,0.142342
0.0,7,0.14272
0.0,24,0.143861
1.0,95,0.148155
0.0,18,0.149029
0.0,16,0.149821
0.0,7,0.150205
0.0,7,0.150593
0.0,2,0.150749
0.0,3,0.150948
0.0,5,0.151249
0.0,2,0.151409
0.0,6,0.151742
0.0,10,0.152265
0.0,13,0.152911
0.0,1,0.153024
0.0,27,0.154318
0.0,2,0.154479
0.0,25,0.15566
0.0,19,0.156576
0.0,13,0.157226
0.0,8,0.157652
0.0,30,0.159062
0.0,6,0.15941
0.0,28,0.16073
0.0,1,0.160846
0.0,28,0.162164
0.0,4,0.162423
0.0,10,0.162935
0.0,6,0.163288
0.0,17,0.164105
1.0,7,0.164492
0.0,1,0.164603
0.0,16,0.165394
0.0,10,0.165911
0.0,1,0.166022
0.0,12,0.166639
0.0,22,0.167698
0.0,2,0.167857
0.0,7,0.168251
0.0,5,0.168545
0.0,3,0.168746
0.0,4,0.168995
0.0,4,0.169255
0.0,5,0.169547
0.0,10,0.170064
0.0,6,0.17041
0.0,1,0.170522
0.0,4,0.17077
0.0,19,0.171698
0.0,13,0.172356
0.0,35,0.173993
0.0,15,0.174738
0.0,29,0.176107
0.0,45,0.1782
0.0,9,0.178682
0.0,17,0.179515
0.0,1,0.179629
0.0,10,0.180144
0.0,7,0.180536
0.0,15,0.18128
0.0,62,0.184129
0.0,2,0.184301
0.0,30,0.185708
0.0,11,0.186276
0.0,8,0.1867
0.0,4,0.186946
0.0,14,0.18765
0.0,26,0.188881
0.0,21,0.189895
0.0,9,0.190377
0.0,26,0.191606
0.0,63,0.194499
0.0,57,0.197108
0.0,1,0.197232
0.0,32,0.198729
0.0,45,0.200819
0.0,14,0.201524
0.0,46,0.203657
0.0,1,0.203772
0.0,27,0.205049
0.0,10,0.205572
0.0,13,0.206229
0.0,14,0.206923
0.0,6,0.207267
0.0,21,0.208286
0.0,24,0.209429
0.0,12,0.210028
0.0,19,0.210953
0.0,45,0.213039
0.0,11,0.213617
0.0,4,0.213864
0.0,38,0.215632
0.0,38,0.217404
0.0,6,0.217741
0.0,38,0.219509
0.0,30,0.220936
0.0,3,0.22114
0.0,32,0.222641
0.0,18,0.223531
0.0,23,0.224632
0.0,2,0.224791
0.0,8,0.225223
0.0,4,0.225476
0.0,4,0.225724
0.0,13,0.226378
0.0,33,0.227916
0.0,8,0.228355
0.0,34,0.229944
0.0,7,0.230337
0.0,16,0.231125
0.0,10,0.231651
0.0,6,0.231987
0.0,38,0.233762
0.0,3,0.23397
0.0,18,0.23485
0.0,16,0.235646
1.0,41,0.237549
0.0,14,0.238325
1.0,11,0.238886
0.0,27,0.240164
0.0,25,0.241361
0.0,6,0.241695
0.0,27,0.24296
0.0,20,0.24393
0.0,9,0.244407
0.0,14,0.245092
0.0,23,0.246181
0.0,25,0.247373
0.0,99,0.251837
0.0,13,0.252493
0.0,12,0.253093
0.0,3,0.253313
0.0,1,0.253425
0.0,17,0.254258
0.0,10,0.254774
0.0,3,0.254975
0.0,4,0.255232
1.0,19,0.25614
1.0,17,0.25697
0.0,21,0.257977
0.0,22,0.259031
0.0,14,0.259734
0.0,46,0.261858
0.0,7,0.262253
0.0,45,0.264329
0.0,12,0.264927
0.0,13,0.265584
0.0,16,0.266372
0.0,4,0.266621
0.0,12,0.267232
0.0,31,0.268687
0.0,5,0.268979
0.0,10,0.269502
0.0,22,0.270555
0.0,5,0.270848
0.0,9,0.271328
1.0,19,0.272247
0.0,7,0.272629
0.0,19,0.273556
0.0,8,0.273978
0.0,34,0.275571
0.0,16,0.276356
0.0,27,0.277624
0.0,19,0.278546
0.0,51,0.280882
0.0,33,0.282428
0.0,4,0.282674
0.0,8,0.283095
0.0,8,0.283543
0.0,15,0.284288
0.0,17,0.285113
0.0,10,0.285635
0.0,12,0.286242
0.0,10,0.286757
0.0,13,0.287416
0.0,14,0.288106
0.0,24,0.289252
0.0,5,0.289543
0.0,2,0.289702
0.0,16,0.290486
0.0,3,0.29069
0.0,24,0.291835
0.0,16,0.292625
0.0,3,0.292831
0.0,6,0.293167
0.0,1,0.293295
0.0,16,0.294068
0.0,24,0.295206
0.0,5,0.295517
0.0,9,0.295988
0.0,12,0.296598
0.0,47,0.298762
0.0,9,0.299238
0.0,23,0.300337
0.0,4,0.300584
0.0,13,0.301243
0.0,15,0.301974
0.0,1,0.302088
0.0,100,0.306622
0.0,10,0.307135
0.0,9,0.307617
0.0,8,0.308042
0.0,17,0.308881
0.0,30,0.310303
0.0,48,0.312509
0.0,11,0.313072
0.0,27,0.314359
0.0,5,0.314655
0.0,7,0.315032
0.0,2,0.315191
1.0,14,0.315885
0.0,32,0.31739
0.0,22,0.318443
0.0,16,0.319229
1.0,7,0.319609
0.0,4,0.319853
0.0,8,0.320285
0.0,5,0.32058
0.0,16,0.321367
0.0,12,0.321966
0.0,5,0.322268
0.0,31,0.323721
0.0,23,0.324817
1.0,11,0.325386
1.0,18,0.326265
0.0,1,0.32638
0.0,1,0.326493
0.0,10,0.327004
0.0,15,0.327745
0.0,9,0.328222
0.0,25,0.32941
0.0,4,0.329659
0.0,12,0.330271
0.0,13,0.330921
0.0,44,0.332945
0.0,15,0.333698
0.0,8,0.334126
0.0,36,0.335813
0.0,31,0.337276
0.0,5,0.337572
0.0,7,0.338012
0.0,8,0.338444
0.0,22,0.3395
0.0,5,0.339792
0.0,14,0.34049
0.0,4,0.340738
0.0,5,0.341026
0.0,11,0.341599
0.0,20,0.342565
0.0,8,0.342987
0.0,5,0.343295
0.0,23,0.344395
0.0,23,0.34549
0.0,36,0.347155
0.0,27,0.348437
1.0,23,0.349533
0.0,15,0.350283
0.0,2,0.350441
0.0,5,0.350729
0.0,16,0.351513
0.0,1,0.351626
0.0,6,0.351959
0.0,1,0.352069
0.0,38,0.353844
0.0,10,0.354374
0.0,2,0.354534
0.0,8,0.354956
0.0,19,0.355873
0.0,5,0.356167
0.0,40,0.358015
0.0,40,0.359869
0.0,34,0.361453
0.0,29,0.36281
0.0,1,0.362922
0.0,28,0.364242
0.0,18,0.365112
0.0,5,0.365413
0.0,27,0.366692
1.0,9,0.367159
0.0,7,0.367547
0.0,9,0.368014
1.0,46,0.370136
0.0,26,0.37138
1.0,12,0.371981
0.0,11,0.37255
0.0,17,0.373392
0.0,1,0.373505
0.0,79,0.377083
0.0,10,0.377609
0.0,23,0.378713
0.0,23,0.379815
0.0,3,0.380018
0.0,28,0.38135
0.0,5,0.381644
0.0,12,0.382261
0.0,11,0.38282
0.0,11,0.383393
0.0,16,0.38417
0.0,9,0.38465
0.0,3,0.384851
0.0,15,0.385594
0.0,2,0.385752
0.0,8,0.386177
0.0,26,0.387416
0.0,17,0.388254
0.0,37,0.389962
0.0,21,0.390972
0.0,8,0.391412
0.0,20,0.392373
0.0,11,0.392931
0.0,19,0.393862
0.0,9,0.394342
0.0,3,0.394545
0.0,3,0.394754
0.0,10,0.395275
0.0,13,0.395917
0.0,23,0.397015
0.0,14,0.397718
0.0,18,0.398601
0.0,9,0.399076
0.0,4,0.399331
0.0,11,0.399889
0.0,23,0.400985
0.0,57,0.403604
0.0,39,0.405415
0.0,9,0.405888
0.0,50,0.408177
0.0,15,0.408917
0.0,8,0.409353
0.0,41,0.411254
0.0,1,0.411369
0.0,20,0.412342
0.0,6,0.412678
0.0,5,0.412972
0.0,35,0.414616
0.0,3,0.41482
0.0,29,0.416178
0.0,10,0.416704
0.0,11,0.417274
0.0,7,0.417653
0.0,14,0.418357
0.0,14,0.419048
0.0,21,0.420059
0.0,15,0.42082
0.0,1,0.420934
0.0,2,0.421091
0.0,12,0.421701
0.0,28,0.423023
0.0,15,0.423778
0.0,1,0.423893
0.0,24,0.425037
0.0,1,0.425152
0.0,6,0.4255
0.0,2,0.425659
1.0,48,0.427865
0.0,29,0.429235
0.0,24,0.430377
0.0,2,0.430537
0.0,38,0.432307
0.0,29,0.433674
0.0,8,0.434096
0.0,29,0.435463
0.0,3,0.435669
0.0,9,0.436136
0.0,9,0.436616
0.0,9,0.437084
0.0,8,0.437521
0.0,17,0.438353
0.0,2,0.438572
0.0,21,0.439597
0.0,14,0.440297
0.0,37,0.442007
0.0,3,0.442209
0.0,10,0.44273
0.0,37,0.444457
0.0,1,0.444572
0.0,12,0.445167
0.0,7,0.445558
0.0,9,0.446029
0.0,11,0.446594
0.0,9,0.447062
0.0,17,0.447897
0.0,10,0.448418
0.0,26,0.449643
0.0,11,0.450199
0.0,11,0.45076
0.0,12,0.451373
0.0,8,0.451798
0.0,10,0.45232
0.0,9,0.452785
0.0,59,0.455488
0.0,20,0.456453
0.0,6,0.456793
0.0,2,0.456951
0.0,21,0.457952
0.0,17,0.458785
0.0,23,0.459881
0.0,27,0.461157
1.0,14,0.461858
1.0,17,0.462691
0.0,1,0.462802
0.0,4,0.463047
0.0,6,0.4634
0.0,8,0.463825
0.0,6,0.46416
0.0,7,0.464546
1.0,39,0.466358
0.0,21,0.467366
0.0,17,0.46819
0.0,5,0.468488
0.0,6,0.468823
0.0,36,0.470497
0.0,9,0.470967
0.0,12,0.47158
0.0,5,0.471873
0.0,14,0.472567
0.0,27,0.47385
0.0,16,0.474641
0.0,24,0.475779
0.0,3,0.475985
1.0,54,0.478471
0.0,13,0.479118
0.0,10,0.479639
0.0,21,0.480647
0.0,10,0.481162
0.0,6,0.481509
1.0,33,0.483049
1.0,51,0.485411
1.0,34,0.486994
0.0,16,0.487782
0.0,1,0.487894
0.0,3,0.488095
0.0,25,0.489288
0.0,11,0.489845
0.0,9,0.490327
0.0,30,0.491723
0.0,7,0.492104
0.0,11,0.492673
0.0,17,0.493513
0.0,14,0.494206
0.0,13,0.494866
0.0,8,0.495305
0.0,10,0.495815
0.0,3,0.496015
0.0,11,0.496578
0.0,4,0.496829
0.0,2,0.496985
0.0,28,0.498312
1.0,20,0.499277
0.0,13,0.499932
0.0,28,0.501264
0.0,16,0.502047
0.0,2,0.502203
0.0,6,0.502551
0.0,14,0.503255
0.0,16,0.50403
0.0,30,0.50544
0.0,20,0.506407
0.0,21,0.507417
0.0,4,0.507665
0.0,27,0.508941
1.0,21,0.509951
0.0,7,0.510344
0.0,21,0.511351
0.0,6,0.511687
0.0,9,0.512151
0.0,17,0.512976
0.0,32,0.51449
0.0,16,0.515283
0.0,1,0.515396
0.0,21,0.516401
0.0,13,0.517047
0.0,11,0.517619
0.0,11,0.518181
0.0,26,0.51942
0.0,1,0.519534
0.0,1,0.519646
0.0,4,0.519894
0.0,7,0.520287
0.0,24,0.52143
0.0,10,0.521945
0.0,28,0.523272
0.0,26,0.524506
0.0,15,0.525246
0.0,3,0.525449
0.0,25,0.526641
0.0,33,0.528182
1.0,11,0.528744
0.0,27,0.530019
0.0,5,0.530327
0.0,1,0.530442
0.0,35,0.532061
1.0,18,0.532933
0.0,4,0.53318
0.0,23,0.534286
0.0,1,0.5344
0.0,22,0.535445
0.0,3,0.53565
0.0,24,0.53679
0.0,3,0.536998
0.0,58,0.539644
0.0,1,0.539814
1.0,28,0.541127
0.0,7,0.541518
0.0,12,0.542116
0.0,22,0.543167
0.0,10,0.543695
0.0,19,0.544614
0.0,9,0.545079
0.0,29,0.54645
0.0,7,0.546831
0.0,32,0.548333
