#{"t_start": 1522606692.4951565, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.035005
0.0,1,0.03521
0.0,8,0.035864
0.0,7,0.036473
0.0,5,0.036915
0.0,5,0.037369
0.0,38,0.039867
0.0,5,0.040161
0.0,45,0.042235
0.0,38,0.044007
0.0,26,0.045237
0.0,12,0.045851
0.0,11,0.046419
0.0,11,0.04698
0.0,27,0.048252
0.0,2,0.048422
0.0,5,0.048711
0.0,20,0.04968
0.0,5,0.049972
0.0,12,0.05058
0.0,100,0.055107
0.0,66,0.058124
0.0,32,0.059638
0.0,46,0.061757
0.0,19,0.062681
0.0,100,0.067187
0.0,2,0.06736
0.0,1,0.067473
0.0,7,0.067851
0.0,4,0.068097
0.0,1,0.068208
0.0,7,0.068596
0.0,31,0.070057
0.0,39,0.071866
0.0,98,0.076299
0.0,100,0.080807
0.0,20,0.081774
1.0,14,0.082478
0.0,14,0.083172
0.0,11,0.08374
0.0,8,0.084163
0.0,2,0.084332
0.0,4,0.084579
0.0,1,0.08469
0.0,5,0.084986
0.0,1,0.085097
0.0,16,0.085887
0.0,16,0.086679
0.0,4,0.086932
0.0,18,0.087801
0.0,15,0.088551
0.0,23,0.089652
0.0,33,0.091187
0.0,24,0.092335
0.0,3,0.092541
0.0,14,0.093226
0.0,20,0.094188
0.0,100,0.098734
0.0,8,0.099159
0.0,2,0.099337
0.0,5,0.099628
0.0,1,0.099739
0.0,10,0.100255
0.0,21,0.101267
0.0,10,0.101788
0.0,9,0.102258
0.0,47,0.104456
0.0,100,0.109006
0.0,3,0.10921
0.0,19,0.110131
0.0,1,0.110245
0.0,10,0.110769
0.0,23,0.111865
0.0,9,0.112348
0.0,19,0.113257
0.0,36,0.114931
0.0,12,0.115548
0.0,1,0.115663
0.0,77,0.11915
0.0,70,0.122354
0.0,4,0.122607
0.0,100,0.127119
0.0,74,0.130504
0.0,10,0.131019
0.0,29,0.132393
0.0,25,0.133582
0.0,74,0.136945
1.0,72,0.140328
0.0,12,0.140933
0.0,77,0.144454
0.0,28,0.145771
0.0,51,0.148116
0.0,59,0.150833
1.0,56,0.153408
0.0,12,0.154009
0.0,16,0.1548
1.0,23,0.155909
0.0,15,0.156664
0.0,14,0.15737
1.0,37,0.159086
0.0,23,0.160188
0.0,20,0.161147
0.0,13,0.161812
0.0,9,0.162292
0.0,23,0.163398
0.0,1,0.163511
0.0,3,0.163711
0.0,14,0.16441
0.0,15,0.165144
0.0,12,0.165758
0.0,28,0.167079
1.0,13,0.167735
0.0,5,0.168029
0.0,7,0.168419
0.0,3,0.168622
0.0,14,0.169331
0.0,17,0.170153
0.0,10,0.170683
0.0,12,0.171297
0.0,5,0.171592
0.0,10,0.172104
0.0,8,0.172544
0.0,18,0.173425
0.0,6,0.173764
0.0,12,0.174377
0.0,4,0.174628
0.0,6,0.174965
0.0,2,0.175127
0.0,19,0.176049
0.0,18,0.176936
0.0,3,0.17714
0.0,2,0.177309
0.0,4,0.17756
0.0,6,0.177894
0.0,6,0.178234
0.0,1,0.178356
0.0,18,0.179228
0.0,5,0.179537
0.0,1,0.179654
0.0,1,0.179765
0.0,13,0.180425
0.0,1,0.180539
0.0,11,0.181096
0.0,11,0.181663
0.0,20,0.182637
0.0,28,0.183955
0.0,4,0.184207
0.0,14,0.184907
0.0,12,0.185526
0.0,1,0.18564
0.0,2,0.185797
0.0,55,0.188331
0.0,6,0.18867
0.0,25,0.18986
0.0,39,0.191673
0.0,19,0.192594
0.0,3,0.192801
0.0,1,0.192912
0.0,10,0.193437
0.0,4,0.193689
0.0,3,0.19389
0.0,3,0.194096
0.0,27,0.195377
0.0,44,0.197415
0.0,16,0.198197
0.0,24,0.199355
0.0,8,0.199779
0.0,14,0.200478
1.0,24,0.20163
0.0,5,0.201921
1.0,10,0.202443
0.0,11,0.203
0.0,21,0.204014
0.0,4,0.204265
0.0,3,0.204486
0.0,47,0.206668
0.0,28,0.207987
0.0,7,0.208381
0.0,10,0.208894
0.0,5,0.209188
0.0,5,0.2095
0.0,19,0.210426
0.0,13,0.211075
0.0,25,0.212259
0.0,8,0.212698
0.0,9,0.213171
0.0,34,0.214772
0.0,15,0.21552
0.0,4,0.215772
0.0,1,0.215886
0.0,17,0.216727
0.0,11,0.217298
0.0,8,0.217728
0.0,19,0.218647
0.0,9,0.219116
0.0,23,0.22023
0.0,2,0.220399
0.0,10,0.220915
0.0,19,0.221837
0.0,30,0.22325
0.0,19,0.224166
0.0,35,0.225802
0.0,13,0.226472
0.0,11,0.227032
0.0,4,0.227288
0.0,18,0.228159
0.0,17,0.228996
1.0,31,0.230473
0.0,22,0.231533
0.0,6,0.23187
0.0,2,0.23203
0.0,2,0.232189
0.0,4,0.232449
0.0,11,0.233005
0.0,7,0.233399
0.0,15,0.234135
0.0,24,0.235294
0.0,2,0.235455
0.0,15,0.236192
0.0,32,0.237693
0.0,6,0.238092
0.0,17,0.238934
0.0,25,0.240123
0.0,34,0.241714
0.0,34,0.243311
0.0,14,0.243998
