#{"t_start": 1522676498.1896346, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.008475
0.0,8,0.009115
0.0,11,0.009905
0.0,14,0.010787
0.0,17,0.011816
0.0,31,0.013511
0.0,21,0.01474
0.0,28,0.016307
0.0,100,0.021201
0.0,10,0.021829
0.0,8,0.022331
0.0,79,0.026142
0.0,100,0.030695
1.0,7,0.031148
0.0,100,0.035597
0.0,3,0.035872
1.0,23,0.036993
0.0,6,0.037376
0.0,100,0.041487
0.0,27,0.042716
0.0,100,0.046818
1.0,52,0.048971
1.0,17,0.04974
1.0,21,0.050636
0.0,15,0.051312
1.0,13,0.051914
0.0,44,0.053696
1.0,15,0.054375
0.0,22,0.055322
1.0,46,0.057178
1.0,31,0.058454
1.0,56,0.060558
1.0,58,0.062685
0.0,28,0.06381
1.0,6,0.064121
1.0,20,0.064942
1.0,25,0.065963
1.0,17,0.066677
1.0,34,0.068021
1.0,30,0.069151
0.0,50,0.070955
1.0,8,0.071333
1.0,7,0.071653
1.0,10,0.072093
1.0,13,0.072631
0.0,4,0.072872
0.0,25,0.07384
0.0,66,0.076143
0.0,18,0.076853
1.0,43,0.078392
1.0,39,0.07976
1.0,30,0.080803
0.0,8,0.081147
0.0,78,0.0837
0.0,68,0.08597
1.0,25,0.086866
0.0,20,0.087581
0.0,12,0.088063
1.0,18,0.088717
1.0,11,0.089159
1.0,26,0.090043
0.0,50,0.091634
0.0,7,0.091948
0.0,27,0.09286
1.0,39,0.094145
1.0,45,0.095609
0.0,11,0.096057
0.0,16,0.096629
0.0,35,0.097797
0.0,35,0.098931
1.0,33,0.099991
0.0,22,0.100716
1.0,38,0.101909
0.0,12,0.102334
1.0,12,0.102779
0.0,37,0.103937
1.0,22,0.104651
1.0,79,0.107061
0.0,31,0.108042
1.0,10,0.108404
1.0,49,0.109987
1.0,40,0.111206
1.0,18,0.111792
0.0,7,0.112073
0.0,2,0.11221
0.0,24,0.112973
1.0,26,0.113794
1.0,49,0.115233
1.0,38,0.116374
0.0,2,0.116515
0.0,52,0.118081
1.0,35,0.119136
1.0,65,0.120955
1.0,7,0.121224
1.0,56,0.122795
0.0,21,0.123422
1.0,13,0.123848
1.0,18,0.124405
1.0,22,0.125068
0.0,2,0.125192
1.0,25,0.125962
0.0,11,0.126338
1.0,18,0.126895
0.0,50,0.128328
1.0,44,0.129565
0.0,43,0.130746
1.0,57,0.132279
0.0,33,0.133213
1.0,14,0.133653
0.0,11,0.134023
1.0,13,0.134449
1.0,21,0.135084
1.0,13,0.1355
1.0,16,0.135991
1.0,11,0.136349
1.0,41,0.137503
0.0,10,0.137851
