#{"t_start": 1522620257.0587776, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.037223
0.0,5,0.037706
0.0,9,0.038415
0.0,26,0.040275
0.0,25,0.042077
0.0,5,0.042524
0.0,24,0.044258
0.0,21,0.045804
0.0,100,0.05036
0.0,100,0.054908
0.0,17,0.055753
0.0,4,0.056001
0.0,9,0.056474
0.0,12,0.057094
0.0,44,0.059139
0.0,32,0.060641
0.0,44,0.062696
0.0,4,0.062946
0.0,19,0.063872
0.0,65,0.066869
0.0,16,0.067659
0.0,43,0.06966
0.0,28,0.070984
0.0,73,0.074312
0.0,4,0.074563
0.0,10,0.075102
0.0,13,0.075768
0.0,69,0.078928
0.0,17,0.079764
0.0,72,0.083048
1.0,13,0.083708
0.0,67,0.086795
0.0,3,0.087001
0.0,16,0.087794
0.0,10,0.088308
0.0,4,0.088556
0.0,10,0.089077
0.0,53,0.091515
0.0,9,0.091998
0.0,75,0.095426
0.0,51,0.097794
0.0,6,0.098132
0.0,6,0.098468
1.0,20,0.099429
0.0,6,0.099775
0.0,5,0.100071
1.0,31,0.101515
0.0,12,0.102131
0.0,43,0.104131
0.0,15,0.104877
0.0,8,0.105304
0.0,47,0.107476
0.0,8,0.107917
0.0,12,0.108521
1.0,56,0.111084
0.0,5,0.111379
0.0,62,0.11423
0.0,6,0.114571
0.0,15,0.115314
0.0,13,0.11598
0.0,6,0.116323
0.0,19,0.117241
1.0,10,0.117769
0.0,14,0.118459
0.0,26,0.119706
0.0,29,0.121067
1.0,38,0.122848
0.0,8,0.123269
0.0,19,0.12419
0.0,6,0.12453
0.0,35,0.126175
0.0,28,0.127489
0.0,14,0.128192
1.0,19,0.129115
0.0,15,0.129861
0.0,25,0.131054
0.0,16,0.131845
0.0,11,0.132406
0.0,47,0.134571
0.0,3,0.134786
0.0,20,0.135764
0.0,11,0.136324
0.0,25,0.137505
0.0,6,0.137915
0.0,4,0.138163
0.0,14,0.138858
0.0,51,0.141217
1.0,24,0.142357
0.0,3,0.142564
0.0,15,0.143322
0.0,8,0.143763
0.0,9,0.144238
0.0,27,0.145518
0.0,32,0.147048
0.0,36,0.148742
0.0,68,0.151869
0.0,25,0.153064
0.0,6,0.153402
1.0,21,0.154422
0.0,11,0.154993
0.0,8,0.155416
0.0,14,0.156118
0.0,19,0.157038
0.0,54,0.159522
0.0,15,0.160271
0.0,11,0.16084
0.0,24,0.161989
0.0,70,0.165194
1.0,20,0.166176
0.0,13,0.166836
0.0,20,0.167804
0.0,18,0.168685
0.0,12,0.169287
0.0,4,0.169535
0.0,24,0.170688
0.0,7,0.171068
0.0,4,0.171318
0.0,8,0.171752
0.0,4,0.172003
0.0,17,0.172841
0.0,21,0.173852
0.0,9,0.174322
0.0,5,0.174613
0.0,12,0.175223
0.0,23,0.176328
0.0,27,0.177606
0.0,7,0.177996
0.0,15,0.178746
0.0,8,0.179173
0.0,18,0.180046
0.0,15,0.1808
1.0,28,0.182122
0.0,4,0.182367
0.0,9,0.182845
0.0,5,0.183139
0.0,13,0.183793
0.0,68,0.186897
0.0,10,0.187412
0.0,3,0.187613
0.0,8,0.188048
0.0,14,0.188743
0.0,22,0.189798
0.0,30,0.191193
0.0,3,0.191396
0.0,11,0.191965
0.0,19,0.192887
0.0,50,0.195192
0.0,20,0.196164
0.0,8,0.196592
0.0,2,0.196762
0.0,18,0.197627
0.0,16,0.198418
0.0,4,0.198677
0.0,9,0.199146
0.0,17,0.199979
0.0,11,0.200534
0.0,8,0.200973
0.0,22,0.202022
0.0,7,0.202401
0.0,7,0.202799
0.0,6,0.203133
0.0,4,0.203382
0.0,9,0.203858
0.0,6,0.204193
0.0,7,0.204573
0.0,13,0.20523
1.0,22,0.206289
0.0,38,0.208062
0.0,24,0.209213
0.0,13,0.209869
0.0,44,0.211912
0.0,14,0.212605
0.0,7,0.212995
0.0,3,0.213198
0.0,22,0.21425
0.0,42,0.216203
0.0,59,0.2189
0.0,23,0.220004
0.0,2,0.220166
0.0,8,0.22059
0.0,34,0.22219
0.0,3,0.222396
0.0,13,0.223054
0.0,19,0.223973
1.0,16,0.224761
0.0,29,0.226128
0.0,8,0.226562
0.0,2,0.226731
1.0,10,0.22725
0.0,12,0.227861
0.0,15,0.228596
0.0,56,0.231168
0.0,82,0.234911
1.0,43,0.23691
0.0,9,0.237382
0.0,45,0.239465
0.0,8,0.239963
0.0,11,0.240525
1.0,32,0.242028
0.0,23,0.243121
0.0,10,0.243635
0.0,26,0.244885
1.0,27,0.246166
0.0,13,0.246824
0.0,3,0.247027
0.0,28,0.248343
0.0,16,0.249132
0.0,12,0.249747
0.0,15,0.250486
0.0,3,0.250701
0.0,29,0.25206
0.0,11,0.252619
0.0,2,0.252788
1.0,16,0.253567
0.0,5,0.253872
0.0,40,0.255749
0.0,39,0.25756
1.0,44,0.259605
0.0,5,0.25991
0.0,3,0.260113
0.0,26,0.261339
0.0,40,0.263197
0.0,14,0.263903
0.0,32,0.265406
0.0,3,0.265612
1.0,25,0.266813
0.0,80,0.270465
0.0,6,0.270813
0.0,21,0.271829
0.0,14,0.272522
0.0,23,0.273616
0.0,20,0.274587
0.0,19,0.275513
0.0,39,0.277344
0.0,32,0.27886
0.0,16,0.27964
0.0,11,0.280205
0.0,44,0.282245
0.0,19,0.283169
0.0,6,0.283507
0.0,24,0.284655
0.0,33,0.286202
1.0,6,0.286536
0.0,26,0.287802
0.0,10,0.288313
0.0,14,0.289019
0.0,10,0.289533
0.0,96,0.293909
0.0,21,0.294924
1.0,13,0.295574
0.0,27,0.296868
0.0,19,0.297794
0.0,35,0.299421
0.0,2,0.299583
0.0,12,0.300198
1.0,21,0.30121
0.0,7,0.301589
0.0,12,0.302201
0.0,30,0.303603
0.0,26,0.304842
0.0,50,0.307154
0.0,9,0.307624
0.0,52,0.310016
0.0,2,0.310177
1.0,32,0.311678
0.0,12,0.312278
0.0,12,0.312886
0.0,36,0.314565
0.0,7,0.314961
0.0,35,0.316591
0.0,5,0.316905
0.0,88,0.320912
0.0,35,0.322544
0.0,19,0.323465
0.0,11,0.324032
0.0,19,0.32496
0.0,50,0.327278
0.0,19,0.328205
0.0,13,0.328867
0.0,10,0.329382
0.0,9,0.329862
0.0,5,0.330156
0.0,9,0.33062
0.0,10,0.331141
0.0,4,0.331389
1.0,10,0.331916
0.0,21,0.33292
0.0,5,0.333214
0.0,17,0.334044
0.0,17,0.33488
0.0,32,0.336384
1.0,17,0.337215
0.0,100,0.341743
0.0,37,0.343516
0.0,33,0.345068
0.0,100,0.349597
0.0,12,0.350208
0.0,76,0.353658
0.0,15,0.354389
0.0,9,0.354869
0.0,13,0.355509
1.0,16,0.356306
0.0,8,0.356739
0.0,10,0.357251
0.0,43,0.359224
1.0,18,0.360102
0.0,2,0.360262
0.0,10,0.360782
0.0,64,0.363696
0.0,15,0.364425
0.0,5,0.364732
0.0,42,0.366675
0.0,25,0.367856
1.0,19,0.368774
1.0,14,0.369463
0.0,16,0.370254
0.0,4,0.370501
0.0,14,0.371198
0.0,7,0.371578
0.0,11,0.372147
0.0,12,0.372756
0.0,2,0.372913
0.0,10,0.373424
1.0,12,0.374031
0.0,33,0.375556
0.0,8,0.376
0.0,6,0.376338
0.0,7,0.376728
0.0,19,0.377643
0.0,100,0.382186
0.0,16,0.382974
0.0,22,0.384027
0.0,91,0.388151
0.0,10,0.388677
0.0,4,0.388927
0.0,80,0.392551
0.0,10,0.393081
0.0,7,0.393468
0.0,46,0.395578
0.0,34,0.397169
0.0,23,0.398268
