#{"t_start": 1522622100.7928169, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.038912
0.0,6,0.039463
0.0,7,0.040052
0.0,7,0.040646
0.0,6,0.041163
0.0,3,0.04147
0.0,3,0.04178
0.0,10,0.042573
0.0,8,0.043223
0.0,2,0.04346
0.0,13,0.044444
0.0,15,0.045556
0.0,11,0.04641
0.0,68,0.049759
0.0,37,0.051469
0.0,9,0.05194
0.0,18,0.052806
0.0,52,0.055198
1.0,13,0.055845
1.0,43,0.057833
0.0,17,0.058666
0.0,46,0.060781
0.0,9,0.061264
1.0,13,0.061907
0.0,28,0.063229
1.0,19,0.064153
0.0,3,0.064358
0.0,14,0.065062
0.0,10,0.065575
0.0,5,0.065866
0.0,12,0.066477
1.0,20,0.067446
0.0,57,0.070067
1.0,34,0.071645
0.0,10,0.072171
0.0,12,0.072776
0.0,2,0.072937
0.0,18,0.073815
1.0,26,0.075055
0.0,17,0.075872
0.0,20,0.076844
1.0,7,0.077243
1.0,53,0.079664
0.0,5,0.079959
0.0,6,0.080301
0.0,36,0.081967
1.0,27,0.083246
0.0,25,0.084435
0.0,7,0.084814
0.0,6,0.08516
1.0,20,0.086123
0.0,8,0.086548
0.0,17,0.087388
0.0,12,0.087997
1.0,6,0.088333
0.0,4,0.088581
1.0,12,0.089191
0.0,24,0.090343
0.0,16,0.091136
0.0,14,0.091834
1.0,30,0.093248
1.0,18,0.094127
0.0,17,0.094948
0.0,19,0.095858
1.0,11,0.096428
0.0,4,0.096676
0.0,27,0.09796
0.0,11,0.098538
0.0,4,0.098788
0.0,2,0.098947
1.0,26,0.10018
0.0,2,0.100342
1.0,17,0.10117
0.0,12,0.101771
1.0,43,0.103761
0.0,2,0.10392
0.0,2,0.104086
0.0,16,0.104863
0.0,8,0.105303
0.0,11,0.105863
0.0,59,0.108571
0.0,13,0.10923
0.0,45,0.111301
0.0,2,0.111463
0.0,14,0.112166
0.0,33,0.113696
0.0,19,0.114617
0.0,10,0.115142
0.0,12,0.115743
1.0,14,0.116445
0.0,13,0.117107
0.0,5,0.117403
1.0,34,0.118971
0.0,22,0.120028
0.0,39,0.121831
0.0,13,0.122487
0.0,9,0.122955
0.0,49,0.125224
0.0,2,0.125383
0.0,8,0.125809
0.0,32,0.127316
0.0,4,0.127567
0.0,33,0.129107
0.0,11,0.129667
0.0,5,0.129963
1.0,17,0.13079
0.0,17,0.131621
1.0,24,0.132766
0.0,43,0.134747
0.0,8,0.135185
1.0,7,0.135562
0.0,4,0.135808
0.0,10,0.136333
0.0,2,0.136493
0.0,8,0.136917
0.0,33,0.138466
0.0,21,0.139557
0.0,19,0.140486
1.0,11,0.141059
0.0,2,0.141217
0.0,6,0.14155
0.0,9,0.14203
1.0,10,0.142542
1.0,20,0.143509
1.0,34,0.145098
0.0,49,0.147376
0.0,8,0.147806
0.0,19,0.148726
0.0,31,0.150183
0.0,2,0.150343
0.0,22,0.151395
0.0,12,0.152008
0.0,14,0.152699
0.0,6,0.153046
0.0,10,0.153558
0.0,13,0.154217
0.0,9,0.154686
0.0,7,0.155075
1.0,20,0.156041
0.0,3,0.156244
0.0,10,0.156758
0.0,4,0.15702
1.0,47,0.159174
1.0,16,0.159952
1.0,16,0.160737
0.0,5,0.161042
0.0,17,0.161865
0.0,19,0.162785
0.0,14,0.163489
1.0,8,0.163914
0.0,11,0.164478
0.0,61,0.167275
0.0,5,0.167569
1.0,21,0.168575
1.0,26,0.169808
0.0,8,0.170245
0.0,8,0.170667
0.0,3,0.170875
0.0,3,0.17109
1.0,18,0.171955
0.0,7,0.172345
0.0,6,0.17268
0.0,3,0.172884
1.0,14,0.173587
0.0,15,0.17433
0.0,22,0.175382
0.0,21,0.176394
0.0,15,0.177144
0.0,7,0.177524
1.0,28,0.178841
1.0,14,0.179547
0.0,5,0.17984
0.0,14,0.180541
0.0,21,0.181548
1.0,14,0.182255
0.0,25,0.183442
1.0,28,0.184756
0.0,17,0.185597
0.0,5,0.185891
0.0,58,0.188549
0.0,40,0.190403
0.0,7,0.190788
1.0,13,0.191446
0.0,9,0.191915
0.0,17,0.192742
0.0,14,0.193443
0.0,12,0.194055
0.0,33,0.19559
1.0,23,0.19668
0.0,27,0.197958
0.0,37,0.199682
0.0,25,0.200863
1.0,17,0.201698
0.0,9,0.202181
0.0,12,0.202778
0.0,7,0.203171
1.0,10,0.203686
1.0,15,0.204427
0.0,21,0.205433
0.0,7,0.205821
0.0,6,0.206169
0.0,32,0.207669
