#{"t_start": 1522620371.779451, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.009523
0.0,2,0.009656
0.0,2,0.009775
0.0,11,0.010124
0.0,17,0.010585
0.0,5,0.010767
0.0,31,0.011557
0.0,6,0.011763
0.0,8,0.012025
0.0,12,0.012366
0.0,10,0.012664
0.0,4,0.012828
0.0,6,0.013044
1.0,26,0.013708
0.0,20,0.014255
0.0,19,0.014756
0.0,14,0.015152
0.0,38,0.016098
0.0,35,0.016959
0.0,1,0.017056
1.0,57,0.018425
0.0,12,0.018768
1.0,12,0.019131
0.0,16,0.019555
0.0,3,0.019693
0.0,12,0.02005
0.0,15,0.02047
0.0,29,0.021214
0.0,8,0.021468
1.0,12,0.021801
0.0,17,0.022263
0.0,2,0.022374
0.0,9,0.022641
0.0,3,0.022779
0.0,15,0.023218
0.0,1,0.023303
0.0,1,0.023387
0.0,53,0.024676
0.0,18,0.025166
0.0,23,0.025779
0.0,21,0.026344
0.0,13,0.026717
1.0,6,0.026919
0.0,24,0.02754
0.0,1,0.027627
0.0,16,0.028079
0.0,18,0.028546
1.0,24,0.029183
0.0,3,0.029317
0.0,1,0.029399
1.0,12,0.029738
1.0,19,0.030255
0.0,11,0.030589
0.0,11,0.030903
0.0,17,0.031364
0.0,13,0.031745
0.0,1,0.031828
1.0,11,0.032164
0.0,7,0.03239
0.0,31,0.033205
0.0,7,0.033429
0.0,3,0.033563
0.0,7,0.033787
1.0,24,0.03443
0.0,2,0.034542
0.0,3,0.034682
0.0,26,0.035352
0.0,12,0.035694
0.0,7,0.035931
0.0,16,0.036378
0.0,17,0.036834
0.0,18,0.037329
0.0,15,0.037734
0.0,22,0.038308
0.0,23,0.038911
0.0,24,0.039532
0.0,19,0.040036
0.0,15,0.040459
0.0,30,0.041227
0.0,13,0.041597
0.0,17,0.042054
0.0,2,0.042176
0.0,19,0.042674
0.0,13,0.043046
0.0,13,0.043405
0.0,46,0.044544
0.0,11,0.04486
0.0,6,0.045079
0.0,4,0.045248
1.0,17,0.045709
1.0,35,0.046585
0.0,6,0.046804
0.0,11,0.047136
0.0,16,0.047581
0.0,2,0.04769
0.0,5,0.04787
0.0,10,0.048188
0.0,15,0.048609
0.0,9,0.048887
0.0,5,0.049085
0.0,2,0.049204
0.0,3,0.049339
0.0,14,0.049734
0.0,37,0.050685
0.0,16,0.051136
0.0,17,0.051585
0.0,12,0.051941
1.0,11,0.052277
1.0,12,0.052617
0.0,23,0.053223
0.0,16,0.053668
1.0,21,0.054243
0.0,10,0.054544
0.0,6,0.054744
0.0,3,0.054875
0.0,5,0.055069
0.0,23,0.05566
0.0,12,0.056011
0.0,4,0.05619
0.0,3,0.056324
0.0,13,0.056679
0.0,48,0.057825
0.0,16,0.058275
1.0,19,0.058763
0.0,28,0.059476
0.0,17,0.05995
0.0,27,0.060644
0.0,2,0.060758
1.0,20,0.061294
0.0,34,0.062143
1.0,23,0.062738
0.0,4,0.062899
0.0,57,0.064321
0.0,4,0.064493
0.0,14,0.064881
0.0,8,0.065141
1.0,54,0.066491
0.0,2,0.06661
1.0,33,0.067466
0.0,8,0.067727
0.0,11,0.068066
0.0,14,0.06847
0.0,5,0.06866
0.0,52,0.069951
0.0,10,0.070266
0.0,10,0.070577
0.0,32,0.071411
0.0,4,0.071578
0.0,7,0.071822
0.0,11,0.072155
0.0,18,0.07265
0.0,5,0.07283
0.0,15,0.073272
0.0,4,0.073432
0.0,35,0.074328
1.0,25,0.074975
1.0,27,0.07567
0.0,19,0.076197
1.0,33,0.07704
1.0,36,0.077943
0.0,9,0.078245
1.0,13,0.078626
