#{"t_start": 1522661519.8390644, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.002274
0.0,4,0.002657
0.0,7,0.003267
0.0,4,0.003644
0.0,4,0.004022
0.0,42,0.007016
0.0,6,0.007545
0.0,18,0.008882
0.0,8,0.00951
0.0,4,0.009765
0.0,8,0.010193
0.0,18,0.011086
0.0,8,0.011538
1.0,48,0.013786
0.0,8,0.014223
0.0,6,0.014568
0.0,34,0.016184
0.0,10,0.016715
1.0,21,0.017743
0.0,16,0.018545
0.0,22,0.019624
0.0,23,0.020743
0.0,14,0.021456
0.0,17,0.022307
0.0,26,0.023558
1.0,16,0.024367
0.0,30,0.025801
0.0,15,0.026566
0.0,36,0.028269
0.0,17,0.029104
0.0,28,0.030465
0.0,13,0.031123
0.0,12,0.031743
0.0,26,0.032996
0.0,17,0.033841
0.0,36,0.035554
0.0,16,0.036365
0.0,29,0.03776
0.0,78,0.041371
1.0,27,0.042663
0.0,42,0.044644
1.0,37,0.0464
0.0,22,0.047472
0.0,7,0.047859
0.0,21,0.048892
0.0,3,0.049098
0.0,17,0.04995
0.0,36,0.051659
0.0,18,0.052551
0.0,16,0.05335
0.0,29,0.054733
0.0,12,0.055358
0.0,5,0.055654
0.0,6,0.055995
0.0,20,0.056976
0.0,28,0.058329
0.0,43,0.060346
1.0,32,0.061864
1.0,15,0.062618
0.0,26,0.063873
0.0,1,0.063987
0.0,21,0.065015
0.0,5,0.065323
0.0,6,0.065663
0.0,20,0.066639
0.0,17,0.067489
0.0,13,0.068144
0.0,16,0.068948
0.0,1,0.069065
1.0,30,0.070509
0.0,38,0.072305
0.0,43,0.074328
1.0,20,0.075308
0.0,4,0.075563
0.0,9,0.07604
0.0,23,0.077162
0.0,13,0.077833
0.0,21,0.078864
1.0,13,0.079539
1.0,19,0.080481
0.0,12,0.08109
1.0,18,0.08198
0.0,34,0.083598
0.0,1,0.083713
0.0,15,0.084472
1.0,23,0.085597
0.0,12,0.086205
0.0,4,0.086468
0.0,2,0.08663
0.0,12,0.087255
0.0,6,0.0876
1.0,30,0.089021
0.0,14,0.089734
0.0,5,0.090031
0.0,1,0.090146
0.0,5,0.090452
0.0,14,0.091157
0.0,32,0.092693
0.0,8,0.093128
0.0,7,0.093525
0.0,33,0.095083
0.0,27,0.096387
0.0,11,0.096953
0.0,1,0.097068
0.0,9,0.097556
0.0,2,0.097719
1.0,27,0.099015
0.0,8,0.09947
1.0,9,0.099948
0.0,9,0.100433
0.0,8,0.100865
0.0,13,0.101529
0.0,13,0.102189
0.0,8,0.102691
0.0,8,0.10312
0.0,7,0.103518
1.0,10,0.104039
0.0,16,0.104842
0.0,59,0.107601
0.0,4,0.107852
1.0,14,0.108569
