#{"t_start": 1522663861.3115997, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.034059
0.0,2,0.034348
0.0,1,0.034518
0.0,6,0.035023
0.0,1,0.03519
0.0,6,0.03563
0.0,12,0.036246
0.0,29,0.03761
0.0,11,0.038168
0.0,6,0.038517
0.0,11,0.039073
0.0,14,0.039769
0.0,16,0.04056
0.0,30,0.041968
0.0,10,0.042495
0.0,20,0.043458
0.0,7,0.04384
0.0,19,0.044755
0.0,27,0.046042
0.0,2,0.046204
0.0,11,0.046772
0.0,6,0.047105
0.0,17,0.047931
0.0,3,0.048135
0.0,15,0.048876
0.0,27,0.050153
0.0,1,0.050278
0.0,4,0.050527
0.0,22,0.051582
0.0,7,0.051967
0.0,6,0.052311
0.0,21,0.053319
0.0,8,0.053742
0.0,30,0.055145
0.0,5,0.055457
0.0,44,0.057492
0.0,16,0.058286
0.0,28,0.059602
0.0,48,0.061811
0.0,10,0.062334
0.0,4,0.062581
0.0,11,0.063138
0.0,8,0.063576
0.0,3,0.063778
0.0,2,0.063935
0.0,8,0.064372
0.0,8,0.064799
0.0,1,0.064911
0.0,17,0.065747
0.0,4,0.065996
0.0,20,0.066955
0.0,3,0.067158
0.0,4,0.067418
0.0,18,0.068293
0.0,9,0.068765
0.0,8,0.069185
0.0,13,0.069835
0.0,1,0.06995
0.0,7,0.070339
0.0,3,0.070544
0.0,3,0.070745
0.0,10,0.071272
0.0,4,0.071524
0.0,13,0.07217
0.0,1,0.072291
0.0,13,0.072935
0.0,5,0.073225
0.0,1,0.073347
0.0,7,0.073725
0.0,4,0.073975
0.0,1,0.074089
0.0,3,0.074302
0.0,3,0.074506
0.0,1,0.074623
0.0,14,0.075331
0.0,4,0.075578
0.0,9,0.076051
0.0,6,0.0764
0.0,10,0.076914
0.0,5,0.077204
0.0,56,0.079766
0.0,2,0.079929
0.0,11,0.080501
0.0,7,0.080879
0.0,3,0.081083
0.0,13,0.081741
0.0,1,0.081854
1.0,35,0.083487
0.0,30,0.084888
0.0,1,0.085004
0.0,20,0.085965
0.0,33,0.087505
0.0,18,0.088378
0.0,6,0.088712
0.0,2,0.088868
0.0,2,0.089025
0.0,17,0.089851
0.0,19,0.090769
0.0,20,0.09173
0.0,13,0.092383
0.0,19,0.093307
0.0,5,0.093596
0.0,4,0.093844
0.0,4,0.094091
0.0,26,0.095332
0.0,22,0.096379
0.0,8,0.096801
0.0,3,0.097008
0.0,45,0.099074
0.0,2,0.099245
0.0,13,0.099888
0.0,7,0.100276
0.0,1,0.100391
0.0,17,0.101206
0.0,8,0.101641
0.0,43,0.103627
0.0,13,0.104282
0.0,6,0.104619
0.0,6,0.104951
0.0,21,0.105956
0.0,4,0.106204
0.0,13,0.106856
0.0,4,0.107103
0.0,13,0.107754
0.0,9,0.108222
0.0,21,0.109224
0.0,18,0.110103
0.0,5,0.110405
0.0,8,0.110829
0.0,6,0.111166
0.0,9,0.111643
0.0,8,0.112065
0.0,11,0.112627
1.0,18,0.113501
0.0,22,0.114549
0.0,2,0.114709
0.0,8,0.115133
0.0,1,0.115263
0.0,6,0.115597
0.0,1,0.115709
0.0,14,0.116403
0.0,4,0.116655
0.0,22,0.117706
0.0,17,0.118534
0.0,13,0.119178
0.0,1,0.119299
0.0,6,0.119633
0.0,12,0.120246
0.0,5,0.120538
0.0,5,0.120829
0.0,6,0.121166
0.0,5,0.121466
0.0,6,0.121801
0.0,1,0.121912
0.0,23,0.123004
0.0,5,0.123312
0.0,28,0.124627
0.0,10,0.125136
0.0,22,0.126189
0.0,10,0.126713
0.0,1,0.126826
0.0,5,0.127115
0.0,15,0.127857
0.0,12,0.128471
0.0,5,0.128762
0.0,5,0.129051
0.0,2,0.129208
0.0,1,0.129328
0.0,14,0.130014
0.0,25,0.131193
0.0,24,0.132338
0.0,14,0.133025
0.0,17,0.133854
0.0,1,0.134025
0.0,1,0.134144
0.0,28,0.135489
0.0,10,0.136001
0.0,14,0.1367
0.0,29,0.138061
0.0,6,0.138408
0.0,6,0.138746
0.0,5,0.139034
0.0,3,0.13925
0.0,16,0.14002
0.0,1,0.140134
0.0,5,0.140436
0.0,11,0.140992
0.0,2,0.141149
0.0,6,0.141497
0.0,7,0.141876
0.0,3,0.142077
0.0,9,0.142553
0.0,10,0.143068
0.0,2,0.143225
0.0,3,0.143436
0.0,1,0.143548
0.0,1,0.143661
0.0,1,0.143771
0.0,5,0.14406
0.0,10,0.14458
0.0,6,0.144914
0.0,3,0.145115
1.0,13,0.145783
0.0,9,0.146257
0.0,7,0.14664
0.0,9,0.147104
0.0,24,0.148252
0.0,13,0.148893
0.0,21,0.1499
0.0,3,0.150101
0.0,15,0.150838
0.0,8,0.151272
0.0,30,0.152675
0.0,8,0.153097
0.0,16,0.153884
0.0,29,0.155258
0.0,5,0.15555
0.0,1,0.155664
0.0,1,0.155775
0.0,3,0.155978
0.0,13,0.156633
0.0,10,0.157142
0.0,4,0.1574
0.0,6,0.157733
0.0,1,0.157846
0.0,11,0.158413
0.0,6,0.158748
0.0,7,0.159125
1.0,8,0.159559
0.0,6,0.159893
0.0,5,0.160182
0.0,4,0.160439
0.0,2,0.160598
0.0,11,0.161156
0.0,6,0.161512
0.0,13,0.162153
0.0,13,0.162803
0.0,11,0.163378
0.0,17,0.164191
0.0,8,0.164627
0.0,8,0.165054
0.0,10,0.165583
0.0,6,0.165922
0.0,3,0.166126
0.0,3,0.166342
0.0,4,0.166589
0.0,1,0.166703
0.0,2,0.166879
0.0,7,0.167268
0.0,10,0.167778
0.0,1,0.16789
0.0,21,0.1689
0.0,3,0.169106
0.0,4,0.169367
0.0,36,0.171034
0.0,4,0.171293
0.0,57,0.173887
0.0,18,0.174765
0.0,7,0.175148
0.0,7,0.175547
0.0,5,0.175839
0.0,13,0.176497
0.0,8,0.17692
0.0,21,0.177921
0.0,2,0.17808
0.0,7,0.178468
0.0,1,0.178584
0.0,12,0.17918
0.0,3,0.179396
0.0,20,0.180355
0.0,22,0.181412
0.0,7,0.181791
0.0,21,0.182795
1.0,13,0.183449
0.0,6,0.183788
0.0,4,0.184034
0.0,13,0.184685
0.0,6,0.185023
0.0,5,0.185338
0.0,15,0.186073
0.0,1,0.186185
0.0,1,0.186306
0.0,2,0.186466
0.0,5,0.186757
0.0,4,0.187006
0.0,35,0.188648
0.0,7,0.189028
0.0,6,0.18937
0.0,4,0.189621
0.0,4,0.189867
0.0,1,0.189979
0.0,3,0.190184
0.0,22,0.19124
0.0,16,0.192017
0.0,16,0.192804
0.0,6,0.193142
0.0,9,0.193625
0.0,7,0.19401
0.0,2,0.194169
0.0,35,0.195802
0.0,6,0.196145
0.0,23,0.197248
0.0,9,0.197719
0.0,4,0.197965
0.0,1,0.198079
0.0,19,0.198992
0.0,12,0.199606
0.0,6,0.199943
0.0,8,0.200381
0.0,5,0.200675
0.0,11,0.201244
0.0,30,0.202643
0.0,8,0.20307
0.0,9,0.203545
0.0,7,0.203926
0.0,14,0.20462
0.0,29,0.205993
0.0,6,0.206341
0.0,2,0.206501
1.0,18,0.20737
0.0,2,0.207531
0.0,2,0.20769
0.0,5,0.207979
0.0,6,0.208327
0.0,3,0.208534
0.0,10,0.209043
0.0,19,0.209959
0.0,7,0.21035
0.0,7,0.210733
0.0,4,0.210978
0.0,4,0.211226
0.0,6,0.211572
0.0,6,0.211905
0.0,6,0.212254
0.0,7,0.212638
0.0,5,0.212931
0.0,7,0.213322
0.0,5,0.213617
0.0,39,0.21543
0.0,15,0.216163
0.0,22,0.217209
0.0,6,0.217553
0.0,20,0.218518
0.0,14,0.219212
0.0,18,0.220084
0.0,9,0.220568
0.0,8,0.220995
0.0,13,0.221683
0.0,4,0.221933
0.0,8,0.222365
0.0,10,0.222879
0.0,21,0.223895
0.0,5,0.224187
0.0,22,0.225251
0.0,27,0.226528
0.0,19,0.227452
0.0,4,0.227702
0.0,15,0.228443
0.0,34,0.230021
0.0,5,0.230325
0.0,2,0.230487
