#{"t_start": 1522626187.5101671, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,41,0.249796
0.0,28,0.251229
0.0,29,0.252651
0.0,100,0.257364
0.0,8,0.257809
0.0,5,0.258124
0.0,40,0.260025
0.0,20,0.261029
0.0,21,0.262084
0.0,27,0.26341
0.0,8,0.26385
0.0,17,0.264722
0.0,38,0.26656
0.0,23,0.267702
0.0,16,0.268517
0.0,17,0.269381
0.0,13,0.270059
0.0,6,0.27041
0.0,2,0.270573
0.0,5,0.270874
0.0,3,0.271094
0.0,14,0.27181
0.0,62,0.274762
0.0,11,0.275351
0.0,10,0.275888
0.0,11,0.27648
0.0,46,0.278709
0.0,10,0.279258
0.0,100,0.283937
0.0,10,0.284489
0.0,88,0.288633
0.0,14,0.289362
0.0,2,0.289527
0.0,10,0.290069
0.0,13,0.290739
0.0,6,0.291096
0.0,25,0.29233
0.0,8,0.292773
0.0,15,0.293555
0.0,35,0.295254
0.0,26,0.296539
1.0,49,0.298869
0.0,20,0.299871
0.0,12,0.300507
0.0,23,0.301645
0.0,5,0.30195
0.0,4,0.302213
0.0,45,0.304373
0.0,31,0.305878
0.0,66,0.308995
0.0,62,0.311967
0.0,23,0.313113
0.0,9,0.313605
0.0,3,0.313817
0.0,10,0.31437
0.0,78,0.318033
0.0,46,0.320248
0.0,35,0.321937
0.0,85,0.325929
0.0,53,0.328461
0.0,18,0.329369
0.0,9,0.32986
0.0,55,0.332465
0.0,100,0.33718
0.0,15,0.337944
1.0,18,0.33885
0.0,9,0.339343
0.0,73,0.342781
0.0,39,0.344675
0.0,11,0.345265
0.0,21,0.346312
0.0,17,0.347173
0.0,40,0.349097
0.0,6,0.349509
1.0,29,0.350924
0.0,23,0.352078
0.0,79,0.355795
1.0,32,0.357348
0.0,20,0.358346
0.0,31,0.359841
0.0,9,0.360333
0.0,34,0.361969
0.0,16,0.362785
0.0,9,0.363283
0.0,13,0.363953
0.0,7,0.364364
0.0,38,0.366194
1.0,37,0.367976
0.0,3,0.368195
0.0,10,0.36873
0.0,20,0.369729
1.0,12,0.370365
0.0,12,0.370986
0.0,39,0.372856
1.0,29,0.374291
0.0,11,0.374875
0.0,10,0.375414
0.0,6,0.375762
0.0,9,0.376256
1.0,44,0.378355
0.0,6,0.378707
0.0,37,0.380517
0.0,41,0.382488
0.0,13,0.383168
0.0,60,0.386026
0.0,14,0.386751
1.0,15,0.387519
0.0,31,0.389018
0.0,45,0.391168
0.0,14,0.391883
0.0,20,0.392883
1.0,18,0.393794
0.0,13,0.394485
0.0,38,0.396322
0.0,11,0.3969
0.0,27,0.398224
0.0,10,0.398756
0.0,10,0.399296
1.0,16,0.400114
0.0,32,0.401658
0.0,27,0.402973
0.0,3,0.403194
0.0,15,0.403954
0.0,37,0.405738
0.0,33,0.40734
0.0,10,0.407884
0.0,22,0.408975
0.0,72,0.412377
0.0,12,0.413009
0.0,29,0.414437
0.0,30,0.41589
0.0,47,0.418139
0.0,10,0.418673
0.0,13,0.419367
0.0,6,0.419715
0.0,10,0.42026
0.0,46,0.422451
0.0,17,0.423311
0.0,4,0.42357
0.0,7,0.423968
0.0,100,0.428667
0.0,19,0.429619
0.0,4,0.429879
0.0,19,0.43083
0.0,5,0.431144
0.0,85,0.435146
0.0,14,0.435863
0.0,17,0.436726
0.0,19,0.437682
0.0,12,0.43832
0.0,4,0.438579
0.0,7,0.438975
0.0,75,0.442501
0.0,58,0.445254
0.0,12,0.445882
0.0,7,0.446288
0.0,18,0.447198
0.0,48,0.449484
0.0,44,0.451667
0.0,65,0.45476
0.0,17,0.455627
0.0,25,0.456856
0.0,9,0.457353
0.0,16,0.458169
0.0,13,0.458846
0.0,74,0.462354
0.0,22,0.463447
0.0,16,0.464269
0.0,49,0.46662
0.0,44,0.468734
0.0,31,0.470243
0.0,3,0.470456
0.0,51,0.472872
1.0,32,0.474436
0.0,11,0.475021
0.0,53,0.477554
0.0,7,0.477949
0.0,19,0.478898
0.0,10,0.479443
0.0,37,0.481231
0.0,39,0.483104
0.0,11,0.483685
0.0,16,0.484507
0.0,5,0.48481
0.0,8,0.485261
0.0,5,0.485563
0.0,3,0.485774
0.0,3,0.485982
0.0,16,0.486797
0.0,7,0.487206
1.0,13,0.48788
0.0,15,0.488649
1.0,14,0.489417
0.0,17,0.490309
0.0,15,0.491092
0.0,15,0.491854
0.0,23,0.492991
