#{"t_start": 1522642953.5689106, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.03544
0.0,11,0.036067
0.0,9,0.036552
0.0,5,0.036846
0.0,100,0.04153
0.0,24,0.042696
0.0,67,0.045803
0.0,100,0.050374
0.0,16,0.05118
0.0,100,0.055794
0.0,21,0.056808
1.0,34,0.058399
0.0,7,0.058794
0.0,7,0.059178
0.0,25,0.060372
1.0,15,0.061127
0.0,12,0.061746
1.0,10,0.062262
0.0,5,0.062567
0.0,4,0.062815
0.0,26,0.064068
0.0,13,0.06473
0.0,27,0.066011
0.0,8,0.06644
0.0,24,0.067599
0.0,25,0.068803
0.0,7,0.069192
0.0,4,0.069441
0.0,8,0.069881
0.0,7,0.070265
0.0,5,0.070569
0.0,15,0.071306
0.0,4,0.071567
0.0,6,0.071904
0.0,14,0.072613
0.0,6,0.072955
0.0,31,0.074427
0.0,3,0.074645
0.0,20,0.075621
0.0,16,0.076405
0.0,37,0.078146
1.0,71,0.081395
1.0,41,0.083318
0.0,12,0.083948
0.0,26,0.085191
0.0,4,0.08544
0.0,13,0.086099
0.0,2,0.08626
1.0,23,0.087361
0.0,13,0.088027
0.0,61,0.090863
0.0,2,0.091027
0.0,27,0.092309
0.0,25,0.093524
0.0,100,0.098089
0.0,26,0.099335
0.0,43,0.101357
0.0,24,0.102526
0.0,29,0.103905
0.0,42,0.105876
0.0,8,0.106302
0.0,9,0.106786
0.0,8,0.107214
0.0,8,0.107656
0.0,10,0.108172
1.0,23,0.109272
0.0,42,0.111246
0.0,17,0.112085
1.0,15,0.112841
0.0,6,0.113181
0.0,6,0.113535
1.0,13,0.114184
1.0,37,0.115907
0.0,30,0.117336
1.0,18,0.118224
1.0,6,0.118576
0.0,32,0.120085
1.0,12,0.120706
0.0,27,0.12199
0.0,27,0.123269
1.0,46,0.125401
0.0,14,0.126114
0.0,3,0.126323
0.0,16,0.127112
0.0,17,0.127953
1.0,14,0.128657
1.0,31,0.130116
0.0,48,0.132334
1.0,22,0.133391
1.0,33,0.134961
0.0,71,0.138229
0.0,78,0.141937
0.0,8,0.142369
0.0,43,0.144366
0.0,15,0.145115
0.0,19,0.146042
0.0,9,0.146527
0.0,90,0.150634
0.0,20,0.151608
0.0,19,0.152539
0.0,9,0.153013
0.0,6,0.153349
1.0,23,0.154456
0.0,6,0.154805
0.0,4,0.155055
1.0,27,0.156341
0.0,54,0.158842
0.0,75,0.162264
0.0,7,0.162663
0.0,67,0.165734
0.0,19,0.166667
0.0,11,0.167232
1.0,10,0.167756
0.0,39,0.169581
0.0,66,0.17261
0.0,19,0.173547
0.0,13,0.174192
0.0,57,0.176812
0.0,9,0.177286
0.0,9,0.177764
1.0,38,0.179549
0.0,36,0.181226
0.0,20,0.182196
0.0,28,0.183543
0.0,7,0.183931
0.0,57,0.186564
0.0,34,0.188152
0.0,15,0.188902
0.0,74,0.192287
0.0,6,0.192642
0.0,57,0.195273
0.0,32,0.196782
1.0,18,0.197664
0.0,10,0.198176
0.0,15,0.198926
0.0,10,0.199444
1.0,12,0.200058
0.0,8,0.200495
0.0,37,0.202221
0.0,21,0.203234
0.0,89,0.207292
0.0,69,0.210466
1.0,29,0.211842
0.0,5,0.212137
0.0,100,0.216695
1.0,37,0.218429
0.0,5,0.218732
0.0,2,0.218892
0.0,4,0.219139
0.0,77,0.22266
0.0,100,0.22721
0.0,64,0.230145
0.0,93,0.234375
0.0,14,0.235084
0.0,50,0.237396
0.0,57,0.240006
0.0,36,0.2418
0.0,53,0.244241
0.0,2,0.244404
0.0,10,0.24493
0.0,14,0.245639
0.0,14,0.246333
0.0,72,0.249636
0.0,49,0.251899
0.0,26,0.253139
0.0,12,0.253761
0.0,8,0.254188
1.0,38,0.255958
0.0,11,0.256529
1.0,13,0.257177
0.0,10,0.257707
0.0,16,0.258495
0.0,18,0.259365
0.0,22,0.260429
0.0,59,0.263158
0.0,4,0.26341
0.0,72,0.266727
0.0,5,0.267022
0.0,89,0.271067
0.0,20,0.272035
0.0,46,0.274189
0.0,22,0.275263
0.0,18,0.276151
0.0,11,0.276723
0.0,9,0.277195
0.0,45,0.279279
0.0,11,0.279857
0.0,7,0.280239
0.0,16,0.281033
0.0,13,0.281699
0.0,23,0.282798
0.0,34,0.284401
0.0,33,0.285955
0.0,63,0.288851
0.0,37,0.290596
0.0,42,0.292559
1.0,36,0.29425
0.0,40,0.296121
1.0,15,0.296872
0.0,10,0.297388
0.0,6,0.297739
0.0,24,0.298889
0.0,18,0.299785
0.0,16,0.30058
0.0,27,0.301866
0.0,53,0.30432
0.0,12,0.304937
1.0,99,0.309449
0.0,59,0.31217
0.0,18,0.313057
0.0,6,0.313394
0.0,10,0.313926
0.0,17,0.314772
0.0,6,0.315114
1.0,40,0.316982
1.0,41,0.318906
0.0,38,0.320689
0.0,4,0.320941
0.0,20,0.321915
0.0,34,0.323525
0.0,29,0.324897
0.0,28,0.326223
0.0,36,0.327917
0.0,4,0.328166
0.0,9,0.328651
0.0,4,0.328902
0.0,9,0.329373
0.0,14,0.330078
1.0,27,0.331362
0.0,27,0.332656
0.0,35,0.334305
0.0,5,0.334617
0.0,30,0.336037
0.0,49,0.338301
0.0,8,0.338747
0.0,14,0.339443
0.0,4,0.339706
1.0,22,0.340765
0.0,10,0.341402
0.0,72,0.34471
0.0,24,0.345862
0.0,11,0.346429
0.0,8,0.346888
0.0,45,0.348974
0.0,16,0.349766
0.0,13,0.350413
0.0,19,0.351343
0.0,17,0.352184
1.0,11,0.352756
0.0,53,0.355194
0.0,37,0.356934
0.0,18,0.35781
0.0,3,0.358016
0.0,100,0.362581
0.0,11,0.36315
0.0,9,0.363641
0.0,9,0.36411
0.0,20,0.36508
0.0,63,0.36798
1.0,37,0.36971
0.0,6,0.37005
0.0,7,0.370433
0.0,34,0.372033
0.0,22,0.373091
0.0,32,0.374606
0.0,2,0.374766
0.0,6,0.375102
1.0,22,0.376163
0.0,54,0.378675
0.0,16,0.379459
0.0,3,0.37968
0.0,100,0.384196
0.0,49,0.386456
1.0,8,0.386895
0.0,18,0.387775
0.0,18,0.388658
1.0,10,0.389175
1.0,49,0.391412
1.0,41,0.393316
0.0,34,0.394917
0.0,16,0.395714
0.0,8,0.39614
1.0,16,0.396934
0.0,57,0.399562
0.0,11,0.400124
0.0,51,0.402471
0.0,48,0.404706
0.0,37,0.406428
0.0,50,0.408746
0.0,9,0.40922
0.0,14,0.409925
0.0,48,0.412142
0.0,4,0.412395
0.0,8,0.412831
0.0,20,0.413807
1.0,14,0.41451
0.0,30,0.415921
0.0,9,0.416388
1.0,64,0.419313
1.0,24,0.420458
0.0,14,0.421155
1.0,25,0.422347
0.0,35,0.424008
0.0,19,0.424944
0.0,15,0.425708
0.0,2,0.425869
0.0,5,0.426163
1.0,23,0.427262
1.0,25,0.428455
0.0,52,0.430862
0.0,34,0.432454
0.0,31,0.433927
0.0,18,0.434806
0.0,6,0.435145
0.0,40,0.437004
0.0,55,0.439539
0.0,7,0.43992
0.0,36,0.441612
0.0,38,0.443494
1.0,18,0.444367
0.0,5,0.444674
0.0,15,0.445415
0.0,100,0.449967
0.0,11,0.450544
1.0,13,0.451186
1.0,40,0.453048
0.0,9,0.453537
0.0,21,0.454551
0.0,9,0.455026
0.0,47,0.457199
0.0,13,0.457864
0.0,12,0.458466
0.0,21,0.459476
0.0,72,0.462768
1.0,43,0.464778
1.0,61,0.467602
0.0,7,0.467988
0.0,12,0.468606
0.0,2,0.468767
0.0,6,0.469104
0.0,6,0.469441
0.0,24,0.4706
0.0,11,0.471156
0.0,7,0.471546
0.0,26,0.472778
0.0,64,0.475724
0.0,51,0.478077
0.0,33,0.479634
0.0,15,0.48037
0.0,13,0.481028
0.0,43,0.483024
0.0,30,0.484448
1.0,8,0.484882
0.0,8,0.485304
1.0,41,0.487207
0.0,5,0.487519
1.0,43,0.489512
0.0,5,0.489805
1.0,17,0.490642
0.0,15,0.49138
0.0,6,0.491727
0.0,26,0.492952
0.0,51,0.495284
1.0,46,0.497396
1.0,22,0.498439
1.0,21,0.499441
0.0,5,0.499741
1.0,10,0.500247
0.0,21,0.501247
0.0,11,0.501813
0.0,10,0.502319
0.0,31,0.503783
0.0,85,0.507648
1.0,39,0.509454
0.0,100,0.514008
1.0,20,0.514978
0.0,13,0.515636
0.0,14,0.516325
0.0,6,0.516678
0.0,100,0.521202
0.0,16,0.521997
0.0,9,0.52247
1.0,43,0.524465
0.0,11,0.525034
0.0,11,0.525608
0.0,15,0.52634
0.0,6,0.526696
0.0,48,0.528916
1.0,50,0.531218
0.0,24,0.532356
0.0,19,0.533284
1.0,13,0.533952
0.0,62,0.536798
0.0,6,0.537138
0.0,22,0.538191
1.0,38,0.539971
0.0,3,0.540174
0.0,9,0.540656
0.0,54,0.543137
0.0,2,0.543431
0.0,40,0.545296
0.0,72,0.548594
0.0,5,0.548889
0.0,100,0.553423
0.0,19,0.554348
1.0,9,0.554829
0.0,10,0.555354
0.0,6,0.555702
0.0,27,0.556982
0.0,5,0.557275
0.0,73,0.56061
1.0,20,0.561577
0.0,5,0.561871
0.0,18,0.562747
0.0,28,0.564077
0.0,4,0.564325
1.0,85,0.568207
0.0,27,0.569499
0.0,17,0.570323
0.0,7,0.570721
0.0,18,0.571605
0.0,2,0.571766
0.0,11,0.572321
0.0,12,0.572935
1.0,6,0.573272
0.0,18,0.57415
0.0,4,0.574399
0.0,100,0.578922
0.0,32,0.580423
1.0,34,0.582023
1.0,45,0.584107
0.0,17,0.584946
1.0,40,0.586806
0.0,10,0.587322
0.0,2,0.587488
0.0,11,0.58805
1.0,11,0.588616
1.0,18,0.589497
0.0,5,0.589791
0.0,70,0.592986
0.0,26,0.594224
0.0,45,0.596311
0.0,11,0.596883
0.0,31,0.598341
0.0,18,0.599222
1.0,14,0.599926
1.0,38,0.601703
0.0,22,0.602765
0.0,7,0.603145
1.0,46,0.605273
0.0,50,0.607593
0.0,100,0.612097
0.0,24,0.613246
0.0,18,0.614132
0.0,48,0.616354
0.0,19,0.617274
0.0,48,0.619498
0.0,27,0.620777
0.0,91,0.624916
0.0,80,0.628553
1.0,9,0.629028
0.0,6,0.629366
0.0,28,0.630702
1.0,37,0.63243
0.0,40,0.634298
0.0,57,0.636931
0.0,8,0.637364
0.0,7,0.637761
0.0,14,0.638456
0.0,45,0.640551
1.0,13,0.641207
0.0,33,0.64276
1.0,15,0.643508
0.0,60,0.646363
0.0,12,0.646978
0.0,9,0.647446
0.0,44,0.649493
1.0,44,0.651541
0.0,24,0.652683
0.0,18,0.653567
0.0,6,0.653905
0.0,34,0.655492
0.0,64,0.658407
0.0,69,0.661566
0.0,12,0.662174
0.0,43,0.664166
0.0,14,0.664863
0.0,12,0.665504
0.0,33,0.667042
1.0,36,0.66872
0.0,7,0.669103
0.0,25,0.670289
0.0,22,0.671346
1.0,25,0.672548
0.0,100,0.677084
0.0,37,0.67881
0.0,18,0.679696
1.0,31,0.681145
0.0,10,0.681673
0.0,96,0.686032
0.0,33,0.687579
1.0,22,0.688628
0.0,8,0.689052
0.0,71,0.692283
1.0,8,0.692725
0.0,12,0.693326
0.0,30,0.694756
0.0,28,0.69607
0.0,100,0.700607
0.0,12,0.701215
0.0,24,0.702357
1.0,20,0.70332
0.0,19,0.704254
0.0,2,0.704414
0.0,47,0.706604
0.0,45,0.708694
0.0,100,0.713244
0.0,50,0.715563
1.0,53,0.718
0.0,16,0.718793
0.0,2,0.718954
0.0,6,0.719289
1.0,17,0.720129
0.0,36,0.721826
0.0,19,0.722752
0.0,23,0.72387
0.0,28,0.725191
0.0,27,0.726492
0.0,6,0.726833
0.0,3,0.727039
0.0,5,0.727332
0.0,20,0.728294
0.0,21,0.729303
0.0,3,0.729522
1.0,19,0.730437
0.0,59,0.73314
1.0,23,0.734249
0.0,7,0.734642
0.0,100,0.73917
0.0,42,0.741116
0.0,8,0.741557
0.0,6,0.741899
0.0,46,0.744042
1.0,23,0.745248
0.0,14,0.745959
1.0,10,0.746471
1.0,12,0.747083
0.0,58,0.749749
0.0,31,0.751209
1.0,15,0.751956
0.0,6,0.752295
0.0,11,0.752862
0.0,100,0.757393
0.0,20,0.758359
0.0,24,0.759518
0.0,12,0.760119
0.0,24,0.761262
0.0,19,0.762189
0.0,43,0.76419
1.0,54,0.766693
0.0,6,0.767033
0.0,19,0.767958
0.0,45,0.770032
1.0,8,0.770456
0.0,63,0.77333
0.0,34,0.774932
0.0,28,0.776247
0.0,18,0.777125
0.0,60,0.779871
0.0,26,0.781094
0.0,21,0.782104
0.0,5,0.782398
1.0,26,0.783642
0.0,43,0.785632
0.0,24,0.786773
0.0,13,0.787418
0.0,18,0.788297
1.0,14,0.788998
0.0,39,0.790812
0.0,22,0.791873
0.0,19,0.792792
0.0,22,0.79386
1.0,11,0.794421
1.0,18,0.7953
0.0,8,0.795738
0.0,50,0.798047
1.0,26,0.799281
