#{"t_start": 1522661989.777277, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,44,0.039052
0.0,7,0.039471
0.0,3,0.039675
0.0,30,0.041112
0.0,15,0.041868
0.0,26,0.043114
0.0,7,0.043496
0.0,7,0.043893
0.0,11,0.044456
0.0,22,0.045518
0.0,24,0.046674
0.0,15,0.04743
0.0,10,0.047961
0.0,12,0.048569
0.0,15,0.049329
0.0,16,0.05013
0.0,8,0.050555
0.0,32,0.052082
0.0,13,0.052732
0.0,3,0.052943
0.0,5,0.053236
0.0,3,0.053438
0.0,11,0.054008
0.0,21,0.055029
0.0,8,0.055462
0.0,5,0.055753
0.0,12,0.056365
0.0,7,0.056746
0.0,14,0.057447
1.0,6,0.057793
0.0,8,0.05822
0.0,2,0.058378
0.0,23,0.059491
1.0,10,0.060027
0.0,54,0.062506
0.0,45,0.064596
0.0,47,0.066797
0.0,6,0.067134
0.0,5,0.067425
0.0,9,0.067911
0.0,19,0.068845
0.0,6,0.069183
0.0,5,0.069473
0.0,19,0.070395
0.0,35,0.072044
0.0,16,0.072832
0.0,99,0.07735
0.0,3,0.077555
0.0,19,0.078478
0.0,32,0.079992
0.0,4,0.080246
0.0,6,0.080586
0.0,44,0.082647
0.0,16,0.083438
0.0,6,0.083788
0.0,11,0.084361
0.0,5,0.084656
0.0,11,0.085234
0.0,18,0.086121
0.0,3,0.086331
0.0,2,0.086489
0.0,24,0.087642
0.0,6,0.087998
0.0,12,0.088599
0.0,12,0.089217
0.0,5,0.089514
0.0,6,0.089867
0.0,3,0.090071
0.0,5,0.090367
0.0,32,0.091888
0.0,13,0.092542
0.0,6,0.092891
0.0,44,0.09494
0.0,19,0.09587
0.0,11,0.096428
0.0,34,0.098026
0.0,7,0.09841
0.0,11,0.098984
0.0,21,0.1
0.0,5,0.100296
0.0,37,0.102035
0.0,59,0.104749
0.0,2,0.104917
0.0,10,0.105428
0.0,17,0.106262
0.0,11,0.10684
0.0,19,0.10776
0.0,10,0.108284
0.0,14,0.108998
0.0,5,0.109297
1.0,7,0.10968
0.0,12,0.110304
0.0,19,0.111234
0.0,8,0.111667
0.0,16,0.112463
0.0,2,0.112626
0.0,3,0.11284
0.0,11,0.113409
0.0,17,0.114249
0.0,5,0.114541
0.0,14,0.115246
0.0,7,0.115633
0.0,40,0.117501
0.0,23,0.118607
0.0,67,0.121695
0.0,6,0.122043
0.0,10,0.122556
0.0,10,0.123091
0.0,4,0.123343
0.0,11,0.123913
0.0,13,0.124574
0.0,6,0.124921
0.0,23,0.126034
1.0,12,0.126638
0.0,13,0.127299
0.0,5,0.127592
0.0,11,0.128168
1.0,12,0.128788
0.0,15,0.129534
