#{"t_start": 1522618044.6721976, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,13,0.039899
0.0,9,0.040658
0.0,13,0.041655
0.0,6,0.042162
0.0,50,0.045646
0.0,3,0.045856
0.0,9,0.046322
0.0,7,0.046715
0.0,4,0.046964
0.0,7,0.047341
0.0,6,0.047688
0.0,20,0.048658
0.0,29,0.050014
0.0,53,0.052444
0.0,8,0.052874
0.0,63,0.055743
0.0,12,0.056342
0.0,44,0.058364
0.0,17,0.059193
0.0,9,0.059678
0.0,2,0.059838
0.0,27,0.061106
0.0,9,0.061588
0.0,15,0.062315
0.0,11,0.062874
0.0,4,0.063123
0.0,6,0.063467
0.0,22,0.064519
0.0,3,0.064726
0.0,10,0.065238
0.0,5,0.065548
0.0,7,0.065934
0.0,5,0.066223
0.0,5,0.06653
0.0,14,0.067218
0.0,16,0.068004
0.0,85,0.071843
0.0,13,0.072501
0.0,24,0.073642
0.0,15,0.074376
0.0,47,0.076545
0.0,10,0.077055
0.0,2,0.077213
0.0,17,0.078042
0.0,6,0.078378
0.0,11,0.078947
0.0,22,0.079996
0.0,24,0.081141
0.0,4,0.081389
0.0,11,0.081954
0.0,10,0.082478
0.0,4,0.082726
0.0,3,0.082927
0.0,2,0.083085
0.0,21,0.084089
0.0,17,0.084931
0.0,8,0.085353
0.0,11,0.085925
0.0,5,0.086216
0.0,16,0.087005
0.0,15,0.08775
0.0,20,0.088714
0.0,38,0.090475
0.0,31,0.091923
0.0,3,0.092126
0.0,25,0.093305
0.0,11,0.093872
0.0,15,0.094616
0.0,29,0.095982
0.0,6,0.096319
0.0,3,0.096535
0.0,13,0.097176
0.0,7,0.097564
0.0,10,0.098077
0.0,13,0.098737
0.0,12,0.099345
0.0,12,0.099952
0.0,7,0.100333
0.0,7,0.100726
0.0,6,0.10106
0.0,3,0.101265
0.0,9,0.101739
0.0,10,0.102252
0.0,6,0.102599
0.0,4,0.102853
0.0,6,0.103185
0.0,2,0.103345
0.0,6,0.10369
0.0,20,0.104647
0.0,7,0.105026
0.0,30,0.10642
0.0,47,0.10858
0.0,6,0.108918
0.0,8,0.109339
0.0,29,0.110703
0.0,5,0.110997
0.0,16,0.111778
0.0,15,0.112517
0.0,44,0.114531
0.0,19,0.11543
0.0,35,0.117058
0.0,2,0.11722
0.0,7,0.11761
0.0,23,0.118706
0.0,20,0.119665
0.0,19,0.120584
0.0,10,0.121093
0.0,27,0.122381
0.0,28,0.123703
0.0,3,0.123909
0.0,28,0.125218
0.0,4,0.125483
0.0,6,0.12582
0.0,7,0.1262
1.0,10,0.126722
0.0,5,0.127011
0.0,15,0.127754
0.0,7,0.128134
0.0,12,0.128746
0.0,27,0.130009
0.0,13,0.130662
0.0,12,0.131265
0.0,6,0.131613
0.0,7,0.131993
0.0,5,0.132282
0.0,6,0.13263
0.0,9,0.133096
0.0,33,0.134642
0.0,28,0.135954
0.0,29,0.137307
0.0,51,0.139646
0.0,40,0.141553
1.0,22,0.142605
0.0,5,0.142898
0.0,3,0.143099
0.0,5,0.143387
0.0,8,0.143824
0.0,7,0.1442
0.0,6,0.144547
0.0,3,0.144751
0.0,7,0.145129
0.0,52,0.14752
0.0,14,0.148215
0.0,8,0.148648
0.0,7,0.149028
0.0,35,0.150659
0.0,5,0.150953
0.0,10,0.151472
0.0,5,0.151763
0.0,4,0.15201
0.0,10,0.152527
0.0,19,0.153436
0.0,3,0.15365
0.0,20,0.154608
0.0,20,0.15558
0.0,44,0.157605
0.0,9,0.158071
0.0,13,0.158726
0.0,8,0.159149
0.0,8,0.159581
0.0,27,0.160844
0.0,27,0.162105
0.0,10,0.162626
0.0,3,0.162829
0.0,40,0.164673
0.0,7,0.165054
0.0,5,0.165343
0.0,11,0.165915
0.0,86,0.169794
0.0,10,0.170307
0.0,13,0.170958
0.0,5,0.17125
0.0,6,0.171595
0.0,3,0.171801
0.0,13,0.172441
0.0,12,0.17305
0.0,7,0.173428
0.0,4,0.17368
0.0,5,0.173973
0.0,16,0.174761
0.0,5,0.175054
0.0,6,0.175386
0.0,8,0.175825
0.0,25,0.177003
0.0,18,0.177875
0.0,23,0.178967
0.0,6,0.179302
0.0,3,0.179514
0.0,3,0.179716
0.0,34,0.181285
0.0,20,0.182245
0.0,5,0.182549
0.0,12,0.183156
0.0,32,0.184653
0.0,2,0.184817
0.0,18,0.185699
0.0,18,0.186575
0.0,4,0.186826
0.0,29,0.188173
0.0,13,0.188823
0.0,12,0.189424
1.0,21,0.190428
0.0,14,0.191124
0.0,4,0.191369
0.0,9,0.19185
0.0,9,0.192317
0.0,5,0.19262
0.0,21,0.193629
1.0,10,0.19414
0.0,8,0.19457
0.0,24,0.195709
1.0,20,0.196675
1.0,18,0.197549
0.0,6,0.19789
0.0,58,0.200527
0.0,30,0.201934
0.0,18,0.202803
0.0,19,0.203726
0.0,11,0.204283
0.0,24,0.205411
0.0,16,0.206203
0.0,12,0.206809
0.0,8,0.207233
0.0,15,0.207977
0.0,10,0.208502
0.0,23,0.209596
0.0,20,0.210562
0.0,9,0.211029
0.0,40,0.212872
0.0,17,0.213703
0.0,19,0.214622
0.0,20,0.215589
0.0,20,0.216548
0.0,14,0.217239
0.0,30,0.218646
0.0,10,0.21916
0.0,33,0.220688
0.0,50,0.22298
0.0,7,0.223361
0.0,6,0.223708
0.0,14,0.224395
0.0,11,0.224957
1.0,13,0.225619
0.0,10,0.22613
0.0,18,0.226997
0.0,28,0.228334
0.0,6,0.22869
0.0,44,0.230721
0.0,9,0.231191
0.0,5,0.231493
0.0,13,0.232139
0.0,14,0.232837
0.0,8,0.233264
0.0,6,0.233614
0.0,8,0.234036
0.0,14,0.234733
0.0,43,0.236716
0.0,59,0.239398
0.0,9,0.239874
0.0,7,0.240312
0.0,6,0.24066
0.0,10,0.241175
0.0,12,0.241785
0.0,6,0.242123
0.0,3,0.242326
0.0,14,0.243023
0.0,11,0.243602
0.0,13,0.244241
0.0,23,0.245335
0.0,18,0.246214
0.0,16,0.247007
0.0,2,0.247166
0.0,4,0.247411
0.0,7,0.247796
0.0,13,0.248431
0.0,15,0.249176
0.0,21,0.250175
0.0,5,0.25048
0.0,12,0.251078
0.0,20,0.25204
0.0,10,0.252565
0.0,15,0.25329
0.0,9,0.253767
0.0,16,0.254553
0.0,16,0.255331
0.0,8,0.255772
0.0,21,0.256774
0.0,7,0.257152
0.0,12,0.257761
0.0,23,0.258861
0.0,6,0.259202
0.0,6,0.259548
0.0,3,0.259751
0.0,17,0.260577
0.0,16,0.261355
0.0,14,0.262052
0.0,9,0.262534
0.0,10,0.263043
0.0,4,0.263289
0.0,22,0.264338
0.0,13,0.264991
0.0,4,0.265238
0.0,4,0.265501
0.0,8,0.265924
0.0,27,0.267192
0.0,3,0.267395
0.0,11,0.267957
0.0,36,0.269632
0.0,5,0.269926
0.0,5,0.27022
0.0,39,0.272027
0.0,16,0.272811
0.0,4,0.273058
0.0,11,0.273627
0.0,42,0.275568
0.0,25,0.27675
0.0,51,0.279073
0.0,15,0.279813
0.0,5,0.280102
0.0,35,0.28174
0.0,9,0.282211
0.0,15,0.282956
0.0,25,0.284133
0.0,21,0.285132
0.0,10,0.285659
0.0,16,0.286435
1.0,30,0.287838
0.0,3,0.288046
0.0,14,0.288741
0.0,14,0.289424
0.0,29,0.29078
0.0,83,0.294533
0.0,5,0.294825
0.0,9,0.295292
0.0,31,0.29675
0.0,16,0.297534
0.0,43,0.299501
0.0,12,0.3001
0.0,19,0.301013
0.0,13,0.301663
0.0,4,0.301914
0.0,30,0.303306
0.0,27,0.304579
0.0,12,0.305176
0.0,15,0.305921
0.0,5,0.306213
0.0,19,0.307124
0.0,12,0.30773
0.0,9,0.308203
0.0,16,0.308987
0.0,12,0.309601
0.0,16,0.310376
0.0,33,0.311907
0.0,14,0.312607
0.0,33,0.314132
0.0,14,0.314837
0.0,14,0.31554
0.0,9,0.316007
0.0,8,0.316426
0.0,2,0.316592
