#{"t_start": 1522628877.4243817, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.006441
0.0,36,0.008108
0.0,12,0.008718
0.0,29,0.01007
0.0,76,0.013525
0.0,9,0.013994
0.0,72,0.017258
0.0,22,0.01831
0.0,100,0.022822
1.0,89,0.026843
0.0,100,0.031354
0.0,88,0.035339
1.0,34,0.036911
1.0,55,0.039425
0.0,31,0.040872
1.0,23,0.041962
1.0,18,0.042836
0.0,18,0.043702
0.0,15,0.044445
0.0,50,0.046721
1.0,14,0.047424
0.0,5,0.047717
0.0,7,0.048097
1.0,27,0.049369
0.0,20,0.050331
1.0,53,0.052739
1.0,15,0.053488
1.0,36,0.055146
0.0,45,0.057209
1.0,25,0.058378
0.0,55,0.06088
1.0,36,0.062562
1.0,11,0.063118
0.0,20,0.064074
1.0,15,0.064821
0.0,8,0.065256
0.0,67,0.068282
0.0,14,0.068967
1.0,36,0.070633
1.0,26,0.071851
1.0,40,0.073704
0.0,29,0.075053
1.0,24,0.076189
0.0,34,0.077759
0.0,5,0.078055
1.0,34,0.079622
1.0,18,0.080496
1.0,15,0.081237
1.0,70,0.084401
0.0,2,0.084564
0.0,77,0.088043
1.0,16,0.08883
1.0,6,0.089164
1.0,46,0.09127
1.0,15,0.091999
0.0,34,0.093576
1.0,61,0.096336
0.0,5,0.096631
0.0,58,0.099267
0.0,19,0.100188
1.0,31,0.101638
0.0,11,0.102274
0.0,80,0.105902
0.0,10,0.106424
0.0,34,0.107997
1.0,27,0.109274
1.0,58,0.111906
0.0,50,0.114208
1.0,12,0.114807
0.0,14,0.115505
0.0,16,0.11629
0.0,9,0.116761
0.0,22,0.117803
1.0,21,0.118815
0.0,19,0.119727
1.0,54,0.122192
1.0,19,0.123095
1.0,39,0.124911
1.0,27,0.126194
1.0,26,0.127418
0.0,6,0.127758
1.0,16,0.128541
1.0,42,0.130482
0.0,5,0.130773
0.0,18,0.131647
0.0,46,0.133752
0.0,89,0.137763
0.0,9,0.138242
0.0,8,0.138669
0.0,2,0.138834
1.0,39,0.140633
0.0,28,0.141947
0.0,39,0.143757
1.0,23,0.144846
0.0,58,0.147489
1.0,68,0.150563
0.0,31,0.152003
1.0,58,0.154649
1.0,48,0.15684
1.0,33,0.15838
0.0,21,0.159383
0.0,40,0.161236
0.0,27,0.162507
0.0,17,0.163332
0.0,18,0.16421
0.0,4,0.164459
0.0,26,0.165684
1.0,11,0.166253
0.0,3,0.166461
0.0,2,0.166621
1.0,20,0.167584
0.0,19,0.168499
1.0,57,0.171087
0.0,82,0.174806
1.0,86,0.178683
1.0,65,0.181629
0.0,3,0.181835
1.0,19,0.182755
1.0,28,0.184069
1.0,35,0.185696
1.0,15,0.186432
0.0,6,0.186775
0.0,82,0.190481
0.0,39,0.192296
0.0,22,0.193346
0.0,66,0.196339
0.0,29,0.197691
1.0,53,0.200106
1.0,74,0.203451
1.0,45,0.205571
1.0,21,0.206574
0.0,49,0.208803
0.0,14,0.209501
0.0,37,0.211216
0.0,100,0.2157
0.0,39,0.217496
0.0,8,0.217921
0.0,52,0.220301
0.0,16,0.221076
0.0,64,0.223992
0.0,5,0.2243
0.0,9,0.224771
0.0,40,0.226609
0.0,36,0.22828
1.0,18,0.229135
0.0,51,0.231469
0.0,57,0.234061
0.0,48,0.236265
0.0,38,0.238002
1.0,60,0.240741
1.0,14,0.241432
1.0,28,0.242741
0.0,2,0.242902
1.0,38,0.244639
0.0,19,0.245553
0.0,22,0.246598
0.0,67,0.249601
0.0,100,0.254059
0.0,29,0.255427
0.0,19,0.256341
0.0,97,0.260716
0.0,48,0.26291
1.0,27,0.264187
1.0,25,0.265358
0.0,17,0.266184
1.0,12,0.266784
1.0,8,0.267216
1.0,38,0.268958
1.0,69,0.27207
0.0,29,0.273441
0.0,14,0.274134
1.0,19,0.275042
1.0,55,0.277559
0.0,10,0.278071
0.0,73,0.281361
0.0,39,0.283162
1.0,46,0.285266
0.0,6,0.285603
1.0,9,0.286072
0.0,25,0.287254
0.0,2,0.287416
1.0,71,0.290615
0.0,32,0.292095
0.0,42,0.294014
1.0,16,0.294796
1.0,63,0.297655
0.0,100,0.3021
1.0,48,0.304302
1.0,12,0.304977
1.0,47,0.307135
1.0,40,0.308987
0.0,28,0.310307
1.0,65,0.313266
1.0,39,0.315063
0.0,7,0.315454
0.0,23,0.316555
0.0,8,0.31698
0.0,7,0.317371
1.0,31,0.318816
1.0,20,0.319777
1.0,29,0.321125
0.0,50,0.323431
1.0,15,0.324165
0.0,36,0.325842
0.0,16,0.326627
0.0,18,0.327504
1.0,14,0.3282
0.0,62,0.330992
0.0,35,0.332628
0.0,18,0.333503
0.0,35,0.335115
0.0,43,0.337095
1.0,42,0.339025
0.0,60,0.341763
0.0,6,0.342104
0.0,71,0.345329
0.0,21,0.346333
0.0,86,0.350201
0.0,26,0.351424
0.0,10,0.35194
0.0,37,0.353659
1.0,29,0.355017
0.0,94,0.359264
0.0,27,0.360537
1.0,19,0.36146
0.0,10,0.361968
1.0,34,0.363555
1.0,22,0.364601
0.0,16,0.365385
0.0,5,0.365677
1.0,13,0.36633
0.0,100,0.370822
1.0,41,0.372728
0.0,48,0.374934
1.0,11,0.375507
1.0,34,0.377072
0.0,82,0.380772
0.0,11,0.381348
1.0,22,0.382405
1.0,24,0.38354
0.0,40,0.385391
0.0,14,0.386078
1.0,28,0.387394
0.0,25,0.388576
1.0,14,0.389272
0.0,79,0.392813
1.0,23,0.3939
1.0,17,0.394729
1.0,32,0.396234
1.0,12,0.396836
1.0,8,0.397267
0.0,61,0.400034
1.0,17,0.400863
1.0,41,0.402764
0.0,40,0.404613
0.0,89,0.408674
1.0,36,0.410338
0.0,20,0.411299
1.0,46,0.413423
1.0,43,0.415408
0.0,12,0.416009
1.0,16,0.416793
1.0,56,0.419341
1.0,10,0.419845
1.0,26,0.421064
0.0,59,0.423767
0.0,95,0.428012
1.0,20,0.428972
0.0,25,0.430142
0.0,21,0.431138
0.0,66,0.434131
0.0,30,0.435529
1.0,81,0.439186
0.0,2,0.439348
0.0,32,0.44082
0.0,22,0.441871
0.0,5,0.442164
0.0,22,0.443223
1.0,58,0.445834
0.0,3,0.446037
0.0,7,0.446428
1.0,24,0.447558
0.0,35,0.449159
1.0,39,0.450953
0.0,65,0.4539
0.0,43,0.455864
0.0,10,0.456386
1.0,38,0.458122
1.0,78,0.461624
0.0,9,0.462094
1.0,90,0.466129
1.0,21,0.467124
1.0,7,0.467511
1.0,17,0.468341
1.0,12,0.46894
1.0,72,0.472188
0.0,12,0.472786
1.0,39,0.474579
1.0,11,0.475134
0.0,46,0.477234
1.0,20,0.478184
1.0,12,0.478777
0.0,27,0.480041
1.0,21,0.481041
1.0,72,0.484312
1.0,79,0.487865
0.0,45,0.489923
0.0,69,0.493037
0.0,25,0.494223
0.0,8,0.494648
0.0,28,0.495955
0.0,12,0.496563
1.0,54,0.499
0.0,30,0.50041
0.0,5,0.500705
1.0,22,0.501745
1.0,78,0.505266
0.0,18,0.50622
0.0,2,0.506381
1.0,17,0.507214
1.0,76,0.51065
0.0,8,0.511078
0.0,18,0.511947
1.0,8,0.512392
0.0,7,0.512774
1.0,63,0.515632
1.0,11,0.516196
1.0,7,0.516577
0.0,24,0.517709
1.0,15,0.518451
1.0,23,0.519545
0.0,69,0.522676
0.0,19,0.523589
0.0,13,0.524244
1.0,33,0.52577
1.0,26,0.526981
1.0,66,0.529964
0.0,73,0.533276
0.0,13,0.533922
0.0,35,0.53554
1.0,16,0.53633
1.0,61,0.539093
0.0,63,0.541951
0.0,9,0.54244
1.0,40,0.544275
0.0,46,0.546385
0.0,9,0.546849
1.0,42,0.548779
0.0,8,0.549215
1.0,13,0.549859
1.0,56,0.552418
1.0,59,0.555084
0.0,34,0.556658
0.0,100,0.561146
0.0,19,0.562052
0.0,24,0.563217
0.0,78,0.566746
0.0,53,0.569163
0.0,67,0.572205
0.0,7,0.572587
1.0,59,0.575273
1.0,22,0.576323
1.0,16,0.577092
0.0,14,0.577789
1.0,22,0.578833
0.0,15,0.579573
1.0,14,0.58027
0.0,3,0.580472
0.0,52,0.582836
1.0,16,0.583618
0.0,9,0.584086
1.0,13,0.584786
1.0,29,0.586139
0.0,6,0.586487
0.0,12,0.587087
1.0,16,0.587876
1.0,9,0.588352
0.0,18,0.589223
1.0,9,0.589689
1.0,35,0.591315
1.0,24,0.592453
1.0,16,0.593237
1.0,31,0.594678
0.0,58,0.59732
1.0,41,0.59919
0.0,7,0.599569
1.0,26,0.600788
0.0,9,0.601262
0.0,15,0.60199
0.0,48,0.604199
0.0,5,0.604491
0.0,44,0.606506
1.0,19,0.607483
1.0,12,0.608083
1.0,36,0.609758
0.0,23,0.610842
1.0,35,0.612467
0.0,16,0.613251
0.0,10,0.613763
0.0,100,0.618263
1.0,40,0.620104
1.0,7,0.620493
1.0,42,0.622424
1.0,41,0.624315
0.0,82,0.627976
1.0,18,0.628851
1.0,31,0.630317
0.0,12,0.630918
1.0,69,0.634038
1.0,24,0.635164
1.0,63,0.638016
1.0,12,0.638622
0.0,14,0.639318
0.0,42,0.641241
0.0,64,0.64413
0.0,32,0.645623
0.0,30,0.647028
1.0,52,0.649408
1.0,21,0.650405
1.0,7,0.650782
1.0,58,0.653429
0.0,26,0.654651
1.0,25,0.65583
0.0,5,0.656121
1.0,14,0.656815
1.0,56,0.659368
1.0,22,0.660419
1.0,19,0.661338
1.0,33,0.662882
0.0,14,0.663582
0.0,47,0.665729
0.0,27,0.666991
0.0,50,0.669276
0.0,6,0.669614
0.0,11,0.670166
0.0,42,0.672097
0.0,23,0.673209
0.0,12,0.673813
1.0,20,0.674765
1.0,48,0.676947
0.0,12,0.677555
0.0,12,0.678149
1.0,21,0.679137
0.0,13,0.679784
0.0,4,0.680032
1.0,21,0.681028
1.0,30,0.682429
0.0,74,0.685757
0.0,18,0.686629
0.0,33,0.68815
0.0,84,0.691921
1.0,11,0.692493
0.0,8,0.692914
0.0,41,0.694795
0.0,16,0.695573
1.0,12,0.696167
1.0,70,0.699336
1.0,10,0.699849
0.0,16,0.700626
1.0,16,0.701408
0.0,17,0.702242
1.0,37,0.703937
0.0,65,0.70686
1.0,16,0.707714
1.0,18,0.708584
1.0,47,0.710742
0.0,5,0.711034
0.0,22,0.712077
1.0,64,0.714986
0.0,9,0.715464
0.0,6,0.715803
0.0,31,0.717254
1.0,15,0.717983
1.0,66,0.720956
0.0,84,0.724732
0.0,25,0.725911
0.0,8,0.726345
0.0,34,0.727918
0.0,10,0.72844
0.0,18,0.729318
1.0,13,0.729961
1.0,22,0.731004
0.0,4,0.731266
1.0,12,0.731864
0.0,19,0.732781
0.0,4,0.733048
0.0,75,0.736424
0.0,4,0.736671
0.0,26,0.737896
0.0,65,0.740837
1.0,25,0.742017
0.0,9,0.742496
1.0,46,0.744597
1.0,12,0.745205
1.0,16,0.745971
0.0,54,0.74843
0.0,21,0.74944
1.0,15,0.750169
0.0,17,0.750991
0.0,100,0.755489
0.0,100,0.759976
0.0,2,0.760136
0.0,12,0.760743
0.0,8,0.761163
0.0,10,0.761687
0.0,4,0.761934
1.0,48,0.764129
0.0,18,0.765002
0.0,77,0.768481
0.0,3,0.768685
1.0,8,0.769106
1.0,21,0.770102
0.0,13,0.770756
0.0,21,0.771756
0.0,14,0.772458
0.0,8,0.772879
1.0,44,0.774896
1.0,82,0.778592
0.0,6,0.778925
1.0,18,0.779796
0.0,12,0.780408
0.0,40,0.782244
1.0,35,0.783862
1.0,33,0.785397
1.0,38,0.787138
1.0,32,0.788627
0.0,14,0.789324
1.0,35,0.790952
1.0,55,0.793463
0.0,36,0.795115
