#{"t_start": 1522633199.5367513, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.001963
0.0,13,0.002956
0.0,10,0.003752
0.0,8,0.004411
0.0,23,0.006054
0.0,3,0.006388
0.0,26,0.008235
0.0,9,0.008953
0.0,6,0.009486
0.0,17,0.010321
0.0,12,0.010923
0.0,36,0.012617
1.0,18,0.013502
0.0,19,0.01443
0.0,4,0.014681
0.0,9,0.01515
0.0,15,0.015892
0.0,23,0.016995
0.0,3,0.017198
0.0,4,0.017455
0.0,2,0.017614
0.0,3,0.017816
0.0,13,0.018472
0.0,17,0.01931
0.0,14,0.019998
0.0,7,0.020391
0.0,8,0.020818
0.0,15,0.021571
0.0,43,0.023579
0.0,33,0.025124
0.0,3,0.025341
0.0,16,0.02612
0.0,3,0.026333
0.0,8,0.026757
0.0,7,0.02714
0.0,10,0.02767
0.0,8,0.028095
0.0,6,0.028442
0.0,5,0.028737
0.0,9,0.029209
0.0,6,0.029564
0.0,5,0.029859
0.0,4,0.030106
0.0,6,0.030457
0.0,6,0.030796
0.0,9,0.031268
0.0,6,0.031614
0.0,8,0.032037
0.0,2,0.032194
0.0,21,0.033205
1.0,15,0.033961
0.0,12,0.034582
0.0,47,0.036772
0.0,5,0.037067
0.0,2,0.037225
0.0,43,0.039227
0.0,13,0.039893
0.0,11,0.040468
0.0,8,0.040894
0.0,9,0.042497
1.0,11,0.044892
0.0,19,0.045852
0.0,10,0.046389
0.0,2,0.046549
0.0,6,0.04689
0.0,35,0.048545
0.0,30,0.049989
0.0,24,0.051143
0.0,26,0.052399
0.0,3,0.052604
0.0,12,0.053208
0.0,5,0.05351
0.0,33,0.055059
0.0,4,0.055326
0.0,26,0.05657
0.0,3,0.056776
0.0,3,0.05698
0.0,20,0.057939
1.0,6,0.058277
0.0,15,0.059026
0.0,14,0.05973
0.0,12,0.060353
0.0,14,0.061046
0.0,6,0.0614
0.0,2,0.061558
0.0,6,0.061898
0.0,4,0.062145
0.0,39,0.06396
0.0,14,0.064664
0.0,14,0.065374
0.0,8,0.065804
0.0,5,0.066095
0.0,40,0.068176
0.0,17,0.069015
0.0,15,0.069777
0.0,13,0.070441
0.0,21,0.071451
0.0,18,0.072332
0.0,35,0.07397
0.0,10,0.074493
0.0,15,0.07523
0.0,10,0.07575
0.0,13,0.076405
0.0,17,0.077232
0.0,10,0.077754
0.0,66,0.080777
0.0,38,0.082554
0.0,10,0.083075
0.0,8,0.083512
0.0,3,0.083719
0.0,10,0.08423
0.0,5,0.08453
0.0,6,0.084869
0.0,6,0.085204
0.0,7,0.085598
0.0,4,0.085848
0.0,6,0.086183
0.0,5,0.086488
0.0,4,0.086736
0.0,29,0.088096
0.0,23,0.0892
0.0,6,0.089555
0.0,2,0.089713
0.0,9,0.090181
0.0,4,0.090442
0.0,61,0.093247
0.0,2,0.093417
0.0,7,0.0938
0.0,10,0.094324
0.0,13,0.09497
0.0,15,0.09572
0.0,13,0.096381
0.0,6,0.096717
0.0,16,0.097506
0.0,6,0.097842
0.0,7,0.098223
0.0,11,0.098793
0.0,7,0.099177
0.0,12,0.099795
0.0,4,0.100043
0.0,17,0.100881
0.0,27,0.102166
0.0,10,0.102782
0.0,22,0.10384
0.0,11,0.104409
0.0,15,0.105143
0.0,5,0.105446
0.0,20,0.106419
0.0,6,0.106755
0.0,14,0.107463
0.0,19,0.108386
0.0,16,0.10917
0.0,15,0.10992
0.0,10,0.110446
0.0,16,0.111223
0.0,10,0.111745
0.0,15,0.112489
0.0,13,0.11314
0.0,11,0.113709
0.0,13,0.114367
0.0,7,0.114749
0.0,2,0.114906
0.0,3,0.115109
0.0,13,0.115763
0.0,22,0.116821
0.0,11,0.117387
0.0,7,0.117766
0.0,6,0.1181
0.0,18,0.118979
0.0,6,0.119334
0.0,25,0.120528
0.0,21,0.121536
0.0,14,0.122226
0.0,4,0.122486
0.0,2,0.122645
0.0,27,0.123924
0.0,13,0.124586
0.0,33,0.126124
0.0,18,0.127005
0.0,11,0.127572
0.0,9,0.128043
0.0,3,0.128247
0.0,3,0.128459
0.0,6,0.128798
0.0,3,0.129
0.0,5,0.129303
0.0,16,0.13009
0.0,9,0.13057
0.0,19,0.131501
0.0,10,0.132019
0.0,5,0.132319
0.0,4,0.13257
0.0,5,0.132861
0.0,7,0.133243
0.0,9,0.133724
0.0,16,0.134517
0.0,6,0.134864
0.0,7,0.135242
0.0,24,0.136394
0.0,20,0.13736
0.0,6,0.137698
0.0,22,0.138756
0.0,2,0.138921
0.0,2,0.139078
0.0,34,0.140685
0.0,15,0.141434
0.0,8,0.141857
0.0,5,0.142148
0.0,10,0.142677
0.0,5,0.142975
0.0,4,0.143222
0.0,3,0.143437
0.0,3,0.143641
0.0,11,0.144198
0.0,9,0.14468
0.0,5,0.144976
0.0,12,0.145596
0.0,19,0.146527
0.0,11,0.14709
0.0,8,0.147527
0.0,10,0.148044
0.0,45,0.150131
0.0,4,0.150393
0.0,14,0.151083
0.0,6,0.151434
0.0,3,0.15164
0.0,2,0.151797
0.0,2,0.151956
0.0,6,0.152289
0.0,2,0.152457
0.0,7,0.152836
0.0,7,0.153218
0.0,9,0.153695
0.0,9,0.15417
0.0,3,0.15439
0.0,51,0.156743
0.0,7,0.157125
0.0,15,0.157877
0.0,10,0.158404
0.0,16,0.159187
0.0,3,0.159409
0.0,9,0.15988
0.0,9,0.160359
0.0,10,0.160874
0.0,8,0.161311
0.0,2,0.161471
0.0,10,0.161985
0.0,11,0.16258
0.0,9,0.163052
0.0,8,0.16349
0.0,12,0.16409
0.0,6,0.16445
0.0,19,0.165371
0.0,5,0.165663
0.0,2,0.165821
0.0,17,0.166662
0.0,32,0.168172
0.0,7,0.16857
0.0,2,0.168731
0.0,4,0.16898
0.0,3,0.169182
0.0,2,0.16936
0.0,14,0.170055
0.0,9,0.170534
0.0,5,0.170826
0.0,11,0.171395
0.0,4,0.171646
0.0,17,0.172482
0.0,16,0.173268
0.0,7,0.17366
0.0,8,0.174088
0.0,33,0.17564
0.0,25,0.17683
0.0,28,0.178155
0.0,16,0.178941
0.0,5,0.179234
0.0,12,0.179848
0.0,2,0.180007
0.0,15,0.180752
0.0,3,0.180955
0.0,6,0.181304
0.0,13,0.181948
0.0,10,0.182472
0.0,2,0.182634
0.0,3,0.182838
0.0,13,0.183495
0.0,9,0.183965
0.0,14,0.18467
0.0,5,0.184963
0.0,7,0.185352
0.0,2,0.185514
0.0,5,0.18581
0.0,4,0.186057
0.0,32,0.187564
0.0,6,0.187907
0.0,8,0.188341
0.0,2,0.188504
0.0,13,0.189148
0.0,3,0.18937
0.0,7,0.189754
0.0,26,0.190999
0.0,3,0.191204
0.0,7,0.191598
0.0,6,0.191934
0.0,13,0.192593
0.0,5,0.192884
0.0,4,0.193131
0.0,3,0.193348
0.0,14,0.194045
0.0,15,0.19479
0.0,7,0.195181
0.0,11,0.195747
0.0,7,0.196126
0.0,20,0.197091
0.0,37,0.198816
0.0,11,0.199393
0.0,12,0.199993
0.0,17,0.200827
0.0,14,0.201526
0.0,6,0.201864
0.0,12,0.202475
0.0,10,0.203053
0.0,6,0.203398
0.0,8,0.203827
0.0,6,0.204162
0.0,28,0.205503
0.0,4,0.205756
0.0,5,0.206051
0.0,11,0.20662
0.0,7,0.207
0.0,10,0.207529
0.0,4,0.207778
0.0,2,0.207937
0.0,6,0.208271
0.0,6,0.208619
0.0,4,0.208864
0.0,5,0.209156
0.0,4,0.20942
0.0,13,0.210065
0.0,15,0.210807
0.0,7,0.211187
0.0,12,0.2118
0.0,4,0.21205
0.0,4,0.21231
0.0,2,0.212471
0.0,12,0.21307
0.0,14,0.213766
0.0,20,0.214733
0.0,2,0.214891
0.0,16,0.215684
0.0,18,0.216563
0.0,37,0.218285
0.0,9,0.218763
0.0,2,0.21892
0.0,10,0.219449
0.0,9,0.219923
0.0,9,0.220401
0.0,40,0.222257
0.0,8,0.222693
0.0,11,0.223253
0.0,6,0.223598
0.0,13,0.224246
0.0,19,0.225168
0.0,11,0.225741
0.0,6,0.226079
0.0,40,0.227947
0.0,6,0.228283
0.0,6,0.228635
0.0,5,0.228927
0.0,7,0.229326
0.0,3,0.229531
0.0,2,0.229688
0.0,2,0.229845
0.0,17,0.230679
0.0,7,0.23106
0.0,2,0.231217
0.0,14,0.23192
0.0,4,0.23217
0.0,8,0.23261
0.0,11,0.233171
0.0,5,0.233475
0.0,8,0.233902
0.0,5,0.234195
0.0,42,0.236151
0.0,8,0.236587
0.0,44,0.238639
0.0,10,0.239153
0.0,5,0.239461
0.0,3,0.239666
0.0,18,0.240544
0.0,6,0.240884
0.0,7,0.241268
0.0,16,0.242053
0.0,23,0.243157
0.0,12,0.243777
0.0,8,0.244203
0.0,11,0.244767
0.0,3,0.24497
0.0,14,0.245677
0.0,9,0.246146
0.0,5,0.246451
0.0,29,0.247818
0.0,24,0.248971
0.0,9,0.249456
0.0,2,0.249619
0.0,7,0.250001
0.0,5,0.250312
0.0,15,0.251051
0.0,2,0.251209
0.0,2,0.251379
0.0,9,0.251848
0.0,5,0.252143
0.0,3,0.252357
0.0,3,0.252561
0.0,5,0.252851
0.0,5,0.253145
1.0,23,0.254248
