#{"t_start": 1522612284.9766726, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.038053
0.0,1,0.038275
0.0,1,0.038444
0.0,5,0.038914
0.0,5,0.039356
0.0,11,0.040216
0.0,4,0.040591
0.0,4,0.040977
0.0,7,0.041547
0.0,21,0.042663
0.0,7,0.043048
0.0,5,0.043339
0.0,6,0.043696
0.0,11,0.044258
0.0,36,0.045947
0.0,11,0.046507
0.0,2,0.046674
0.0,4,0.046924
0.0,9,0.047396
0.0,16,0.048185
0.0,6,0.048521
0.0,8,0.048956
0.0,3,0.04916
0.0,1,0.049274
0.0,8,0.049708
0.0,5,0.049999
0.0,18,0.050877
0.0,5,0.051168
0.0,8,0.051591
0.0,27,0.052884
0.0,4,0.053132
0.0,4,0.053378
0.0,3,0.053583
0.0,9,0.054062
0.0,12,0.054684
0.0,2,0.054844
0.0,2,0.055002
0.0,1,0.055113
0.0,24,0.05626
0.0,13,0.056926
0.0,4,0.057175
0.0,2,0.057334
0.0,3,0.057537
0.0,11,0.058104
0.0,6,0.058442
0.0,4,0.058703
0.0,4,0.058951
0.0,7,0.059332
0.0,4,0.059581
0.0,5,0.059887
0.0,25,0.061081
0.0,7,0.061469
0.0,14,0.062177
0.0,9,0.06266
0.0,11,0.063219
0.0,2,0.063376
0.0,11,0.063948
0.0,6,0.064286
0.0,34,0.065898
0.0,10,0.06642
0.0,5,0.066726
0.0,10,0.067241
0.0,21,0.06825
0.0,7,0.068641
0.0,1,0.068755
1.0,13,0.069402
0.0,11,0.069972
0.0,51,0.072329
0.0,10,0.072862
0.0,7,0.073245
0.0,11,0.073813
0.0,10,0.074331
0.0,7,0.074724
0.0,1,0.074841
0.0,2,0.074998
0.0,15,0.07575
0.0,1,0.075864
0.0,5,0.076158
0.0,2,0.076318
0.0,13,0.076977
0.0,11,0.07754
1.0,7,0.077933
0.0,8,0.078362
0.0,24,0.079508
0.0,7,0.079902
0.0,29,0.081267
0.0,14,0.081973
0.0,5,0.082268
0.0,4,0.082515
1.0,29,0.083892
0.0,5,0.084183
0.0,9,0.084661
0.0,7,0.085047
0.0,9,0.085513
0.0,8,0.085948
0.0,11,0.086505
0.0,8,0.086943
0.0,5,0.087235
0.0,11,0.087805
0.0,13,0.088455
0.0,8,0.088893
0.0,6,0.089229
0.0,2,0.089386
0.0,1,0.089499
0.0,1,0.08961
0.0,5,0.089916
0.0,13,0.090563
0.0,9,0.091046
0.0,14,0.091758
1.0,7,0.092138
0.0,6,0.092475
0.0,3,0.092689
0.0,6,0.093026
0.0,4,0.093272
0.0,10,0.093797
0.0,3,0.094001
0.0,3,0.094204
0.0,7,0.094582
0.0,8,0.095015
0.0,3,0.09522
0.0,4,0.095468
0.0,9,0.095949
0.0,10,0.096465
