#{"t_start": 1522632195.0516908, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.035206
0.0,8,0.035686
0.0,17,0.036532
0.0,5,0.036831
0.0,38,0.038616
0.0,21,0.039632
0.0,26,0.040869
0.0,17,0.041706
0.0,87,0.045684
0.0,22,0.046748
0.0,69,0.049916
0.0,92,0.054109
0.0,41,0.056034
0.0,7,0.056419
0.0,24,0.057569
0.0,15,0.058321
0.0,29,0.059687
0.0,10,0.060218
0.0,19,0.061148
0.0,24,0.062298
0.0,37,0.064038
0.0,39,0.065867
0.0,10,0.066398
0.0,24,0.067547
0.0,17,0.068388
0.0,46,0.070531
0.0,8,0.070963
0.0,4,0.071223
0.0,39,0.073066
0.0,44,0.075124
0.0,57,0.077744
1.0,16,0.078545
0.0,15,0.079295
1.0,27,0.08058
0.0,4,0.080832
1.0,36,0.082528
0.0,100,0.08711
0.0,8,0.08754
1.0,43,0.089546
0.0,29,0.090925
1.0,66,0.093967
0.0,8,0.094402
0.0,5,0.094694
0.0,36,0.096402
0.0,84,0.100242
0.0,8,0.10067
0.0,10,0.101198
0.0,14,0.101897
0.0,66,0.104925
0.0,34,0.10654
0.0,22,0.107599
0.0,10,0.108125
0.0,26,0.10936
1.0,24,0.110504
0.0,2,0.110665
0.0,24,0.11182
0.0,8,0.11226
0.0,21,0.113283
1.0,20,0.114247
0.0,96,0.118621
0.0,8,0.119063
0.0,15,0.119804
0.0,8,0.120241
0.0,30,0.121659
1.0,16,0.122451
0.0,30,0.123867
0.0,10,0.124392
0.0,10,0.124908
0.0,100,0.129458
0.0,12,0.13007
0.0,3,0.130275
0.0,7,0.130656
0.0,48,0.132882
1.0,7,0.133278
0.0,47,0.13546
0.0,12,0.136139
0.0,10,0.136662
1.0,7,0.137057
0.0,35,0.138696
0.0,6,0.139047
0.0,20,0.140014
0.0,5,0.140311
0.0,12,0.140918
1.0,17,0.14176
0.0,9,0.142244
1.0,13,0.142894
0.0,15,0.143645
0.0,34,0.145255
0.0,24,0.146405
0.0,37,0.148141
0.0,25,0.149342
0.0,7,0.149727
0.0,64,0.152657
0.0,14,0.153361
0.0,5,0.153654
1.0,9,0.154133
1.0,8,0.154556
0.0,14,0.155266
1.0,33,0.156807
1.0,11,0.157375
0.0,17,0.158206
0.0,15,0.158948
0.0,10,0.159473
0.0,28,0.160799
0.0,48,0.163042
0.0,15,0.163789
0.0,8,0.164232
0.0,19,0.165176
1.0,17,0.166015
0.0,18,0.16689
0.0,2,0.167063
1.0,8,0.167492
0.0,35,0.169131
0.0,2,0.169294
0.0,5,0.169586
0.0,46,0.171713
0.0,6,0.172061
1.0,13,0.172712
0.0,15,0.173465
0.0,16,0.174263
0.0,4,0.174514
0.0,45,0.176611
0.0,31,0.178083
0.0,8,0.178511
0.0,4,0.178762
0.0,4,0.179022
0.0,47,0.181202
0.0,24,0.182358
0.0,38,0.184146
0.0,24,0.185304
0.0,13,0.18595
1.0,71,0.189202
0.0,14,0.189899
0.0,11,0.190469
1.0,16,0.191261
1.0,45,0.193354
0.0,12,0.193962
1.0,37,0.195693
0.0,100,0.200247
0.0,19,0.201177
0.0,22,0.202235
0.0,11,0.202796
0.0,12,0.203412
0.0,35,0.20506
1.0,16,0.205843
0.0,4,0.206102
0.0,27,0.207379
1.0,31,0.208843
0.0,5,0.209151
1.0,32,0.210661
1.0,33,0.21223
1.0,13,0.212879
0.0,35,0.214517
0.0,14,0.215231
0.0,14,0.215923
0.0,8,0.216361
0.0,12,0.216977
0.0,8,0.217411
0.0,9,0.217886
1.0,27,0.219186
0.0,3,0.219394
0.0,28,0.220715
0.0,17,0.221555
1.0,23,0.222658
0.0,37,0.224399
0.0,10,0.224919
0.0,56,0.227523
0.0,16,0.228321
0.0,3,0.228526
1.0,15,0.229273
0.0,4,0.229524
0.0,15,0.230278
0.0,12,0.230887
0.0,2,0.231058
0.0,63,0.233948
0.0,16,0.234743
1.0,16,0.235546
1.0,21,0.236638
0.0,14,0.237349
1.0,51,0.239712
0.0,10,0.24024
0.0,12,0.240844
0.0,3,0.241059
0.0,17,0.241882
1.0,16,0.242673
0.0,4,0.242923
1.0,73,0.246283
0.0,4,0.246536
1.0,14,0.247237
1.0,22,0.248297
1.0,7,0.248678
0.0,25,0.249871
1.0,21,0.250892
1.0,21,0.251903
0.0,3,0.252119
0.0,9,0.252593
0.0,10,0.25312
1.0,9,0.25359
0.0,26,0.254828
0.0,46,0.256966
0.0,33,0.258526
0.0,2,0.258688
0.0,20,0.259662
0.0,12,0.260284
0.0,46,0.262423
0.0,5,0.262718
0.0,46,0.264857
0.0,7,0.265257
0.0,13,0.265908
1.0,24,0.267072
0.0,4,0.267321
1.0,50,0.269629
0.0,18,0.270517
0.0,4,0.270767
0.0,15,0.271515
0.0,27,0.272802
0.0,7,0.273198
0.0,10,0.273717
1.0,18,0.274598
0.0,2,0.274756
0.0,12,0.27538
0.0,48,0.277608
0.0,8,0.278048
0.0,7,0.27843
0.0,8,0.27886
0.0,29,0.280236
1.0,23,0.281339
0.0,28,0.28266
0.0,14,0.283369
1.0,26,0.284608
0.0,11,0.285186
1.0,18,0.286073
1.0,13,0.286725
1.0,10,0.287253
0.0,25,0.288456
0.0,30,0.289877
0.0,44,0.291924
0.0,19,0.292858
0.0,11,0.293431
0.0,16,0.29423
0.0,8,0.294662
1.0,27,0.295951
0.0,15,0.296717
1.0,11,0.297292
0.0,5,0.297588
1.0,22,0.298647
0.0,9,0.299129
0.0,14,0.299826
0.0,18,0.300711
0.0,13,0.301374
1.0,16,0.302167
0.0,7,0.302552
0.0,26,0.303797
0.0,12,0.304416
0.0,18,0.305314
0.0,13,0.305961
0.0,34,0.307567
0.0,11,0.308141
1.0,16,0.308929
0.0,15,0.309676
1.0,10,0.310207
0.0,12,0.31081
1.0,18,0.311692
0.0,18,0.312577
0.0,7,0.312962
0.0,42,0.314921
0.0,97,0.31936
0.0,4,0.319611
0.0,3,0.319814
0.0,15,0.320572
0.0,3,0.320783
0.0,13,0.321446
0.0,27,0.322727
0.0,100,0.327293
1.0,10,0.327813
0.0,4,0.328075
0.0,21,0.329094
1.0,16,0.329876
0.0,39,0.331696
1.0,71,0.334959
0.0,26,0.336215
0.0,11,0.336837
0.0,11,0.33741
0.0,10,0.337927
1.0,14,0.338629
0.0,32,0.340147
0.0,21,0.341168
0.0,20,0.342148
0.0,15,0.342887
0.0,35,0.34453
0.0,45,0.346629
0.0,21,0.347651
0.0,28,0.34899
0.0,14,0.349686
0.0,22,0.350744
0.0,21,0.351764
0.0,11,0.352343
0.0,22,0.353411
0.0,32,0.354917
0.0,23,0.356043
0.0,21,0.357063
0.0,28,0.358396
0.0,11,0.358954
0.0,10,0.359478
1.0,14,0.360187
0.0,19,0.361116
0.0,3,0.361321
0.0,21,0.362335
0.0,2,0.362495
1.0,18,0.363382
0.0,20,0.364365
1.0,11,0.364923
0.0,9,0.365407
0.0,29,0.366779
0.0,6,0.367127
0.0,29,0.368503
0.0,5,0.368802
0.0,31,0.370287
1.0,17,0.371126
0.0,20,0.372098
1.0,16,0.372882
0.0,16,0.373678
1.0,13,0.374336
0.0,20,0.37532
0.0,16,0.376118
0.0,35,0.377751
0.0,37,0.37949
0.0,12,0.380109
1.0,19,0.381036
0.0,21,0.382058
0.0,16,0.382843
1.0,7,0.383237
0.0,13,0.383884
0.0,25,0.385095
0.0,8,0.385524
0.0,8,0.385952
0.0,14,0.386656
0.0,6,0.387007
0.0,20,0.387976
0.0,39,0.389792
0.0,20,0.390766
1.0,8,0.391212
0.0,23,0.392312
0.0,6,0.392653
1.0,22,0.393714
0.0,5,0.394021
0.0,7,0.394409
1.0,14,0.395123
1.0,24,0.39628
0.0,19,0.397213
0.0,40,0.399082
0.0,13,0.39973
0.0,4,0.39999
0.0,11,0.400552
0.0,8,0.400994
1.0,19,0.401918
0.0,28,0.40326
0.0,37,0.405013
0.0,54,0.4075
0.0,19,0.408436
0.0,3,0.408642
0.0,20,0.409615
0.0,43,0.411624
0.0,16,0.41242
0.0,7,0.412803
0.0,24,0.413954
0.0,9,0.414437
1.0,9,0.41491
0.0,19,0.415839
0.0,7,0.416232
0.0,8,0.41666
0.0,11,0.417236
0.0,31,0.418698
0.0,31,0.420174
0.0,15,0.420921
1.0,23,0.422038
0.0,8,0.422466
1.0,11,0.423044
0.0,19,0.423959
0.0,12,0.424574
0.0,8,0.425018
1.0,13,0.425668
0.0,7,0.426062
0.0,4,0.426313
1.0,16,0.427106
1.0,13,0.427754
0.0,26,0.429005
0.0,7,0.429389
1.0,9,0.429862
1.0,16,0.430655
0.0,50,0.432979
0.0,19,0.433898
1.0,63,0.436792
1.0,14,0.437554
0.0,95,0.441881
0.0,13,0.442547
1.0,30,0.443966
1.0,8,0.444406
0.0,7,0.444787
1.0,12,0.445404
0.0,35,0.447041
1.0,10,0.447555
1.0,29,0.448927
0.0,12,0.449542
1.0,23,0.450647
0.0,31,0.452114
0.0,37,0.453844
0.0,30,0.455275
0.0,14,0.45598
0.0,10,0.456501
0.0,18,0.45738
0.0,11,0.457942
0.0,36,0.459627
0.0,8,0.460064
0.0,16,0.460841
0.0,11,0.461414
0.0,15,0.462168
0.0,10,0.462686
0.0,15,0.463436
0.0,30,0.464854
