#{"t_start": 1522664083.842426, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,11,0.035765
0.0,13,0.036575
0.0,17,0.037436
0.0,72,0.040792
0.0,17,0.041646
1.0,35,0.043329
0.0,11,0.043902
0.0,23,0.045031
0.0,24,0.04621
0.0,33,0.047787
0.0,13,0.048457
0.0,70,0.051715
1.0,32,0.053255
0.0,24,0.054433
0.0,15,0.0552
1.0,16,0.056014
0.0,14,0.056719
0.0,100,0.06139
0.0,45,0.063522
0.0,38,0.065342
0.0,6,0.06569
0.0,23,0.066821
0.0,35,0.068508
0.0,11,0.069093
0.0,5,0.069394
0.0,2,0.069555
0.0,33,0.071138
0.0,7,0.071527
0.0,8,0.071975
0.0,38,0.07378
0.0,6,0.074137
0.0,8,0.074577
0.0,8,0.075024
0.0,12,0.075642
0.0,3,0.075863
0.0,34,0.077489
0.0,12,0.07812
0.0,15,0.078881
0.0,60,0.081693
0.0,7,0.082096
0.0,18,0.082993
0.0,18,0.083897
0.0,13,0.084561
0.0,27,0.085888
0.0,31,0.087379
0.0,5,0.087677
0.0,9,0.088168
1.0,12,0.088785
0.0,29,0.090188
0.0,2,0.090353
0.0,11,0.090931
0.0,16,0.091728
0.0,15,0.092483
0.0,9,0.092979
0.0,24,0.094145
0.0,35,0.095813
0.0,28,0.097179
0.0,64,0.10018
0.0,12,0.100801
0.0,25,0.102028
0.0,22,0.103105
0.0,12,0.103722
0.0,6,0.104073
0.0,18,0.104977
1.0,26,0.106242
0.0,22,0.107316
0.0,10,0.10784
0.0,20,0.108824
0.0,49,0.111138
0.0,29,0.11253
0.0,11,0.113114
0.0,9,0.113591
0.0,42,0.115582
0.0,35,0.117262
0.0,11,0.117837
0.0,36,0.119549
0.0,13,0.120221
0.0,8,0.120656
0.0,4,0.12092
0.0,27,0.122219
0.0,10,0.122743
0.0,22,0.12382
0.0,9,0.124311
0.0,51,0.126719
0.0,20,0.127702
0.0,5,0.128014
0.0,53,0.130496
0.0,14,0.131213
0.0,45,0.133339
0.0,25,0.134552
0.0,29,0.135959
0.0,25,0.137237
0.0,14,0.137958
0.0,44,0.14004
0.0,6,0.140387
0.0,5,0.140688
0.0,9,0.141179
0.0,16,0.141986
0.0,14,0.142695
0.0,24,0.143873
0.0,5,0.144172
0.0,80,0.147896
0.0,11,0.148467
0.0,18,0.149365
0.0,9,0.149843
0.0,5,0.150152
0.0,11,0.150721
0.0,11,0.151305
0.0,25,0.152516
0.0,4,0.152773
0.0,34,0.154393
0.0,28,0.155743
0.0,16,0.156557
1.0,7,0.156959
0.0,10,0.157484
0.0,50,0.159829
0.0,7,0.160222
0.0,27,0.161519
0.0,18,0.162417
0.0,24,0.163585
0.0,9,0.164076
0.0,21,0.165103
0.0,15,0.165877
1.0,10,0.166402
0.0,10,0.166937
1.0,13,0.167603
0.0,3,0.167808
0.0,34,0.169436
0.0,25,0.170651
0.0,14,0.171373
0.0,87,0.175419
0.0,35,0.177106
0.0,17,0.177961
0.0,14,0.178668
0.0,40,0.180562
0.0,50,0.182923
0.0,17,0.183766
0.0,49,0.186084
0.0,6,0.18643
0.0,13,0.187103
0.0,42,0.189093
0.0,5,0.189396
0.0,47,0.191598
0.0,79,0.19528
0.0,13,0.19596
0.0,11,0.196531
0.0,32,0.198064
0.0,8,0.198495
0.0,25,0.199712
0.0,2,0.199888
0.0,10,0.200412
0.0,39,0.20227
0.0,26,0.203527
1.0,14,0.204242
0.0,6,0.204589
1.0,49,0.206906
0.0,16,0.207705
0.0,9,0.208193
0.0,21,0.209224
1.0,16,0.210034
0.0,5,0.21033
0.0,9,0.210806
0.0,6,0.211161
0.0,13,0.211819
0.0,14,0.212533
0.0,26,0.213793
0.0,25,0.215026
0.0,23,0.216156
0.0,40,0.218055
0.0,22,0.219136
0.0,95,0.223528
0.0,11,0.224109
0.0,8,0.224545
0.0,9,0.225035
0.0,5,0.225337
0.0,72,0.228698
1.0,31,0.230192
0.0,11,0.23076
0.0,20,0.231741
0.0,39,0.233604
0.0,72,0.236969
1.0,36,0.238735
0.0,7,0.239134
0.0,58,0.241841
0.0,9,0.242327
0.0,15,0.243092
0.0,10,0.243619
0.0,2,0.24378
0.0,13,0.244447
0.0,9,0.244936
0.0,52,0.24737
0.0,8,0.247804
0.0,56,0.250422
0.0,80,0.254144
0.0,15,0.254905
1.0,7,0.255295
0.0,48,0.257549
0.0,11,0.258132
0.0,11,0.258699
0.0,11,0.259275
0.0,7,0.259664
0.0,12,0.260291
0.0,32,0.261828
0.0,8,0.262272
1.0,36,0.263995
0.0,6,0.264341
0.0,100,0.268989
1.0,31,0.270479
0.0,42,0.272455
1.0,52,0.274891
