#{"t_start": 1522606723.9280765, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.035747
0.0,4,0.036153
0.0,3,0.036473
0.0,9,0.037182
0.0,26,0.039051
0.0,12,0.039981
0.0,23,0.041243
0.0,24,0.042392
0.0,16,0.043175
0.0,27,0.044464
0.0,12,0.045066
0.0,31,0.046531
0.0,29,0.047903
0.0,74,0.051291
0.0,4,0.051545
0.0,5,0.051835
0.0,10,0.052359
0.0,29,0.053728
0.0,32,0.055237
0.0,10,0.055758
0.0,16,0.056549
0.0,5,0.056843
0.0,3,0.057045
0.0,17,0.057887
0.0,10,0.058418
0.0,13,0.059061
0.0,58,0.061733
0.0,12,0.062346
0.0,6,0.062687
0.0,13,0.063348
0.0,10,0.063866
0.0,4,0.064112
0.0,30,0.065525
0.0,8,0.065955
0.0,9,0.066438
0.0,14,0.067132
0.0,6,0.06748
0.0,25,0.068675
0.0,7,0.069057
0.0,22,0.070104
1.0,13,0.070772
0.0,10,0.071302
0.0,15,0.072042
0.0,18,0.072927
0.0,4,0.073175
0.0,23,0.074281
0.0,28,0.075611
0.0,2,0.075772
0.0,4,0.076021
0.0,5,0.076325
0.0,9,0.076797
0.0,3,0.076999
0.0,3,0.077204
0.0,7,0.077595
0.0,11,0.078156
0.0,42,0.080101
1.0,11,0.080679
0.0,4,0.080929
0.0,19,0.081855
0.0,14,0.082561
1.0,14,0.083266
0.0,4,0.083515
0.0,12,0.084122
0.0,14,0.084825
0.0,3,0.085031
0.0,9,0.085509
0.0,3,0.085713
0.0,13,0.086368
0.0,9,0.086835
0.0,7,0.087222
0.0,4,0.08747
0.0,10,0.087981
1.0,29,0.089349
0.0,14,0.090045
0.0,3,0.090265
0.0,23,0.091369
0.0,9,0.09184
0.0,21,0.092849
0.0,12,0.093467
0.0,7,0.093846
0.0,73,0.097179
0.0,47,0.099353
0.0,45,0.10145
0.0,27,0.10274
0.0,15,0.103482
0.0,44,0.10553
0.0,7,0.105911
0.0,57,0.108536
0.0,4,0.108787
0.0,18,0.109669
0.0,28,0.110995
0.0,44,0.113035
0.0,42,0.114991
0.0,28,0.116328
0.0,9,0.116802
0.0,8,0.117239
0.0,41,0.11914
0.0,4,0.119401
0.0,8,0.11983
0.0,39,0.121658
0.0,4,0.121907
0.0,2,0.122064
0.0,14,0.12277
0.0,5,0.123062
0.0,2,0.123231
0.0,4,0.12348
0.0,25,0.124671
0.0,25,0.125868
0.0,12,0.126486
0.0,2,0.126647
0.0,64,0.129593
0.0,20,0.130569
0.0,10,0.131085
0.0,39,0.132903
0.0,37,0.134644
0.0,15,0.13539
0.0,6,0.13579
1.0,24,0.13693
0.0,22,0.137987
0.0,4,0.138245
0.0,12,0.138852
0.0,10,0.139373
0.0,7,0.139754
1.0,10,0.140288
0.0,12,0.140891
0.0,10,0.141419
0.0,10,0.141938
0.0,18,0.142821
0.0,54,0.145323
0.0,2,0.145483
0.0,26,0.146715
0.0,82,0.150475
0.0,3,0.150679
0.0,4,0.150923
0.0,10,0.151449
0.0,3,0.151655
0.0,10,0.152169
0.0,22,0.153229
0.0,10,0.153744
0.0,9,0.154219
0.0,61,0.157012
0.0,3,0.157227
0.0,7,0.157608
0.0,5,0.157898
1.0,12,0.158511
1.0,15,0.15925
0.0,13,0.159896
0.0,5,0.160189
0.0,17,0.16103
0.0,36,0.162708
0.0,2,0.162866
0.0,15,0.163611
0.0,8,0.164039
0.0,5,0.164341
0.0,12,0.164946
0.0,3,0.165148
0.0,17,0.165984
0.0,4,0.166242
0.0,9,0.166713
0.0,2,0.166874
0.0,7,0.167268
0.0,15,0.168003
0.0,32,0.169505
0.0,5,0.169797
