#{"t_start": 1522646747.4584084, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.034445
0.0,3,0.034839
0.0,1,0.035008
0.0,21,0.036565
0.0,6,0.037077
0.0,10,0.037874
0.0,11,0.038651
0.0,9,0.039127
0.0,15,0.039883
0.0,13,0.040543
0.0,13,0.041193
0.0,14,0.041901
0.0,16,0.042696
0.0,27,0.043984
0.0,29,0.045368
0.0,8,0.045795
0.0,27,0.047069
0.0,30,0.048501
0.0,16,0.049305
0.0,5,0.049598
0.0,5,0.049891
0.0,8,0.050333
0.0,4,0.050587
0.0,6,0.050924
0.0,1,0.051036
0.0,2,0.051195
0.0,6,0.051545
0.0,6,0.051883
0.0,8,0.052321
0.0,12,0.052922
0.0,4,0.05317
0.0,32,0.054688
0.0,1,0.054804
0.0,19,0.055732
1.0,12,0.056352
0.0,6,0.056688
0.0,1,0.056801
0.0,1,0.056912
0.0,3,0.057119
0.0,10,0.057648
1.0,9,0.058124
0.0,4,0.058388
0.0,1,0.058504
0.0,4,0.058754
0.0,7,0.059137
0.0,5,0.059441
0.0,14,0.060132
0.0,11,0.060708
0.0,12,0.061322
0.0,12,0.061928
0.0,11,0.062507
0.0,5,0.0628
0.0,12,0.063416
0.0,9,0.063891
0.0,15,0.064637
0.0,2,0.064796
0.0,25,0.065984
0.0,13,0.066642
0.0,10,0.06716
0.0,15,0.067909
0.0,11,0.06849
0.0,7,0.068872
0.0,8,0.069306
1.0,10,0.069826
0.0,3,0.07003
0.0,29,0.071406
0.0,8,0.071831
0.0,31,0.073304
0.0,2,0.073465
0.0,14,0.074158
0.0,13,0.074816
0.0,2,0.074975
0.0,6,0.075324
0.0,8,0.075758
0.0,11,0.076325
0.0,15,0.077063
0.0,5,0.077368
0.0,13,0.078017
0.0,11,0.078593
0.0,13,0.07924
0.0,12,0.079854
0.0,7,0.080236
0.0,15,0.080988
0.0,16,0.081779
0.0,7,0.082163
0.0,3,0.082376
0.0,29,0.083739
0.0,4,0.083989
0.0,22,0.085044
0.0,9,0.085528
0.0,6,0.085867
0.0,4,0.086115
0.0,25,0.087309
0.0,8,0.087739
0.0,16,0.08854
0.0,2,0.0887
0.0,6,0.089044
0.0,1,0.089156
0.0,9,0.08964
0.0,3,0.089846
0.0,7,0.090228
0.0,9,0.090705
0.0,9,0.091176
0.0,5,0.091479
0.0,1,0.091594
0.0,21,0.092611
0.0,10,0.093127
0.0,16,0.093921
0.0,8,0.094361
0.0,6,0.094701
0.0,3,0.094904
0.0,7,0.095294
0.0,8,0.095721
0.0,17,0.096558
0.0,5,0.096852
0.0,9,0.097337
0.0,1,0.09745
0.0,5,0.09774
0.0,1,0.097855
0.0,10,0.098387
0.0,4,0.098638
0.0,2,0.098797
0.0,6,0.099133
0.0,7,0.099528
0.0,12,0.100133
0.0,2,0.100302
0.0,9,0.100773
0.0,13,0.101433
0.0,7,0.101815
0.0,9,0.102299
0.0,22,0.10336
0.0,5,0.103654
0.0,8,0.104081
0.0,21,0.105093
0.0,5,0.105396
0.0,11,0.105952
0.0,9,0.106436
0.0,2,0.106595
0.0,19,0.107522
0.0,26,0.108756
0.0,6,0.109093
0.0,9,0.109578
0.0,16,0.110374
0.0,1,0.110488
0.0,9,0.110957
0.0,16,0.111749
0.0,4,0.111998
0.0,13,0.112655
0.0,2,0.112815
0.0,16,0.113605
0.0,22,0.114659
0.0,42,0.116613
0.0,21,0.117625
0.0,2,0.117783
0.0,2,0.117943
0.0,19,0.118874
0.0,5,0.119171
0.0,6,0.119521
0.0,16,0.120314
0.0,10,0.120831
0.0,3,0.121035
0.0,7,0.121427
0.0,20,0.122398
0.0,28,0.123718
0.0,8,0.124145
0.0,4,0.124406
0.0,8,0.124832
0.0,9,0.12531
0.0,5,0.125604
0.0,6,0.12594
0.0,3,0.126142
0.0,11,0.126708
0.0,3,0.126914
0.0,20,0.127881
0.0,20,0.12886
0.0,10,0.129387
0.0,32,0.130889
0.0,30,0.132308
0.0,12,0.132918
0.0,3,0.133121
0.0,6,0.133468
0.0,3,0.133672
0.0,17,0.134507
0.0,17,0.135406
0.0,3,0.13561
0.0,7,0.135991
0.0,7,0.136383
0.0,1,0.136495
0.0,13,0.137141
0.0,1,0.137261
0.0,2,0.137422
0.0,7,0.137806
0.0,18,0.138691
0.0,3,0.138894
0.0,4,0.139142
0.0,13,0.1398
0.0,21,0.140813
0.0,5,0.141107
0.0,3,0.141318
0.0,32,0.142823
0.0,7,0.143205
0.0,7,0.143594
1.0,11,0.144159
0.0,16,0.144946
0.0,1,0.14506
0.0,6,0.145411
0.0,5,0.145702
0.0,8,0.146127
0.0,5,0.14643
0.0,49,0.148694
0.0,5,0.148989
0.0,20,0.149952
0.0,16,0.150739
0.0,1,0.150852
0.0,4,0.151102
0.0,5,0.151406
0.0,3,0.151611
0.0,20,0.152579
0.0,47,0.154757
0.0,8,0.15518
0.0,20,0.156142
0.0,8,0.156577
0.0,5,0.156869
0.0,11,0.15744
0.0,1,0.157552
0.0,2,0.157708
0.0,10,0.158222
0.0,2,0.158393
0.0,5,0.158686
0.0,10,0.159199
1.0,12,0.159814
0.0,5,0.160107
0.0,31,0.161571
0.0,16,0.162364
0.0,3,0.162577
0.0,12,0.16318
0.0,16,0.16397
0.0,27,0.165262
0.0,5,0.165555
0.0,8,0.165977
0.0,4,0.166223
0.0,11,0.166793
0.0,10,0.167323
0.0,5,0.167618
0.0,16,0.168414
0.0,19,0.169336
0.0,9,0.169803
0.0,13,0.170482
0.0,20,0.171447
0.0,24,0.172599
0.0,4,0.172848
0.0,8,0.17328
0.0,3,0.173483
0.0,23,0.174578
0.0,6,0.174918
0.0,11,0.175489
0.0,7,0.175869
0.0,8,0.17631
0.0,1,0.176425
0.0,10,0.176935
0.0,4,0.177181
0.0,17,0.178013
0.0,3,0.178218
