#{"t_start": 1522626552.739348, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,10,0.03531
0.0,5,0.035639
0.0,4,0.035891
0.0,3,0.036107
0.0,2,0.036266
0.0,8,0.036691
0.0,5,0.036982
0.0,12,0.037595
0.0,11,0.038165
0.0,7,0.038549
0.0,1,0.038661
0.0,2,0.038818
0.0,5,0.039196
0.0,5,0.039495
0.0,8,0.039916
0.0,2,0.040086
0.0,4,0.040333
0.0,6,0.040676
0.0,5,0.040967
0.0,9,0.041446
0.0,9,0.041915
0.0,10,0.04244
0.0,4,0.042692
0.0,11,0.043278
0.0,3,0.043482
0.0,7,0.043864
0.0,7,0.044258
0.0,1,0.044371
0.0,7,0.044755
0.0,11,0.045325
0.0,7,0.045706
0.0,4,0.045956
0.0,14,0.046654
0.0,11,0.047222
0.0,4,0.047468
0.0,3,0.047673
0.0,9,0.048156
0.0,9,0.048622
0.0,15,0.049366
0.0,47,0.051535
0.0,18,0.052418
0.0,8,0.05284
0.0,17,0.053688
0.0,6,0.054027
0.0,1,0.054152
0.0,3,0.054357
0.0,14,0.055057
0.0,25,0.056255
0.0,8,0.056686
0.0,1,0.056798
0.0,8,0.057236
0.0,21,0.058253
0.0,7,0.058635
0.0,31,0.060095
0.0,52,0.062481
0.0,3,0.06269
0.0,35,0.064344
0.0,5,0.064643
0.0,4,0.064893
0.0,6,0.065245
0.0,27,0.066525
0.0,8,0.06695
0.0,27,0.06824
0.0,8,0.068666
0.0,6,0.069
0.0,6,0.069348
0.0,5,0.069643
0.0,8,0.07008
0.0,1,0.070194
0.0,4,0.070444
0.0,3,0.070649
0.0,3,0.070851
0.0,8,0.071291
0.0,6,0.071632
0.0,17,0.072468
0.0,5,0.072767
0.0,10,0.073301
0.0,56,0.075869
0.0,7,0.076267
0.0,17,0.077138
0.0,13,0.077791
0.0,5,0.078097
0.0,9,0.078569
0.0,10,0.079098
0.0,19,0.08002
0.0,8,0.080454
0.0,3,0.080657
0.0,3,0.080859
0.0,10,0.081385
0.0,4,0.081638
0.0,3,0.081843
0.0,21,0.082855
0.0,7,0.083258
0.0,3,0.083465
0.0,4,0.083712
0.0,4,0.083958
0.0,8,0.084396
0.0,2,0.084558
0.0,3,0.084761
0.0,6,0.085111
0.0,2,0.085271
0.0,2,0.085428
0.0,6,0.085766
0.0,3,0.085968
0.0,22,0.087021
0.0,23,0.088135
0.0,7,0.088516
0.0,1,0.088633
0.0,12,0.089246
0.0,18,0.090128
0.0,5,0.09042
0.0,3,0.090623
0.0,10,0.091145
0.0,5,0.091438
0.0,14,0.092139
0.0,36,0.093818
0.0,6,0.094171
0.0,27,0.095449
0.0,16,0.096248
0.0,11,0.096809
0.0,7,0.097203
0.0,4,0.097454
0.0,5,0.097748
0.0,10,0.098279
0.0,4,0.098529
0.0,29,0.099893
0.0,5,0.100205
0.0,6,0.100546
0.0,4,0.100792
0.0,12,0.101405
0.0,8,0.10183
0.0,11,0.102408
0.0,4,0.102658
0.0,5,0.102952
0.0,12,0.103571
0.0,8,0.103998
0.0,2,0.10417
0.0,3,0.104376
0.0,48,0.106597
0.0,7,0.106981
0.0,18,0.107862
0.0,29,0.109246
0.0,42,0.111202
0.0,16,0.111979
0.0,9,0.112468
0.0,9,0.112944
0.0,6,0.113298
0.0,1,0.113411
0.0,4,0.113662
0.0,5,0.113957
0.0,7,0.114353
0.0,29,0.115721
0.0,3,0.115926
0.0,7,0.116324
0.0,16,0.117112
0.0,4,0.117363
0.0,4,0.11761
0.0,13,0.118272
0.0,22,0.119334
0.0,26,0.120567
0.0,27,0.121845
0.0,6,0.122202
0.0,1,0.122316
0.0,1,0.122428
0.0,1,0.12254
0.0,3,0.122745
0.0,12,0.123368
0.0,13,0.124018
0.0,15,0.124771
0.0,2,0.12493
0.0,7,0.125321
0.0,4,0.125572
0.0,6,0.12591
0.0,43,0.127902
0.0,16,0.128696
0.0,30,0.130116
0.0,47,0.132288
0.0,30,0.133699
0.0,24,0.134847
0.0,10,0.135491
0.0,9,0.135966
0.0,17,0.136805
0.0,5,0.137113
0.0,4,0.137361
0.0,4,0.13761
0.0,3,0.137814
0.0,4,0.138074
0.0,14,0.138767
0.0,6,0.139113
0.0,40,0.140959
0.0,8,0.1414
0.0,13,0.142058
0.0,8,0.142483
0.0,1,0.142597
0.0,32,0.144111
0.0,10,0.144627
0.0,7,0.145005
0.0,11,0.145567
0.0,3,0.145771
0.0,27,0.147063
0.0,13,0.147714
0.0,4,0.147962
0.0,10,0.148496
0.0,40,0.150366
0.0,11,0.150926
0.0,21,0.151935
0.0,14,0.152648
0.0,25,0.153847
0.0,25,0.155053
0.0,9,0.155526
0.0,19,0.156458
0.0,8,0.156884
0.0,18,0.157762
0.0,6,0.158116
0.0,6,0.158454
0.0,9,0.158921
0.0,50,0.161247
0.0,6,0.161585
0.0,3,0.161789
0.0,8,0.16223
0.0,4,0.162477
0.0,26,0.163712
0.0,14,0.164418
0.0,7,0.1648
0.0,19,0.165723
0.0,68,0.168846
0.0,6,0.169195
0.0,4,0.169447
0.0,5,0.169742
0.0,68,0.172852
0.0,5,0.173162
0.0,28,0.174487
0.0,18,0.175365
0.0,3,0.175574
0.0,4,0.175826
0.0,9,0.176313
0.0,1,0.176429
0.0,5,0.176723
0.0,7,0.177119
0.0,45,0.179199
0.0,1,0.179316
0.0,6,0.179651
0.0,8,0.180092
0.0,21,0.181111
0.0,5,0.181403
0.0,6,0.181739
0.0,5,0.182032
0.0,1,0.182158
0.0,9,0.182646
0.0,13,0.183314
0.0,10,0.183832
0.0,1,0.183944
0.0,2,0.184117
0.0,14,0.184813
0.0,5,0.185118
0.0,31,0.186569
0.0,12,0.187189
0.0,5,0.187482
0.0,1,0.187594
0.0,31,0.189064
0.0,16,0.189848
0.0,4,0.190114
0.0,6,0.190453
0.0,10,0.19097
0.0,9,0.191454
0.0,13,0.192118
0.0,11,0.19268
