#{"t_start": 1522638969.074065, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.009954
0.0,9,0.010254
0.0,14,0.010678
0.0,18,0.011152
0.0,62,0.01251
0.0,46,0.013523
0.0,21,0.014012
0.0,14,0.014376
0.0,21,0.014937
0.0,3,0.015067
0.0,5,0.015237
0.0,1,0.015318
0.0,20,0.015804
0.0,86,0.017691
0.0,6,0.017896
0.0,9,0.01814
0.0,11,0.01843
0.0,17,0.018833
0.0,17,0.019252
0.0,6,0.019457
0.0,37,0.020274
0.0,29,0.020944
0.0,25,0.021526
0.0,49,0.022636
1.0,31,0.023362
0.0,18,0.023809
0.0,35,0.024622
0.0,2,0.02473
1.0,18,0.025177
0.0,23,0.025737
0.0,4,0.025889
1.0,34,0.026672
0.0,11,0.026968
0.0,15,0.027349
1.0,51,0.028483
1.0,8,0.028707
0.0,6,0.028898
0.0,8,0.029121
0.0,19,0.029588
0.0,6,0.029784
0.0,13,0.030137
0.0,16,0.030546
0.0,29,0.031224
0.0,8,0.031458
0.0,12,0.031764
1.0,9,0.032019
0.0,10,0.03229
0.0,8,0.032523
1.0,16,0.032919
0.0,12,0.033226
1.0,18,0.033671
0.0,8,0.033901
0.0,7,0.034111
0.0,16,0.034534
0.0,6,0.034744
0.0,10,0.035019
0.0,28,0.035666
0.0,4,0.035818
1.0,32,0.036544
0.0,20,0.037023
0.0,3,0.03715
0.0,21,0.037657
0.0,24,0.038234
0.0,15,0.038623
0.0,19,0.039085
0.0,5,0.039253
0.0,9,0.039507
0.0,25,0.040091
0.0,19,0.040571
0.0,5,0.040736
1.0,15,0.041117
0.0,9,0.041358
0.0,1,0.041446
1.0,9,0.041708
0.0,7,0.041922
0.0,13,0.04227
0.0,41,0.043178
0.0,9,0.043448
0.0,5,0.043628
0.0,6,0.043864
0.0,25,0.044455
0.0,6,0.044647
0.0,7,0.04485
0.0,15,0.045223
0.0,5,0.045393
0.0,5,0.045563
0.0,25,0.046143
0.0,9,0.046393
0.0,18,0.046827
0.0,47,0.047891
0.0,9,0.04814
0.0,9,0.048392
1.0,25,0.048987
0.0,7,0.0492
1.0,9,0.049468
0.0,11,0.049761
1.0,18,0.050191
0.0,20,0.050665
0.0,8,0.050889
0.0,16,0.051287
0.0,57,0.052516
1.0,17,0.052935
0.0,31,0.053648
0.0,25,0.054255
1.0,14,0.054672
0.0,7,0.054929
0.0,27,0.055555
0.0,52,0.056741
0.0,12,0.057051
0.0,1,0.057127
1.0,19,0.057608
0.0,25,0.058211
0.0,16,0.058623
0.0,9,0.058882
0.0,10,0.05916
0.0,10,0.059443
1.0,6,0.059628
0.0,42,0.060578
0.0,5,0.060778
0.0,20,0.061248
0.0,17,0.061685
0.0,29,0.062347
0.0,14,0.062776
0.0,9,0.063024
0.0,2,0.063129
0.0,6,0.063327
0.0,16,0.063787
0.0,6,0.063973
1.0,27,0.064606
1.0,38,0.065476
1.0,22,0.066023
0.0,5,0.066189
1.0,24,0.066772
0.0,19,0.067241
0.0,8,0.067473
0.0,5,0.067634
1.0,17,0.06804
1.0,9,0.068281
1.0,18,0.068776
1.0,10,0.069043
0.0,42,0.07001
0.0,23,0.070565
0.0,1,0.070643
1.0,26,0.07124
0.0,5,0.071401
0.0,16,0.071852
0.0,4,0.072004
1.0,15,0.072389
0.0,15,0.072814
0.0,6,0.073015
0.0,8,0.07324
0.0,17,0.073653
0.0,25,0.074235
0.0,22,0.07477
0.0,2,0.074872
0.0,3,0.074993
0.0,16,0.075397
1.0,8,0.075627
0.0,25,0.076186
1.0,29,0.076864
0.0,8,0.077086
0.0,14,0.077445
0.0,2,0.077545
0.0,3,0.077664
0.0,6,0.077854
0.0,5,0.078016
0.0,22,0.078536
0.0,20,0.079007
0.0,18,0.079449
0.0,7,0.079662
0.0,6,0.079852
0.0,24,0.080444
0.0,26,0.081053
0.0,1,0.081133
0.0,6,0.081332
1.0,11,0.08164
0.0,11,0.081934
0.0,19,0.082387
0.0,1,0.082471
1.0,11,0.08277
1.0,29,0.083433
0.0,28,0.084088
0.0,4,0.084241
0.0,3,0.084362
0.0,1,0.084452
0.0,3,0.084582
0.0,50,0.085662
1.0,23,0.086193
0.0,5,0.086366
0.0,7,0.086577
1.0,11,0.086868
0.0,7,0.087069
0.0,5,0.087228
0.0,7,0.087449
0.0,27,0.088067
0.0,34,0.088845
0.0,7,0.089052
0.0,7,0.089273
0.0,22,0.08981
0.0,13,0.090148
1.0,10,0.090432
1.0,23,0.090965
0.0,4,0.09112
0.0,8,0.091353
