#{"t_start": 1522606101.5069447, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,11,0.03455
0.0,30,0.035982
0.0,6,0.036322
0.0,1,0.03645
0.0,2,0.036608
0.0,5,0.036901
0.0,10,0.037427
0.0,12,0.038027
0.0,7,0.038419
0.0,25,0.039599
0.0,11,0.040159
0.0,8,0.040592
0.0,9,0.041062
0.0,23,0.042159
0.0,1,0.042276
0.0,10,0.042795
0.0,2,0.04296
0.0,7,0.043352
0.0,3,0.04356
0.0,5,0.043852
0.0,39,0.045662
0.0,9,0.046132
0.0,1,0.046246
0.0,6,0.046595
0.0,7,0.046972
0.0,6,0.047304
0.0,8,0.047739
0.0,1,0.047853
0.0,9,0.048316
0.0,12,0.048923
0.0,11,0.049488
0.0,5,0.049784
0.0,5,0.050075
0.0,6,0.050421
0.0,19,0.051344
0.0,5,0.051639
0.0,14,0.052326
0.0,7,0.052723
0.0,10,0.053233
0.0,8,0.053677
0.0,7,0.05406
0.0,4,0.054305
0.0,8,0.054745
0.0,10,0.055256
0.0,1,0.055383
0.0,4,0.05563
0.0,3,0.055835
0.0,6,0.056173
0.0,4,0.056433
0.0,33,0.057952
0.0,15,0.058694
0.0,6,0.059036
0.0,4,0.059282
0.0,5,0.059585
0.0,7,0.059963
0.0,10,0.060485
0.0,18,0.061369
0.0,9,0.061837
0.0,3,0.062039
0.0,6,0.062387
0.0,8,0.06281
0.0,12,0.063417
0.0,4,0.063669
0.0,14,0.064365
0.0,3,0.064568
0.0,4,0.064814
0.0,2,0.064972
0.0,10,0.065499
0.0,11,0.066058
0.0,19,0.066975
0.0,17,0.067808
0.0,4,0.068059
0.0,1,0.068172
0.0,6,0.068525
0.0,5,0.06882
0.0,12,0.069427
0.0,4,0.069675
0.0,64,0.072589
0.0,4,0.072838
0.0,10,0.073356
0.0,10,0.07388
0.0,21,0.074894
0.0,5,0.075191
0.0,1,0.075306
0.0,11,0.075869
0.0,7,0.076249
0.0,20,0.07721
0.0,4,0.07747
0.0,14,0.078158
0.0,2,0.07832
0.0,12,0.078931
0.0,17,0.079768
0.0,4,0.080017
0.0,17,0.080849
0.0,1,0.080965
0.0,6,0.081299
0.0,9,0.081779
0.0,14,0.082479
0.0,3,0.082686
0.0,13,0.083344
0.0,3,0.083551
0.0,11,0.084102
0.0,5,0.084404
0.0,11,0.084955
0.0,1,0.08507
0.0,10,0.085592
0.0,9,0.086069
0.0,10,0.086603
0.0,10,0.087111
0.0,22,0.088157
0.0,8,0.088596
0.0,8,0.089019
0.0,7,0.089408
0.0,20,0.090369
0.0,7,0.090752
0.0,20,0.091724
0.0,18,0.092605
0.0,10,0.093118
0.0,5,0.093424
0.0,3,0.093631
0.0,6,0.093964
0.0,3,0.094169
0.0,4,0.094426
0.0,8,0.094846
0.0,1,0.094962
0.0,3,0.095164
0.0,12,0.095776
0.0,4,0.096028
0.0,8,0.096464
0.0,13,0.097107
0.0,12,0.097716
0.0,17,0.098554
0.0,5,0.098847
0.0,8,0.099267
0.0,10,0.099792
0.0,12,0.100414
0.0,1,0.100528
0.0,3,0.100732
1.0,11,0.101287
0.0,21,0.102303
0.0,18,0.103184
0.0,1,0.103297
0.0,7,0.103687
0.0,10,0.104196
0.0,12,0.104802
0.0,6,0.105138
0.0,3,0.105355
0.0,6,0.10569
0.0,11,0.106243
0.0,19,0.107158
0.0,4,0.107417
0.0,2,0.107579
0.0,8,0.108001
0.0,12,0.108614
0.0,9,0.109085
0.0,15,0.109833
0.0,6,0.110171
0.0,9,0.110648
0.0,4,0.110895
0.0,3,0.1111
0.0,3,0.111302
0.0,24,0.112459
0.0,5,0.112754
0.0,6,0.11309
0.0,9,0.113571
0.0,3,0.113775
0.0,2,0.113938
0.0,11,0.114508
0.0,9,0.114973
0.0,15,0.115716
0.0,10,0.116229
0.0,1,0.116355
0.0,15,0.117083
0.0,23,0.11817
0.0,15,0.118918
0.0,7,0.119297
0.0,7,0.119687
0.0,10,0.1202
0.0,27,0.121494
0.0,10,0.122008
0.0,11,0.122587
0.0,5,0.122884
0.0,11,0.123452
0.0,2,0.123612
0.0,9,0.124076
0.0,9,0.124555
0.0,13,0.125199
0.0,2,0.125369
0.0,9,0.125836
1.0,8,0.126266
0.0,12,0.126878
0.0,13,0.127532
0.0,4,0.12778
0.0,6,0.128116
0.0,6,0.128465
0.0,4,0.128711
0.0,2,0.128872
0.0,7,0.129258
0.0,3,0.129475
0.0,13,0.130114
0.0,4,0.130375
0.0,3,0.130579
0.0,13,0.131228
0.0,25,0.132436
0.0,15,0.133168
0.0,5,0.133471
0.0,30,0.13488
0.0,3,0.135145
0.0,8,0.135582
0.0,4,0.135833
0.0,30,0.13723
0.0,8,0.137669
0.0,8,0.13809
0.0,2,0.13825
0.0,2,0.138418
0.0,1,0.138534
0.0,13,0.13918
0.0,4,0.139439
0.0,1,0.139553
0.0,10,0.140061
0.0,4,0.140307
0.0,5,0.140606
0.0,6,0.14094
0.0,4,0.141186
0.0,7,0.141584
0.0,1,0.141698
0.0,22,0.14275
0.0,14,0.143455
0.0,10,0.143964
0.0,1,0.144076
0.0,4,0.144321
0.0,5,0.144625
0.0,9,0.145093
1.0,7,0.145481
0.0,37,0.147193
0.0,6,0.147543
0.0,5,0.147835
0.0,13,0.148488
0.0,9,0.148961
0.0,5,0.149254
0.0,6,0.149604
0.0,3,0.14981
0.0,8,0.150233
0.0,23,0.151344
0.0,3,0.151549
0.0,10,0.152061
0.0,9,0.152546
0.0,9,0.15301
0.0,14,0.153728
0.0,4,0.153978
0.0,8,0.15441
0.0,22,0.155467
1.0,8,0.155893
0.0,5,0.156185
0.0,11,0.156757
0.0,10,0.157273
0.0,7,0.15766
0.0,4,0.157907
0.0,11,0.158473
0.0,4,0.158724
0.0,1,0.158835
0.0,7,0.159212
0.0,14,0.159907
0.0,19,0.160822
0.0,3,0.161025
0.0,9,0.161511
0.0,1,0.161624
0.0,7,0.162004
0.0,2,0.162162
0.0,5,0.16247
0.0,1,0.16259
0.0,7,0.162974
0.0,21,0.16398
0.0,8,0.164417
0.0,7,0.164797
0.0,9,0.165261
0.0,4,0.165524
0.0,3,0.165729
0.0,3,0.165931
0.0,5,0.166225
0.0,10,0.166752
0.0,13,0.167411
0.0,8,0.167839
0.0,6,0.168176
0.0,13,0.168829
0.0,7,0.169211
0.0,3,0.16943
0.0,3,0.169634
0.0,1,0.169748
0.0,12,0.170358
0.0,11,0.170914
0.0,9,0.171398
0.0,12,0.172004
0.0,5,0.172295
0.0,10,0.172814
0.0,8,0.173245
0.0,16,0.174037
0.0,11,0.174613
0.0,5,0.174906
0.0,6,0.175244
0.0,5,0.175549
0.0,5,0.17584
0.0,1,0.175953
0.0,13,0.17661
0.0,1,0.176725
0.0,16,0.177513
0.0,6,0.177851
1.0,19,0.178768
0.0,24,0.17991
0.0,12,0.180526
0.0,2,0.180691
0.0,2,0.180852
0.0,7,0.181229
0.0,4,0.181496
0.0,5,0.181789
0.0,8,0.182215
0.0,4,0.182474
0.0,5,0.182766
0.0,7,0.183151
0.0,11,0.183717
0.0,12,0.184321
0.0,1,0.184445
0.0,5,0.184739
0.0,8,0.185164
0.0,14,0.18587
0.0,12,0.18648
0.0,7,0.186863
0.0,9,0.187344
0.0,11,0.187897
0.0,14,0.188604
0.0,1,0.188721
0.0,8,0.189149
0.0,6,0.1895
0.0,12,0.190104
0.0,9,0.190581
0.0,2,0.190741
0.0,3,0.190943
0.0,1,0.191056
0.0,3,0.191258
0.0,3,0.19148
0.0,8,0.191903
0.0,9,0.19239
0.0,1,0.192504
0.0,5,0.192794
0.0,15,0.193532
0.0,22,0.194581
0.0,6,0.194917
0.0,2,0.195076
0.0,1,0.195188
0.0,7,0.19558
0.0,3,0.195787
0.0,3,0.195988
0.0,5,0.196278
0.0,6,0.196626
0.0,3,0.19683
0.0,1,0.196949
0.0,1,0.197065
0.0,4,0.197319
0.0,3,0.197537
0.0,4,0.197787
0.0,2,0.197948
0.0,2,0.198105
0.0,2,0.198263
0.0,2,0.198434
0.0,9,0.198906
0.0,4,0.199152
0.0,8,0.199592
0.0,5,0.199883
0.0,11,0.200448
0.0,9,0.200916
0.0,7,0.201298
0.0,6,0.201645
0.0,5,0.20194
0.0,4,0.202189
0.0,24,0.203326
0.0,19,0.204248
0.0,7,0.204643
0.0,11,0.205205
0.0,3,0.20542
0.0,2,0.205579
