#{"t_start": 1522642800.6581104, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.001888
0.0,4,0.002061
0.0,3,0.002194
0.0,3,0.00233
0.0,13,0.002751
0.0,7,0.002963
0.0,5,0.003141
0.0,37,0.004004
0.0,3,0.00414
0.0,27,0.004835
0.0,3,0.004969
0.0,2,0.005078
0.0,21,0.005617
0.0,18,0.006079
0.0,10,0.006351
0.0,25,0.006959
0.0,7,0.00717
0.0,50,0.00829
0.0,46,0.009328
0.0,14,0.009697
0.0,27,0.01033
0.0,26,0.010952
0.0,18,0.011405
0.0,45,0.012422
0.0,4,0.012575
0.0,11,0.012865
0.0,19,0.013341
0.0,21,0.013856
0.0,49,0.01497
0.0,6,0.015174
0.0,2,0.015283
0.0,32,0.016035
0.0,3,0.016159
0.0,8,0.0164
0.0,6,0.016595
0.0,16,0.017002
0.0,8,0.017242
0.0,8,0.017487
0.0,18,0.01793
0.0,16,0.018333
0.0,11,0.018638
0.0,11,0.018943
0.0,42,0.019894
0.0,2,0.020003
0.0,27,0.02063
0.0,28,0.021295
0.0,16,0.021718
0.0,1,0.021805
0.0,5,0.021972
0.0,9,0.022228
0.0,18,0.02268
0.0,24,0.023258
0.0,9,0.023527
0.0,61,0.024898
0.0,13,0.025245
0.0,5,0.025435
0.0,13,0.025778
0.0,12,0.026108
0.0,2,0.026217
0.0,12,0.026549
0.0,13,0.026931
0.0,27,0.027572
0.0,19,0.028044
0.0,3,0.028168
0.0,46,0.029187
0.0,23,0.02976
0.0,2,0.029871
1.0,12,0.030184
0.0,5,0.030348
0.0,3,0.030485
1.0,22,0.031011
0.0,37,0.031915
0.0,3,0.032049
0.0,43,0.033027
0.0,49,0.034158
0.0,16,0.034579
0.0,18,0.035017
0.0,15,0.035409
0.0,24,0.035969
0.0,3,0.036099
0.0,7,0.036307
0.0,11,0.036619
0.0,10,0.036899
1.0,13,0.037237
0.0,19,0.03771
0.0,6,0.037903
0.0,26,0.038535
1.0,7,0.038744
0.0,3,0.038866
0.0,48,0.039953
0.0,9,0.040205
0.0,2,0.040311
0.0,1,0.040398
0.0,6,0.040588
0.0,3,0.040716
0.0,13,0.041066
0.0,4,0.041217
0.0,6,0.041429
0.0,21,0.041949
1.0,14,0.042299
0.0,6,0.042502
0.0,8,0.042744
1.0,53,0.043933
0.0,1,0.044013
0.0,10,0.044289
0.0,21,0.044808
0.0,1,0.044886
0.0,7,0.045097
0.0,44,0.046108
0.0,2,0.046211
0.0,2,0.046318
0.0,6,0.046521
0.0,27,0.047146
0.0,21,0.047695
0.0,1,0.047774
0.0,6,0.047967
0.0,2,0.048074
1.0,13,0.048434
0.0,10,0.048714
0.0,9,0.048969
0.0,13,0.049314
0.0,15,0.049702
0.0,20,0.050201
0.0,14,0.050577
0.0,8,0.050815
0.0,10,0.051094
0.0,38,0.051967
0.0,6,0.052156
0.0,6,0.052346
1.0,21,0.052924
0.0,24,0.05352
0.0,9,0.053793
0.0,2,0.053898
0.0,3,0.054028
1.0,16,0.054451
0.0,10,0.054723
0.0,3,0.054847
0.0,9,0.0551
0.0,28,0.055768
0.0,2,0.055878
0.0,52,0.05705
0.0,2,0.057154
0.0,42,0.058086
0.0,2,0.058188
0.0,19,0.058744
0.0,4,0.058898
1.0,39,0.059875
0.0,11,0.060177
0.0,18,0.060647
0.0,9,0.060906
0.0,4,0.061052
0.0,1,0.061129
0.0,1,0.061206
1.0,11,0.061506
0.0,1,0.061589
0.0,32,0.062352
0.0,17,0.062781
1.0,14,0.063141
0.0,5,0.063317
0.0,5,0.063501
0.0,31,0.064226
0.0,3,0.064352
0.0,13,0.064744
1.0,10,0.06503
1.0,15,0.065425
0.0,1,0.065509
0.0,13,0.065855
0.0,5,0.066022
0.0,1,0.066104
0.0,23,0.066656
0.0,8,0.066899
0.0,9,0.06716
0.0,23,0.067725
0.0,7,0.067934
0.0,14,0.068295
0.0,6,0.0685
1.0,8,0.068741
0.0,15,0.069129
0.0,16,0.069556
0.0,33,0.070424
0.0,7,0.070661
0.0,11,0.070988
0.0,6,0.071183
0.0,2,0.071285
0.0,4,0.07144
1.0,16,0.071836
0.0,5,0.072008
0.0,7,0.072214
0.0,9,0.072484
0.0,26,0.073085
0.0,8,0.073319
0.0,10,0.073663
0.0,17,0.074093
0.0,8,0.074325
0.0,5,0.074502
1.0,18,0.074936
0.0,7,0.075154
0.0,33,0.075917
0.0,1,0.076001
1.0,24,0.076618
0.0,12,0.07696
0.0,8,0.07719
1.0,16,0.077647
0.0,2,0.077766
0.0,7,0.077986
1.0,41,0.07892
0.0,25,0.079538
0.0,1,0.079623
0.0,2,0.079732
0.0,16,0.080137
0.0,7,0.080344
1.0,31,0.081053
0.0,7,0.081266
0.0,20,0.081775
0.0,8,0.082017
0.0,2,0.082126
1.0,40,0.083047
0.0,3,0.08318
0.0,5,0.083356
0.0,19,0.08389
1.0,9,0.08415
0.0,24,0.084727
0.0,8,0.084956
0.0,23,0.085517
0.0,3,0.085642
0.0,48,0.086712
0.0,3,0.086835
0.0,28,0.087496
0.0,9,0.087757
0.0,51,0.088904
0.0,17,0.08933
0.0,20,0.089831
1.0,69,0.091357
0.0,4,0.091519
0.0,13,0.091884
0.0,8,0.092116
1.0,16,0.092521
1.0,13,0.092855
1.0,15,0.093234
0.0,13,0.093599
0.0,16,0.094005
0.0,8,0.094232
0.0,5,0.094413
