#{"t_start": 1522638572.6482234, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.041071
0.0,2,0.041273
0.0,7,0.041672
0.0,2,0.041833
0.0,12,0.04245
0.0,26,0.043808
0.0,21,0.044823
1.0,15,0.04558
0.0,31,0.04704
0.0,11,0.047617
0.0,7,0.048001
0.0,19,0.048933
0.0,24,0.050087
0.0,5,0.050382
0.0,1,0.050506
0.0,2,0.050666
0.0,1,0.050777
0.0,8,0.051202
0.0,19,0.05213
1.0,24,0.053283
0.0,3,0.0535
0.0,7,0.053886
0.0,7,0.054266
0.0,14,0.054973
1.0,24,0.056122
0.0,6,0.056471
0.0,2,0.056631
1.0,9,0.057104
0.0,8,0.05754
0.0,16,0.058324
0.0,15,0.059075
0.0,6,0.059414
0.0,3,0.059625
0.0,1,0.059737
0.0,6,0.060072
0.0,10,0.060603
0.0,1,0.060718
0.0,1,0.060829
0.0,7,0.061209
0.0,5,0.061512
0.0,3,0.061718
0.0,4,0.061966
0.0,3,0.062169
0.0,8,0.062605
0.0,14,0.063297
0.0,10,0.063827
0.0,7,0.064211
0.0,4,0.064469
0.0,15,0.065206
0.0,17,0.066041
0.0,5,0.066338
0.0,4,0.066596
0.0,12,0.0672
0.0,7,0.067592
0.0,2,0.067752
0.0,1,0.067865
0.0,5,0.068156
0.0,4,0.068408
0.0,6,0.06876
0.0,10,0.069283
0.0,2,0.069451
0.0,18,0.070326
0.0,5,0.070628
0.0,4,0.070879
0.0,14,0.071588
0.0,8,0.072013
0.0,15,0.072765
0.0,11,0.073326
0.0,3,0.07354
0.0,5,0.073833
0.0,7,0.074219
0.0,10,0.074749
0.0,2,0.074908
0.0,3,0.075112
0.0,4,0.075359
0.0,8,0.075812
1.0,35,0.07749
0.0,3,0.077697
0.0,3,0.077903
0.0,2,0.078061
0.0,2,0.078218
0.0,5,0.078532
0.0,3,0.078739
0.0,1,0.078854
0.0,15,0.07961
0.0,11,0.080169
0.0,6,0.080519
0.0,26,0.081759
0.0,9,0.08223
1.0,39,0.084051
0.0,22,0.085116
0.0,5,0.08541
0.0,21,0.086422
0.0,14,0.087124
0.0,22,0.088194
0.0,19,0.089133
0.0,4,0.089383
0.0,2,0.089553
0.0,8,0.08998
0.0,6,0.090318
0.0,8,0.090759
1.0,16,0.091548
0.0,7,0.091929
0.0,2,0.092089
0.0,2,0.092247
0.0,2,0.092407
0.0,34,0.094028
0.0,9,0.094516
0.0,6,0.094855
0.0,11,0.095416
0.0,1,0.095536
0.0,19,0.096464
0.0,20,0.097444
0.0,5,0.09774
0.0,15,0.098489
1.0,11,0.099046
0.0,1,0.099157
0.0,3,0.099359
0.0,10,0.099889
1.0,17,0.10073
0.0,9,0.101203
0.0,7,0.101599
0.0,3,0.101803
0.0,1,0.101914
0.0,8,0.102338
0.0,6,0.102689
0.0,18,0.103572
0.0,6,0.103918
0.0,4,0.104166
0.0,4,0.104413
0.0,1,0.104535
0.0,5,0.104827
0.0,11,0.105393
1.0,6,0.105742
0.0,11,0.106301
0.0,9,0.106781
0.0,3,0.106986
0.0,6,0.107324
0.0,4,0.107585
0.0,6,0.107927
0.0,1,0.108039
0.0,11,0.108618
0.0,6,0.108955
0.0,8,0.109383
0.0,4,0.10964
0.0,2,0.1098
0.0,14,0.110509
0.0,6,0.110851
0.0,2,0.111009
0.0,2,0.111168
0.0,5,0.111474
0.0,9,0.111952
0.0,3,0.112156
1.0,15,0.112907
0.0,2,0.113071
0.0,15,0.113819
0.0,13,0.114482
0.0,24,0.115628
0.0,5,0.115922
0.0,21,0.116931
1.0,37,0.118664
0.0,4,0.118916
0.0,1,0.119029
0.0,18,0.11991
0.0,9,0.120381
0.0,4,0.120638
0.0,2,0.120797
0.0,11,0.121357
0.0,19,0.122285
0.0,3,0.122502
0.0,3,0.122706
0.0,4,0.122954
0.0,6,0.123292
0.0,4,0.123553
0.0,4,0.123808
0.0,12,0.124411
0.0,6,0.124756
0.0,4,0.125008
0.0,11,0.125597
0.0,6,0.125935
0.0,16,0.126723
0.0,15,0.127469
0.0,7,0.12785
0.0,38,0.129632
0.0,7,0.130013
1.0,16,0.130804
0.0,5,0.131097
0.0,14,0.1318
1.0,17,0.132634
0.0,19,0.133556
0.0,24,0.134705
0.0,6,0.135044
0.0,11,0.135615
0.0,3,0.135821
0.0,1,0.135933
0.0,11,0.136505
1.0,14,0.137196
0.0,2,0.137353
0.0,4,0.137615
0.0,6,0.137952
0.0,5,0.138247
0.0,6,0.138599
0.0,3,0.13881
0.0,3,0.139012
0.0,3,0.139215
0.0,21,0.140226
0.0,1,0.14034
0.0,18,0.141222
0.0,4,0.141545
0.0,1,0.141659
0.0,10,0.142174
0.0,25,0.143401
0.0,6,0.143748
0.0,2,0.143909
0.0,10,0.144423
0.0,6,0.144773
0.0,3,0.144977
0.0,12,0.145593
0.0,1,0.145708
0.0,6,0.146043
0.0,3,0.146245
0.0,4,0.146502
0.0,9,0.146971
0.0,1,0.147082
0.0,1,0.147192
0.0,10,0.147717
0.0,5,0.148011
0.0,10,0.148537
0.0,12,0.149137
0.0,22,0.150195
0.0,9,0.150685
0.0,4,0.150933
0.0,2,0.15109
0.0,3,0.151293
0.0,6,0.151644
0.0,11,0.152205
0.0,1,0.152318
0.0,14,0.153021
0.0,11,0.153591
0.0,6,0.153935
0.0,7,0.154317
0.0,12,0.15493
0.0,8,0.155356
0.0,3,0.155569
0.0,5,0.155861
0.0,2,0.156021
1.0,12,0.156637
0.0,5,0.156931
0.0,3,0.157135
1.0,23,0.158253
0.0,23,0.159364
0.0,4,0.159623
0.0,3,0.159827
0.0,8,0.160254
0.0,3,0.160467
0.0,26,0.161706
0.0,3,0.161911
1.0,12,0.162525
1.0,21,0.163529
0.0,3,0.163731
0.0,10,0.164246
0.0,1,0.164357
1.0,21,0.165367
0.0,8,0.165805
1.0,20,0.166773
1.0,29,0.168133
0.0,4,0.168381
0.0,7,0.168781
0.0,18,0.169661
0.0,9,0.170135
0.0,9,0.170625
0.0,3,0.170831
0.0,3,0.171036
0.0,12,0.17165
0.0,11,0.172209
0.0,18,0.17309
0.0,17,0.173927
0.0,5,0.174221
0.0,5,0.174525
0.0,10,0.175045
0.0,12,0.175675
1.0,14,0.176366
0.0,9,0.176849
0.0,4,0.177097
0.0,3,0.177299
0.0,15,0.17804
0.0,17,0.17888
0.0,8,0.179303
0.0,6,0.179653
0.0,7,0.180032
0.0,7,0.180414
0.0,3,0.180626
0.0,16,0.181401
0.0,2,0.181569
0.0,10,0.18209
0.0,9,0.182573
0.0,19,0.183499
0.0,2,0.18366
0.0,7,0.184041
1.0,14,0.184744
1.0,12,0.185342
0.0,40,0.187201
0.0,6,0.187549
0.0,15,0.188287
0.0,5,0.188596
