#{"t_start": 1522635580.121557, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,21,0.037917
0.0,100,0.0425
0.0,16,0.043283
0.0,50,0.045561
0.0,81,0.049219
0.0,83,0.052971
0.0,28,0.054291
0.0,28,0.055605
0.0,21,0.056622
0.0,65,0.059592
0.0,34,0.061182
0.0,70,0.064353
0.0,8,0.064777
0.0,7,0.065174
0.0,12,0.065777
0.0,4,0.066023
0.0,59,0.068738
0.0,23,0.069837
0.0,2,0.070001
0.0,58,0.072659
0.0,1,0.072777
0.0,59,0.075477
0.0,20,0.076449
0.0,36,0.078131
0.0,7,0.078513
1.0,30,0.079911
0.0,23,0.081009
0.0,7,0.081406
1.0,55,0.083908
0.0,100,0.088448
1.0,19,0.089373
0.0,10,0.089887
0.0,27,0.091171
1.0,26,0.092395
1.0,26,0.093619
0.0,26,0.094849
1.0,26,0.096081
0.0,4,0.096349
1.0,21,0.097349
0.0,53,0.099787
0.0,4,0.100038
0.0,27,0.101327
0.0,8,0.101752
0.0,4,0.102001
0.0,23,0.103113
1.0,15,0.103849
0.0,54,0.106328
0.0,6,0.106669
1.0,25,0.107845
1.0,11,0.108417
0.0,6,0.108758
1.0,12,0.109367
1.0,29,0.110724
1.0,23,0.111816
0.0,19,0.112739
1.0,10,0.113265
0.0,17,0.114079
0.0,10,0.114608
0.0,5,0.114904
0.0,1,0.11502
0.0,12,0.115632
1.0,58,0.118277
1.0,60,0.121002
0.0,2,0.121176
1.0,15,0.121907
1.0,11,0.122471
0.0,49,0.124706
1.0,79,0.128291
0.0,12,0.128888
0.0,1,0.129003
0.0,8,0.129439
0.0,8,0.12986
1.0,16,0.130644
1.0,30,0.132041
1.0,32,0.133545
1.0,23,0.134628
0.0,1,0.134743
1.0,31,0.136194
1.0,33,0.137727
0.0,4,0.138038
1.0,7,0.138428
1.0,18,0.139305
0.0,5,0.139599
1.0,15,0.140345
0.0,5,0.140638
0.0,3,0.140842
0.0,17,0.14167
1.0,27,0.142941
1.0,13,0.143598
1.0,47,0.145761
0.0,7,0.146154
0.0,24,0.147292
0.0,60,0.150017
0.0,8,0.150451
0.0,10,0.150964
0.0,6,0.151313
0.0,10,0.15182
0.0,18,0.152688
0.0,43,0.154675
0.0,7,0.155058
0.0,84,0.158857
