#{"t_start": 1522609935.8348334, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,70,0.057835
0.0,51,0.060315
0.0,60,0.063164
0.0,37,0.064972
0.0,18,0.065882
0.0,74,0.069355
0.0,24,0.07055
0.0,4,0.070806
0.0,9,0.071286
0.0,11,0.071867
0.0,100,0.076531
0.0,1,0.076646
0.0,10,0.077173
0.0,19,0.078121
0.0,6,0.078476
0.0,55,0.081067
0.0,100,0.085743
0.0,18,0.086646
0.0,30,0.088101
0.0,4,0.088357
0.0,22,0.089453
0.0,6,0.089797
0.0,6,0.090144
0.0,5,0.090454
0.0,3,0.090661
0.0,7,0.091052
0.0,66,0.094154
0.0,55,0.096759
0.0,10,0.09729
0.0,26,0.098565
0.0,1,0.09868
0.0,21,0.099723
0.0,24,0.100897
0.0,30,0.102341
0.0,64,0.105357
0.0,2,0.105529
0.0,31,0.10702
0.0,19,0.107963
0.0,52,0.110433
0.0,82,0.114264
1.0,15,0.115028
0.0,67,0.118167
0.0,100,0.122823
0.0,8,0.123262
0.0,3,0.123477
0.0,3,0.123685
0.0,3,0.123892
0.0,10,0.124429
0.0,8,0.124866
0.0,3,0.125074
0.0,31,0.126571
0.0,17,0.127424
0.0,4,0.127677
0.0,14,0.128393
0.0,1,0.128507
0.0,3,0.128712
0.0,4,0.128964
0.0,20,0.129962
0.0,39,0.131818
0.0,3,0.132027
0.0,33,0.133614
0.0,2,0.133775
0.0,1,0.133887
0.0,5,0.134189
1.0,23,0.135312
0.0,18,0.13621
0.0,24,0.137387
0.0,16,0.138193
0.0,4,0.138455
0.0,8,0.138892
0.0,23,0.140028
0.0,27,0.141338
0.0,2,0.14151
0.0,14,0.142223
0.0,16,0.143039
0.0,2,0.143202
0.0,1,0.143313
0.0,12,0.143938
0.0,9,0.144429
0.0,5,0.144729
0.0,15,0.145494
0.0,24,0.146671
0.0,4,0.146926
0.0,3,0.147133
0.0,9,0.147621
0.0,26,0.148892
0.0,8,0.14935
0.0,19,0.150337
0.0,16,0.151147
0.0,11,0.151732
0.0,10,0.152262
0.0,4,0.152523
0.0,9,0.153026
0.0,10,0.153568
1.0,11,0.154142
0.0,3,0.154346
0.0,3,0.154561
0.0,30,0.156082
0.0,4,0.156336
1.0,19,0.157284
0.0,15,0.158049
0.0,11,0.158627
0.0,17,0.159484
0.0,6,0.159828
0.0,20,0.160819
0.0,11,0.161401
0.0,4,0.161653
0.0,21,0.162694
0.0,1,0.162808
1.0,45,0.164942
0.0,25,0.166161
1.0,13,0.166834
0.0,13,0.167501
0.0,9,0.167986
0.0,36,0.169721
0.0,11,0.170298
1.0,32,0.171839
0.0,8,0.172275
0.0,3,0.17249
0.0,17,0.173339
0.0,5,0.173646
0.0,36,0.175366
0.0,19,0.176332
0.0,37,0.178108
1.0,8,0.178551
1.0,16,0.179371
0.0,16,0.180183
0.0,30,0.181644
0.0,6,0.181988
0.0,15,0.18275
1.0,20,0.183741
0.0,5,0.184039
0.0,71,0.187358
0.0,5,0.187668
1.0,8,0.188101
0.0,33,0.189703
0.0,1,0.189818
0.0,4,0.190068
0.0,4,0.190321
0.0,36,0.192047
1.0,21,0.193087
0.0,10,0.193623
0.0,16,0.194431
0.0,8,0.194867
0.0,11,0.19545
0.0,21,0.196485
1.0,16,0.197288
1.0,18,0.19819
0.0,17,0.199043
0.0,28,0.200414
0.0,37,0.202179
0.0,54,0.204745
0.0,4,0.204999
0.0,25,0.206216
0.0,6,0.206568
0.0,13,0.207228
0.0,10,0.207762
0.0,4,0.208016
0.0,39,0.209886
0.0,9,0.210366
0.0,23,0.211503
0.0,7,0.211892
