#{"t_start": 1522658240.6954596, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.009501
0.0,12,0.009906
0.0,2,0.010047
0.0,6,0.010284
0.0,22,0.010932
0.0,18,0.011502
0.0,15,0.011963
0.0,55,0.013476
0.0,32,0.014395
0.0,2,0.014525
0.0,17,0.015066
0.0,26,0.015804
0.0,38,0.016866
0.0,8,0.017164
0.0,6,0.017397
1.0,20,0.017989
0.0,52,0.019425
0.0,6,0.019663
0.0,16,0.02018
1.0,51,0.021595
1.0,10,0.021928
0.0,40,0.023065
0.0,46,0.024357
0.0,14,0.024794
0.0,3,0.024944
0.0,19,0.025518
0.0,5,0.025723
1.0,31,0.026611
0.0,31,0.027504
1.0,21,0.028121
0.0,7,0.028379
0.0,8,0.028662
0.0,10,0.028986
0.0,33,0.029909
0.0,11,0.030281
0.0,8,0.030563
0.0,35,0.031561
0.0,12,0.03195
0.0,43,0.033153
0.0,26,0.03392
0.0,11,0.034295
0.0,6,0.034528
1.0,13,0.034935
0.0,45,0.036212
0.0,24,0.036909
0.0,19,0.037486
0.0,5,0.037697
0.0,23,0.038382
0.0,6,0.038606
0.0,5,0.038803
0.0,1,0.038896
0.0,11,0.039262
0.0,4,0.039434
0.0,18,0.039983
0.0,39,0.041101
1.0,11,0.041462
0.0,4,0.041632
0.0,4,0.041801
0.0,13,0.042212
0.0,1,0.042308
1.0,19,0.042877
0.0,17,0.043411
0.0,3,0.043558
0.0,8,0.043843
0.0,12,0.044255
0.0,28,0.045075
0.0,2,0.045195
0.0,5,0.045398
0.0,2,0.045516
0.0,37,0.046571
0.0,12,0.046962
0.0,9,0.047282
0.0,20,0.047876
0.0,35,0.048871
0.0,8,0.049167
0.0,4,0.04935
1.0,15,0.049814
0.0,2,0.049932
1.0,58,0.051536
0.0,36,0.052568
0.0,14,0.052999
0.0,19,0.053564
0.0,18,0.054116
0.0,22,0.054755
1.0,37,0.055807
0.0,4,0.055979
0.0,6,0.056219
0.0,32,0.057152
1.0,34,0.058125
0.0,32,0.059044
1.0,28,0.059851
0.0,21,0.060485
0.0,44,0.061704
1.0,8,0.061978
0.0,1,0.062079
1.0,66,0.063833
0.0,43,0.065063
0.0,7,0.065322
1.0,18,0.065873
1.0,12,0.066266
0.0,9,0.066579
1.0,20,0.067186
0.0,6,0.067409
1.0,57,0.068977
1.0,8,0.069262
1.0,18,0.069806
0.0,8,0.070092
1.0,14,0.070522
0.0,15,0.070982
0.0,21,0.071622
1.0,20,0.072233
0.0,14,0.072681
1.0,51,0.074103
0.0,18,0.074631
0.0,2,0.074755
0.0,26,0.075518
1.0,22,0.076182
0.0,36,0.077203
1.0,28,0.077988
0.0,1,0.078086
1.0,11,0.078447
0.0,11,0.078812
0.0,10,0.079162
0.0,6,0.079392
0.0,6,0.079622
1.0,33,0.080565
0.0,2,0.08069
0.0,8,0.080974
0.0,1,0.081072
0.0,30,0.081914
0.0,9,0.082228
1.0,14,0.082664
1.0,20,0.083272
1.0,48,0.084605
1.0,27,0.085394
0.0,75,0.087447
0.0,79,0.089603
1.0,21,0.090238
0.0,1,0.090329
1.0,15,0.090802
0.0,1,0.090895
1.0,7,0.091158
0.0,5,0.091356
0.0,68,0.093208
0.0,100,0.095919
0.0,9,0.09625
0.0,20,0.096854
0.0,5,0.097073
0.0,11,0.097432
0.0,2,0.097558
0.0,16,0.09807
0.0,25,0.098782
0.0,31,0.099676
0.0,4,0.099849
0.0,7,0.100107
1.0,59,0.101686
0.0,1,0.101783
0.0,17,0.102314
0.0,12,0.102704
0.0,10,0.103043
0.0,12,0.103445
1.0,55,0.104944
0.0,28,0.105737
1.0,84,0.107998
0.0,3,0.108218
0.0,5,0.108421
0.0,13,0.108835
0.0,13,0.109272
0.0,28,0.11008
1.0,63,0.111793
1.0,36,0.112813
0.0,3,0.112968
0.0,22,0.113616
0.0,4,0.113797
0.0,26,0.11456
0.0,19,0.115135
0.0,8,0.115409
0.0,24,0.116124
1.0,39,0.117239
0.0,30,0.118118
1.0,26,0.118862
0.0,2,0.118979
1.0,26,0.119747
1.0,28,0.120566
1.0,13,0.120983
0.0,20,0.121582
0.0,20,0.122195
0.0,35,0.123198
0.0,15,0.123664
0.0,5,0.123866
0.0,19,0.124445
1.0,69,0.126352
1.0,18,0.126889
0.0,6,0.127122
1.0,53,0.128577
0.0,14,0.129027
1.0,11,0.129383
0.0,58,0.131004
0.0,23,0.131671
1.0,28,0.13247
1.0,21,0.133091
0.0,67,0.134893
0.0,15,0.135367
0.0,29,0.13621
1.0,67,0.138025
0.0,10,0.138375
0.0,18,0.138952
0.0,14,0.139436
0.0,1,0.139526
0.0,5,0.139727
1.0,38,0.140819
1.0,80,0.143031
0.0,22,0.143666
0.0,9,0.143973
0.0,8,0.144269
1.0,88,0.146645
0.0,4,0.14682
0.0,53,0.148294
0.0,11,0.148658
0.0,19,0.149249
0.0,19,0.149808
0.0,31,0.150719
0.0,2,0.150843
0.0,4,0.151024
0.0,22,0.151672
0.0,58,0.153281
1.0,25,0.154014
0.0,1,0.154109
0.0,100,0.156788
0.0,17,0.157321
0.0,30,0.1582
1.0,9,0.158514
1.0,15,0.158966
0.0,32,0.159891
0.0,9,0.160221
1.0,20,0.160835
0.0,7,0.161099
0.0,20,0.161699
0.0,3,0.161845
0.0,47,0.163181
0.0,12,0.163573
0.0,10,0.163908
1.0,12,0.16432
0.0,25,0.165069
1.0,13,0.165488
0.0,10,0.165823
0.0,13,0.166246
1.0,25,0.166963
0.0,31,0.167871
1.0,8,0.168162
1.0,12,0.168555
1.0,10,0.168879
1.0,20,0.169477
1.0,19,0.17005
0.0,28,0.170853
0.0,21,0.171494
0.0,49,0.172827
0.0,8,0.17313
1.0,30,0.173984
1.0,18,0.174541
1.0,16,0.175025
1.0,9,0.17534
0.0,6,0.175564
1.0,27,0.176347
1.0,31,0.177246
0.0,72,0.179217
0.0,6,0.179445
0.0,7,0.179702
0.0,24,0.180411
0.0,7,0.18067
1.0,60,0.182324
0.0,16,0.182808
0.0,22,0.183485
1.0,25,0.184217
1.0,27,0.184979
0.0,2,0.185109
0.0,10,0.185452
0.0,5,0.185656
1.0,37,0.186729
0.0,2,0.186853
0.0,2,0.186971
0.0,35,0.187981
1.0,29,0.188819
0.0,31,0.189723
0.0,15,0.190205
0.0,66,0.19204
0.0,1,0.192133
0.0,9,0.192447
0.0,1,0.192541
0.0,36,0.193621
0.0,53,0.195118
0.0,1,0.195218
1.0,25,0.195957
0.0,3,0.196113
1.0,25,0.196833
0.0,33,0.19779
1.0,26,0.198558
0.0,34,0.199526
0.0,19,0.200099
0.0,22,0.200747
1.0,10,0.201087
0.0,5,0.201291
1.0,20,0.20191
0.0,3,0.20208
0.0,1,0.202177
0.0,29,0.203049
1.0,8,0.203335
0.0,25,0.204092
1.0,30,0.204952
0.0,10,0.205309
0.0,8,0.205606
0.0,7,0.205859
0.0,10,0.206202
0.0,16,0.20671
0.0,13,0.20713
0.0,2,0.207255
0.0,11,0.207622
1.0,9,0.207925
0.0,16,0.208427
1.0,28,0.209312
0.0,5,0.209522
0.0,18,0.210076
0.0,4,0.210259
1.0,38,0.211315
0.0,91,0.213784
1.0,22,0.214427
0.0,9,0.214734
1.0,8,0.215019
0.0,17,0.215543
0.0,49,0.21689
0.0,12,0.217297
1.0,24,0.217988
1.0,19,0.218561
0.0,6,0.218788
1.0,29,0.219641
0.0,18,0.220193
1.0,71,0.222145
0.0,4,0.222324
1.0,44,0.223564
0.0,3,0.223716
0.0,9,0.224033
1.0,27,0.224814
0.0,25,0.225554
0.0,29,0.226392
0.0,1,0.226481
0.0,59,0.228121
0.0,16,0.228609
1.0,19,0.229185
0.0,21,0.229799
1.0,13,0.230218
1.0,44,0.231444
0.0,11,0.231807
0.0,15,0.232286
0.0,14,0.23272
1.0,27,0.233516
1.0,53,0.23499
0.0,1,0.235094
0.0,51,0.236523
0.0,1,0.236615
0.0,34,0.237594
0.0,19,0.238182
0.0,22,0.238821
0.0,7,0.239092
1.0,26,0.239838
0.0,58,0.241422
0.0,6,0.241653
0.0,26,0.242419
0.0,12,0.242795
1.0,11,0.243169
0.0,1,0.243258
0.0,3,0.243412
1.0,33,0.244349
0.0,8,0.244631
0.0,34,0.245615
0.0,10,0.24594
1.0,22,0.246604
0.0,20,0.247222
0.0,5,0.24742
0.0,1,0.247508
0.0,26,0.24826
1.0,26,0.24903
0.0,39,0.250128
1.0,29,0.250947
1.0,13,0.251363
0.0,24,0.252067
0.0,63,0.253817
0.0,10,0.254163
0.0,3,0.254309
0.0,58,0.255903
1.0,13,0.25632
1.0,12,0.256712
1.0,43,0.257924
1.0,22,0.258567
0.0,18,0.25913
0.0,11,0.259489
0.0,26,0.260247
1.0,34,0.261185
0.0,23,0.261866
1.0,34,0.262825
1.0,14,0.26328
0.0,1,0.263371
0.0,64,0.265119
0.0,2,0.265246
0.0,7,0.2655
1.0,22,0.266165
0.0,8,0.266446
0.0,4,0.266628
0.0,15,0.267101
0.0,35,0.268093
1.0,12,0.268476
1.0,36,0.269479
1.0,24,0.270182
0.0,12,0.270576
0.0,60,0.272221
0.0,41,0.273439
0.0,1,0.273536
0.0,26,0.274295
0.0,16,0.274781
0.0,39,0.275873
