#{"t_start": 1522606530.5212684, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,47,0.054693
0.0,27,0.056274
0.0,11,0.056843
0.0,15,0.057583
0.0,7,0.057965
0.0,4,0.058217
0.0,22,0.059264
0.0,9,0.059742
0.0,19,0.060672
0.0,14,0.061373
0.0,28,0.062692
1.0,44,0.064727
0.0,8,0.065149
0.0,7,0.065547
0.0,17,0.066377
0.0,14,0.067063
0.0,29,0.068429
0.0,8,0.068853
1.0,13,0.069508
0.0,12,0.070103
1.0,13,0.070753
0.0,53,0.073164
0.0,25,0.074349
0.0,15,0.075077
0.0,24,0.076218
0.0,20,0.077174
0.0,6,0.077525
0.0,12,0.078122
0.0,7,0.07851
0.0,13,0.079153
0.0,23,0.080239
0.0,5,0.080539
0.0,3,0.080746
0.0,14,0.081446
0.0,8,0.081872
1.0,31,0.083315
0.0,17,0.084132
0.0,6,0.084479
0.0,26,0.085704
0.0,1,0.08582
0.0,3,0.086025
0.0,27,0.087302
0.0,10,0.087818
0.0,13,0.088472
0.0,15,0.089195
0.0,7,0.089587
1.0,19,0.090508
1.0,21,0.091522
0.0,20,0.09248
0.0,5,0.092775
0.0,7,0.093151
0.0,11,0.093721
0.0,6,0.094061
0.0,17,0.094894
0.0,49,0.097161
0.0,8,0.097599
0.0,20,0.098566
0.0,12,0.099169
0.0,22,0.100222
0.0,2,0.100397
0.0,12,0.100994
0.0,10,0.101516
0.0,23,0.102612
0.0,13,0.103256
0.0,13,0.10391
0.0,12,0.104522
0.0,30,0.105923
0.0,43,0.107918
0.0,13,0.108575
0.0,18,0.109455
0.0,22,0.11051
0.0,7,0.110895
0.0,13,0.11155
0.0,12,0.11215
0.0,2,0.112322
0.0,12,0.112917
0.0,13,0.113568
0.0,9,0.114034
0.0,7,0.114424
0.0,7,0.114806
0.0,5,0.115102
0.0,21,0.116117
0.0,1,0.116235
0.0,10,0.116757
0.0,15,0.117502
0.0,5,0.117797
1.0,13,0.118451
1.0,22,0.119508
0.0,3,0.119711
0.0,4,0.119962
0.0,10,0.120487
0.0,8,0.120914
0.0,20,0.121879
0.0,11,0.122451
0.0,12,0.123049
0.0,12,0.123664
0.0,8,0.124087
0.0,22,0.125138
1.0,12,0.12576
0.0,11,0.126329
0.0,41,0.128219
0.0,9,0.128696
0.0,21,0.129702
0.0,23,0.130801
0.0,1,0.130917
1.0,27,0.132179
0.0,11,0.132747
1.0,18,0.13363
0.0,13,0.134272
0.0,13,0.134926
0.0,8,0.135371
0.0,52,0.137737
0.0,22,0.138778
0.0,24,0.139926
0.0,14,0.140624
0.0,10,0.141135
0.0,36,0.142806
0.0,7,0.143187
0.0,33,0.14473
1.0,24,0.145875
0.0,27,0.147146
0.0,16,0.147931
0.0,7,0.148321
0.0,33,0.149847
0.0,6,0.150185
0.0,21,0.151196
0.0,2,0.151369
0.0,19,0.152353
1.0,13,0.152995
0.0,15,0.153738
0.0,15,0.154483
0.0,32,0.155979
1.0,16,0.156773
0.0,13,0.157425
0.0,6,0.157761
0.0,51,0.160094
0.0,19,0.161024
1.0,29,0.162391
0.0,30,0.163797
0.0,7,0.164176
0.0,4,0.164433
0.0,14,0.16512
0.0,21,0.166135
0.0,3,0.166356
0.0,14,0.167045
0.0,54,0.169514
0.0,3,0.169721
0.0,25,0.170901
1.0,9,0.171386
0.0,4,0.171636
1.0,13,0.172274
0.0,21,0.173269
0.0,50,0.175565
0.0,22,0.176616
0.0,2,0.176775
0.0,4,0.177025
0.0,38,0.178789
0.0,40,0.18064
1.0,6,0.180978
0.0,13,0.181635
0.0,32,0.18312
1.0,25,0.184312
0.0,1,0.184426
1.0,9,0.184889
0.0,5,0.185184
0.0,26,0.186426
0.0,5,0.186722
0.0,18,0.187597
0.0,8,0.188024
0.0,3,0.188233
0.0,9,0.18871
1.0,27,0.189982
0.0,1,0.190096
0.0,6,0.190444
0.0,20,0.191414
0.0,7,0.191795
0.0,16,0.192583
0.0,17,0.193411
0.0,15,0.194147
1.0,36,0.195827
0.0,5,0.196119
1.0,10,0.19664
0.0,13,0.197296
0.0,18,0.198162
0.0,16,0.198952
1.0,28,0.200265
1.0,32,0.201761
0.0,3,0.201964
1.0,23,0.203059
0.0,5,0.203362
0.0,50,0.205662
0.0,9,0.206132
0.0,7,0.206528
0.0,26,0.207759
0.0,1,0.207877
1.0,34,0.20946
1.0,49,0.211704
0.0,4,0.211957
0.0,24,0.213098
0.0,16,0.213881
0.0,23,0.214981
1.0,13,0.215644
0.0,23,0.216743
0.0,14,0.21744
0.0,24,0.218575
0.0,9,0.21904
0.0,15,0.219783
0.0,21,0.220782
0.0,13,0.221443
0.0,5,0.221734
0.0,11,0.222298
0.0,3,0.222502
0.0,9,0.222969
0.0,11,0.223536
0.0,14,0.224227
0.0,18,0.225103
0.0,5,0.225412
1.0,21,0.226424
0.0,9,0.226895
0.0,23,0.227987
0.0,8,0.228425
0.0,1,0.228539
0.0,7,0.22892
0.0,7,0.229313
1.0,17,0.230128
0.0,34,0.231715
0.0,22,0.232768
0.0,17,0.233595
0.0,2,0.233755
0.0,14,0.234452
0.0,9,0.234923
0.0,6,0.235264
0.0,18,0.236145
0.0,54,0.238632
0.0,9,0.23911
0.0,10,0.239634
0.0,7,0.240016
0.0,18,0.240897
0.0,1,0.241012
0.0,4,0.241261
0.0,11,0.241828
0.0,5,0.242122
0.0,6,0.242469
0.0,41,0.244369
0.0,5,0.244684
0.0,13,0.245344
0.0,6,0.24568
0.0,4,0.245932
1.0,20,0.246893
0.0,32,0.248396
1.0,17,0.24922
1.0,19,0.250128
0.0,3,0.250343
0.0,12,0.250943
0.0,29,0.252316
0.0,15,0.253129
0.0,62,0.255983
0.0,21,0.256993
0.0,18,0.257868
0.0,14,0.258574
0.0,7,0.258957
1.0,11,0.259522
0.0,9,0.259991
0.0,10,0.260514
0.0,13,0.261166
0.0,1,0.261278
1.0,19,0.262185
0.0,11,0.262752
0.0,24,0.26388
0.0,1,0.263997
0.0,43,0.265988
0.0,5,0.266279
1.0,18,0.267154
0.0,20,0.268116
0.0,11,0.268685
0.0,22,0.269726
0.0,9,0.27019
0.0,26,0.27142
0.0,4,0.271668
0.0,10,0.272178
0.0,11,0.272743
0.0,25,0.273924
0.0,5,0.274217
0.0,25,0.275405
0.0,14,0.276086
1.0,15,0.276825
0.0,17,0.277658
0.0,11,0.278212
0.0,14,0.278905
0.0,12,0.279519
0.0,7,0.2799
0.0,6,0.280234
0.0,13,0.280886
0.0,11,0.281452
0.0,2,0.28161
0.0,3,0.281813
0.0,47,0.283952
0.0,6,0.284285
0.0,32,0.285784
0.0,19,0.286706
0.0,7,0.287083
0.0,14,0.287777
0.0,3,0.28798
0.0,6,0.288326
0.0,1,0.288439
0.0,22,0.289485
0.0,28,0.290797
0.0,5,0.29109
0.0,7,0.29148
0.0,4,0.291729
0.0,3,0.291937
0.0,34,0.293523
0.0,10,0.294037
1.0,59,0.296737
1.0,15,0.297477
0.0,16,0.298246
0.0,8,0.298675
0.0,21,0.299676
0.0,34,0.301249
0.0,46,0.303355
0.0,4,0.303606
1.0,36,0.305259
0.0,5,0.305562
0.0,7,0.30594
0.0,32,0.307437
0.0,13,0.308075
0.0,12,0.308684
1.0,17,0.309509
0.0,10,0.310021
0.0,34,0.311611
0.0,8,0.312037
0.0,22,0.313083
0.0,7,0.313478
0.0,2,0.313638
0.0,2,0.313795
0.0,4,0.31404
0.0,5,0.314343
0.0,5,0.314637
0.0,7,0.31502
0.0,3,0.315222
0.0,29,0.316585
0.0,27,0.317846
0.0,3,0.318053
0.0,37,0.319763
0.0,26,0.320984
0.0,6,0.321332
0.0,59,0.324015
0.0,8,0.324454
0.0,1,0.324569
0.0,13,0.32521
0.0,4,0.32548
0.0,18,0.326358
0.0,4,0.326617
0.0,15,0.327351
0.0,13,0.327992
0.0,32,0.329492
0.0,39,0.331294
0.0,17,0.332109
0.0,15,0.332849
0.0,4,0.333103
0.0,9,0.333579
0.0,11,0.334129
0.0,1,0.334244
0.0,10,0.33476
0.0,13,0.33542
0.0,10,0.335934
0.0,8,0.33637
1.0,14,0.337061
0.0,29,0.338423
0.0,5,0.338719
0.0,1,0.338833
1.0,9,0.339307
0.0,10,0.33982
0.0,13,0.340479
0.0,18,0.341351
0.0,3,0.341556
0.0,26,0.342786
0.0,1,0.3429
0.0,5,0.343194
0.0,14,0.34389
0.0,7,0.344273
0.0,26,0.345519
0.0,6,0.345855
0.0,15,0.346599
0.0,2,0.346761
0.0,8,0.347182
0.0,7,0.347571
0.0,30,0.34897
0.0,4,0.34922
0.0,22,0.35026
0.0,19,0.351175
0.0,30,0.352589
0.0,28,0.353971
0.0,4,0.354218
0.0,16,0.355006
0.0,10,0.355533
0.0,26,0.356758
0.0,13,0.35741
0.0,42,0.359343
0.0,4,0.35959
0.0,2,0.359747
0.0,24,0.360882
0.0,10,0.361407
0.0,13,0.362051
0.0,9,0.362529
0.0,17,0.363355
0.0,1,0.363476
0.0,25,0.364653
0.0,8,0.365073
0.0,37,0.366788
0.0,6,0.367125
0.0,6,0.367468
0.0,20,0.368432
1.0,19,0.369343
0.0,1,0.369456
1.0,8,0.369878
0.0,10,0.370395
0.0,1,0.370512
0.0,25,0.371691
0.0,10,0.372203
0.0,23,0.373307
0.0,29,0.374654
0.0,18,0.375536
0.0,8,0.375964
0.0,9,0.376442
1.0,42,0.378379
0.0,19,0.379282
0.0,4,0.379538
0.0,3,0.379739
0.0,12,0.38034
0.0,13,0.380982
0.0,10,0.381505
1.0,37,0.383203
0.0,9,0.383683
1.0,14,0.384386
1.0,8,0.38481
0.0,4,0.385052
0.0,1,0.385164
0.0,19,0.386081
0.0,7,0.386473
0.0,7,0.386851
0.0,15,0.387593
0.0,47,0.389745
0.0,7,0.390129
0.0,2,0.3903
0.0,16,0.391074
0.0,11,0.391644
0.0,13,0.392296
0.0,16,0.393068
0.0,8,0.393501
0.0,2,0.393659
0.0,4,0.393911
0.0,18,0.394781
0.0,24,0.39592
0.0,18,0.396798
0.0,17,0.397628
0.0,26,0.398847
0.0,2,0.399008
0.0,22,0.400061
0.0,36,0.401732
0.0,7,0.402116
0.0,3,0.402331
0.0,22,0.403377
0.0,1,0.4035
0.0,28,0.404809
0.0,9,0.405272
0.0,1,0.405403
0.0,8,0.405825
0.0,13,0.406476
0.0,15,0.407203
0.0,11,0.407767
0.0,23,0.408855
0.0,5,0.409146
0.0,11,0.40971
0.0,4,0.409959
0.0,11,0.410526
0.0,6,0.410859
0.0,4,0.411107
0.0,16,0.411891
0.0,32,0.413381
0.0,9,0.413856
0.0,1,0.41397
0.0,13,0.414622
0.0,11,0.415176
0.0,5,0.415482
0.0,1,0.415596
0.0,5,0.415886
0.0,37,0.417603
0.0,13,0.418247
0.0,17,0.419075
0.0,29,0.420438
0.0,39,0.42222
0.0,19,0.423137
0.0,23,0.424254
0.0,2,0.424425
0.0,39,0.426227
0.0,4,0.426489
0.0,5,0.42678
0.0,10,0.427298
0.0,22,0.42835
0.0,10,0.428864
0.0,8,0.429301
0.0,6,0.429637
0.0,4,0.429883
0.0,11,0.430452
0.0,35,0.43208
0.0,24,0.433214
0.0,14,0.433918
0.0,16,0.434704
0.0,2,0.434864
0.0,34,0.436454
0.0,58,0.439097
0.0,16,0.43988
0.0,8,0.440321
1.0,16,0.441094
0.0,10,0.441614
0.0,1,0.441728
0.0,17,0.442554
0.0,20,0.443516
0.0,9,0.443982
0.0,8,0.44442
0.0,12,0.445013
0.0,77,0.448472
0.0,2,0.448632
0.0,2,0.44879
0.0,10,0.449306
0.0,47,0.451444
0.0,11,0.452
0.0,3,0.452201
0.0,14,0.452895
0.0,11,0.453539
0.0,12,0.454141
0.0,1,0.454253
0.0,10,0.45477
0.0,53,0.457189
1.0,19,0.4581
0.0,14,0.458793
0.0,17,0.459619
0.0,47,0.461782
0.0,10,0.462306
0.0,8,0.46273
0.0,15,0.463473
0.0,19,0.464389
0.0,17,0.465199
0.0,32,0.466702
0.0,9,0.467169
0.0,15,0.467908
0.0,24,0.469038
0.0,18,0.469907
0.0,2,0.470069
0.0,2,0.470226
1.0,30,0.471626
0.0,18,0.472507
1.0,9,0.472976
0.0,40,0.474824
0.0,29,0.476181
0.0,45,0.478231
0.0,23,0.479332
0.0,9,0.4798
0.0,27,0.481064
0.0,4,0.481321
0.0,11,0.481877
0.0,7,0.482259
0.0,10,0.482777
0.0,1,0.482891
0.0,12,0.483497
0.0,83,0.487236
0.0,18,0.488106
1.0,9,0.488585
0.0,6,0.488924
0.0,5,0.489216
1.0,34,0.490793
0.0,26,0.492017
0.0,30,0.493428
0.0,40,0.495257
0.0,40,0.497109
1.0,18,0.497984
0.0,5,0.498277
1.0,6,0.498621
0.0,31,0.500065
0.0,12,0.500678
0.0,8,0.501103
0.0,4,0.501363
1.0,19,0.502265
0.0,6,0.50261
