#{"t_start": 1522756869.0542765, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.006031
0.0,4,0.006283
0.0,13,0.00693
0.0,29,0.008291
0.0,7,0.008669
0.0,11,0.009236
0.0,4,0.009483
0.0,23,0.010581
0.0,5,0.010871
0.0,48,0.013067
0.0,13,0.013707
0.0,65,0.016649
0.0,87,0.020571
0.0,36,0.022244
0.0,100,0.026726
0.0,13,0.027377
0.0,3,0.027579
1.0,19,0.028493
0.0,20,0.029446
0.0,12,0.030059
0.0,100,0.034541
1.0,20,0.035498
1.0,66,0.038497
1.0,31,0.039957
0.0,100,0.044441
1.0,53,0.046844
1.0,17,0.04767
0.0,15,0.048406
1.0,42,0.050332
0.0,25,0.05151
0.0,100,0.05599
0.0,100,0.060472
1.0,32,0.061959
1.0,10,0.062467
0.0,40,0.064305
1.0,14,0.064996
1.0,48,0.067188
0.0,16,0.067964
0.0,17,0.068778
1.0,68,0.071852
1.0,32,0.073344
1.0,23,0.074426
1.0,18,0.075289
1.0,59,0.077958
0.0,23,0.079042
0.0,31,0.080488
1.0,22,0.081532
1.0,23,0.082623
1.0,10,0.083143
0.0,28,0.084455
1.0,64,0.087344
0.0,15,0.088084
1.0,18,0.088953
1.0,83,0.092686
0.0,20,0.093645
0.0,9,0.09412
1.0,22,0.095164
1.0,17,0.095992
0.0,14,0.096673
1.0,20,0.097628
1.0,54,0.100088
1.0,6,0.100424
1.0,19,0.101337
0.0,12,0.101935
0.0,43,0.103999
1.0,44,0.106039
1.0,23,0.10713
1.0,39,0.108926
1.0,87,0.112862
1.0,16,0.113645
1.0,13,0.114301
1.0,69,0.11743
1.0,18,0.118304
1.0,30,0.119711
1.0,68,0.122809
0.0,42,0.124741
1.0,35,0.126374
1.0,26,0.127595
1.0,37,0.129304
1.0,13,0.129958
1.0,17,0.130775
1.0,79,0.134347
1.0,52,0.136709
0.0,21,0.137715
0.0,35,0.13934
1.0,17,0.140175
0.0,4,0.140421
1.0,25,0.141596
1.0,10,0.142124
1.0,19,0.143042
0.0,8,0.143465
1.0,25,0.144639
1.0,16,0.145423
1.0,15,0.146159
1.0,33,0.147688
1.0,25,0.148866
1.0,27,0.15016
1.0,27,0.151429
1.0,14,0.152129
1.0,28,0.15344
1.0,73,0.156751
1.0,10,0.157272
1.0,32,0.158767
1.0,11,0.159328
1.0,33,0.160871
0.0,13,0.161526
1.0,17,0.16236
1.0,9,0.162834
1.0,17,0.163666
1.0,66,0.166674
0.0,6,0.167018
0.0,38,0.168775
1.0,17,0.169605
1.0,8,0.170044
1.0,15,0.170774
1.0,74,0.174136
1.0,25,0.175322
0.0,17,0.17615
0.0,74,0.179496
0.0,23,0.180592
0.0,11,0.181159
1.0,95,0.185425
0.0,10,0.185935
0.0,14,0.186631
1.0,14,0.187325
1.0,56,0.189879
1.0,16,0.190668
1.0,18,0.191543
1.0,15,0.192282
1.0,15,0.193017
1.0,53,0.195434
1.0,15,0.196172
1.0,41,0.198067
1.0,30,0.199468
1.0,11,0.200037
1.0,49,0.202277
1.0,36,0.204001
1.0,23,0.205086
1.0,14,0.205774
1.0,58,0.20841
1.0,11,0.208977
1.0,14,0.209661
1.0,53,0.212084
1.0,13,0.212729
1.0,31,0.214178
1.0,20,0.215132
0.0,73,0.218437
1.0,20,0.21939
1.0,36,0.221064
1.0,18,0.221925
1.0,22,0.222978
1.0,11,0.223529
0.0,21,0.224531
1.0,29,0.225882
1.0,9,0.226359
1.0,16,0.227138
0.0,8,0.227561
0.0,13,0.228205
0.0,29,0.229557
1.0,58,0.232194
0.0,55,0.234707
0.0,27,0.235977
1.0,39,0.23776
1.0,12,0.238364
1.0,17,0.239188
1.0,25,0.240365
1.0,20,0.241322
1.0,11,0.241879
1.0,10,0.242396
1.0,10,0.242905
1.0,24,0.244044
1.0,23,0.245131
0.0,16,0.245906
1.0,44,0.247926
0.0,18,0.248805
0.0,19,0.249724
1.0,6,0.250073
1.0,41,0.251962
0.0,13,0.252604
0.0,6,0.252934
1.0,40,0.25478
1.0,6,0.255121
1.0,42,0.257051
1.0,23,0.258142
1.0,17,0.258973
1.0,17,0.259789
1.0,22,0.260837
1.0,21,0.261835
1.0,28,0.263157
1.0,19,0.264072
1.0,18,0.264936
1.0,31,0.266379
1.0,31,0.267819
1.0,10,0.268334
1.0,39,0.270142
1.0,30,0.271536
1.0,53,0.273956
1.0,66,0.276955
1.0,40,0.278801
0.0,37,0.280516
1.0,74,0.283875
1.0,37,0.285585
0.0,23,0.286679
0.0,29,0.288048
1.0,42,0.289986
1.0,88,0.293932
1.0,53,0.296357
1.0,14,0.297046
1.0,48,0.299242
1.0,38,0.301009
0.0,7,0.301385
1.0,8,0.301805
1.0,13,0.302456
1.0,12,0.303125
1.0,12,0.303725
1.0,37,0.305441
1.0,29,0.306798
1.0,16,0.307581
1.0,26,0.308811
1.0,29,0.310178
1.0,29,0.311533
0.0,30,0.312935
1.0,38,0.314688
1.0,39,0.316483
1.0,14,0.317179
0.0,25,0.318358
1.0,47,0.320518
1.0,37,0.322237
1.0,26,0.323467
1.0,31,0.324911
1.0,40,0.326759
1.0,20,0.327719
1.0,12,0.328329
1.0,25,0.329505
1.0,14,0.330215
1.0,16,0.330997
