#{"t_start": 1522750932.2948222, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.043863
0.0,100,0.04895
0.0,43,0.050981
0.0,100,0.055588
0.0,100,0.060205
0.0,37,0.06196
0.0,100,0.066595
0.0,97,0.071091
0.0,100,0.075706
1.0,85,0.079649
0.0,92,0.083877
0.0,100,0.088491
1.0,84,0.092379
1.0,74,0.095812
1.0,52,0.098266
1.0,16,0.099072
1.0,20,0.100048
1.0,30,0.101471
1.0,38,0.103262
1.0,33,0.104824
1.0,48,0.107089
0.0,15,0.10783
1.0,34,0.10945
1.0,14,0.110157
1.0,31,0.111631
1.0,26,0.112886
0.0,31,0.114375
0.0,7,0.114764
1.0,36,0.116486
1.0,39,0.118335
1.0,64,0.121317
1.0,25,0.122525
1.0,18,0.123421
1.0,16,0.124222
1.0,72,0.12756
0.0,62,0.130449
1.0,47,0.132661
1.0,14,0.133372
0.0,100,0.138009
1.0,19,0.139016
0.0,52,0.141456
1.0,27,0.142752
1.0,25,0.143959
1.0,32,0.145494
1.0,24,0.146655
1.0,8,0.147099
1.0,38,0.14889
0.0,6,0.149241
0.0,22,0.150314
0.0,9,0.150793
0.0,25,0.152003
1.0,35,0.153657
1.0,17,0.154507
1.0,19,0.155452
1.0,25,0.156661
1.0,73,0.160045
1.0,18,0.16093
1.0,19,0.16186
1.0,45,0.163966
1.0,61,0.166809
0.0,56,0.169418
1.0,18,0.170313
0.0,20,0.171296
1.0,17,0.172145
1.0,81,0.175877
0.0,83,0.179697
0.0,19,0.180631
0.0,67,0.183742
1.0,86,0.187709
0.0,26,0.18895
0.0,38,0.190733
0.0,19,0.191669
1.0,54,0.194186
1.0,24,0.195352
1.0,22,0.196423
0.0,34,0.198037
1.0,45,0.200147
1.0,20,0.201118
0.0,26,0.202369
1.0,30,0.203817
1.0,35,0.205487
0.0,100,0.210096
1.0,59,0.212827
0.0,91,0.217025
1.0,11,0.217588
0.0,37,0.219339
1.0,30,0.220765
1.0,23,0.22188
1.0,35,0.223539
0.0,20,0.224522
0.0,16,0.225336
0.0,40,0.227228
1.0,53,0.229698
1.0,62,0.23258
1.0,36,0.234281
0.0,12,0.234891
0.0,10,0.235433
0.0,32,0.236957
1.0,74,0.240375
1.0,9,0.240914
1.0,22,0.241992
1.0,7,0.242377
0.0,59,0.245136
0.0,28,0.246481
1.0,22,0.247552
1.0,17,0.248395
1.0,21,0.249417
0.0,58,0.252129
0.0,8,0.252561
1.0,35,0.254221
0.0,6,0.254565
1.0,40,0.25646
1.0,7,0.256844
1.0,22,0.257915
1.0,25,0.259126
1.0,11,0.259688
0.0,20,0.26067
1.0,34,0.262291
0.0,5,0.262586
1.0,29,0.263969
1.0,18,0.264856
0.0,32,0.266386
0.0,7,0.26678
1.0,28,0.268135
0.0,26,0.269391
1.0,8,0.269822
0.0,33,0.271393
1.0,27,0.272692
1.0,9,0.273179
0.0,4,0.273432
1.0,15,0.274187
0.0,26,0.27544
1.0,7,0.275827
0.0,16,0.276635
1.0,16,0.277437
0.0,38,0.279246
1.0,12,0.279859
1.0,12,0.280484
0.0,18,0.281383
1.0,13,0.282052
1.0,33,0.283617
1.0,42,0.285603
1.0,30,0.287045
1.0,75,0.290528
1.0,17,0.291379
1.0,35,0.293044
1.0,15,0.293789
1.0,23,0.294902
0.0,35,0.296573
0.0,26,0.297834
0.0,9,0.298324
1.0,34,0.299942
0.0,73,0.303323
0.0,13,0.30399
0.0,15,0.304744
1.0,98,0.309281
1.0,25,0.310487
1.0,71,0.313786
0.0,30,0.315231
0.0,19,0.316162
0.0,80,0.320052
1.0,36,0.321761
1.0,37,0.323518
0.0,32,0.325057
0.0,39,0.326906
0.0,5,0.327219
0.0,6,0.327564
1.0,27,0.328865
1.0,22,0.329944
1.0,14,0.330652
0.0,29,0.332052
1.0,40,0.333932
1.0,11,0.33451
1.0,14,0.335233
0.0,20,0.336224
0.0,9,0.336709
1.0,26,0.337965
1.0,12,0.338589
0.0,25,0.339798
0.0,100,0.344445
1.0,43,0.346547
1.0,47,0.348763
0.0,62,0.351655
0.0,33,0.353234
0.0,4,0.353485
0.0,100,0.358122
0.0,23,0.359239
0.0,10,0.359767
0.0,39,0.361618
1.0,40,0.363512
1.0,75,0.367007
0.0,54,0.369532
1.0,52,0.371957
0.0,18,0.372846
1.0,8,0.373291
1.0,25,0.374496
0.0,30,0.37593
0.0,57,0.378591
1.0,18,0.379484
1.0,17,0.380332
1.0,13,0.380995
1.0,36,0.382695
0.0,17,0.383551
1.0,13,0.384223
0.0,19,0.385171
0.0,73,0.388566
0.0,20,0.389549
1.0,49,0.391855
1.0,12,0.392481
0.0,9,0.392956
0.0,18,0.39385
1.0,23,0.394971
1.0,31,0.396473
1.0,47,0.398688
1.0,90,0.402851
0.0,29,0.404263
1.0,31,0.405744
0.0,78,0.409372
0.0,41,0.411306
0.0,46,0.413471
1.0,17,0.414322
0.0,9,0.414801
0.0,100,0.419421
0.0,18,0.420321
1.0,45,0.422443
0.0,19,0.423386
1.0,21,0.424417
0.0,16,0.42523
0.0,26,0.426485
1.0,35,0.428151
1.0,14,0.428858
1.0,43,0.430881
0.0,5,0.431192
0.0,39,0.433043
1.0,23,0.43417
1.0,30,0.435601
0.0,22,0.436678
0.0,60,0.439483
1.0,26,0.440738
0.0,24,0.441928
1.0,28,0.443283
0.0,30,0.444717
1.0,33,0.446375
0.0,100,0.451002
1.0,51,0.453393
0.0,23,0.454515
1.0,31,0.45601
0.0,48,0.458277
0.0,61,0.46114
0.0,11,0.461709
0.0,100,0.466341
0.0,28,0.46769
0.0,41,0.469628
0.0,46,0.471789
0.0,41,0.473725
1.0,19,0.474663
0.0,25,0.475878
0.0,26,0.47715
1.0,19,0.478087
0.0,98,0.482625
0.0,100,0.487254
1.0,52,0.489693
0.0,17,0.490542
0.0,65,0.493552
1.0,44,0.495625
1.0,37,0.497377
1.0,8,0.497808
1.0,44,0.499869
1.0,62,0.502754
1.0,32,0.504274
0.0,80,0.507992
0.0,100,0.512593
1.0,16,0.513395
0.0,50,0.515738
1.0,41,0.517675
1.0,20,0.518657
1.0,11,0.519229
1.0,15,0.519971
1.0,8,0.52041
0.0,20,0.521389
1.0,10,0.521908
0.0,8,0.522348
1.0,45,0.524446
1.0,86,0.528411
1.0,10,0.528928
1.0,83,0.532739
0.0,43,0.534761
1.0,33,0.536339
0.0,29,0.537722
1.0,14,0.538428
1.0,81,0.542158
1.0,69,0.545358
1.0,9,0.545891
0.0,30,0.547331
1.0,19,0.548269
0.0,48,0.55051
1.0,22,0.551576
0.0,62,0.554456
1.0,34,0.556085
0.0,100,0.560658
0.0,15,0.561414
0.0,13,0.562075
0.0,24,0.563232
1.0,14,0.563931
0.0,60,0.56672
0.0,32,0.568243
0.0,27,0.569534
1.0,6,0.569872
1.0,15,0.570619
0.0,8,0.571062
1.0,26,0.572309
1.0,41,0.574233
1.0,8,0.574664
0.0,20,0.575648
0.0,34,0.57726
1.0,51,0.579624
