#{"t_start": 1522702164.3778195, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006973
0.0,2,0.007102
0.0,17,0.007575
0.0,14,0.007972
0.0,10,0.008278
0.0,14,0.00866
0.0,12,0.008992
0.0,7,0.009207
0.0,26,0.009857
1.0,7,0.010075
0.0,21,0.010597
1.0,18,0.011066
0.0,41,0.012045
1.0,31,0.012815
0.0,5,0.012993
0.0,2,0.013098
0.0,4,0.013244
0.0,9,0.01351
0.0,38,0.014417
0.0,8,0.01466
0.0,14,0.015036
0.0,4,0.015193
0.0,7,0.015427
0.0,11,0.015727
0.0,20,0.016232
0.0,9,0.016497
1.0,13,0.016845
0.0,13,0.017197
0.0,25,0.017814
0.0,36,0.018679
0.0,12,0.019003
0.0,31,0.019765
0.0,5,0.01994
0.0,11,0.02025
1.0,41,0.021204
0.0,6,0.021401
0.0,17,0.021839
0.0,7,0.022057
0.0,9,0.022321
0.0,28,0.022999
0.0,58,0.024328
0.0,11,0.024633
0.0,11,0.024942
0.0,9,0.025203
0.0,35,0.026027
0.0,28,0.026713
0.0,48,0.027854
0.0,4,0.028005
0.0,11,0.028323
0.0,26,0.028957
0.0,7,0.029169
0.0,20,0.029687
0.0,100,0.031967
0.0,20,0.032502
0.0,34,0.033322
0.0,57,0.034634
0.0,7,0.034854
0.0,32,0.035623
0.0,26,0.036248
0.0,4,0.036406
0.0,29,0.037093
0.0,33,0.037886
0.0,45,0.038936
0.0,66,0.040443
0.0,18,0.040906
0.0,70,0.042515
0.0,2,0.042623
0.0,25,0.043224
0.0,57,0.044544
0.0,8,0.04479
1.0,28,0.045478
0.0,3,0.045614
0.0,47,0.046707
0.0,27,0.047375
0.0,11,0.047686
0.0,4,0.047833
0.0,43,0.04884
0.0,10,0.049125
0.0,54,0.050382
0.0,30,0.051111
0.0,15,0.051519
0.0,4,0.051676
0.0,47,0.052758
0.0,13,0.053108
0.0,12,0.053444
0.0,7,0.053665
0.0,67,0.055188
1.0,11,0.055504
0.0,6,0.055707
0.0,18,0.056168
0.0,15,0.056576
0.0,23,0.057131
0.0,15,0.057532
0.0,23,0.058104
0.0,22,0.058662
0.0,7,0.058876
0.0,12,0.059199
0.0,13,0.05956
0.0,52,0.060772
0.0,43,0.061779
0.0,16,0.062196
0.0,46,0.063282
0.0,6,0.063481
0.0,19,0.063967
1.0,13,0.064336
0.0,7,0.064555
0.0,14,0.064928
0.0,19,0.065423
0.0,47,0.066519
0.0,64,0.067975
0.0,13,0.068335
0.0,21,0.068846
0.0,18,0.069308
0.0,40,0.070233
0.0,12,0.070565
1.0,20,0.071061
0.0,4,0.071212
0.0,13,0.071568
0.0,71,0.073189
0.0,17,0.07363
0.0,3,0.073766
1.0,35,0.074618
0.0,6,0.074818
0.0,62,0.076246
0.0,24,0.076839
0.0,10,0.077122
0.0,9,0.077402
0.0,3,0.077531
0.0,6,0.077727
0.0,9,0.077996
0.0,17,0.078441
0.0,38,0.079348
0.0,100,0.081584
0.0,99,0.083814
1.0,18,0.084278
0.0,4,0.084426
0.0,33,0.085205
0.0,23,0.085768
0.0,57,0.087093
0.0,32,0.087863
0.0,59,0.089216
0.0,45,0.090273
0.0,16,0.090691
0.0,9,0.090956
0.0,77,0.092693
0.0,32,0.09346
0.0,33,0.094248
0.0,68,0.095814
0.0,6,0.096005
0.0,10,0.096311
1.0,30,0.09703
0.0,36,0.097882
0.0,12,0.098209
0.0,14,0.098584
0.0,27,0.099247
0.0,5,0.099425
0.0,64,0.100874
0.0,24,0.101472
0.0,9,0.101732
0.0,22,0.102282
0.0,34,0.103095
0.0,46,0.104163
0.0,22,0.104706
0.0,32,0.105468
0.0,11,0.105765
0.0,27,0.106417
0.0,8,0.106657
0.0,49,0.107796
0.0,43,0.108891
0.0,12,0.109228
0.0,5,0.10941
0.0,16,0.109826
0.0,22,0.110395
1.0,28,0.111067
0.0,18,0.111538
0.0,16,0.111943
0.0,27,0.112616
0.0,15,0.113007
0.0,14,0.113386
0.0,28,0.11407
0.0,30,0.1148
0.0,19,0.11528
0.0,17,0.115711
0.0,12,0.116036
0.0,30,0.116756
0.0,2,0.11686
0.0,10,0.117133
0.0,36,0.117991
0.0,16,0.118403
0.0,2,0.11851
0.0,52,0.119712
0.0,31,0.120457
0.0,16,0.120864
0.0,10,0.12115
0.0,23,0.121723
0.0,26,0.122365
0.0,23,0.122928
0.0,19,0.123414
0.0,60,0.12477
0.0,88,0.126771
0.0,93,0.128835
0.0,40,0.129777
0.0,7,0.129998
0.0,27,0.130655
0.0,45,0.131701
0.0,65,0.133185
0.0,19,0.133658
0.0,11,0.13395
0.0,10,0.134221
0.0,22,0.134771
0.0,31,0.13551
1.0,46,0.136558
0.0,16,0.136958
0.0,15,0.137366
0.0,16,0.137768
0.0,19,0.138242
1.0,81,0.14007
0.0,12,0.140414
0.0,26,0.14103
0.0,14,0.141416
0.0,8,0.141656
0.0,13,0.142007
0.0,11,0.142325
0.0,13,0.142671
0.0,9,0.142933
0.0,7,0.143144
0.0,31,0.143889
0.0,38,0.144779
0.0,8,0.145018
0.0,6,0.145213
0.0,22,0.145762
1.0,31,0.146506
0.0,49,0.147648
0.0,94,0.149753
0.0,15,0.150153
0.0,55,0.151424
1.0,50,0.152605
0.0,29,0.153312
0.0,33,0.154091
0.0,11,0.154414
0.0,13,0.15477
0.0,23,0.155348
0.0,28,0.156043
0.0,10,0.156341
0.0,5,0.156512
0.0,83,0.158399
0.0,22,0.158947
0.0,29,0.159648
0.0,16,0.160063
0.0,9,0.160336
0.0,10,0.160621
0.0,6,0.160813
0.0,7,0.161023
0.0,54,0.162269
0.0,27,0.162917
1.0,64,0.164387
0.0,7,0.164606
0.0,73,0.166265
0.0,14,0.166636
0.0,7,0.166853
0.0,24,0.167449
0.0,40,0.168401
0.0,13,0.168748
0.0,3,0.168874
0.0,6,0.169072
0.0,10,0.169373
0.0,34,0.17017
0.0,6,0.170379
0.0,29,0.171083
0.0,23,0.17165
0.0,14,0.172028
0.0,19,0.172514
0.0,14,0.172888
0.0,35,0.173715
0.0,5,0.17389
0.0,10,0.174181
0.0,5,0.174366
0.0,20,0.174868
1.0,23,0.175441
1.0,24,0.176034
0.0,73,0.177684
0.0,100,0.179917
0.0,69,0.1815
0.0,11,0.181803
0.0,3,0.181928
0.0,19,0.182426
0.0,24,0.183012
1.0,38,0.183908
0.0,12,0.184236
0.0,15,0.184639
1.0,33,0.185425
0.0,18,0.185891
1.0,6,0.18609
0.0,13,0.186447
0.0,42,0.187437
0.0,16,0.187856
0.0,15,0.188241
0.0,24,0.188837
0.0,10,0.189125
0.0,12,0.189461
0.0,4,0.189623
1.0,31,0.190362
0.0,18,0.190815
0.0,2,0.190918
0.0,20,0.191422
0.0,8,0.191663
0.0,5,0.191842
0.0,12,0.192162
0.0,21,0.192687
1.0,44,0.193709
0.0,34,0.194541
1.0,11,0.194839
1.0,62,0.196268
1.0,38,0.19715
0.0,7,0.197384
0.0,24,0.197965
0.0,34,0.198774
0.0,29,0.199485
0.0,16,0.199906
0.0,9,0.200166
0.0,18,0.200621
1.0,11,0.200919
0.0,37,0.201794
0.0,4,0.201943
0.0,10,0.202218
0.0,28,0.202899
0.0,11,0.203197
0.0,30,0.203929
0.0,17,0.204366
0.0,5,0.204541
0.0,15,0.204922
0.0,21,0.205463
1.0,11,0.205778
0.0,26,0.206433
0.0,19,0.206913
1.0,15,0.207318
0.0,33,0.208103
0.0,27,0.208853
0.0,21,0.209394
1.0,17,0.209837
0.0,22,0.2104
0.0,17,0.210829
0.0,5,0.211004
0.0,10,0.211303
0.0,82,0.213168
0.0,20,0.213684
0.0,19,0.214162
0.0,11,0.21447
0.0,5,0.214643
0.0,33,0.215435
0.0,12,0.215765
0.0,44,0.216784
1.0,19,0.217271
0.0,41,0.21823
0.0,16,0.21866
0.0,8,0.218913
0.0,36,0.219793
0.0,10,0.220073
0.0,22,0.220627
0.0,18,0.221093
0.0,11,0.221416
0.0,17,0.221859
0.0,20,0.222377
0.0,8,0.222623
0.0,20,0.223127
0.0,10,0.223424
0.0,30,0.224149
0.0,12,0.224487
0.0,13,0.224837
0.0,8,0.225076
0.0,36,0.225946
0.0,35,0.226792
0.0,8,0.227027
0.0,17,0.227476
0.0,14,0.22785
0.0,8,0.228091
0.0,14,0.228472
0.0,8,0.228712
1.0,38,0.229635
0.0,6,0.229829
0.0,31,0.230578
0.0,11,0.23089
0.0,9,0.231151
0.0,26,0.231793
1.0,37,0.232689
0.0,35,0.233525
0.0,19,0.233998
0.0,13,0.234364
0.0,7,0.234585
0.0,30,0.235311
0.0,10,0.235598
1.0,12,0.235933
1.0,59,0.237325
0.0,37,0.238201
0.0,13,0.238557
0.0,17,0.238983
0.0,10,0.239277
0.0,37,0.240143
0.0,26,0.240791
0.0,30,0.24152
0.0,8,0.241754
0.0,41,0.242709
0.0,61,0.244095
1.0,14,0.244476
0.0,12,0.244812
0.0,17,0.245245
1.0,6,0.245462
0.0,5,0.245632
0.0,73,0.247298
0.0,34,0.248114
0.0,74,0.249786
0.0,55,0.251051
0.0,10,0.251345
0.0,13,0.251688
0.0,25,0.252301
0.0,15,0.252693
1.0,9,0.252954
0.0,10,0.253232
0.0,8,0.253479
0.0,59,0.254839
0.0,74,0.256541
0.0,27,0.257184
0.0,18,0.257648
0.0,7,0.25787
0.0,3,0.258006
0.0,31,0.258765
0.0,7,0.25899
0.0,6,0.259189
0.0,6,0.259395
0.0,13,0.25975
0.0,12,0.260081
0.0,65,0.261595
0.0,11,0.261899
0.0,5,0.262075
0.0,8,0.262321
0.0,19,0.26279
0.0,23,0.263367
0.0,36,0.264202
0.0,97,0.266411
0.0,29,0.267094
0.0,3,0.26722
0.0,18,0.267695
0.0,14,0.268069
0.0,29,0.268767
1.0,19,0.269239
0.0,69,0.270828
0.0,7,0.271048
0.0,8,0.271306
0.0,15,0.271693
0.0,29,0.272402
0.0,91,0.274472
1.0,15,0.274871
0.0,42,0.275868
0.0,37,0.276755
0.0,7,0.276974
0.0,5,0.277144
0.0,9,0.277422
0.0,3,0.277557
0.0,25,0.278171
1.0,27,0.278828
0.0,4,0.278987
1.0,24,0.279587
0.0,15,0.279982
0.0,6,0.280186
0.0,76,0.281936
0.0,29,0.282641
0.0,23,0.283198
0.0,20,0.28371
0.0,27,0.284381
0.0,11,0.284691
1.0,40,0.285635
0.0,32,0.286397
0.0,29,0.287081
1.0,20,0.287588
0.0,10,0.287863
0.0,41,0.288831
0.0,100,0.291115
0.0,24,0.291714
0.0,57,0.293039
0.0,7,0.293269
0.0,26,0.2939
0.0,91,0.295953
0.0,26,0.29659
0.0,19,0.297071
0.0,5,0.29724
0.0,100,0.299486
0.0,15,0.299885
0.0,17,0.300349
0.0,5,0.300521
0.0,26,0.301149
0.0,32,0.301916
0.0,9,0.302177
0.0,9,0.302451
0.0,43,0.303451
0.0,57,0.304749
