#{"t_start": 1522765435.6882973, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,29,0.038303
0.0,7,0.038938
0.0,14,0.039998
0.0,18,0.041323
0.0,16,0.042512
0.0,28,0.044518
0.0,37,0.047118
0.0,5,0.047559
0.0,37,0.049423
0.0,10,0.049953
0.0,7,0.050337
0.0,13,0.050994
0.0,4,0.051244
0.0,12,0.051861
0.0,6,0.052202
0.0,6,0.052542
0.0,31,0.054008
0.0,28,0.055334
1.0,45,0.057422
0.0,6,0.057781
1.0,26,0.05902
0.0,32,0.060526
0.0,44,0.06257
1.0,74,0.065964
1.0,82,0.069708
0.0,31,0.071176
0.0,36,0.072865
0.0,8,0.073293
0.0,53,0.075729
1.0,30,0.077142
0.0,15,0.077895
0.0,31,0.079352
1.0,45,0.081454
0.0,18,0.082332
1.0,24,0.08348
0.0,50,0.085796
0.0,7,0.086181
0.0,8,0.086609
0.0,16,0.087401
0.0,6,0.087742
0.0,34,0.089344
0.0,3,0.08955
0.0,12,0.090162
1.0,11,0.090725
0.0,43,0.09272
0.0,22,0.093789
0.0,31,0.095251
0.0,31,0.096719
0.0,9,0.097204
0.0,23,0.098315
0.0,30,0.099732
0.0,63,0.102628
0.0,13,0.103292
0.0,13,0.103952
0.0,10,0.104468
0.0,12,0.105084
0.0,30,0.106497
0.0,3,0.106702
0.0,8,0.107138
1.0,21,0.108157
0.0,13,0.108814
0.0,12,0.109421
0.0,12,0.110038
1.0,24,0.111186
0.0,45,0.113272
0.0,19,0.114201
1.0,44,0.116241
1.0,12,0.116856
1.0,78,0.120502
0.0,4,0.120763
0.0,5,0.121059
0.0,3,0.121263
0.0,10,0.121794
0.0,4,0.122047
0.0,39,0.123865
0.0,7,0.124252
0.0,9,0.124726
0.0,8,0.125165
1.0,14,0.125866
0.0,65,0.128854
0.0,11,0.129417
0.0,30,0.130839
0.0,5,0.131133
0.0,16,0.131933
0.0,6,0.132269
1.0,6,0.132603
0.0,12,0.133231
0.0,5,0.133531
0.0,4,0.133789
0.0,4,0.134039
0.0,17,0.134884
0.0,31,0.136345
0.0,9,0.13689
0.0,14,0.137585
1.0,31,0.139056
0.0,23,0.140158
0.0,21,0.141165
0.0,15,0.141917
0.0,16,0.142694
1.0,23,0.143805
0.0,4,0.144057
0.0,34,0.145636
1.0,23,0.146733
0.0,29,0.148115
0.0,8,0.148539
0.0,21,0.149552
0.0,8,0.149988
