#{"t_start": 1522763090.895689, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,35,0.003757
0.0,100,0.008235
0.0,100,0.012725
0.0,100,0.017186
0.0,100,0.02168
0.0,100,0.026146
0.0,100,0.030604
0.0,100,0.035061
0.0,100,0.039532
0.0,4,0.039789
0.0,29,0.041131
0.0,5,0.04142
0.0,53,0.043837
0.0,4,0.044082
0.0,18,0.04494
0.0,4,0.045188
0.0,5,0.045475
0.0,15,0.04621
0.0,9,0.046685
0.0,21,0.047676
0.0,8,0.048098
0.0,66,0.051063
0.0,51,0.053364
0.0,5,0.053669
0.0,75,0.057015
0.0,15,0.057751
0.0,51,0.060059
0.0,15,0.060794
0.0,60,0.063489
0.0,16,0.064269
0.0,77,0.067725
0.0,22,0.068763
1.0,11,0.069317
1.0,32,0.070812
0.0,100,0.07527
1.0,19,0.076179
1.0,6,0.076512
0.0,65,0.079432
1.0,15,0.080166
0.0,15,0.080904
0.0,13,0.081544
0.0,33,0.083074
0.0,62,0.08587
1.0,10,0.086378
0.0,7,0.086768
0.0,9,0.087235
0.0,100,0.091705
1.0,27,0.092965
0.0,16,0.09375
1.0,34,0.095305
0.0,17,0.096129
0.0,13,0.096775
1.0,43,0.098731
0.0,49,0.10095
0.0,10,0.101464
0.0,33,0.103001
1.0,66,0.10603
0.0,100,0.110499
1.0,43,0.112452
0.0,100,0.116906
1.0,20,0.117848
0.0,22,0.118888
0.0,40,0.12071
1.0,30,0.122082
0.0,17,0.122904
0.0,9,0.123367
0.0,32,0.124842
0.0,17,0.125664
1.0,42,0.127554
0.0,43,0.129519
0.0,4,0.129777
1.0,45,0.131816
1.0,46,0.133908
0.0,5,0.134201
0.0,3,0.134403
1.0,22,0.13546
0.0,87,0.139335
1.0,34,0.140899
0.0,79,0.144421
1.0,18,0.145284
1.0,51,0.147578
0.0,14,0.148261
0.0,16,0.149039
0.0,26,0.150252
1.0,60,0.152944
1.0,54,0.155386
1.0,9,0.155863
1.0,40,0.157691
0.0,11,0.15824
0.0,29,0.159582
1.0,42,0.161484
0.0,100,0.165954
0.0,13,0.166591
0.0,15,0.16734
0.0,39,0.169115
0.0,27,0.170367
1.0,84,0.174132
0.0,15,0.174864
0.0,76,0.178256
0.0,100,0.182725
1.0,7,0.183104
0.0,16,0.183883
0.0,16,0.184665
1.0,19,0.185551
1.0,30,0.186952
1.0,26,0.188162
1.0,61,0.190908
1.0,16,0.191682
1.0,32,0.193156
0.0,100,0.197607
0.0,27,0.198862
1.0,35,0.200447
0.0,20,0.201408
1.0,9,0.201892
1.0,10,0.202398
0.0,12,0.202999
0.0,48,0.205163
0.0,9,0.205698
0.0,11,0.206249
1.0,14,0.20694
0.0,31,0.208376
1.0,11,0.208937
0.0,7,0.209312
0.0,46,0.211391
0.0,21,0.212392
0.0,9,0.212877
1.0,25,0.214042
1.0,50,0.216301
1.0,12,0.216905
1.0,27,0.218163
1.0,6,0.218492
0.0,6,0.218832
0.0,14,0.219517
0.0,25,0.220696
1.0,37,0.22238
0.0,100,0.226872
0.0,100,0.231333
0.0,32,0.232834
1.0,41,0.234714
0.0,9,0.23518
1.0,78,0.238674
1.0,38,0.240405
0.0,27,0.24167
1.0,39,0.243441
0.0,37,0.245134
0.0,13,0.245784
0.0,15,0.246506
0.0,26,0.247719
0.0,100,0.252175
1.0,34,0.253761
0.0,45,0.255807
0.0,14,0.256488
0.0,8,0.25692
0.0,15,0.257662
0.0,17,0.258478
1.0,32,0.259965
0.0,33,0.261488
1.0,20,0.262441
0.0,18,0.263311
1.0,16,0.26409
1.0,27,0.265348
0.0,100,0.269801
0.0,81,0.273431
0.0,37,0.275125
0.0,92,0.279242
0.0,10,0.279758
0.0,10,0.280269
1.0,20,0.281224
0.0,13,0.281868
0.0,3,0.282073
0.0,21,0.283077
1.0,16,0.283858
0.0,32,0.285331
1.0,13,0.285985
0.0,38,0.287736
1.0,35,0.289331
0.0,45,0.291377
0.0,8,0.291811
0.0,100,0.296278
0.0,43,0.298248
0.0,7,0.298636
1.0,18,0.299488
1.0,19,0.300399
