#{"t_start": 1522695410.6918867, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,18,0.00211
0.0,4,0.002367
0.0,10,0.002877
0.0,10,0.003392
0.0,5,0.00369
0.0,2,0.003845
0.0,6,0.004173
0.0,5,0.004606
0.0,8,0.005041
0.0,4,0.005306
0.0,36,0.007018
0.0,42,0.00897
0.0,50,0.011352
1.0,25,0.012584
0.0,9,0.013047
0.0,22,0.014083
0.0,23,0.015225
0.0,64,0.018172
0.0,17,0.019002
0.0,98,0.023504
0.0,16,0.024297
1.0,59,0.027016
1.0,63,0.029919
0.0,5,0.030218
0.0,10,0.030794
0.0,4,0.03106
0.0,6,0.031394
0.0,2,0.031559
0.0,45,0.033757
0.0,2,0.03392
0.0,2,0.034077
0.0,7,0.034461
0.0,27,0.035711
0.0,28,0.037088
0.0,11,0.037657
0.0,5,0.037946
0.0,26,0.039215
0.0,7,0.039606
0.0,13,0.040239
0.0,5,0.04054
0.0,40,0.04244
0.0,19,0.043343
0.0,92,0.047567
0.0,3,0.047792
0.0,37,0.049483
1.0,27,0.050807
0.0,6,0.051145
0.0,14,0.051829
0.0,12,0.052429
0.0,6,0.052812
1.0,20,0.053796
0.0,12,0.054386
0.0,13,0.055069
0.0,2,0.055225
0.0,9,0.055766
0.0,4,0.056015
0.0,8,0.056456
1.0,19,0.057345
1.0,14,0.058039
1.0,15,0.058831
0.0,31,0.060251
1.0,14,0.060995
0.0,9,0.06148
0.0,6,0.06181
1.0,13,0.062459
0.0,23,0.063545
1.0,13,0.06423
1.0,57,0.066871
0.0,3,0.06708
0.0,2,0.067238
0.0,5,0.067538
1.0,35,0.069186
1.0,51,0.071515
0.0,7,0.07196
1.0,81,0.075666
1.0,14,0.076351
0.0,5,0.076656
1.0,22,0.077755
1.0,16,0.078533
1.0,20,0.079479
0.0,5,0.079774
1.0,26,0.08104
1.0,22,0.08207
0.0,20,0.083089
1.0,17,0.083915
1.0,28,0.08522
0.0,6,0.085618
0.0,12,0.08622
1.0,15,0.086961
1.0,38,0.088761
1.0,11,0.08931
1.0,14,0.089998
1.0,30,0.091448
0.0,72,0.094731
0.0,100,0.09934
1.0,34,0.100922
0.0,2,0.101079
0.0,3,0.101281
0.0,19,0.102438
0.0,6,0.102778
1.0,49,0.10508
1.0,21,0.10608
0.0,41,0.108012
1.0,12,0.108624
1.0,23,0.109704
1.0,25,0.110932
0.0,19,0.111839
0.0,31,0.113331
1.0,15,0.114063
0.0,7,0.114451
