#{"t_start": 1522766165.2888386, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.034861
0.0,6,0.035424
0.0,1,0.035609
0.0,8,0.036264
0.0,3,0.036587
0.0,3,0.036893
0.0,6,0.037401
0.0,6,0.037923
0.0,25,0.039744
0.0,37,0.04149
0.0,41,0.043407
0.0,10,0.043933
0.0,25,0.04513
0.0,70,0.048486
1.0,16,0.049277
0.0,63,0.052191
0.0,4,0.052451
0.0,17,0.053281
0.0,9,0.053764
0.0,20,0.054731
0.0,11,0.055287
0.0,15,0.056034
0.0,11,0.056607
0.0,15,0.057343
0.0,15,0.058092
0.0,6,0.05843
0.0,7,0.058821
0.0,6,0.059155
0.0,21,0.060172
0.0,10,0.060706
0.0,6,0.061046
0.0,15,0.061794
0.0,8,0.062222
0.0,1,0.062333
0.0,1,0.062453
0.0,6,0.062789
0.0,6,0.063126
0.0,1,0.063238
0.0,20,0.06421
0.0,25,0.065398
0.0,17,0.066236
0.0,30,0.067665
0.0,11,0.068227
0.0,1,0.068339
0.0,1,0.068461
0.0,27,0.069752
0.0,30,0.071166
0.0,23,0.072273
0.0,12,0.072888
0.0,12,0.073506
0.0,5,0.073803
0.0,5,0.074095
0.0,18,0.074983
1.0,50,0.077285
0.0,5,0.07759
1.0,12,0.07819
0.0,5,0.078493
1.0,56,0.081073
0.0,22,0.082133
0.0,12,0.082751
0.0,25,0.083947
0.0,10,0.08447
0.0,9,0.084942
0.0,1,0.085053
0.0,36,0.08673
0.0,2,0.086892
0.0,1,0.087003
0.0,2,0.087161
0.0,5,0.087461
0.0,10,0.08798
0.0,10,0.0885
1.0,15,0.089231
1.0,18,0.090121
0.0,18,0.091005
0.0,6,0.091344
0.0,5,0.09165
0.0,47,0.093838
0.0,1,0.093951
1.0,9,0.09442
0.0,36,0.096105
1.0,74,0.099519
0.0,23,0.10063
0.0,30,0.102045
0.0,15,0.102799
0.0,65,0.105791
0.0,2,0.105952
0.0,29,0.107321
0.0,31,0.108793
1.0,68,0.111923
0.0,6,0.112261
0.0,30,0.113693
0.0,3,0.113898
0.0,100,0.11846
0.0,12,0.119067
0.0,6,0.119402
0.0,34,0.121001
0.0,17,0.12184
0.0,21,0.122858
1.0,31,0.12432
0.0,6,0.12467
0.0,37,0.126398
0.0,44,0.128458
0.0,9,0.128934
0.0,4,0.129185
0.0,44,0.131246
0.0,7,0.131639
0.0,9,0.133326
0.0,9,0.13387
0.0,1,0.133989
1.0,9,0.134481
0.0,10,0.134998
0.0,89,0.139318
0.0,58,0.142115
0.0,11,0.142754
0.0,23,0.143869
0.0,7,0.144266
0.0,32,0.145807
0.0,4,0.14608
0.0,4,0.146329
