#{"t_start": 1522696276.5869768, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.035861
0.0,3,0.036128
0.0,8,0.036563
0.0,1,0.036677
0.0,7,0.037077
0.0,12,0.037707
0.0,4,0.037978
0.0,5,0.038275
0.0,8,0.038717
0.0,20,0.039794
0.0,12,0.04044
0.0,62,0.043343
0.0,97,0.047814
0.0,37,0.049568
0.0,86,0.053576
1.0,11,0.054167
0.0,13,0.054837
0.0,17,0.05567
0.0,20,0.056663
0.0,5,0.056973
0.0,16,0.05778
0.0,13,0.05844
0.0,24,0.059604
0.0,15,0.060375
0.0,9,0.060864
0.0,42,0.062855
0.0,1,0.062973
0.0,14,0.063679
0.0,41,0.065619
0.0,100,0.070259
0.0,8,0.070697
0.0,20,0.071667
0.0,23,0.0728
0.0,11,0.073371
0.0,15,0.074131
1.0,28,0.075464
0.0,13,0.076132
1.0,10,0.07665
0.0,21,0.077673
0.0,37,0.079427
0.0,5,0.079746
0.0,6,0.08009
0.0,4,0.080343
1.0,6,0.080691
0.0,5,0.080993
0.0,43,0.083017
0.0,7,0.083405
0.0,17,0.084256
0.0,13,0.084922
0.0,16,0.085723
0.0,10,0.086246
0.0,5,0.086545
0.0,16,0.087345
0.0,56,0.089966
0.0,9,0.090443
0.0,44,0.092504
1.0,12,0.093129
0.0,8,0.093563
0.0,12,0.094193
0.0,2,0.09436
0.0,3,0.094568
0.0,7,0.094961
0.0,10,0.095483
0.0,3,0.0957
0.0,25,0.096909
0.0,8,0.097339
1.0,16,0.098143
0.0,18,0.099036
0.0,11,0.099609
0.0,1,0.099739
0.0,39,0.101567
0.0,38,0.103362
0.0,4,0.103613
0.0,18,0.10451
0.0,6,0.104866
0.0,5,0.105161
0.0,30,0.106595
0.0,35,0.108261
0.0,8,0.108701
0.0,1,0.108818
0.0,8,0.109248
0.0,7,0.109636
0.0,2,0.109841
0.0,16,0.110643
0.0,42,0.112621
0.0,9,0.113108
0.0,50,0.115451
0.0,56,0.118069
0.0,30,0.119509
0.0,11,0.120093
0.0,10,0.120617
1.0,22,0.121698
0.0,6,0.122041
0.0,49,0.124334
0.0,31,0.125821
0.0,4,0.126073
0.0,4,0.126321
1.0,11,0.1269
0.0,14,0.127599
0.0,14,0.128314
0.0,7,0.128712
0.0,1,0.128827
0.0,36,0.130527
0.0,28,0.131884
0.0,9,0.132363
0.0,10,0.132893
0.0,17,0.133737
0.0,20,0.134725
0.0,9,0.135204
0.0,7,0.13559
1.0,23,0.136714
0.0,22,0.137924
1.0,16,0.13873
0.0,14,0.139432
0.0,23,0.140554
0.0,5,0.140862
0.0,100,0.145445
0.0,10,0.145982
0.0,20,0.146967
0.0,1,0.147085
0.0,67,0.150191
0.0,1,0.150307
1.0,19,0.151239
0.0,11,0.151815
0.0,14,0.152516
0.0,18,0.153404
0.0,19,0.154344
0.0,2,0.15451
0.0,28,0.155869
0.0,1,0.155985
0.0,9,0.156458
0.0,5,0.156762
1.0,23,0.15788
0.0,4,0.158133
1.0,20,0.159103
0.0,3,0.159313
1.0,12,0.159935
0.0,17,0.160779
0.0,36,0.162485
0.0,4,0.16275
0.0,2,0.162911
0.0,23,0.164026
0.0,6,0.164372
0.0,9,0.16486
1.0,29,0.166302
0.0,53,0.168777
1.0,6,0.169122
