#{"t_start": 1522708573.0004554, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.00667
0.0,2,0.006804
0.0,1,0.006887
0.0,2,0.00699
0.0,2,0.007102
0.0,7,0.007311
0.0,6,0.007491
0.0,15,0.007874
0.0,3,0.008002
0.0,5,0.008177
0.0,33,0.008913
0.0,14,0.009267
0.0,12,0.009576
0.0,39,0.010453
0.0,23,0.011004
0.0,15,0.011387
0.0,25,0.011971
0.0,25,0.012568
0.0,12,0.01289
0.0,6,0.013087
0.0,27,0.013698
0.0,54,0.014879
0.0,18,0.015335
0.0,18,0.015767
0.0,74,0.017382
0.0,27,0.018
0.0,7,0.018222
0.0,14,0.01858
0.0,100,0.02071
0.0,7,0.020924
0.0,5,0.021096
0.0,1,0.021171
0.0,9,0.021416
0.0,5,0.021581
0.0,15,0.021954
0.0,16,0.022353
0.0,7,0.022567
0.0,23,0.023108
0.0,16,0.023505
0.0,4,0.023644
0.0,12,0.023952
0.0,14,0.024311
0.0,22,0.024823
0.0,25,0.025465
0.0,33,0.026215
0.0,32,0.026932
0.0,49,0.027992
0.0,9,0.028255
0.0,92,0.030175
0.0,89,0.032058
0.0,40,0.03293
0.0,100,0.035069
0.0,47,0.036103
0.0,52,0.03725
0.0,19,0.037714
0.0,23,0.038257
0.0,100,0.040365
0.0,8,0.04059
0.0,1,0.040664
0.0,1,0.040741
0.0,5,0.04091
0.0,1,0.040985
0.0,23,0.041519
0.0,5,0.041681
0.0,26,0.042284
0.0,6,0.042478
0.0,7,0.04269
0.0,16,0.043093
0.0,23,0.04364
0.0,80,0.045349
0.0,7,0.045568
0.0,100,0.047675
0.0,23,0.048226
0.0,1,0.048309
0.0,26,0.048911
0.0,26,0.049516
0.0,12,0.049829
0.0,15,0.050213
0.0,1,0.050292
0.0,9,0.050545
0.0,15,0.050924
0.0,15,0.051302
0.0,1,0.051378
0.0,21,0.051879
0.0,19,0.052341
0.0,30,0.053008
1.0,16,0.053411
0.0,4,0.053554
1.0,15,0.053922
0.0,1,0.053999
0.0,2,0.054107
0.0,6,0.054297
0.0,3,0.054421
0.0,10,0.054686
0.0,15,0.055052
0.0,8,0.055281
1.0,22,0.055804
0.0,18,0.05625
0.0,5,0.056412
0.0,9,0.05666
0.0,5,0.056823
0.0,1,0.056896
0.0,2,0.056995
0.0,8,0.057224
0.0,2,0.057322
0.0,6,0.057512
0.0,11,0.057802
0.0,18,0.058277
0.0,2,0.05838
0.0,3,0.0585
0.0,5,0.058668
0.0,12,0.058976
0.0,2,0.059085
0.0,28,0.059733
0.0,11,0.06003
0.0,6,0.060216
0.0,7,0.060416
0.0,7,0.060626
0.0,2,0.060723
0.0,1,0.060797
0.0,11,0.061098
0.0,1,0.061175
0.0,7,0.061383
0.0,7,0.061585
0.0,14,0.061932
0.0,15,0.062313
0.0,20,0.062773
0.0,4,0.062912
0.0,20,0.063396
0.0,5,0.063564
0.0,29,0.064231
0.0,17,0.064651
0.0,16,0.065046
0.0,9,0.065294
0.0,11,0.065578
0.0,11,0.065921
0.0,21,0.066508
0.0,37,0.067326
0.0,11,0.067613
0.0,13,0.067937
0.0,9,0.068196
0.0,44,0.069177
1.0,9,0.069448
0.0,4,0.069593
0.0,10,0.069854
0.0,8,0.070087
0.0,24,0.070649
0.0,1,0.070723
0.0,17,0.071151
0.0,17,0.071564
0.0,5,0.071724
0.0,1,0.071798
0.0,9,0.072046
0.0,6,0.072227
0.0,11,0.072511
0.0,11,0.072801
0.0,2,0.072905
0.0,19,0.073372
0.0,14,0.073731
0.0,10,0.074001
0.0,8,0.074245
0.0,5,0.074412
0.0,4,0.074553
0.0,15,0.07492
0.0,3,0.075048
0.0,5,0.075219
0.0,4,0.07536
0.0,53,0.076621
0.0,16,0.077019
0.0,2,0.077133
0.0,2,0.077233
0.0,9,0.077484
0.0,2,0.077582
0.0,9,0.077834
0.0,9,0.078092
0.0,11,0.078377
0.0,4,0.078519
0.0,23,0.079059
0.0,21,0.07956
0.0,2,0.079661
0.0,29,0.080332
0.0,24,0.080901
0.0,5,0.081079
0.0,4,0.081227
0.0,5,0.081387
0.0,8,0.081615
0.0,30,0.082312
0.0,7,0.082529
0.0,24,0.083098
0.0,81,0.084795
0.0,13,0.085132
0.0,8,0.085357
0.0,25,0.085929
0.0,12,0.086248
0.0,54,0.087415
0.0,30,0.088115
0.0,4,0.088254
0.0,13,0.088572
0.0,10,0.088839
0.0,3,0.088963
0.0,8,0.089199
0.0,5,0.08937
0.0,8,0.089612
0.0,13,0.08994
0.0,15,0.090321
0.0,14,0.090665
0.0,31,0.091368
0.0,12,0.091688
0.0,14,0.092042
0.0,12,0.092352
0.0,6,0.092533
0.0,30,0.093214
0.0,15,0.093585
0.0,18,0.094015
0.0,1,0.0941
0.0,16,0.09449
0.0,4,0.09463
0.0,8,0.094856
0.0,27,0.095476
0.0,22,0.095982
0.0,26,0.096582
0.0,18,0.097019
0.0,7,0.097239
0.0,4,0.097385
0.0,5,0.097551
0.0,1,0.097631
0.0,22,0.098147
0.0,15,0.09851
0.0,29,0.099178
0.0,20,0.099639
0.0,18,0.100066
0.0,12,0.100379
0.0,23,0.100909
0.0,13,0.101252
0.0,69,0.102766
0.0,6,0.102955
0.0,19,0.10341
0.0,9,0.103661
0.0,15,0.104039
0.0,13,0.10437
0.0,29,0.105014
0.0,68,0.106481
0.0,21,0.106985
0.0,5,0.107247
0.0,13,0.107587
0.0,7,0.107801
0.0,5,0.10797
0.0,7,0.108184
0.0,31,0.108883
0.0,6,0.109083
0.0,7,0.10929
0.0,10,0.10956
0.0,16,0.109965
0.0,24,0.11052
0.0,58,0.111769
0.0,30,0.112459
0.0,43,0.11341
0.0,68,0.114867
0.0,9,0.115143
0.0,2,0.11525
0.0,25,0.115849
0.0,41,0.116775
0.0,33,0.117545
0.0,37,0.118373
0.0,17,0.118791
0.0,24,0.119364
0.0,10,0.119629
0.0,9,0.119874
0.0,13,0.120221
0.0,5,0.120391
0.0,100,0.122494
0.0,10,0.122763
0.0,5,0.122924
0.0,21,0.12343
0.0,65,0.124852
0.0,34,0.125626
0.0,13,0.125953
0.0,10,0.12623
0.0,39,0.1271
0.0,22,0.127606
0.0,9,0.127858
0.0,6,0.128054
0.0,62,0.129401
0.0,8,0.129634
0.0,31,0.130345
0.0,27,0.130962
0.0,46,0.13196
0.0,8,0.132198
0.0,48,0.133278
0.0,4,0.133424
0.0,24,0.133969
0.0,19,0.134436
0.0,11,0.134731
0.0,32,0.135467
0.0,18,0.135899
0.0,35,0.136681
0.0,5,0.136847
0.0,84,0.138638
0.0,38,0.139475
0.0,47,0.140502
0.0,100,0.142606
0.0,6,0.142789
0.0,3,0.142907
0.0,5,0.143077
0.0,6,0.143257
0.0,15,0.14362
0.0,1,0.143694
0.0,1,0.143772
0.0,6,0.143964
0.0,6,0.14416
0.0,8,0.144392
0.0,27,0.145007
0.0,4,0.145163
0.0,5,0.14533
0.0,100,0.147445
0.0,11,0.147744
0.0,6,0.147926
0.0,24,0.148494
0.0,46,0.149513
0.0,34,0.150282
0.0,15,0.150661
0.0,13,0.150994
0.0,17,0.151415
0.0,23,0.151954
0.0,89,0.153788
0.0,3,0.153919
0.0,16,0.154325
0.0,55,0.155529
0.0,20,0.156003
0.0,81,0.15773
0.0,27,0.158357
0.0,20,0.158826
0.0,100,0.160923
0.0,30,0.161612
0.0,29,0.162306
0.0,63,0.163687
0.0,36,0.164508
0.0,10,0.164777
0.0,54,0.165968
0.0,40,0.166881
0.0,15,0.167267
0.0,2,0.167373
0.0,6,0.167563
0.0,3,0.16769
0.0,25,0.168287
0.0,100,0.170434
0.0,14,0.170787
0.0,19,0.171257
0.0,44,0.17224
0.0,2,0.172346
0.0,8,0.17257
0.0,3,0.172689
0.0,27,0.173332
0.0,58,0.174586
0.0,11,0.174877
0.0,16,0.175294
0.0,6,0.175488
0.0,8,0.175724
0.0,10,0.175988
0.0,10,0.176273
0.0,1,0.176351
0.0,8,0.176585
0.0,34,0.177366
0.0,3,0.177488
0.0,15,0.177866
1.0,21,0.178366
1.0,29,0.179019
1.0,28,0.179665
0.0,11,0.179956
0.0,12,0.180266
0.0,20,0.180744
0.0,13,0.181096
0.0,2,0.181202
1.0,20,0.181683
0.0,3,0.181808
0.0,5,0.181977
0.0,12,0.182297
0.0,15,0.182671
0.0,44,0.183632
0.0,6,0.183828
0.0,21,0.184332
0.0,16,0.184731
0.0,25,0.185328
0.0,4,0.185477
0.0,4,0.185623
0.0,28,0.186275
0.0,5,0.186437
0.0,6,0.186625
0.0,13,0.186954
0.0,25,0.187539
0.0,3,0.18766
0.0,7,0.187875
0.0,5,0.188051
0.0,6,0.188233
0.0,64,0.189596
0.0,42,0.190515
0.0,7,0.190727
0.0,10,0.191001
0.0,17,0.191423
0.0,7,0.191633
0.0,9,0.191884
0.0,25,0.192475
0.0,11,0.192758
0.0,3,0.192882
0.0,1,0.192957
0.0,57,0.194199
1.0,7,0.194409
0.0,20,0.194879
0.0,21,0.19539
0.0,2,0.195496
0.0,2,0.195602
