#{"t_start": 1522699735.3623881, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.00151
0.0,4,0.001781
0.0,2,0.001942
0.0,10,0.002486
0.0,2,0.002645
0.0,4,0.002888
0.0,1,0.002998
0.0,7,0.003389
0.0,18,0.004244
0.0,29,0.005705
0.0,10,0.00621
0.0,87,0.010137
1.0,6,0.010504
0.0,22,0.011564
1.0,31,0.013005
1.0,32,0.014503
0.0,39,0.016335
0.0,10,0.016858
0.0,21,0.017851
0.0,4,0.018098
0.0,10,0.018627
0.0,6,0.018963
0.0,5,0.019285
0.0,26,0.020501
0.0,6,0.020834
0.0,46,0.022958
0.0,33,0.024503
0.0,27,0.025798
0.0,2,0.025959
0.0,3,0.02616
1.0,59,0.028865
0.0,3,0.029077
0.0,18,0.029948
0.0,3,0.030154
0.0,87,0.034107
0.0,32,0.035634
1.0,27,0.036925
0.0,10,0.037444
0.0,8,0.037862
0.0,16,0.038655
0.0,4,0.038922
0.0,30,0.040313
0.0,14,0.040997
0.0,3,0.041209
0.0,23,0.042328
0.0,2,0.04249
0.0,32,0.043959
0.0,3,0.044168
0.0,3,0.044404
1.0,15,0.045137
0.0,15,0.045876
0.0,19,0.046821
0.0,44,0.048837
0.0,11,0.049393
0.0,61,0.052149
0.0,25,0.053372
1.0,25,0.054548
0.0,32,0.056057
0.0,1,0.056175
1.0,28,0.057497
0.0,1,0.057611
0.0,4,0.057856
0.0,4,0.058108
1.0,26,0.059398
1.0,48,0.061575
0.0,17,0.062426
1.0,20,0.063366
0.0,24,0.064522
0.0,6,0.064865
0.0,14,0.065561
0.0,25,0.066743
0.0,36,0.068411
0.0,23,0.069503
0.0,2,0.069672
0.0,4,0.069919
0.0,20,0.070902
0.0,2,0.071061
0.0,40,0.072901
0.0,2,0.07308
0.0,14,0.073776
0.0,23,0.07485
0.0,5,0.07515
0.0,9,0.075783
0.0,20,0.076803
0.0,17,0.077627
0.0,3,0.077832
0.0,24,0.078999
0.0,6,0.07936
0.0,13,0.080001
0.0,16,0.080786
0.0,29,0.082185
0.0,9,0.08267
0.0,4,0.082919
0.0,9,0.083394
0.0,8,0.083826
0.0,68,0.086948
0.0,3,0.087171
0.0,5,0.087476
0.0,6,0.087813
0.0,5,0.088106
1.0,28,0.089419
0.0,39,0.091237
0.0,37,0.092952
0.0,6,0.093315
0.0,19,0.094212
1.0,37,0.095967
0.0,24,0.097143
0.0,26,0.098427
0.0,14,0.099123
0.0,5,0.099424
0.0,31,0.100867
0.0,31,0.102345
1.0,19,0.103428
0.0,10,0.103951
0.0,22,0.105038
0.0,34,0.106644
0.0,19,0.107592
0.0,41,0.109488
0.0,9,0.109982
0.0,4,0.110232
0.0,15,0.110966
0.0,37,0.112685
0.0,12,0.113318
0.0,32,0.114807
0.0,5,0.115106
1.0,48,0.117347
0.0,7,0.117741
1.0,11,0.118339
0.0,11,0.118919
0.0,12,0.119525
0.0,4,0.119773
0.0,8,0.120192
0.0,4,0.120454
0.0,3,0.120667
0.0,2,0.120828
0.0,33,0.122396
0.0,11,0.122951
0.0,5,0.123239
0.0,29,0.12464
0.0,36,0.12634
0.0,2,0.126501
1.0,58,0.129174
0.0,30,0.130615
0.0,11,0.131171
0.0,18,0.132058
0.0,3,0.132279
0.0,4,0.132542
0.0,17,0.133378
0.0,12,0.133973
0.0,13,0.13463
0.0,3,0.134844
0.0,6,0.135181
0.0,20,0.136158
0.0,6,0.136508
0.0,12,0.137104
0.0,8,0.13754
0.0,16,0.138353
0.0,22,0.139396
0.0,91,0.143695
0.0,24,0.144857
0.0,13,0.145517
0.0,12,0.146166
0.0,46,0.148314
0.0,16,0.1491
0.0,3,0.149334
0.0,14,0.150045
0.0,34,0.151617
0.0,27,0.152902
0.0,19,0.153816
0.0,27,0.155112
0.0,1,0.155229
0.0,1,0.155364
0.0,3,0.155574
0.0,43,0.157558
0.0,27,0.158869
0.0,18,0.159735
0.0,9,0.160213
0.0,5,0.160523
0.0,35,0.162168
1.0,22,0.163225
1.0,77,0.166793
0.0,48,0.169026
0.0,5,0.16934
0.0,12,0.169946
0.0,2,0.170104
0.0,1,0.170215
0.0,61,0.173028
0.0,17,0.173856
1.0,29,0.175246
1.0,16,0.176043
0.0,11,0.176607
0.0,5,0.176899
1.0,26,0.17816
0.0,4,0.178432
0.0,10,0.178942
0.0,8,0.179372
0.0,7,0.179749
0.0,29,0.181136
0.0,21,0.182138
1.0,16,0.182933
0.0,33,0.1845
1.0,40,0.186369
0.0,7,0.186772
0.0,10,0.18729
1.0,11,0.187836
0.0,10,0.18836
0.0,16,0.189146
0.0,4,0.189411
0.0,29,0.190763
1.0,41,0.192687
1.0,17,0.19351
0.0,1,0.193624
0.0,9,0.194089
1.0,44,0.196158
0.0,19,0.197117
0.0,11,0.197708
0.0,1,0.197827
0.0,4,0.198077
0.0,27,0.199363
0.0,8,0.199784
0.0,33,0.201367
0.0,12,0.201972
0.0,7,0.202368
0.0,1,0.20265
0.0,16,0.203473
0.0,20,0.204441
0.0,18,0.205321
0.0,25,0.206536
0.0,35,0.208149
1.0,18,0.209038
0.0,6,0.209412
0.0,11,0.209968
0.0,3,0.210167
0.0,47,0.21236
0.0,2,0.212543
0.0,1,0.212656
1.0,30,0.214055
0.0,19,0.215024
0.0,41,0.216921
1.0,30,0.218339
0.0,13,0.218979
0.0,1,0.21909
1.0,24,0.220234
1.0,30,0.22163
0.0,7,0.222036
1.0,24,0.223207
1.0,37,0.224921
0.0,17,0.225773
0.0,9,0.22626
0.0,13,0.226923
0.0,1,0.227036
0.0,18,0.227901
0.0,11,0.22848
0.0,5,0.228776
1.0,25,0.22997
1.0,10,0.230502
1.0,22,0.23156
0.0,24,0.232714
0.0,38,0.234519
1.0,10,0.235044
0.0,7,0.235439
0.0,15,0.236166
0.0,9,0.236662
0.0,8,0.237108
0.0,3,0.237327
0.0,10,0.237845
0.0,30,0.239242
0.0,1,0.239367
1.0,17,0.240213
0.0,3,0.240435
0.0,3,0.240661
0.0,34,0.242235
0.0,27,0.243532
0.0,22,0.244587
0.0,12,0.245195
0.0,21,0.246229
1.0,39,0.248054
0.0,37,0.249789
0.0,12,0.250401
0.0,30,0.251801
0.0,26,0.253022
0.0,27,0.254322
0.0,6,0.254665
0.0,3,0.254869
0.0,6,0.255202
0.0,2,0.255382
0.0,5,0.255669
0.0,7,0.256044
1.0,14,0.256758
0.0,19,0.257698
1.0,44,0.259726
0.0,11,0.260319
1.0,31,0.261736
0.0,17,0.262574
1.0,30,0.263992
0.0,14,0.264683
1.0,44,0.266716
0.0,42,0.268647
0.0,4,0.268909
1.0,40,0.270739
0.0,2,0.270906
0.0,15,0.271672
0.0,8,0.272092
0.0,10,0.272614
0.0,18,0.273483
0.0,2,0.273645
0.0,2,0.273807
