#{"t_start": 1522716513.5485945, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.034318
0.0,1,0.034491
0.0,10,0.035009
0.0,11,0.035602
0.0,4,0.035852
0.0,13,0.036505
0.0,6,0.036835
0.0,3,0.037035
0.0,9,0.037512
0.0,3,0.037719
0.0,3,0.037923
0.0,36,0.039633
0.0,3,0.039844
0.0,36,0.041534
0.0,2,0.041703
0.0,18,0.042563
0.0,32,0.044065
0.0,100,0.048599
0.0,4,0.048862
0.0,2,0.049019
0.0,1,0.049137
0.0,10,0.049667
0.0,3,0.049891
0.0,21,0.050892
1.0,21,0.051894
1.0,34,0.053513
0.0,85,0.057344
0.0,17,0.058222
0.0,55,0.060728
0.0,40,0.062579
0.0,8,0.062999
0.0,2,0.063159
0.0,5,0.06347
0.0,9,0.063958
0.0,1,0.064072
0.0,1,0.064184
0.0,13,0.064837
0.0,19,0.065746
0.0,18,0.066622
1.0,25,0.067823
0.0,40,0.069673
0.0,7,0.070051
0.0,13,0.070698
1.0,19,0.071597
1.0,19,0.072532
1.0,28,0.073848
0.0,50,0.076148
0.0,3,0.076361
0.0,4,0.076617
0.0,3,0.076822
1.0,22,0.077899
1.0,12,0.078516
0.0,33,0.080032
0.0,16,0.080846
0.0,22,0.081894
1.0,16,0.082667
1.0,13,0.083309
0.0,1,0.083434
0.0,18,0.084312
1.0,35,0.08595
1.0,44,0.087985
0.0,9,0.088459
0.0,12,0.089069
0.0,1,0.089183
0.0,6,0.089547
0.0,32,0.091018
0.0,26,0.092272
1.0,24,0.093402
0.0,2,0.093573
0.0,8,0.093989
1.0,14,0.094692
1.0,35,0.096328
0.0,31,0.097796
1.0,12,0.09842
1.0,10,0.098932
0.0,3,0.099138
0.0,5,0.099429
1.0,17,0.100255
0.0,28,0.101579
0.0,27,0.102835
0.0,7,0.10323
0.0,11,0.103812
0.0,4,0.104059
1.0,16,0.104845
0.0,12,0.105438
0.0,31,0.106922
0.0,22,0.107973
1.0,20,0.108938
0.0,2,0.109097
0.0,1,0.109235
0.0,14,0.109926
1.0,29,0.111266
0.0,11,0.111842
0.0,2,0.112004
1.0,42,0.113942
0.0,7,0.114332
1.0,22,0.1154
1.0,17,0.116218
0.0,18,0.117092
0.0,11,0.117675
0.0,22,0.118737
0.0,2,0.118895
1.0,11,0.119442
0.0,11,0.120013
0.0,4,0.12026
0.0,4,0.120525
1.0,29,0.121876
1.0,30,0.1233
0.0,41,0.125189
0.0,5,0.125491
1.0,13,0.126153
0.0,9,0.12664
1.0,57,0.133325
0.0,10,0.133951
0.0,12,0.134684
0.0,50,0.136993
0.0,3,0.137206
0.0,18,0.138072
0.0,3,0.138274
0.0,1,0.138387
0.0,7,0.138781
0.0,14,0.139497
1.0,46,0.141633
0.0,3,0.141844
0.0,27,0.14312
0.0,9,0.143597
0.0,19,0.144526
0.0,29,0.145882
0.0,15,0.146622
0.0,12,0.147223
1.0,24,0.148382
1.0,28,0.149695
0.0,5,0.150006
0.0,33,0.151547
0.0,6,0.151883
0.0,36,0.153584
0.0,11,0.154143
0.0,35,0.155769
0.0,2,0.15595
0.0,29,0.157291
0.0,12,0.1579
0.0,2,0.158066
0.0,15,0.158815
0.0,6,0.15915
0.0,25,0.160326
0.0,8,0.160762
0.0,24,0.161939
1.0,29,0.163288
1.0,10,0.163815
0.0,16,0.164632
1.0,30,0.166016
1.0,14,0.166727
0.0,2,0.166894
0.0,3,0.167095
1.0,10,0.16764
0.0,2,0.167798
0.0,8,0.168215
0.0,32,0.169712
1.0,19,0.170639
0.0,1,0.170751
0.0,18,0.171622
0.0,22,0.172679
0.0,1,0.172813
0.0,28,0.174133
0.0,3,0.174339
0.0,39,0.176177
0.0,1,0.176295
0.0,1,0.176405
0.0,10,0.176929
0.0,15,0.177678
0.0,12,0.178289
0.0,23,0.17938
0.0,18,0.180258
0.0,27,0.181574
0.0,13,0.18223
0.0,1,0.182343
0.0,16,0.183125
0.0,21,0.184144
0.0,17,0.184994
1.0,18,0.185867
1.0,31,0.187329
0.0,11,0.187911
0.0,11,0.188474
0.0,10,0.188985
0.0,2,0.189142
0.0,24,0.190322
0.0,1,0.190442
0.0,10,0.190966
0.0,10,0.19149
0.0,37,0.193219
0.0,6,0.193572
1.0,17,0.194391
0.0,6,0.19473
0.0,11,0.195292
1.0,20,0.196281
0.0,2,0.196442
0.0,13,0.197099
1.0,12,0.197718
0.0,1,0.197831
0.0,26,0.199087
0.0,19,0.20001
0.0,4,0.200254
0.0,27,0.201571
0.0,3,0.201794
0.0,18,0.202662
1.0,17,0.203484
0.0,31,0.204942
0.0,7,0.205327
0.0,16,0.206114
0.0,4,0.206359
0.0,51,0.208729
0.0,8,0.209157
1.0,22,0.210234
0.0,25,0.211432
0.0,1,0.211561
0.0,37,0.213289
0.0,23,0.214381
0.0,17,0.215201
1.0,25,0.216416
0.0,13,0.217075
0.0,29,0.218445
0.0,3,0.218661
0.0,12,0.219274
0.0,1,0.219386
0.0,18,0.220258
0.0,1,0.220373
0.0,20,0.221336
0.0,34,0.222946
1.0,30,0.224351
0.0,1,0.22448
0.0,3,0.224694
0.0,14,0.22538
1.0,25,0.226569
1.0,18,0.227442
1.0,27,0.228768
0.0,19,0.229682
0.0,7,0.23007
0.0,55,0.232613
0.0,8,0.233047
1.0,31,0.234531
0.0,10,0.235157
0.0,7,0.235548
1.0,18,0.236434
0.0,1,0.236563
0.0,30,0.237992
0.0,12,0.238607
1.0,39,0.240432
0.0,1,0.240559
0.0,29,0.241932
0.0,37,0.243659
0.0,16,0.244432
0.0,42,0.246381
1.0,18,0.247253
0.0,10,0.247795
0.0,5,0.248106
0.0,12,0.248708
0.0,70,0.251913
0.0,32,0.253408
0.0,28,0.254733
1.0,12,0.255327
0.0,4,0.255588
0.0,15,0.256321
0.0,18,0.25722
0.0,80,0.260841
0.0,6,0.261181
0.0,10,0.261709
0.0,16,0.262514
