#{"t_start": 1522697001.1081223, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,46,0.039029
0.0,98,0.043706
0.0,14,0.044439
0.0,41,0.046356
0.0,3,0.046567
0.0,100,0.051095
0.0,12,0.051755
0.0,13,0.052405
0.0,13,0.053043
0.0,6,0.053378
0.0,100,0.057962
0.0,67,0.061049
0.0,23,0.062201
0.0,48,0.064442
0.0,100,0.068978
0.0,16,0.069819
0.0,41,0.071696
1.0,55,0.074235
0.0,37,0.076001
1.0,13,0.076646
0.0,6,0.076987
0.0,42,0.078979
1.0,13,0.079612
1.0,62,0.08245
1.0,46,0.08462
1.0,72,0.087899
1.0,60,0.090724
0.0,100,0.095252
0.0,45,0.097388
0.0,24,0.098536
0.0,18,0.099446
1.0,17,0.100271
1.0,29,0.101655
1.0,11,0.102223
0.0,25,0.10338
1.0,15,0.104172
1.0,17,0.104995
1.0,12,0.105587
1.0,97,0.110031
0.0,19,0.11096
0.0,3,0.111161
1.0,24,0.112351
1.0,46,0.114495
0.0,3,0.114705
0.0,18,0.115571
0.0,17,0.116385
0.0,64,0.119308
1.0,37,0.121068
1.0,48,0.123294
0.0,8,0.123723
0.0,54,0.126216
0.0,43,0.128232
0.0,10,0.128749
1.0,45,0.130829
0.0,58,0.133503
0.0,14,0.134237
0.0,36,0.135939
0.0,100,0.140459
0.0,8,0.141154
0.0,26,0.142384
1.0,18,0.143255
0.0,11,0.143852
0.0,26,0.145067
0.0,20,0.14607
0.0,9,0.146541
0.0,48,0.148768
1.0,19,0.149679
0.0,15,0.150411
0.0,46,0.152546
0.0,33,0.154117
0.0,32,0.155588
0.0,59,0.158315
1.0,33,0.159909
0.0,12,0.160526
0.0,73,0.163826
0.0,12,0.164494
0.0,10,0.165016
0.0,33,0.166525
0.0,11,0.167142
0.0,29,0.16849
0.0,57,0.171123
0.0,27,0.172428
0.0,27,0.173682
1.0,40,0.175558
1.0,29,0.176893
0.0,31,0.178391
1.0,47,0.180571
1.0,22,0.181607
1.0,40,0.183486
0.0,19,0.184445
0.0,33,0.186016
0.0,53,0.188471
1.0,13,0.189125
1.0,41,0.191037
0.0,24,0.192168
0.0,11,0.192716
0.0,6,0.193054
1.0,45,0.195146
0.0,9,0.19561
1.0,45,0.19771
0.0,49,0.200014
0.0,24,0.201194
1.0,19,0.202131
0.0,13,0.202765
0.0,17,0.203585
1.0,34,0.205201
1.0,13,0.205835
1.0,20,0.206846
0.0,6,0.207191
0.0,7,0.207567
1.0,35,0.209233
1.0,8,0.209656
1.0,27,0.210895
0.0,9,0.211411
0.0,44,0.213414
1.0,70,0.216593
1.0,55,0.219088
1.0,14,0.219778
0.0,17,0.220596
0.0,7,0.220984
1.0,11,0.221538
1.0,19,0.22245
0.0,11,0.223016
1.0,28,0.22431
0.0,8,0.224738
0.0,40,0.226553
0.0,54,0.229028
0.0,70,0.232178
0.0,5,0.232487
1.0,18,0.233342
1.0,21,0.234372
0.0,24,0.235528
1.0,27,0.236775
1.0,28,0.238114
1.0,18,0.238961
0.0,28,0.240294
1.0,49,0.242506
1.0,52,0.245035
0.0,20,0.246015
0.0,14,0.246695
1.0,21,0.247694
0.0,39,0.249518
0.0,26,0.250761
0.0,32,0.252239
1.0,6,0.252574
0.0,21,0.253598
1.0,43,0.255562
1.0,19,0.256479
0.0,26,0.257686
1.0,13,0.258378
1.0,14,0.259072
1.0,17,0.259866
0.0,28,0.261171
1.0,39,0.262941
1.0,20,0.263897
1.0,8,0.264319
0.0,54,0.266742
0.0,29,0.268108
0.0,7,0.268491
1.0,19,0.269427
1.0,14,0.270118
1.0,60,0.272823
0.0,15,0.273569
1.0,19,0.274489
0.0,13,0.27514
0.0,33,0.276647
1.0,24,0.277778
0.0,9,0.278255
0.0,12,0.278846
1.0,29,0.280215
1.0,12,0.280802
1.0,24,0.281939
1.0,18,0.282793
1.0,38,0.284585
0.0,17,0.285436
1.0,18,0.286285
0.0,15,0.287033
1.0,26,0.288261
0.0,30,0.289664
1.0,31,0.291112
1.0,17,0.29193
0.0,21,0.292934
1.0,8,0.293356
1.0,17,0.294162
1.0,8,0.294584
0.0,9,0.295064
1.0,26,0.296267
1.0,48,0.298457
0.0,13,0.299098
1.0,23,0.300206
1.0,24,0.301338
0.0,14,0.302024
1.0,16,0.302807
0.0,5,0.303112
1.0,17,0.303978
1.0,38,0.30573
0.0,8,0.306171
