#{"t_start": 1522761941.2074835, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,13,0.039867
0.0,8,0.040543
0.0,12,0.041319
0.0,34,0.042932
0.0,25,0.04413
0.0,16,0.04493
0.0,42,0.046888
0.0,48,0.049121
0.0,14,0.049825
0.0,9,0.050299
0.0,18,0.051188
0.0,17,0.052026
0.0,7,0.052413
0.0,4,0.052661
0.0,29,0.054038
0.0,100,0.058615
0.0,14,0.059326
0.0,9,0.059806
0.0,10,0.060325
0.0,13,0.060994
0.0,15,0.061734
0.0,5,0.062035
0.0,20,0.063005
0.0,11,0.063567
0.0,6,0.063914
0.0,16,0.064695
0.0,17,0.065539
0.0,48,0.067777
0.0,10,0.068304
0.0,9,0.068774
0.0,9,0.069252
0.0,14,0.069953
0.0,8,0.070379
0.0,9,0.070864
0.0,41,0.072772
0.0,31,0.074236
0.0,13,0.074899
0.0,5,0.075192
0.0,12,0.075805
0.0,14,0.076496
0.0,19,0.077422
0.0,5,0.077715
0.0,3,0.07793
0.0,46,0.080074
0.0,12,0.080681
0.0,6,0.081034
0.0,8,0.08146
0.0,20,0.082426
0.0,16,0.083225
0.0,19,0.084157
0.0,11,0.084716
0.0,4,0.084974
0.0,26,0.086221
0.0,26,0.087459
0.0,5,0.087754
0.0,5,0.088056
0.0,18,0.088941
0.0,4,0.089191
0.0,16,0.089983
0.0,23,0.091099
0.0,5,0.091397
0.0,5,0.091691
0.0,39,0.093519
0.0,36,0.095222
0.0,40,0.097108
0.0,32,0.098621
1.0,10,0.099153
0.0,22,0.100214
0.0,5,0.100511
0.0,7,0.100909
0.0,13,0.101562
0.0,5,0.101868
0.0,7,0.102252
0.0,43,0.104268
0.0,6,0.104609
0.0,16,0.105402
0.0,38,0.107213
0.0,10,0.107734
0.0,21,0.108745
0.0,67,0.111861
0.0,31,0.113327
0.0,48,0.115552
0.0,6,0.115904
0.0,5,0.116197
0.0,8,0.116622
0.0,29,0.118005
0.0,5,0.118298
0.0,20,0.119272
0.0,19,0.1202
0.0,6,0.120545
0.0,7,0.120964
0.0,54,0.12347
0.0,70,0.126695
0.0,11,0.12727
0.0,10,0.127798
0.0,10,0.128318
0.0,11,0.128891
0.0,4,0.129139
0.0,12,0.129745
0.0,3,0.129959
0.0,9,0.13043
0.0,8,0.130873
0.0,15,0.131622
0.0,13,0.13228
0.0,23,0.133389
0.0,25,0.134584
0.0,8,0.135026
0.0,24,0.136179
0.0,7,0.136564
0.0,32,0.138091
0.0,14,0.138786
0.0,31,0.140341
0.0,22,0.141409
0.0,37,0.143146
0.0,6,0.143483
1.0,12,0.144094
0.0,18,0.144975
0.0,25,0.146166
0.0,7,0.146548
0.0,12,0.147162
0.0,17,0.148003
0.0,19,0.148934
0.0,8,0.149365
0.0,9,0.149843
1.0,15,0.150578
0.0,49,0.152862
0.0,44,0.154903
0.0,36,0.156596
1.0,28,0.157938
0.0,15,0.158671
0.0,18,0.159556
0.0,23,0.160657
0.0,8,0.161104
0.0,37,0.162841
0.0,4,0.16309
0.0,8,0.163518
0.0,18,0.164396
0.0,9,0.164877
0.0,17,0.165708
0.0,10,0.166239
0.0,14,0.166939
0.0,23,0.168042
0.0,11,0.168599
0.0,25,0.169798
1.0,34,0.171413
0.0,5,0.171705
0.0,6,0.172055
0.0,28,0.173383
1.0,17,0.174216
0.0,45,0.17631
0.0,15,0.177058
0.0,18,0.177939
0.0,26,0.179179
0.0,16,0.179976
0.0,27,0.181271
0.0,28,0.182607
0.0,5,0.182915
0.0,7,0.1833
0.0,3,0.183501
0.0,33,0.185055
0.0,3,0.185258
1.0,25,0.18645
0.0,5,0.186745
0.0,30,0.188168
0.0,21,0.189183
0.0,8,0.189611
0.0,5,0.189912
0.0,37,0.191643
0.0,19,0.192575
0.0,6,0.192927
0.0,16,0.193709
0.0,30,0.195132
0.0,20,0.196102
