#{"t_start": 1522752955.0729854, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,49,0.011801
0.0,51,0.014448
0.0,25,0.015792
0.0,86,0.020066
0.0,35,0.021838
0.0,14,0.022625
0.0,13,0.023373
0.0,10,0.024
0.0,44,0.026097
0.0,4,0.026398
0.0,13,0.027134
0.0,49,0.029452
0.0,46,0.031617
0.0,21,0.032697
0.0,16,0.033526
0.0,14,0.034258
0.0,71,0.037338
0.0,10,0.037894
0.0,8,0.038339
0.0,39,0.040125
0.0,51,0.042376
0.0,20,0.043353
0.0,38,0.045014
0.0,18,0.045861
0.0,49,0.047909
0.0,12,0.048487
0.0,57,0.050857
0.0,36,0.052401
0.0,4,0.052665
0.0,7,0.053063
0.0,36,0.054579
0.0,28,0.055727
0.0,72,0.058507
0.0,88,0.061899
0.0,50,0.063884
0.0,7,0.064246
0.0,34,0.065569
0.0,38,0.06702
0.0,53,0.069012
0.0,35,0.070363
0.0,81,0.073347
0.0,100,0.076863
0.0,11,0.077337
0.0,70,0.07986
0.0,14,0.080418
0.0,45,0.082051
0.0,18,0.082778
0.0,20,0.083551
0.0,38,0.084932
0.0,67,0.087197
0.0,5,0.087442
0.0,32,0.088585
0.0,8,0.08894
0.0,7,0.089254
0.0,13,0.089773
0.0,7,0.090086
0.0,39,0.091228
0.0,4,0.091394
0.0,46,0.092572
0.0,4,0.092746
0.0,20,0.093278
0.0,47,0.09447
0.0,72,0.096251
0.0,13,0.096631
0.0,16,0.09708
0.0,28,0.09782
0.0,33,0.098661
0.0,63,0.100239
0.0,6,0.100451
0.0,4,0.100616
0.0,63,0.1022
0.0,44,0.103322
0.0,100,0.105772
0.0,2,0.105891
0.0,12,0.106247
0.0,65,0.107874
0.0,11,0.108206
0.0,10,0.108514
0.0,12,0.108879
0.0,100,0.111348
0.0,29,0.112237
0.0,18,0.11275
1.0,12,0.113111
0.0,3,0.113243
0.0,12,0.113587
0.0,19,0.114112
0.0,7,0.114345
0.0,8,0.114606
0.0,25,0.115276
0.0,16,0.115733
0.0,11,0.116058
0.0,21,0.116627
0.0,19,0.117157
0.0,30,0.117952
0.0,15,0.118383
0.0,54,0.119733
0.0,21,0.120299
0.0,5,0.12049
0.0,17,0.120967
0.0,100,0.123423
0.0,16,0.123894
1.0,24,0.124536
0.0,10,0.124846
0.0,7,0.125084
0.0,20,0.125629
0.0,4,0.125794
0.0,7,0.12603
0.0,26,0.126741
0.0,4,0.126905
1.0,13,0.127299
0.0,12,0.12765
0.0,15,0.128085
0.0,26,0.128775
0.0,5,0.128961
0.0,5,0.129138
0.0,13,0.129516
1.0,8,0.129777
0.0,11,0.130099
0.0,22,0.130693
