#{"t_start": 1522710106.7822015, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,12,0.035139
0.0,6,0.035699
0.0,3,0.036011
0.0,5,0.036448
0.0,11,0.037302
0.0,10,0.038002
0.0,10,0.038521
0.0,3,0.038737
0.0,2,0.038896
0.0,4,0.039147
0.0,8,0.039576
1.0,26,0.040825
0.0,26,0.042058
0.0,16,0.042856
0.0,27,0.044137
0.0,3,0.044344
0.0,18,0.045227
0.0,22,0.046283
0.0,30,0.047712
0.0,100,0.052242
0.0,73,0.055564
0.0,30,0.056978
1.0,18,0.057864
0.0,6,0.0582
1.0,33,0.059753
0.0,5,0.060048
0.0,14,0.060748
0.0,30,0.062151
0.0,17,0.062981
1.0,23,0.064081
0.0,12,0.064693
0.0,25,0.065881
0.0,5,0.066171
1.0,19,0.06709
1.0,19,0.068018
0.0,11,0.068576
0.0,18,0.069447
0.0,27,0.070726
0.0,13,0.071375
1.0,25,0.072555
0.0,14,0.073255
1.0,12,0.073871
1.0,16,0.074666
0.0,16,0.075441
0.0,21,0.076449
0.0,18,0.077322
0.0,38,0.079105
0.0,9,0.079578
0.0,8,0.080014
0.0,13,0.080672
1.0,25,0.081858
1.0,31,0.083303
0.0,35,0.084941
0.0,11,0.085503
0.0,26,0.086746
1.0,14,0.087439
0.0,10,0.087972
0.0,8,0.088396
0.0,21,0.089408
0.0,10,0.089938
0.0,3,0.090145
0.0,5,0.090438
0.0,6,0.090784
0.0,6,0.091127
0.0,12,0.091738
0.0,7,0.092119
1.0,27,0.0934
0.0,3,0.093617
0.0,29,0.094981
0.0,26,0.096218
0.0,46,0.098352
0.0,41,0.100259
0.0,5,0.100553
0.0,13,0.101213
0.0,4,0.101462
0.0,32,0.102963
1.0,10,0.103479
0.0,5,0.103782
0.0,15,0.104521
1.0,9,0.105
0.0,45,0.107076
0.0,30,0.108496
0.0,32,0.11001
0.0,9,0.110483
0.0,8,0.110924
0.0,23,0.112034
0.0,15,0.112782
0.0,4,0.113034
0.0,19,0.113968
0.0,6,0.114311
0.0,6,0.114664
1.0,23,0.115763
0.0,11,0.116323
1.0,18,0.117197
0.0,57,0.119837
0.0,6,0.120178
0.0,6,0.120513
1.0,26,0.12176
0.0,5,0.122056
0.0,24,0.123202
1.0,18,0.124083
0.0,3,0.124285
1.0,11,0.124854
0.0,33,0.126393
0.0,13,0.127054
1.0,17,0.127895
0.0,21,0.128906
0.0,8,0.12934
0.0,25,0.13054
0.0,11,0.131116
0.0,14,0.131824
0.0,6,0.132166
0.0,42,0.134117
0.0,6,0.134458
1.0,34,0.136127
0.0,12,0.136748
0.0,15,0.137482
1.0,21,0.138496
0.0,23,0.139611
0.0,3,0.139816
0.0,11,0.140372
0.0,2,0.140532
1.0,17,0.14137
0.0,3,0.141572
1.0,11,0.142142
0.0,5,0.142439
0.0,26,0.143691
0.0,20,0.144667
0.0,44,0.146721
0.0,18,0.147593
0.0,3,0.147813
0.0,13,0.148458
0.0,49,0.150736
0.0,25,0.15193
0.0,16,0.152726
1.0,29,0.154098
0.0,8,0.154523
0.0,24,0.155684
0.0,4,0.155936
1.0,25,0.157127
1.0,24,0.158278
0.0,17,0.159115
1.0,35,0.160758
0.0,5,0.16105
0.0,8,0.161479
1.0,23,0.162572
0.0,31,0.164038
0.0,65,0.167026
0.0,8,0.167457
1.0,18,0.168346
0.0,40,0.170232
0.0,30,0.171662
0.0,54,0.17415
0.0,5,0.174443
0.0,3,0.174662
0.0,17,0.175487
0.0,31,0.176959
0.0,14,0.177675
0.0,5,0.177969
0.0,2,0.178127
0.0,16,0.178923
0.0,2,0.179087
0.0,24,0.180243
0.0,9,0.18073
0.0,3,0.180934
0.0,2,0.181096
0.0,4,0.181346
0.0,5,0.18165
0.0,15,0.182389
0.0,7,0.182781
1.0,28,0.184108
0.0,10,0.184635
1.0,22,0.185694
0.0,2,0.185855
0.0,10,0.186368
0.0,14,0.187067
1.0,40,0.188931
1.0,39,0.190753
1.0,28,0.192079
0.0,17,0.192914
1.0,46,0.195045
0.0,8,0.195473
1.0,13,0.196133
0.0,6,0.196472
0.0,4,0.196735
0.0,2,0.196895
0.0,9,0.197366
1.0,13,0.198031
0.0,2,0.19819
0.0,39,0.200017
0.0,6,0.200355
0.0,6,0.200712
0.0,5,0.201008
0.0,3,0.201214
0.0,9,0.201696
1.0,13,0.20235
