#{"t_start": 1522756348.4603605, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.035488
0.0,3,0.03583
0.0,4,0.036224
0.0,26,0.038113
0.0,5,0.038576
0.0,2,0.038815
0.0,2,0.039053
0.0,2,0.039306
0.0,2,0.039545
0.0,2,0.039782
0.0,21,0.041337
0.0,11,0.042208
0.0,10,0.042992
0.0,6,0.043517
0.0,30,0.045253
0.0,29,0.046626
1.0,17,0.047475
1.0,28,0.0488
0.0,27,0.050091
0.0,5,0.0504
0.0,13,0.051054
0.0,16,0.051851
0.0,17,0.052697
0.0,32,0.054234
0.0,13,0.054888
0.0,4,0.055139
0.0,14,0.055848
0.0,18,0.056737
0.0,6,0.05708
0.0,20,0.058053
0.0,8,0.058496
0.0,9,0.058971
0.0,19,0.059904
0.0,4,0.060164
1.0,24,0.061324
0.0,10,0.061847
0.0,10,0.062376
0.0,14,0.063072
0.0,8,0.063513
0.0,15,0.064274
0.0,28,0.065605
0.0,39,0.067433
0.0,9,0.067912
0.0,14,0.068621
0.0,7,0.069006
0.0,14,0.069718
0.0,8,0.070162
0.0,7,0.070552
0.0,11,0.071121
1.0,14,0.071824
0.0,8,0.072265
0.0,9,0.072736
0.0,2,0.072895
0.0,21,0.07391
0.0,9,0.074406
0.0,9,0.074882
0.0,20,0.075856
0.0,25,0.077056
0.0,18,0.077948
0.0,11,0.078523
0.0,6,0.078862
0.0,3,0.079068
0.0,13,0.07973
0.0,25,0.080921
0.0,14,0.081626
0.0,13,0.082287
1.0,9,0.08276
1.0,14,0.083465
1.0,7,0.083848
0.0,8,0.084293
0.0,13,0.084942
0.0,14,0.085647
1.0,42,0.087595
0.0,38,0.089377
0.0,25,0.090568
0.0,21,0.091587
0.0,3,0.091794
0.0,3,0.091999
0.0,8,0.09244
0.0,6,0.092779
1.0,6,0.093119
0.0,8,0.093552
0.0,34,0.095162
1.0,24,0.096313
0.0,6,0.096654
0.0,7,0.097041
0.0,5,0.097348
0.0,7,0.097731
0.0,9,0.098216
0.0,12,0.09883
0.0,18,0.099711
0.0,13,0.100372
0.0,48,0.102587
0.0,6,0.102928
0.0,29,0.10432
0.0,2,0.104481
0.0,6,0.104822
0.0,7,0.105218
0.0,12,0.105824
0.0,7,0.106219
0.0,28,0.107548
0.0,9,0.108027
0.0,7,0.108425
0.0,2,0.108587
0.0,16,0.109384
0.0,4,0.109637
0.0,15,0.110395
0.0,18,0.111283
0.0,3,0.111491
0.0,20,0.112465
1.0,36,0.114143
0.0,10,0.114677
0.0,11,0.115251
0.0,6,0.115593
0.0,23,0.116695
0.0,20,0.117668
1.0,14,0.118375
0.0,14,0.119069
1.0,8,0.119506
0.0,46,0.121647
0.0,5,0.121943
0.0,8,0.122382
1.0,9,0.122853
0.0,9,0.123333
1.0,18,0.124228
0.0,13,0.124878
1.0,17,0.125718
0.0,10,0.126247
