#{"t_start": 1522722248.2013292, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.047544
0.0,11,0.048445
0.0,17,0.049687
0.0,27,0.051608
0.0,8,0.052258
0.0,10,0.053074
0.0,4,0.053338
0.0,6,0.053672
0.0,7,0.054061
0.0,15,0.054794
0.0,9,0.055266
0.0,8,0.055686
0.0,25,0.05687
0.0,15,0.057608
0.0,8,0.058038
0.0,9,0.058505
0.0,23,0.059588
0.0,14,0.060287
0.0,11,0.060847
0.0,9,0.061318
0.0,18,0.06219
0.0,17,0.06303
0.0,12,0.063632
0.0,15,0.064371
0.0,10,0.06488
0.0,4,0.065137
0.0,8,0.065559
1.0,36,0.067232
0.0,8,0.067657
0.0,15,0.068395
1.0,37,0.070112
0.0,6,0.070448
0.0,45,0.072513
0.0,17,0.073352
0.0,14,0.074051
0.0,25,0.075231
0.0,17,0.076066
0.0,4,0.076315
0.0,7,0.076692
0.0,2,0.076849
0.0,4,0.077103
0.0,17,0.077936
1.0,15,0.078669
0.0,33,0.080218
0.0,12,0.08082
0.0,14,0.081512
0.0,3,0.081717
0.0,7,0.082104
1.0,22,0.083159
0.0,16,0.083946
0.0,24,0.085081
0.0,6,0.085418
0.0,45,0.087488
0.0,11,0.08805
0.0,6,0.088385
0.0,27,0.08966
1.0,20,0.090624
0.0,16,0.091412
1.0,10,0.091931
0.0,63,0.094802
0.0,5,0.095104
0.0,15,0.095836
0.0,22,0.096892
0.0,26,0.098112
0.0,41,0.100002
0.0,9,0.100473
0.0,26,0.101697
0.0,14,0.102396
1.0,31,0.103856
0.0,4,0.104109
0.0,11,0.104665
0.0,12,0.105269
0.0,6,0.105606
0.0,32,0.107112
0.0,7,0.107491
0.0,5,0.107783
0.0,10,0.10831
0.0,37,0.11004
0.0,7,0.11042
0.0,7,0.1108
0.0,7,0.111186
0.0,19,0.112113
0.0,8,0.112537
0.0,8,0.112973
0.0,9,0.113439
0.0,2,0.113597
0.0,24,0.114738
0.0,3,0.114951
0.0,5,0.11524
0.0,9,0.115709
0.0,10,0.116225
1.0,24,0.117365
0.0,6,0.117697
0.0,3,0.117907
0.0,3,0.118108
0.0,11,0.118662
0.0,10,0.119185
0.0,6,0.119525
0.0,11,0.120093
1.0,17,0.120918
0.0,6,0.121249
0.0,4,0.121494
0.0,7,0.121873
0.0,2,0.122039
0.0,19,0.122964
0.0,4,0.12321
0.0,14,0.123909
0.0,7,0.124293
0.0,6,0.124627
0.0,7,0.125017
0.0,3,0.125221
0.0,3,0.125421
0.0,9,0.125899
0.0,5,0.126189
0.0,5,0.126477
0.0,3,0.126678
0.0,6,0.127018
0.0,13,0.12766
0.0,21,0.128654
0.0,2,0.128811
0.0,13,0.129453
0.0,9,0.129931
0.0,17,0.130745
0.0,16,0.131536
0.0,9,0.132012
1.0,46,0.134136
0.0,24,0.135274
0.0,39,0.137084
0.0,7,0.137462
0.0,13,0.138114
0.0,5,0.138406
0.0,5,0.1387
0.0,23,0.139789
0.0,7,0.140177
0.0,22,0.141228
0.0,12,0.141832
0.0,6,0.14218
0.0,2,0.142339
0.0,2,0.142496
0.0,19,0.143418
0.0,7,0.143799
1.0,24,0.144946
0.0,56,0.147495
0.0,44,0.149583
0.0,14,0.150278
0.0,8,0.150701
0.0,17,0.151529
0.0,7,0.15192
0.0,3,0.152121
0.0,24,0.15327
0.0,15,0.154012
0.0,18,0.154874
0.0,4,0.155127
0.0,7,0.155508
0.0,6,0.155841
0.0,11,0.156405
0.0,12,0.157017
0.0,20,0.15798
0.0,31,0.159423
0.0,33,0.16097
0.0,2,0.161127
0.0,18,0.161999
0.0,7,0.162377
0.0,5,0.162669
0.0,17,0.163501
0.0,5,0.163792
0.0,9,0.16427
0.0,8,0.164696
0.0,4,0.16495
0.0,5,0.165238
0.0,22,0.166285
0.0,8,0.166713
0.0,14,0.167407
0.0,6,0.16774
0.0,21,0.168748
0.0,3,0.168958
0.0,4,0.169206
0.0,24,0.170339
0.0,28,0.171654
0.0,5,0.171951
0.0,11,0.17252
0.0,2,0.172676
0.0,15,0.173423
0.0,10,0.173942
0.0,12,0.174545
0.0,25,0.175725
0.0,55,0.178245
0.0,18,0.179119
0.0,17,0.179951
0.0,31,0.181395
0.0,6,0.181728
0.0,10,0.182246
0.0,15,0.182998
0.0,6,0.183335
0.0,12,0.183938
0.0,6,0.184275
0.0,15,0.185008
0.0,17,0.185823
0.0,9,0.186295
0.0,5,0.186588
1.0,35,0.188226
0.0,2,0.188383
0.0,18,0.189259
0.0,3,0.18946
0.0,2,0.189615
0.0,15,0.190357
0.0,3,0.190559
0.0,38,0.192316
0.0,29,0.193674
0.0,27,0.19495
0.0,45,0.197014
0.0,18,0.197878
0.0,21,0.198892
0.0,24,0.200022
1.0,9,0.200487
0.0,4,0.200729
0.0,3,0.20094
0.0,7,0.201321
0.0,17,0.202151
0.0,11,0.202708
0.0,13,0.203368
0.0,4,0.203615
0.0,3,0.203818
0.0,20,0.204771
0.0,46,0.20688
0.0,6,0.207224
0.0,30,0.208631
0.0,6,0.20898
0.0,23,0.210073
0.0,19,0.210985
0.0,7,0.211365
0.0,18,0.212235
0.0,17,0.213073
0.0,7,0.213451
0.0,16,0.214243
0.0,7,0.214621
0.0,13,0.215277
0.0,6,0.215612
0.0,12,0.216215
0.0,31,0.217668
0.0,4,0.217922
0.0,4,0.218168
0.0,11,0.218722
0.0,5,0.219023
0.0,2,0.219184
0.0,3,0.219383
0.0,34,0.220988
0.0,13,0.221629
0.0,5,0.221925
0.0,14,0.222612
0.0,5,0.222912
0.0,18,0.223779
1.0,6,0.224122
0.0,2,0.224278
1.0,13,0.224931
0.0,2,0.225088
0.0,9,0.225558
0.0,19,0.22648
0.0,7,0.226864
0.0,21,0.227877
0.0,15,0.22862
0.0,6,0.228965
1.0,11,0.229523
0.0,10,0.230047
0.0,6,0.230382
0.0,37,0.232111
