#{"t_start": 1522763806.8740945, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.007592
0.0,1,0.007737
0.0,4,0.007913
0.0,6,0.008148
0.0,5,0.008352
0.0,1,0.008473
0.0,4,0.008654
0.0,17,0.009192
0.0,8,0.009479
0.0,5,0.009674
1.0,10,0.010013
0.0,19,0.010598
0.0,22,0.011276
0.0,28,0.012109
0.0,25,0.012844
0.0,13,0.013273
0.0,11,0.013644
0.0,12,0.01404
0.0,8,0.014314
0.0,4,0.014493
0.0,13,0.014896
0.0,16,0.015396
0.0,11,0.01575
0.0,7,0.016002
0.0,17,0.016527
0.0,28,0.017332
0.0,5,0.017536
0.0,1,0.017627
0.0,8,0.017902
0.0,20,0.018509
0.0,9,0.018824
0.0,13,0.019223
0.0,7,0.019492
0.0,12,0.019881
0.0,15,0.020362
0.0,8,0.020647
0.0,5,0.020849
0.0,8,0.021132
0.0,1,0.021222
0.0,5,0.021431
1.0,17,0.02196
0.0,6,0.022181
0.0,8,0.022465
0.0,8,0.022746
0.0,12,0.023135
0.0,46,0.024433
0.0,14,0.024889
0.0,14,0.025338
0.0,9,0.02567
0.0,24,0.026363
0.0,21,0.02701
0.0,11,0.027374
0.0,1,0.027467
0.0,3,0.027609
0.0,15,0.02807
0.0,14,0.028523
0.0,8,0.028805
0.0,1,0.028889
0.0,12,0.029289
0.0,4,0.02948
0.0,18,0.030018
0.0,6,0.030254
0.0,6,0.030485
0.0,2,0.030606
0.0,15,0.031074
0.0,9,0.031396
0.0,1,0.031489
0.0,17,0.032019
0.0,15,0.032497
0.0,11,0.032864
1.0,25,0.033611
0.0,5,0.033808
0.0,9,0.034107
0.0,3,0.034257
0.0,19,0.03484
0.0,7,0.035096
0.0,12,0.03551
0.0,8,0.035784
0.0,1,0.035868
0.0,16,0.036364
0.0,17,0.036902
0.0,16,0.037395
0.0,1,0.037488
0.0,15,0.037943
0.0,14,0.03838
0.0,7,0.038641
0.0,5,0.038835
0.0,16,0.039315
0.0,6,0.039556
1.0,13,0.039975
0.0,1,0.040059
0.0,30,0.040908
0.0,12,0.041302
0.0,13,0.041718
0.0,12,0.042109
0.0,37,0.043177
0.0,30,0.044055
0.0,17,0.044582
0.0,6,0.044804
0.0,18,0.045367
0.0,4,0.045557
0.0,49,0.046954
0.0,1,0.047041
0.0,5,0.047236
0.0,2,0.047358
0.0,14,0.047822
0.0,4,0.047991
0.0,1,0.048079
0.0,9,0.048399
1.0,17,0.048913
0.0,4,0.049079
0.0,20,0.049757
0.0,2,0.049911
0.0,23,0.050628
0.0,15,0.051139
0.0,5,0.051335
0.0,1,0.051427
0.0,4,0.051596
0.0,1,0.051681
1.0,17,0.052209
0.0,9,0.052521
0.0,18,0.053066
0.0,2,0.053186
0.0,5,0.053397
0.0,1,0.053485
0.0,11,0.053833
0.0,2,0.053951
0.0,13,0.054363
0.0,5,0.054572
0.0,14,0.055006
1.0,8,0.055278
0.0,11,0.05565
0.0,10,0.055985
0.0,11,0.056341
0.0,16,0.056852
0.0,4,0.057019
0.0,2,0.057131
0.0,4,0.057298
0.0,19,0.057879
0.0,5,0.058075
0.0,5,0.058275
0.0,4,0.058455
0.0,38,0.059538
0.0,42,0.060722
0.0,9,0.061034
0.0,1,0.061118
0.0,8,0.06141
0.0,4,0.06158
0.0,12,0.061972
0.0,1,0.062059
0.0,1,0.062143
0.0,20,0.062751
0.0,24,0.063478
0.0,19,0.064069
0.0,14,0.064528
0.0,2,0.064649
1.0,8,0.064937
0.0,48,0.066315
0.0,24,0.067043
0.0,9,0.067348
0.0,100,0.070312
0.0,3,0.070497
1.0,23,0.071188
0.0,24,0.071932
0.0,19,0.07253
0.0,28,0.073355
0.0,13,0.073785
0.0,6,0.074011
0.0,11,0.074366
1.0,8,0.074657
0.0,14,0.075087
1.0,26,0.075868
1.0,18,0.076414
0.0,23,0.077087
0.0,17,0.07762
0.0,11,0.077993
0.0,53,0.079481
0.0,2,0.079598
0.0,31,0.080487
0.0,24,0.081192
0.0,13,0.081613
0.0,11,0.081972
0.0,2,0.082085
0.0,16,0.082585
0.0,12,0.082977
0.0,2,0.083091
0.0,8,0.083363
0.0,5,0.083567
0.0,10,0.083903
0.0,14,0.084336
0.0,15,0.084805
0.0,21,0.085434
0.0,3,0.085583
0.0,6,0.085818
0.0,1,0.085907
0.0,39,0.087009
0.0,1,0.0871
0.0,9,0.087425
0.0,1,0.08751
0.0,3,0.087658
0.0,24,0.088365
1.0,17,0.088888
0.0,54,0.09041
0.0,6,0.090641
0.0,4,0.090809
0.0,44,0.092057
0.0,16,0.09257
0.0,11,0.092927
0.0,11,0.093287
0.0,10,0.093646
0.0,17,0.09417
0.0,4,0.094339
0.0,13,0.094749
0.0,3,0.09489
0.0,19,0.095484
0.0,12,0.095869
0.0,11,0.096223
0.0,44,0.097473
0.0,8,0.097758
0.0,24,0.098475
0.0,6,0.098704
0.0,34,0.099695
0.0,16,0.100191
0.0,6,0.100431
0.0,4,0.100607
0.0,10,0.10094
0.0,4,0.101121
0.0,19,0.101711
0.0,7,0.101963
0.0,6,0.102189
0.0,26,0.102951
0.0,1,0.103036
0.0,29,0.103887
0.0,2,0.104007
0.0,4,0.104193
0.0,13,0.104628
