#{"t_start": 1522720871.1345801, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.033968
0.0,1,0.034135
0.0,14,0.034874
0.0,6,0.035229
0.0,4,0.035484
0.0,5,0.035784
0.0,5,0.03618
0.0,14,0.036924
0.0,4,0.03719
0.0,6,0.037534
0.0,3,0.03774
0.0,1,0.037856
0.0,7,0.038255
0.0,14,0.038962
0.0,5,0.039272
0.0,23,0.040401
0.0,19,0.041342
0.0,2,0.041504
0.0,13,0.04219
0.0,7,0.04258
0.0,7,0.042966
0.0,5,0.043281
0.0,5,0.043583
0.0,12,0.044206
0.0,6,0.044555
0.0,14,0.045268
0.0,3,0.045479
0.0,5,0.045779
0.0,7,0.046179
0.0,8,0.046616
0.0,4,0.046869
0.0,4,0.047132
0.0,4,0.047385
0.0,1,0.047499
0.0,7,0.047886
0.0,23,0.04901
0.0,14,0.049729
0.0,7,0.050131
0.0,4,0.050388
0.0,3,0.050594
0.0,4,0.050848
0.0,9,0.051335
0.0,7,0.051722
0.0,2,0.051885
0.0,5,0.052202
0.0,49,0.054535
0.0,2,0.054698
0.0,9,0.055191
0.0,3,0.055399
0.0,7,0.055786
0.0,19,0.056725
0.0,1,0.056842
1.0,15,0.057605
0.0,5,0.057906
0.0,41,0.059855
0.0,30,0.061321
0.0,6,0.061665
0.0,1,0.061782
0.0,9,0.062282
0.0,5,0.062584
0.0,17,0.063427
0.0,6,0.063772
0.0,2,0.063933
0.0,20,0.06492
0.0,36,0.066646
0.0,25,0.067866
0.0,7,0.068268
0.0,6,0.068611
0.0,5,0.068906
0.0,20,0.069892
0.0,10,0.070434
0.0,11,0.071006
0.0,8,0.071455
0.0,1,0.071575
0.0,4,0.071832
0.0,2,0.071993
0.0,8,0.072445
0.0,6,0.072788
0.0,9,0.073276
0.0,7,0.073667
0.0,55,0.076282
0.0,6,0.076633
0.0,4,0.076889
0.0,3,0.077106
0.0,8,0.077539
0.0,30,0.078976
0.0,17,0.079825
0.0,10,0.080361
0.0,7,0.080747
1.0,57,0.083443
0.0,5,0.083741
0.0,36,0.085477
0.0,6,0.08582
0.0,14,0.086539
0.0,27,0.087843
0.0,12,0.088476
0.0,17,0.089332
0.0,7,0.089724
0.0,8,0.090169
0.0,5,0.090472
0.0,11,0.091037
0.0,18,0.091932
0.0,55,0.094535
0.0,1,0.094652
1.0,26,0.095902
0.0,4,0.096166
0.0,5,0.096468
0.0,8,0.096908
0.0,4,0.097172
0.0,3,0.097384
0.0,16,0.09819
0.0,2,0.098355
0.0,7,0.098744
0.0,10,0.099283
0.0,4,0.099538
0.0,4,0.09979
0.0,4,0.100041
0.0,15,0.100797
0.0,11,0.101376
0.0,2,0.101539
0.0,13,0.102223
0.0,45,0.104358
0.0,3,0.104566
0.0,6,0.104911
0.0,3,0.105126
1.0,50,0.107488
0.0,5,0.10779
0.0,13,0.108465
0.0,15,0.109236
0.0,5,0.109535
0.0,8,0.109973
0.0,7,0.110378
0.0,7,0.110765
0.0,6,0.111121
0.0,47,0.113346
0.0,1,0.113465
0.0,13,0.114139
0.0,8,0.114577
0.0,5,0.114874
0.0,5,0.11518
0.0,17,0.116017
0.0,18,0.11692
0.0,18,0.117821
0.0,15,0.118591
0.0,2,0.118753
0.0,1,0.118865
0.0,7,0.119264
0.0,90,0.123446
0.0,21,0.124482
0.0,3,0.124694
0.0,6,0.125034
0.0,5,0.125393
0.0,1,0.125511
0.0,4,0.125762
0.0,3,0.125971
0.0,26,0.127241
0.0,9,0.127722
0.0,8,0.128166
0.0,12,0.128787
0.0,3,0.128996
0.0,7,0.129396
0.0,23,0.130526
0.0,4,0.130779
0.0,3,0.130984
0.0,10,0.131522
0.0,3,0.13173
0.0,17,0.132587
0.0,3,0.132797
0.0,7,0.133199
0.0,5,0.133496
0.0,3,0.1337
0.0,35,0.135376
0.0,35,0.137182
0.0,15,0.137936
0.0,2,0.138111
0.0,28,0.139459
0.0,10,0.139984
0.0,7,0.140387
0.0,2,0.140549
0.0,13,0.141222
0.0,7,0.141607
0.0,16,0.142412
0.0,11,0.142985
0.0,7,0.143384
0.0,10,0.143906
0.0,6,0.144259
0.0,34,0.145871
0.0,9,0.146368
0.0,10,0.14689
0.0,11,0.147472
0.0,27,0.148766
0.0,3,0.148973
1.0,27,0.150288
0.0,15,0.151033
0.0,3,0.151256
1.0,40,0.153166
0.0,1,0.15328
0.0,21,0.154313
1.0,18,0.155206
0.0,12,0.155819
0.0,26,0.157093
0.0,10,0.157617
1.0,8,0.158059
0.0,9,0.158539
0.0,11,0.159111
0.0,1,0.159226
0.0,3,0.159433
1.0,13,0.160103
0.0,10,0.160626
1.0,10,0.161166
0.0,9,0.161641
0.0,3,0.161846
0.0,7,0.162256
0.0,4,0.162509
0.0,5,0.162809
0.0,1,0.162923
0.0,1,0.163034
0.0,69,0.166261
0.0,21,0.167292
0.0,19,0.168234
0.0,3,0.168443
0.0,4,0.168697
0.0,1,0.168812
0.0,4,0.169065
0.0,5,0.169374
