#{"t_start": 1522758716.2617118, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.002201
0.0,14,0.002915
0.0,28,0.004305
0.0,39,0.006236
0.0,10,0.00682
0.0,17,0.007672
0.0,15,0.008445
1.0,85,0.012374
0.0,23,0.013581
0.0,16,0.014391
0.0,9,0.014863
0.0,55,0.017403
0.0,100,0.02194
0.0,41,0.023846
0.0,6,0.024199
1.0,15,0.024935
0.0,52,0.027326
0.0,4,0.027578
0.0,4,0.027826
0.0,22,0.028869
0.0,25,0.030059
0.0,37,0.031778
0.0,74,0.035135
1.0,29,0.036507
0.0,16,0.037296
0.0,25,0.038482
1.0,28,0.0398
0.0,2,0.039958
0.0,22,0.041012
0.0,30,0.042425
0.0,7,0.042804
0.0,50,0.045096
0.0,41,0.046993
0.0,15,0.047737
1.0,20,0.048695
0.0,12,0.049303
0.0,11,0.049865
1.0,12,0.050471
0.0,32,0.051958
0.0,10,0.052479
0.0,33,0.054012
1.0,44,0.056036
0.0,30,0.057445
0.0,5,0.057739
0.0,12,0.058348
0.0,26,0.059578
0.0,30,0.06098
1.0,53,0.063396
1.0,23,0.064498
1.0,13,0.065148
0.0,53,0.067574
0.0,30,0.068977
0.0,3,0.069191
1.0,32,0.070679
0.0,37,0.072396
1.0,36,0.074059
0.0,34,0.075649
0.0,38,0.0774
0.0,23,0.078495
0.0,10,0.079009
0.0,6,0.079359
1.0,43,0.081334
1.0,12,0.081931
0.0,35,0.083552
1.0,23,0.084653
0.0,34,0.086233
0.0,18,0.087091
0.0,14,0.087789
1.0,8,0.088224
0.0,43,0.090201
0.0,18,0.091063
1.0,10,0.091589
0.0,8,0.092014
1.0,11,0.09258
0.0,26,0.0938
1.0,22,0.094854
0.0,10,0.09538
0.0,3,0.095582
0.0,7,0.09596
1.0,32,0.09745
0.0,71,0.10067
0.0,90,0.104721
0.0,4,0.105061
0.0,15,0.105803
1.0,95,0.110065
0.0,19,0.11098
1.0,38,0.112737
0.0,35,0.114372
1.0,25,0.115554
0.0,18,0.116431
1.0,19,0.117345
0.0,23,0.118438
0.0,52,0.120816
0.0,10,0.121342
0.0,50,0.123631
1.0,49,0.125883
1.0,18,0.126758
0.0,100,0.131273
1.0,43,0.133261
1.0,31,0.134712
0.0,44,0.136738
0.0,4,0.136984
1.0,36,0.138656
0.0,9,0.139125
1.0,12,0.139734
1.0,55,0.142246
0.0,8,0.142671
1.0,48,0.144881
0.0,69,0.148014
1.0,18,0.148895
0.0,86,0.152779
0.0,17,0.153609
0.0,55,0.156137
1.0,19,0.157053
0.0,6,0.157396
0.0,73,0.160731
0.0,37,0.162461
0.0,25,0.163651
0.0,8,0.164079
0.0,43,0.166087
0.0,14,0.166789
1.0,30,0.168215
1.0,15,0.168944
0.0,59,0.171642
0.0,44,0.173671
0.0,6,0.174009
0.0,4,0.174275
0.0,2,0.174438
1.0,60,0.177171
0.0,42,0.179112
1.0,13,0.17977
0.0,59,0.182475
0.0,35,0.184105
0.0,31,0.185567
0.0,5,0.185863
0.0,65,0.188837
0.0,7,0.189233
0.0,15,0.189967
0.0,8,0.190401
0.0,25,0.191588
0.0,48,0.193787
1.0,29,0.195159
1.0,8,0.195586
0.0,11,0.196151
0.0,10,0.196664
0.0,4,0.19691
0.0,3,0.197111
0.0,18,0.197979
0.0,5,0.198284
0.0,21,0.199296
0.0,8,0.199723
0.0,58,0.202372
0.0,22,0.20343
1.0,8,0.203853
0.0,45,0.205927
0.0,23,0.207083
1.0,18,0.207958
0.0,28,0.209276
1.0,19,0.210186
0.0,12,0.21078
0.0,73,0.214077
1.0,20,0.215045
0.0,9,0.215526
0.0,31,0.216971
1.0,93,0.221174
1.0,17,0.221989
0.0,7,0.222377
0.0,12,0.22297
1.0,18,0.22384
1.0,18,0.224719
0.0,8,0.22515
0.0,4,0.225396
1.0,25,0.226571
1.0,6,0.226904
0.0,2,0.227066
0.0,40,0.228909
0.0,15,0.229655
0.0,37,0.231367
1.0,6,0.231705
1.0,18,0.232575
0.0,49,0.234839
1.0,16,0.235621
0.0,13,0.236271
1.0,19,0.237191
0.0,39,0.238986
0.0,36,0.240687
1.0,12,0.241294
0.0,14,0.241984
1.0,30,0.243431
0.0,68,0.246513
1.0,9,0.246984
0.0,49,0.249223
0.0,6,0.24956
0.0,13,0.250213
1.0,28,0.251533
0.0,73,0.254836
1.0,14,0.255535
0.0,15,0.256276
0.0,21,0.257282
0.0,8,0.257706
0.0,4,0.257955
1.0,7,0.258346
1.0,52,0.260734
1.0,34,0.262317
0.0,13,0.262963
1.0,30,0.264376
1.0,26,0.265605
0.0,68,0.268687
0.0,4,0.268935
1.0,15,0.269671
1.0,48,0.271863
1.0,26,0.273089
1.0,23,0.274197
0.0,27,0.275471
1.0,70,0.278632
0.0,30,0.28003
0.0,100,0.28454
0.0,28,0.285851
1.0,71,0.28906
0.0,43,0.291047
1.0,26,0.29228
0.0,19,0.293197
0.0,5,0.293488
1.0,23,0.294583
1.0,28,0.295891
1.0,39,0.297684
0.0,14,0.298384
0.0,81,0.302039
0.0,11,0.302612
1.0,8,0.303037
0.0,40,0.304893
0.0,24,0.306029
1.0,13,0.306755
1.0,9,0.307237
0.0,38,0.309
1.0,29,0.310371
0.0,27,0.311647
0.0,43,0.313624
0.0,21,0.314641
0.0,6,0.314979
1.0,25,0.316167
0.0,12,0.316762
0.0,16,0.317576
0.0,16,0.318368
1.0,35,0.31999
0.0,13,0.320644
1.0,12,0.321257
0.0,36,0.32292
0.0,19,0.32384
0.0,19,0.32476
1.0,50,0.327049
1.0,34,0.32863
1.0,58,0.331282
1.0,34,0.332855
1.0,34,0.334452
1.0,31,0.335894
1.0,6,0.33624
0.0,23,0.337332
0.0,5,0.337625
1.0,28,0.338928
0.0,10,0.33945
1.0,19,0.340367
0.0,24,0.341506
0.0,9,0.341976
0.0,12,0.342588
1.0,12,0.343197
0.0,84,0.34699
1.0,31,0.348443
0.0,20,0.34941
0.0,7,0.349791
0.0,32,0.351294
1.0,24,0.352432
1.0,51,0.354777
0.0,9,0.355263
0.0,4,0.355514
1.0,9,0.355984
1.0,9,0.356465
0.0,13,0.357115
0.0,8,0.357553
1.0,21,0.358567
1.0,52,0.36096
0.0,27,0.362247
1.0,21,0.363264
0.0,18,0.364137
1.0,24,0.365303
0.0,31,0.366763
1.0,41,0.368666
1.0,68,0.371787
1.0,45,0.373871
1.0,29,0.37525
0.0,5,0.375542
0.0,12,0.37615
0.0,17,0.376976
0.0,4,0.377235
0.0,13,0.377883
0.0,24,0.379026
0.0,19,0.379949
0.0,4,0.38021
0.0,15,0.380945
0.0,55,0.383468
1.0,22,0.384536
0.0,42,0.386479
0.0,13,0.387129
0.0,31,0.388593
0.0,95,0.392893
1.0,22,0.393944
1.0,12,0.394563
1.0,25,0.395748
0.0,14,0.39645
0.0,28,0.397766
0.0,21,0.39878
1.0,33,0.400324
1.0,40,0.402181
0.0,4,0.402432
0.0,15,0.403174
1.0,6,0.403513
0.0,18,0.404393
0.0,14,0.405077
0.0,10,0.405603
1.0,29,0.406961
0.0,14,0.407715
0.0,4,0.407964
1.0,32,0.409455
1.0,20,0.410418
1.0,10,0.410928
0.0,16,0.411712
1.0,34,0.413297
1.0,25,0.414491
1.0,15,0.415231
0.0,5,0.415526
1.0,97,0.419899
1.0,22,0.420955
0.0,43,0.42294
0.0,9,0.423424
0.0,16,0.424221
0.0,26,0.425451
1.0,6,0.425791
0.0,12,0.426403
1.0,20,0.42738
0.0,82,0.431089
0.0,7,0.431478
0.0,17,0.432316
1.0,34,0.433888
0.0,8,0.434329
1.0,55,0.436843
1.0,36,0.438524
1.0,44,0.440545
0.0,3,0.440747
0.0,37,0.442462
1.0,66,0.44547
0.0,9,0.445941
0.0,69,0.449075
0.0,23,0.45018
1.0,10,0.450692
0.0,23,0.451783
1.0,18,0.452665
1.0,15,0.453408
0.0,44,0.45544
0.0,100,0.459952
1.0,8,0.460389
0.0,7,0.460765
0.0,10,0.461287
0.0,12,0.461889
0.0,27,0.463168
0.0,24,0.464306
0.0,67,0.467355
0.0,18,0.46823
1.0,49,0.470466
1.0,40,0.472314
0.0,14,0.473001
1.0,42,0.474939
1.0,18,0.475809
0.0,22,0.476859
0.0,70,0.480043
1.0,30,0.481461
0.0,16,0.482248
0.0,20,0.483208
0.0,11,0.483765
1.0,50,0.486064
1.0,38,0.487825
0.0,2,0.487986
0.0,7,0.488377
1.0,26,0.489605
0.0,13,0.490266
1.0,66,0.493286
1.0,28,0.494606
1.0,15,0.495345
0.0,4,0.495595
0.0,31,0.497036
1.0,20,0.498003
1.0,33,0.499538
1.0,15,0.500279
0.0,2,0.500437
0.0,10,0.500946
0.0,31,0.502398
1.0,23,0.503494
0.0,34,0.505073
0.0,14,0.505774
1.0,15,0.506513
1.0,37,0.508239
0.0,41,0.510196
1.0,14,0.510885
1.0,14,0.51158
0.0,43,0.51356
0.0,38,0.515328
0.0,39,0.517114
0.0,23,0.518233
1.0,24,0.519378
0.0,3,0.51958
0.0,38,0.521345
0.0,41,0.523256
0.0,37,0.524975
1.0,35,0.526615
0.0,13,0.527268
0.0,100,0.531792
0.0,9,0.532272
0.0,25,0.533456
0.0,8,0.533882
0.0,12,0.534501
0.0,16,0.53529
0.0,4,0.535538
0.0,22,0.536585
0.0,57,0.539196
0.0,20,0.540158
1.0,77,0.543662
1.0,15,0.544415
1.0,31,0.545872
1.0,20,0.546834
0.0,26,0.548062
1.0,36,0.549732
0.0,37,0.551444
1.0,14,0.552131
1.0,27,0.553412
0.0,45,0.555478
1.0,6,0.555814
0.0,11,0.556381
0.0,12,0.556984
0.0,4,0.557246
0.0,52,0.559631
0.0,80,0.563256
0.0,68,0.56635
1.0,21,0.567358
0.0,43,0.56934
1.0,32,0.570828
1.0,37,0.572551
1.0,31,0.573998
0.0,12,0.574614
0.0,2,0.574775
0.0,25,0.575954
0.0,19,0.576878
0.0,32,0.578379
0.0,44,0.580399
0.0,20,0.581358
1.0,30,0.582754
1.0,15,0.583494
0.0,25,0.584681
0.0,20,0.585643
0.0,22,0.586694
1.0,56,0.589265
1.0,37,0.590969
1.0,57,0.593591
1.0,24,0.594732
1.0,56,0.597282
0.0,49,0.599534
0.0,49,0.601772
1.0,35,0.603394
0.0,27,0.604671
1.0,16,0.60546
1.0,16,0.606246
1.0,16,0.607023
0.0,17,0.607848
1.0,41,0.609745
1.0,24,0.610943
0.0,48,0.613159
0.0,5,0.613455
1.0,14,0.614135
1.0,35,0.615766
1.0,37,0.617478
0.0,2,0.617636
1.0,22,0.618686
0.0,7,0.619061
1.0,10,0.619579
1.0,17,0.620408
0.0,11,0.620958
0.0,45,0.623018
0.0,14,0.623717
0.0,8,0.624138
0.0,14,0.624852
0.0,18,0.625724
1.0,22,0.626779
1.0,13,0.62743
0.0,9,0.627893
1.0,20,0.628849
1.0,13,0.629506
1.0,18,0.630376
1.0,17,0.631202
0.0,23,0.632294
0.0,13,0.632938
1.0,17,0.633763
0.0,31,0.63522
0.0,9,0.635691
1.0,15,0.636435
0.0,21,0.637452
0.0,18,0.63833
0.0,18,0.63921
0.0,21,0.640219
0.0,4,0.640469
0.0,19,0.641388
0.0,25,0.64257
1.0,36,0.644258
1.0,16,0.645031
0.0,77,0.648514
0.0,40,0.650361
1.0,8,0.650789
0.0,6,0.651124
0.0,16,0.651906
0.0,51,0.654257
1.0,12,0.654856
0.0,11,0.655419
0.0,6,0.655755
0.0,19,0.656671
0.0,58,0.659322
0.0,6,0.65966
0.0,6,0.659994
0.0,27,0.661269
1.0,67,0.664328
0.0,42,0.666268
0.0,86,0.670148
0.0,39,0.671954
0.0,11,0.672522
1.0,22,0.673567
1.0,63,0.676445
1.0,39,0.678262
1.0,57,0.680864
0.0,11,0.681432
1.0,15,0.682167
1.0,8,0.682586
1.0,30,0.683981
0.0,17,0.68482
1.0,6,0.685167
0.0,49,0.687562
1.0,15,0.6883
0.0,4,0.688545
0.0,64,0.691461
0.0,36,0.693127
0.0,5,0.69343
1.0,75,0.69682
0.0,9,0.697298
0.0,26,0.698528
0.0,38,0.70029
0.0,24,0.70143
0.0,7,0.701808
0.0,15,0.702555
0.0,84,0.70634
0.0,21,0.707349
1.0,31,0.708791
1.0,11,0.709357
1.0,29,0.710707
0.0,13,0.711426
0.0,44,0.713455
1.0,36,0.715129
1.0,55,0.717647
1.0,20,0.718607
1.0,7,0.718984
0.0,8,0.719418
0.0,54,0.721886
0.0,43,0.723873
0.0,20,0.724842
0.0,62,0.72766
1.0,35,0.729285
1.0,35,0.730912
0.0,27,0.732191
1.0,34,0.733764
1.0,54,0.736265
1.0,12,0.736862
0.0,10,0.737386
1.0,35,0.739017
0.0,46,0.741138
1.0,33,0.742687
0.0,25,0.743871
