#{"t_start": 1522760862.1958241, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.036942
0.0,10,0.037819
0.0,8,0.038485
0.0,7,0.039083
0.0,20,0.040557
0.0,22,0.042178
0.0,12,0.043106
0.0,11,0.043955
0.0,21,0.045068
0.0,39,0.046908
0.0,8,0.047351
0.0,26,0.048597
0.0,13,0.049262
0.0,4,0.049517
0.0,17,0.050362
0.0,61,0.053215
0.0,14,0.05392
0.0,6,0.054281
0.0,5,0.054577
0.0,18,0.055466
0.0,28,0.056815
0.0,16,0.057616
0.0,4,0.057868
0.0,6,0.058222
0.0,9,0.058697
0.0,9,0.059185
0.0,6,0.059526
0.0,6,0.059869
0.0,28,0.061225
0.0,18,0.062124
0.0,25,0.063332
0.0,13,0.064006
0.0,47,0.066213
0.0,2,0.066376
0.0,47,0.0686
0.0,23,0.069722
0.0,15,0.07048
0.0,26,0.071734
0.0,7,0.07214
0.0,100,0.076776
0.0,7,0.077178
0.0,4,0.077434
0.0,15,0.078193
0.0,9,0.078668
1.0,18,0.079564
0.0,6,0.079904
1.0,16,0.08071
0.0,7,0.081109
0.0,18,0.082
0.0,8,0.082431
0.0,4,0.082681
0.0,30,0.084134
0.0,35,0.085783
0.0,12,0.086407
0.0,9,0.086881
0.0,21,0.087914
0.0,7,0.088314
0.0,2,0.088474
0.0,43,0.0905
0.0,25,0.091714
0.0,34,0.093336
1.0,10,0.093857
0.0,19,0.094817
1.0,33,0.096393
0.0,24,0.097555
0.0,14,0.09827
0.0,5,0.098567
0.0,49,0.100869
1.0,17,0.101717
0.0,12,0.102339
0.0,3,0.102546
0.0,6,0.102888
0.0,54,0.105436
0.0,17,0.106288
0.0,15,0.107046
0.0,18,0.107933
0.0,6,0.108284
0.0,11,0.108856
0.0,2,0.109026
0.0,25,0.110235
0.0,33,0.111807
0.0,46,0.114727
1.0,16,0.115555
0.0,8,0.116005
0.0,5,0.116304
0.0,8,0.116736
0.0,16,0.117544
0.0,12,0.118173
0.0,14,0.11888
1.0,30,0.120323
0.0,5,0.120621
0.0,6,0.120963
0.0,8,0.121404
0.0,6,0.121748
0.0,8,0.122187
0.0,6,0.122532
0.0,7,0.122917
0.0,18,0.123816
0.0,20,0.124814
1.0,15,0.125573
1.0,15,0.126333
0.0,3,0.126539
0.0,15,0.127302
1.0,11,0.127868
0.0,7,0.128269
1.0,16,0.129074
0.0,16,0.129869
0.0,2,0.130044
0.0,18,0.130928
0.0,21,0.131958
0.0,16,0.132762
1.0,18,0.133652
0.0,5,0.133948
0.0,13,0.134626
0.0,15,0.135386
0.0,28,0.136737
0.0,3,0.137016
0.0,44,0.139097
0.0,12,0.13971
0.0,12,0.140337
0.0,57,0.142998
0.0,11,0.143568
1.0,18,0.144475
0.0,4,0.144728
0.0,35,0.146403
0.0,62,0.14931
0.0,7,0.149699
0.0,20,0.150688
0.0,25,0.151901
0.0,19,0.152842
0.0,43,0.154876
0.0,11,0.155455
0.0,13,0.156123
0.0,4,0.156374
0.0,5,0.156672
0.0,13,0.157339
0.0,4,0.157591
0.0,22,0.158671
0.0,16,0.159476
1.0,36,0.16118
0.0,30,0.162616
0.0,7,0.163012
0.0,12,0.163623
0.0,15,0.164389
0.0,3,0.164598
0.0,12,0.165221
0.0,5,0.165522
0.0,24,0.166687
0.0,25,0.167898
0.0,4,0.168162
0.0,21,0.169185
0.0,11,0.169755
0.0,7,0.170152
0.0,11,0.17072
0.0,5,0.171026
0.0,17,0.171865
0.0,4,0.172127
0.0,3,0.172336
0.0,9,0.172812
0.0,8,0.173254
0.0,6,0.173598
0.0,6,0.173939
0.0,7,0.174339
0.0,8,0.17477
0.0,11,0.175349
0.0,8,0.175782
0.0,4,0.176046
0.0,7,0.176436
0.0,7,0.176826
0.0,42,0.17882
0.0,3,0.179039
0.0,29,0.180424
0.0,7,0.180811
0.0,14,0.181522
0.0,8,0.181956
0.0,4,0.182215
0.0,14,0.182918
0.0,8,0.183358
0.0,7,0.183746
0.0,24,0.184903
0.0,7,0.185305
0.0,5,0.185601
0.0,9,0.186086
0.0,6,0.186434
0.0,6,0.186776
1.0,19,0.187717
0.0,2,0.187878
0.0,28,0.189231
0.0,33,0.190799
0.0,46,0.192966
0.0,4,0.193228
0.0,29,0.194628
0.0,12,0.195258
1.0,27,0.196555
1.0,24,0.197719
0.0,17,0.198574
0.0,8,0.199021
0.0,14,0.199728
0.0,5,0.200036
0.0,7,0.200426
0.0,5,0.200721
0.0,10,0.201252
0.0,12,0.201867
0.0,13,0.20254
0.0,36,0.204269
0.0,15,0.205034
0.0,10,0.205558
0.0,8,0.206004
0.0,5,0.206305
0.0,18,0.207203
1.0,55,0.209785
0.0,4,0.210048
0.0,9,0.21053
0.0,39,0.212383
0.0,42,0.214375
0.0,11,0.214944
0.0,5,0.215247
0.0,3,0.215453
0.0,40,0.217349
0.0,30,0.218793
0.0,6,0.219148
0.0,13,0.219809
0.0,27,0.221121
0.0,4,0.221374
0.0,4,0.221626
0.0,4,0.221876
0.0,28,0.223228
1.0,10,0.22375
0.0,4,0.224014
0.0,27,0.225315
0.0,27,0.226613
1.0,9,0.227101
1.0,17,0.22794
0.0,8,0.22838
0.0,26,0.229646
0.0,25,0.23086
0.0,11,0.231439
0.0,9,0.231922
0.0,4,0.232185
0.0,32,0.233725
0.0,10,0.234266
0.0,4,0.234521
