#{"t_start": 1522724331.0564163, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.001059
0.0,9,0.001358
0.0,6,0.001549
0.0,16,0.002038
0.0,60,0.003461
0.0,1,0.003543
0.0,2,0.003649
0.0,6,0.003875
0.0,39,0.004798
0.0,2,0.004913
0.0,49,0.006029
0.0,41,0.006976
0.0,73,0.008634
0.0,3,0.008775
0.0,8,0.009003
0.0,7,0.009211
0.0,12,0.009535
0.0,20,0.010084
1.0,31,0.010834
0.0,43,0.011829
0.0,57,0.01308
1.0,27,0.013703
0.0,8,0.013938
0.0,22,0.014449
0.0,1,0.014528
0.0,4,0.014677
0.0,23,0.015231
0.0,8,0.015464
0.0,1,0.015545
0.0,15,0.015949
0.0,14,0.016313
0.0,3,0.016435
0.0,25,0.017073
0.0,19,0.017538
0.0,26,0.018151
1.0,7,0.018358
0.0,5,0.018528
0.0,3,0.01865
0.0,62,0.020025
0.0,10,0.020296
0.0,15,0.02067
0.0,5,0.020845
0.0,9,0.021098
0.0,6,0.021282
0.0,1,0.021361
0.0,48,0.022437
0.0,15,0.022828
0.0,30,0.023517
0.0,7,0.02374
0.0,2,0.023842
0.0,10,0.024112
0.0,24,0.024674
0.0,1,0.024764
0.0,6,0.024957
0.0,11,0.025255
0.0,2,0.025354
0.0,8,0.025591
0.0,25,0.026189
0.0,8,0.026416
0.0,22,0.026942
0.0,29,0.027609
0.0,58,0.028892
0.0,2,0.028999
0.0,32,0.029736
0.0,9,0.029983
0.0,73,0.031551
0.0,6,0.031749
0.0,6,0.031938
0.0,55,0.033142
0.0,6,0.033331
0.0,1,0.033407
0.0,13,0.033753
0.0,6,0.033952
0.0,5,0.034132
0.0,49,0.035233
0.0,5,0.035405
0.0,16,0.035814
0.0,8,0.036042
0.0,39,0.036923
0.0,7,0.037128
0.0,26,0.037735
0.0,1,0.037818
0.0,19,0.038285
0.0,4,0.038433
0.0,9,0.038702
0.0,3,0.038828
0.0,8,0.039062
0.0,10,0.03933
0.0,30,0.040023
0.0,8,0.040264
0.0,32,0.040999
0.0,14,0.041358
0.0,5,0.04152
0.0,20,0.041998
0.0,16,0.042384
0.0,12,0.042686
0.0,7,0.042902
0.0,9,0.043145
0.0,29,0.043815
0.0,1,0.043892
0.0,15,0.044263
0.0,5,0.044429
0.0,35,0.045236
0.0,28,0.045879
0.0,20,0.046349
0.0,11,0.046633
0.0,32,0.047371
0.0,1,0.047453
0.0,13,0.047797
0.0,6,0.047982
0.0,18,0.048421
0.0,6,0.048606
0.0,3,0.048738
0.0,14,0.049095
0.0,2,0.0492
0.0,5,0.049363
0.0,21,0.049881
1.0,10,0.050156
0.0,10,0.050428
0.0,11,0.050733
0.0,16,0.051134
0.0,15,0.05151
0.0,4,0.051652
0.0,2,0.051763
0.0,1,0.051844
0.0,3,0.05197
0.0,4,0.052115
0.0,1,0.052195
0.0,5,0.05236
0.0,5,0.052527
0.0,19,0.053002
0.0,3,0.053131
0.0,5,0.053295
0.0,7,0.053503
0.0,13,0.053847
0.0,59,0.055144
0.0,8,0.05538
0.0,12,0.055695
1.0,31,0.056418
0.0,38,0.057267
0.0,9,0.057517
0.0,18,0.057959
0.0,11,0.058245
0.0,3,0.058364
0.0,28,0.059032
0.0,10,0.05931
0.0,3,0.059433
0.0,11,0.059732
0.0,26,0.060346
0.0,16,0.060763
0.0,15,0.061144
0.0,7,0.061352
1.0,17,0.061783
0.0,4,0.061939
0.0,28,0.062588
0.0,20,0.063078
0.0,8,0.063309
0.0,7,0.063515
0.0,5,0.063682
0.0,8,0.063927
0.0,24,0.064498
0.0,2,0.064607
0.0,1,0.064683
0.0,13,0.06507
0.0,10,0.065336
0.0,2,0.065435
0.0,2,0.065538
0.0,25,0.066134
0.0,17,0.066558
0.0,18,0.067005
0.0,33,0.06777
0.0,4,0.067918
0.0,19,0.068381
0.0,12,0.068692
0.0,1,0.068778
0.0,23,0.069315
1.0,15,0.069703
0.0,1,0.069785
0.0,16,0.070188
0.0,6,0.070372
1.0,44,0.071347
0.0,21,0.071855
0.0,18,0.072291
0.0,9,0.072539
0.0,6,0.072735
0.0,12,0.073056
0.0,1,0.073131
0.0,16,0.073523
0.0,14,0.073892
0.0,3,0.074019
0.0,13,0.074357
0.0,12,0.074661
0.0,3,0.074794
1.0,11,0.075078
0.0,25,0.07566
0.0,9,0.075921
0.0,2,0.076023
0.0,12,0.076332
0.0,40,0.07724
0.0,10,0.077507
1.0,15,0.077894
0.0,6,0.078077
0.0,10,0.078352
0.0,7,0.078566
0.0,7,0.078807
0.0,4,0.078955
0.0,2,0.079068
0.0,1,0.079142
1.0,14,0.079521
0.0,7,0.079746
0.0,11,0.080041
0.0,8,0.080284
0.0,23,0.080832
0.0,36,0.081633
0.0,3,0.081763
0.0,10,0.082029
0.0,7,0.082239
0.0,4,0.082381
0.0,4,0.08252
0.0,7,0.082745
0.0,9,0.082992
0.0,1,0.083065
0.0,21,0.083563
0.0,17,0.083989
0.0,2,0.08409
0.0,30,0.08479
0.0,10,0.085064
0.0,1,0.085145
0.0,8,0.085381
0.0,1,0.085456
1.0,12,0.085787
0.0,8,0.086021
0.0,18,0.086472
0.0,15,0.086863
0.0,3,0.086994
0.0,9,0.087243
0.0,9,0.087497
0.0,23,0.088058
0.0,5,0.08823
0.0,12,0.088537
1.0,12,0.088861
0.0,17,0.089283
0.0,18,0.089743
0.0,4,0.089886
0.0,19,0.09034
0.0,4,0.090483
0.0,16,0.09089
0.0,8,0.091128
0.0,10,0.091399
1.0,11,0.091692
0.0,8,0.091925
0.0,9,0.092185
0.0,6,0.092365
0.0,15,0.092738
1.0,17,0.093142
0.0,43,0.094095
0.0,5,0.094258
0.0,2,0.094356
0.0,9,0.094598
1.0,15,0.094989
0.0,1,0.09507
1.0,8,0.095298
0.0,30,0.095994
0.0,22,0.096524
1.0,23,0.097073
0.0,5,0.097243
0.0,17,0.097671
