#{"t_start": 1522753140.2506392, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.001599
0.0,1,0.001727
0.0,1,0.00184
0.0,1,0.00196
0.0,20,0.002934
0.0,3,0.003139
0.0,1,0.003253
0.0,1,0.003367
0.0,6,0.003704
0.0,6,0.004061
0.0,21,0.005083
0.0,44,0.007158
0.0,11,0.007722
0.0,22,0.008782
0.0,6,0.009137
0.0,24,0.010293
0.0,2,0.010457
0.0,22,0.011521
0.0,13,0.012188
0.0,24,0.013344
0.0,12,0.013973
0.0,2,0.014134
0.0,19,0.015059
0.0,30,0.016477
0.0,1,0.016592
0.0,3,0.016796
0.0,10,0.017321
0.0,7,0.017707
0.0,12,0.01832
0.0,28,0.019645
1.0,10,0.02017
1.0,12,0.020771
0.0,12,0.021387
0.0,8,0.021815
0.0,24,0.022969
0.0,10,0.023489
0.0,1,0.023604
0.0,3,0.023809
0.0,23,0.024944
0.0,3,0.025149
0.0,10,0.025666
0.0,36,0.027357
0.0,58,0.03002
0.0,20,0.030998
0.0,3,0.031203
0.0,5,0.031499
0.0,11,0.032073
0.0,20,0.033046
0.0,6,0.033384
0.0,8,0.033808
1.0,21,0.034824
0.0,4,0.035086
0.0,3,0.035293
0.0,3,0.035499
0.0,8,0.035938
0.0,20,0.036914
0.0,3,0.037122
0.0,3,0.037325
0.0,9,0.037794
0.0,5,0.038101
0.0,8,0.038529
1.0,11,0.039105
0.0,13,0.039754
1.0,23,0.040854
0.0,4,0.041113
0.0,18,0.041994
0.0,15,0.042731
0.0,29,0.044114
0.0,29,0.04548
0.0,27,0.046763
0.0,3,0.046983
0.0,6,0.047321
0.0,14,0.048021
0.0,20,0.048994
0.0,45,0.051089
0.0,12,0.051694
0.0,10,0.052224
0.0,11,0.052787
0.0,6,0.053138
0.0,10,0.053654
0.0,57,0.056283
0.0,2,0.056444
0.0,4,0.056691
0.0,31,0.05816
0.0,19,0.059088
0.0,8,0.059518
0.0,1,0.05963
0.0,2,0.059789
0.0,37,0.06152
0.0,14,0.062228
0.0,23,0.063334
0.0,20,0.064307
0.0,12,0.064927
0.0,11,0.065488
0.0,17,0.066325
0.0,14,0.067031
0.0,25,0.068222
0.0,28,0.069549
0.0,4,0.069803
0.0,8,0.070243
0.0,1,0.070356
0.0,11,0.070925
0.0,1,0.071041
0.0,2,0.071202
0.0,2,0.071363
0.0,13,0.072021
1.0,10,0.072539
0.0,3,0.072744
0.0,8,0.073185
0.0,1,0.073301
0.0,8,0.073732
0.0,2,0.073907
0.0,12,0.074514
1.0,43,0.076525
0.0,14,0.077223
0.0,14,0.077929
0.0,9,0.078403
0.0,20,0.079368
0.0,6,0.079705
