#{"t_start": 1522714230.970836, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.034489
0.0,5,0.035048
0.0,1,0.035222
0.0,11,0.036071
0.0,12,0.036935
0.0,24,0.038064
0.0,1,0.03818
0.0,5,0.038473
0.0,4,0.038734
0.0,3,0.038938
0.0,2,0.039098
0.0,8,0.039516
0.0,9,0.039992
0.0,9,0.04046
0.0,1,0.040574
0.0,6,0.040921
0.0,1,0.041032
0.0,9,0.041494
0.0,6,0.041838
0.0,1,0.041951
0.0,16,0.042732
0.0,5,0.043027
0.0,4,0.043273
0.0,15,0.044013
0.0,16,0.044801
0.0,21,0.045805
0.0,16,0.046579
0.0,2,0.046752
0.0,1,0.046866
0.0,6,0.047202
0.0,2,0.047359
0.0,10,0.047881
0.0,7,0.048258
0.0,20,0.04921
0.0,14,0.049911
0.0,6,0.050244
0.0,7,0.050655
0.0,6,0.050988
0.0,3,0.051192
0.0,11,0.051765
0.0,4,0.052013
0.0,12,0.052617
0.0,3,0.05282
0.0,7,0.053194
0.0,6,0.053529
0.0,10,0.054049
0.0,3,0.054255
0.0,10,0.054779
0.0,12,0.055375
0.0,17,0.0562
0.0,5,0.056495
0.0,11,0.057061
0.0,6,0.057395
0.0,1,0.057509
0.0,12,0.058114
0.0,5,0.058405
0.0,5,0.058715
0.0,26,0.05994
0.0,2,0.060101
0.0,7,0.060481
0.0,7,0.060876
0.0,4,0.061123
0.0,4,0.06137
0.0,5,0.061671
0.0,6,0.06201
0.0,11,0.062563
0.0,9,0.063035
0.0,16,0.063812
0.0,1,0.063927
0.0,5,0.064219
0.0,2,0.064379
0.0,3,0.064579
0.0,13,0.065232
0.0,19,0.066153
0.0,3,0.066358
0.0,11,0.066931
0.0,10,0.06744
0.0,10,0.067963
0.0,5,0.068257
0.0,9,0.068738
0.0,16,0.069509
0.0,7,0.069902
0.0,2,0.07006
0.0,3,0.07026
0.0,7,0.070652
0.0,1,0.070765
0.0,3,0.070965
0.0,1,0.071079
0.0,21,0.072081
0.0,21,0.073086
0.0,7,0.073462
0.0,8,0.073893
0.0,27,0.075161
0.0,25,0.076339
0.0,7,0.076734
0.0,10,0.077245
0.0,3,0.077447
0.0,11,0.07801
0.0,5,0.078304
0.0,10,0.078823
0.0,10,0.079331
0.0,4,0.079578
0.0,5,0.079878
0.0,7,0.080254
0.0,27,0.081524
0.0,19,0.082442
0.0,7,0.082831
0.0,9,0.083303
0.0,1,0.083415
0.0,9,0.083895
0.0,17,0.084717
0.0,18,0.085592
0.0,6,0.085928
0.0,7,0.086311
0.0,1,0.086422
0.0,2,0.086578
0.0,25,0.087785
0.0,1,0.0879
0.0,17,0.088728
0.0,43,0.090706
0.0,2,0.090867
0.0,10,0.091378
0.0,2,0.091535
0.0,2,0.091702
0.0,3,0.091906
0.0,3,0.092111
0.0,12,0.092723
0.0,17,0.093538
0.0,2,0.093705
0.0,1,0.093818
0.0,1,0.093929
0.0,12,0.094532
0.0,3,0.094743
0.0,2,0.094901
0.0,12,0.095495
0.0,3,0.095707
0.0,1,0.095822
0.0,7,0.096203
0.0,6,0.096538
0.0,1,0.096665
0.0,4,0.096911
0.0,2,0.097072
0.0,1,0.097185
0.0,37,0.098894
0.0,5,0.099184
0.0,12,0.099791
0.0,6,0.100126
0.0,5,0.100417
0.0,9,0.100891
0.0,17,0.101717
0.0,21,0.102719
0.0,9,0.103182
0.0,31,0.104627
0.0,5,0.104917
0.0,2,0.105074
0.0,12,0.105677
0.0,12,0.106274
0.0,23,0.107361
0.0,8,0.107793
1.0,17,0.10862
0.0,3,0.108827
0.0,8,0.109248
0.0,19,0.110165
0.0,11,0.110731
0.0,12,0.111329
0.0,4,0.111573
0.0,10,0.11209
0.0,17,0.112913
0.0,3,0.113116
0.0,5,0.113409
0.0,7,0.113801
0.0,18,0.114679
0.0,4,0.114926
0.0,9,0.115399
0.0,3,0.115616
0.0,21,0.116623
0.0,44,0.118635
0.0,3,0.118841
0.0,1,0.118953
1.0,9,0.119419
0.0,4,0.119677
0.0,5,0.119969
0.0,13,0.120618
0.0,11,0.121172
0.0,23,0.122259
0.0,3,0.122465
0.0,5,0.122766
0.0,15,0.123495
