#{"t_start": 1522755258.568021, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.003191
0.0,4,0.003452
0.0,14,0.004136
0.0,46,0.006231
0.0,5,0.006532
0.0,34,0.008109
0.0,20,0.009071
0.0,7,0.009462
0.0,22,0.010517
0.0,14,0.011197
0.0,34,0.012777
0.0,43,0.014752
0.0,58,0.017374
0.0,100,0.021846
0.0,57,0.024428
0.0,72,0.027689
0.0,34,0.029256
0.0,51,0.031592
0.0,13,0.032232
0.0,6,0.032574
0.0,11,0.033126
0.0,8,0.033555
0.0,18,0.03442
0.0,6,0.03475
0.0,27,0.036002
0.0,62,0.038799
1.0,10,0.03932
0.0,3,0.039523
1.0,23,0.04061
0.0,9,0.041079
0.0,12,0.041686
0.0,41,0.043574
1.0,61,0.046332
0.0,42,0.048252
0.0,5,0.048556
0.0,29,0.049904
0.0,7,0.050296
0.0,4,0.050542
1.0,21,0.051537
0.0,22,0.052578
0.0,21,0.05358
0.0,11,0.054133
0.0,19,0.055044
0.0,27,0.056309
0.0,8,0.05673
1.0,68,0.059794
0.0,21,0.060802
0.0,30,0.062198
0.0,16,0.062976
0.0,81,0.06661
0.0,74,0.069937
0.0,17,0.070771
0.0,21,0.071766
1.0,12,0.072368
0.0,5,0.072657
0.0,10,0.073165
0.0,2,0.073332
0.0,5,0.073623
1.0,9,0.07409
1.0,8,0.074522
1.0,38,0.076259
0.0,12,0.076866
1.0,64,0.07976
0.0,14,0.080461
0.0,12,0.081059
0.0,8,0.081489
0.0,9,0.081952
0.0,21,0.082951
0.0,8,0.083387
0.0,78,0.08691
0.0,16,0.0877
0.0,21,0.088704
0.0,2,0.088862
0.0,34,0.090448
0.0,13,0.091092
0.0,11,0.091654
1.0,24,0.092782
0.0,12,0.093386
0.0,12,0.093975
0.0,18,0.094844
1.0,61,0.097604
0.0,34,0.099166
0.0,9,0.099638
0.0,33,0.101166
0.0,14,0.101863
0.0,29,0.103208
0.0,32,0.104759
0.0,15,0.105497
0.0,5,0.105784
1.0,18,0.106649
0.0,14,0.107336
0.0,35,0.108938
0.0,2,0.109096
1.0,15,0.109827
0.0,26,0.111041
