#{"t_start": 1522712643.6938248, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.038756
0.0,100,0.043362
0.0,100,0.04788
0.0,47,0.050053
0.0,100,0.054595
0.0,8,0.055049
0.0,100,0.059565
0.0,100,0.064074
0.0,96,0.068408
0.0,57,0.07101
0.0,100,0.075546
0.0,4,0.075804
0.0,22,0.076846
0.0,99,0.081308
0.0,78,0.084823
0.0,100,0.089427
1.0,28,0.090744
0.0,3,0.090955
1.0,10,0.091473
1.0,21,0.092475
0.0,24,0.093599
1.0,41,0.095473
1.0,43,0.097466
1.0,11,0.098021
1.0,48,0.100201
0.0,100,0.104694
1.0,92,0.108865
1.0,11,0.10948
1.0,48,0.111668
1.0,15,0.112421
1.0,20,0.113359
1.0,20,0.114345
1.0,16,0.115107
1.0,63,0.117953
1.0,36,0.119613
1.0,44,0.121646
1.0,19,0.122573
0.0,15,0.123326
0.0,11,0.123875
1.0,38,0.125618
1.0,46,0.127704
1.0,58,0.13032
1.0,7,0.130702
1.0,22,0.131773
1.0,58,0.134403
1.0,21,0.135513
1.0,22,0.136554
0.0,31,0.137995
1.0,17,0.13881
1.0,15,0.139548
1.0,30,0.14095
1.0,20,0.141904
1.0,18,0.142782
1.0,24,0.143917
1.0,84,0.14772
1.0,16,0.148523
0.0,7,0.148902
1.0,18,0.149763
1.0,17,0.150576
1.0,64,0.153485
1.0,20,0.154482
1.0,83,0.158213
0.0,33,0.159804
1.0,17,0.160638
0.0,61,0.163414
0.0,8,0.163835
0.0,6,0.164167
0.0,100,0.168676
0.0,65,0.172139
0.0,15,0.172884
0.0,8,0.173316
0.0,35,0.174958
1.0,23,0.176043
1.0,66,0.179016
1.0,14,0.179721
0.0,3,0.179927
1.0,29,0.181296
1.0,27,0.182566
1.0,14,0.183274
1.0,7,0.183647
1.0,46,0.185736
1.0,21,0.186741
1.0,28,0.188069
1.0,23,0.18916
1.0,16,0.189945
0.0,8,0.190375
0.0,3,0.190579
1.0,18,0.191457
1.0,25,0.192636
1.0,57,0.195307
1.0,22,0.196343
1.0,27,0.197609
1.0,14,0.198302
1.0,47,0.200455
1.0,69,0.203611
0.0,16,0.204398
1.0,20,0.205348
1.0,31,0.206792
1.0,12,0.207403
1.0,28,0.208699
0.0,16,0.209527
0.0,6,0.209861
1.0,24,0.210973
1.0,14,0.211673
1.0,15,0.21245
0.0,3,0.212654
1.0,10,0.213155
1.0,39,0.214976
1.0,10,0.215502
1.0,9,0.215961
1.0,27,0.217211
1.0,12,0.217824
0.0,100,0.222324
1.0,58,0.224967
1.0,18,0.225837
1.0,25,0.227016
1.0,35,0.228631
1.0,9,0.229094
1.0,26,0.230323
1.0,46,0.232437
1.0,24,0.233569
1.0,63,0.236424
1.0,55,0.239066
0.0,12,0.239671
1.0,35,0.24131
1.0,22,0.242347
1.0,72,0.245573
1.0,41,0.247462
1.0,34,0.249044
1.0,15,0.249775
1.0,35,0.251376
1.0,31,0.252824
1.0,26,0.254022
1.0,16,0.254806
1.0,27,0.256062
1.0,25,0.257244
1.0,17,0.258057
0.0,4,0.258316
0.0,17,0.259121
0.0,16,0.259935
1.0,16,0.260726
1.0,15,0.261458
1.0,33,0.262983
1.0,28,0.264294
0.0,16,0.265058
1.0,37,0.26676
1.0,42,0.268666
0.0,8,0.269087
1.0,31,0.270523
0.0,7,0.270904
1.0,17,0.271725
1.0,18,0.27261
1.0,33,0.27411
0.0,36,0.275789
1.0,47,0.277927
0.0,14,0.278626
1.0,69,0.281721
1.0,21,0.282723
1.0,21,0.283719
0.0,100,0.288181
1.0,18,0.289056
1.0,51,0.291366
0.0,8,0.291792
1.0,25,0.292969
1.0,12,0.293573
1.0,10,0.294075
1.0,8,0.294512
1.0,9,0.294986
1.0,15,0.295715
1.0,11,0.296272
1.0,30,0.29766
1.0,13,0.298311
0.0,22,0.299345
1.0,24,0.300478
0.0,7,0.300884
1.0,25,0.302039
1.0,31,0.303507
0.0,18,0.304372
1.0,15,0.305087
0.0,63,0.307956
1.0,52,0.310359
1.0,15,0.311089
1.0,24,0.312254
0.0,70,0.31542
1.0,18,0.316279
0.0,9,0.316739
1.0,78,0.320228
0.0,7,0.320626
0.0,27,0.321882
0.0,100,0.326388
0.0,6,0.326733
0.0,24,0.327851
1.0,6,0.328186
1.0,27,0.329464
0.0,48,0.331639
1.0,20,0.332602
1.0,88,0.336558
1.0,15,0.33742
1.0,20,0.338389
1.0,15,0.339109
1.0,20,0.340054
1.0,16,0.34086
0.0,16,0.341644
