#{"t_start": 1522695537.263691, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.037356
0.0,13,0.038396
0.0,2,0.038646
0.0,34,0.04096
0.0,18,0.04184
0.0,21,0.042858
0.0,11,0.043421
0.0,10,0.043943
0.0,10,0.044462
1.0,26,0.045708
0.0,37,0.047427
0.0,14,0.048127
0.0,14,0.048822
0.0,12,0.04942
0.0,13,0.050066
0.0,4,0.050315
0.0,8,0.050757
0.0,4,0.051007
0.0,6,0.051343
0.0,12,0.051952
0.0,7,0.052336
0.0,2,0.052493
0.0,13,0.053144
0.0,12,0.053756
0.0,3,0.053958
0.0,26,0.055196
0.0,15,0.055938
0.0,3,0.056145
0.0,7,0.056535
0.0,14,0.05723
0.0,15,0.057969
0.0,15,0.058711
0.0,4,0.058961
1.0,17,0.059793
0.0,15,0.060541
0.0,7,0.060921
0.0,23,0.062015
0.0,7,0.062398
0.0,4,0.062651
0.0,24,0.063794
1.0,15,0.06454
0.0,60,0.067281
0.0,7,0.067674
0.0,5,0.067964
0.0,5,0.068253
0.0,8,0.068684
0.0,31,0.070131
0.0,7,0.07051
0.0,14,0.071213
0.0,12,0.071822
0.0,4,0.072067
0.0,7,0.072444
0.0,11,0.07301
0.0,14,0.073711
0.0,11,0.074273
0.0,4,0.074521
0.0,32,0.076026
0.0,14,0.076729
0.0,5,0.077021
0.0,4,0.077269
0.0,12,0.077882
0.0,5,0.078177
0.0,5,0.078465
0.0,36,0.080146
0.0,6,0.08048
0.0,2,0.080649
0.0,9,0.081115
0.0,15,0.081859
0.0,8,0.082278
0.0,41,0.084178
0.0,10,0.0847
0.0,18,0.085573
0.0,8,0.085998
0.0,4,0.086243
0.0,4,0.086487
0.0,19,0.08741
0.0,16,0.088199
0.0,15,0.088942
0.0,3,0.089143
0.0,27,0.090418
0.0,2,0.09059
0.0,13,0.091234
0.0,67,0.094277
0.0,41,0.096182
0.0,48,0.098391
0.0,14,0.099088
0.0,8,0.099516
0.0,14,0.100216
0.0,18,0.101097
0.0,6,0.101438
0.0,5,0.101737
0.0,10,0.102253
0.0,3,0.102458
0.0,3,0.102668
0.0,17,0.103486
0.0,7,0.103872
0.0,14,0.104573
0.0,18,0.105441
0.0,5,0.105738
0.0,7,0.10612
0.0,6,0.106453
0.0,8,0.106883
0.0,19,0.1078
0.0,32,0.109297
0.0,4,0.109551
0.0,4,0.1098
0.0,6,0.110135
0.0,25,0.111332
0.0,23,0.112425
0.0,13,0.113083
0.0,45,0.115162
0.0,7,0.115553
0.0,5,0.115844
0.0,21,0.116857
0.0,14,0.117553
0.0,13,0.1182
0.0,10,0.118719
0.0,41,0.120621
0.0,7,0.121005
0.0,4,0.12125
0.0,8,0.121686
0.0,10,0.122197
0.0,9,0.122676
0.0,43,0.124674
0.0,6,0.12501
0.0,6,0.125342
0.0,4,0.125595
1.0,16,0.126375
0.0,4,0.126634
0.0,35,0.128258
0.0,11,0.128825
0.0,18,0.129708
0.0,6,0.130047
0.0,9,0.130517
0.0,32,0.132033
0.0,6,0.13237
0.0,43,0.134364
0.0,3,0.134578
0.0,49,0.136832
0.0,19,0.137827
0.0,3,0.13803
0.0,32,0.139534
0.0,4,0.139785
0.0,28,0.141109
0.0,33,0.142646
0.0,9,0.143118
0.0,3,0.143318
0.0,12,0.143928
0.0,10,0.144442
0.0,7,0.144834
0.0,9,0.145304
0.0,2,0.145459
0.0,40,0.147313
0.0,20,0.148273
0.0,11,0.14884
0.0,5,0.14913
0.0,22,0.150172
0.0,16,0.15097
0.0,14,0.15167
0.0,11,0.152228
0.0,19,0.153149
0.0,7,0.153535
0.0,11,0.154095
0.0,31,0.15555
0.0,7,0.155932
0.0,5,0.15622
0.0,50,0.158523
0.0,20,0.159483
0.0,16,0.160268
0.0,12,0.160886
0.0,6,0.161223
0.0,9,0.161703
0.0,12,0.162302
0.0,34,0.163895
0.0,11,0.164459
0.0,78,0.168023
0.0,28,0.169344
0.0,14,0.170044
0.0,4,0.170291
0.0,9,0.170775
0.0,7,0.171153
0.0,5,0.171445
0.0,15,0.172187
0.0,36,0.173865
0.0,2,0.174024
0.0,28,0.175345
0.0,20,0.17631
0.0,7,0.176698
0.0,4,0.176947
0.0,4,0.17719
0.0,7,0.17758
0.0,10,0.178095
0.0,19,0.179022
0.0,20,0.179986
0.0,15,0.180728
0.0,10,0.181242
0.0,6,0.181586
0.0,35,0.183216
0.0,20,0.18418
0.0,15,0.184928
0.0,8,0.185352
0.0,7,0.185743
0.0,3,0.18595
0.0,9,0.186415
0.0,4,0.18667
0.0,13,0.187318
0.0,3,0.187518
0.0,6,0.187867
0.0,30,0.189275
0.0,11,0.189841
0.0,16,0.190629
0.0,8,0.191055
0.0,14,0.191751
0.0,43,0.193734
0.0,37,0.195453
0.0,24,0.196604
0.0,24,0.197738
0.0,5,0.198032
0.0,19,0.198944
0.0,5,0.199239
0.0,7,0.199629
0.0,25,0.200818
0.0,4,0.201069
0.0,5,0.201359
0.0,12,0.201968
0.0,28,0.203283
0.0,16,0.204072
0.0,49,0.206322
0.0,24,0.207467
0.0,84,0.211283
0.0,9,0.211759
0.0,3,0.211962
0.0,21,0.212969
0.0,8,0.213397
0.0,22,0.214455
0.0,13,0.215111
0.0,3,0.215313
0.0,16,0.2161
0.0,11,0.216671
0.0,12,0.217275
0.0,6,0.217615
0.0,31,0.219068
0.0,20,0.22004
0.0,14,0.220744
0.0,12,0.221343
0.0,27,0.222629
0.0,11,0.223209
0.0,11,0.22378
0.0,24,0.224915
0.0,2,0.225073
0.0,3,0.225276
0.0,10,0.225797
0.0,23,0.226893
0.0,15,0.227643
0.0,13,0.22829
0.0,10,0.228814
0.0,17,0.229648
0.0,13,0.230299
0.0,15,0.23105
0.0,4,0.231298
0.0,17,0.232131
0.0,21,0.233139
0.0,4,0.233389
0.0,4,0.233647
0.0,21,0.234655
0.0,23,0.235749
0.0,11,0.236308
0.0,32,0.23781
0.0,12,0.23847
0.0,6,0.238816
0.0,6,0.239158
0.0,24,0.240295
0.0,5,0.240604
0.0,47,0.242761
0.0,12,0.243365
0.0,30,0.244772
0.0,23,0.245876
0.0,24,0.247011
0.0,7,0.247391
0.0,21,0.2484
0.0,6,0.248743
0.0,13,0.24939
0.0,9,0.249866
0.0,6,0.250205
0.0,6,0.250551
0.0,19,0.251463
0.0,15,0.252206
0.0,15,0.252943
0.0,7,0.253323
0.0,5,0.253622
0.0,14,0.254311
0.0,5,0.254612
0.0,14,0.2553
0.0,6,0.255641
0.0,13,0.25629
0.0,10,0.256813
0.0,59,0.259515
0.0,16,0.260301
0.0,21,0.261337
0.0,8,0.261767
0.0,22,0.262823
0.0,26,0.264054
0.0,2,0.264212
0.0,7,0.264598
0.0,18,0.265466
0.0,35,0.267097
0.0,3,0.267298
0.0,4,0.267551
0.0,9,0.268016
0.0,3,0.268217
0.0,22,0.26928
0.0,17,0.270111
0.0,45,0.272201
0.0,3,0.272403
0.0,2,0.272568
