#{"t_start": 1522697371.9498441, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,62,0.038214
0.0,11,0.038848
0.0,100,0.043692
0.0,69,0.046923
0.0,84,0.050905
0.0,43,0.052921
0.0,58,0.055697
0.0,100,0.060368
0.0,2,0.060563
0.0,7,0.060946
0.0,2,0.061118
0.0,39,0.063007
0.0,2,0.063175
0.0,14,0.063869
0.0,2,0.064042
0.0,7,0.06442
0.0,7,0.064806
0.0,6,0.065202
0.0,15,0.065942
0.0,27,0.067235
0.0,2,0.06744
0.0,7,0.067827
0.0,38,0.069594
0.0,48,0.071864
0.0,14,0.072639
0.0,36,0.074358
0.0,31,0.075869
0.0,3,0.076088
1.0,97,0.080597
1.0,21,0.081629
0.0,14,0.082378
1.0,11,0.082932
0.0,40,0.084858
0.0,6,0.085208
0.0,10,0.085719
1.0,18,0.086646
1.0,9,0.087158
0.0,18,0.088028
0.0,16,0.088804
0.0,42,0.090807
0.0,22,0.091923
0.0,8,0.092361
0.0,25,0.093542
0.0,13,0.094262
0.0,14,0.094966
0.0,24,0.096117
0.0,93,0.100458
0.0,67,0.103655
0.0,21,0.104687
0.0,57,0.107351
0.0,42,0.10937
0.0,19,0.11031
0.0,7,0.110748
0.0,100,0.115388
0.0,9,0.115891
0.0,41,0.117833
0.0,21,0.118857
1.0,6,0.119208
0.0,3,0.11941
0.0,2,0.11957
0.0,62,0.122485
0.0,6,0.122885
0.0,54,0.125495
0.0,2,0.125667
0.0,15,0.12641
0.0,27,0.127741
0.0,11,0.128315
0.0,11,0.128875
0.0,15,0.129627
1.0,11,0.130269
1.0,16,0.131061
0.0,39,0.132926
0.0,7,0.133317
0.0,3,0.13353
0.0,82,0.137361
0.0,12,0.138179
0.0,13,0.138824
0.0,22,0.139941
0.0,26,0.141189
0.0,5,0.141484
0.0,3,0.141691
0.0,13,0.142405
0.0,23,0.143497
0.0,3,0.143703
0.0,41,0.14567
0.0,67,0.14879
0.0,3,0.14907
1.0,35,0.150728
1.0,39,0.152594
1.0,20,0.153572
1.0,9,0.154129
0.0,9,0.154602
0.0,47,0.156831
1.0,22,0.157882
0.0,38,0.159708
0.0,6,0.160077
1.0,25,0.161314
0.0,31,0.162765
0.0,16,0.163614
0.0,3,0.163825
0.0,7,0.164226
0.0,12,0.164828
0.0,6,0.165174
1.0,49,0.167474
0.0,2,0.167635
1.0,22,0.16877
0.0,2,0.168933
0.0,4,0.169201
1.0,12,0.169794
1.0,14,0.170517
0.0,29,0.171931
1.0,29,0.173347
1.0,22,0.174446
0.0,22,0.175549
0.0,10,0.176094
0.0,24,0.177227
0.0,12,0.177877
